LECROYWRHRO66Zi,58470,Waveform
Segments,1,SegmentSize,500002
Segment,TrigTime,TimeSinceSegment1
#1,10-Sep-2025 18:18:33,0                 
Time,Ampl
-0.0254000116,0.0004
-0.0253999116,-0.0014
-0.0253998116,-0.0008
-0.0253997116,0
-0.0253996116,-0.0004
-0.0253995116,-0.0022
-0.0253994116,-0.0026
-0.0253993116,-0.0002
-0.0253992116,-0.0014
-0.0253991116,-0.0022
-0.0253990116,-0.0006
-0.0253989116,-0.0004
-0.0253988116,-0.0008
-0.0253987116,-0.0002
-0.0253986116,0
-0.0253985116,-0.0012
-0.0253984116,-0.0008
-0.0253983116,0
-0.0253982116,0.0012
-0.0253981116,0.0008
-0.0253980116,0.0004
-0.0253979116,0.0008
-0.0253978116,0.002
-0.0253977116,-0.0002
-0.0253976116,0
-0.0253975116,0
-0.0253974116,0.0008
-0.0253973116,-0.0002
-0.0253972116,0.0008
-0.0253971116,0.0002
-0.0253970116,-0.0002
-0.0253969116,-0.0002
-0.0253968116,0.0006
-0.0253967116,-0.0006
-0.0253966116,-0.0008
-0.0253965116,-0.0016
-0.0253964116,-0.001
-0.0253963116,-0.0008
-0.0253962116,-0.0026
-0.0253961116,-0.0024
-0.0253960116,-0.0026
-0.0253959116,-0.002
-0.0253958116,-0.0032
-0.0253957116,-0.0024
-0.0253956116,-0.003
-0.0253955116,0.0004
-0.0253954116,-0.0018
-0.0253953116,-0.0014
-0.0253952116,-0.0032
-0.0253951116,-0.0026
-0.0253950116,-0.0024
-0.0253949116,-0.0022
-0.0253948116,-0.0002
-0.0253947116,-0.001
-0.0253946116,-0.0004
-0.0253945116,0.0004
-0.0253944116,-0.0002
-0.0253943116,0.0008
-0.0253942116,0
-0.0253941116,0.0004
-0.0253940116,0.0008
-0.0253939116,0.002
-0.0253938116,0.0012
-0.0253937116,0.0024
-0.0253936116,0.0024
-0.0253935116,0.0034
-0.0253934116,0.0024
-0.0253933116,0.0032
-0.0253932116,0.0022
-0.0253931116,0.003
-0.0253930116,0.002
-0.0253929116,0.0054
-0.0253928116,0.003
-0.0253927116,0.0046
-0.0253926116,0.002
-0.0253925116,0.0046
-0.0253924116,0.003
-0.0253923116,0.0028
-0.0253922116,0.0022
-0.0253921116,0.0036
-0.0253920116,0.0022
-0.0253919116,0.0024
-0.0253918116,0.0014
-0.0253917116,0.002
-0.0253916116,0.0016
-0.0253915116,0.0006
-0.0253914116,0.0008
-0.0253913116,0.0008
-0.0253912116,0.0004
-0.0253911116,0.001
-0.0253910116,-0.0004
-0.0253909116,0.0004
-0.0253908116,-0.0004
-0.0253907116,0.0004
-0.0253906116,0.0008
-0.0253905116,-0.0004
-0.0253904116,-0.0004
-0.0253903116,-0.0006
-0.0253902116,-0.0024
-0.0253901116,-0.0008
-0.0253900116,-0.0018
-0.0253899116,0.0002
-0.0253898116,-0.001
-0.0253897116,-0.0008
-0.0253896116,-0.001
-0.0253895116,-0.001
-0.0253894116,0.0006
-0.0253893116,-0.0002
-0.0253892116,-0.001
-0.0253891116,-0.0008
-0.0253890116,-0.0004
-0.0253889116,-0.0012
-0.0253888116,-0.0006
-0.0253887116,-0.0012
-0.0253886116,-0.0012
-0.0253885116,-0.0012
-0.0253884116,-0.0016
-0.0253883116,-0.0012
-0.0253882116,0
-0.0253881116,-0.001
-0.0253880116,0
-0.0253879116,-0.0002
-0.0253878116,-0.0008
