LECROYHDO4054A,55314,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,10-Sep-2025 20:43:20,0                 
Time,Ampl
-0.025600256,1.753594
-0.025599756,1.752754
-0.025599256,1.753594
-0.025598756,1.752754
-0.025598256,1.756953
-0.025597756,1.751914
-0.025597256,1.750234
-0.025596756,1.744355
-0.025596256,1.738477
-0.025595756,1.743516
-0.025595256,1.742676
-0.025594756,1.747715
-0.025594256,1.755273
-0.025593756,1.751074
-0.025593256,1.748555
-0.025592756,1.743516
-0.025592256,1.746875
-0.025591756,1.741836
-0.025591256,1.747715
-0.025590756,1.741836
-0.025590256,1.744355
-0.025589756,1.741836
-0.025589256,1.745195
-0.025588756,1.751074
-0.025588256,1.749395
-0.025587756,1.750234
-0.025587256,1.752754
-0.025586756,1.754434
-0.025586256,1.762832
-0.025585756,1.756953
-0.025585256,1.757793
-0.025584756,1.761152
-0.025584256,1.756113
-0.025583756,1.757793
-0.025583256,1.760312
-0.025582756,1.760312
-0.025582256,1.762832
-0.025581756,1.759473
-0.025581256,1.759473
-0.025580756,1.759473
-0.025580256,1.761992
-0.025579756,1.764512
-0.025579256,1.765352
-0.025578756,1.760312
-0.025578256,1.765352
-0.025577756,1.767031
-0.025577256,1.760312
-0.025576756,1.759473
-0.025576256,1.763672
-0.025575756,1.756953
-0.025575256,1.757793
-0.025574756,1.753594
-0.025574256,1.757793
-0.025573756,1.761992
-0.025573256,1.761992
-0.025572756,1.761152
-0.025572256,1.767871
-0.025571756,1.763672
-0.025571256,1.766191
-0.025570756,1.760312
-0.025570256,1.769551
-0.025569756,1.757793
-0.025569256,1.755273
-0.025568756,1.756953
-0.025568256,1.757793
-0.025567756,1.757793
-0.025567256,1.761152
-0.025566756,1.758633
-0.025566256,1.754434
-0.025565756,1.754434
-0.025565256,1.756953
-0.025564756,1.757793
-0.025564256,1.756113
-0.025563756,1.755273
-0.025563256,1.757793
-0.025562756,1.757793
-0.025562256,1.757793
-0.025561756,1.756113
-0.025561256,1.761152
-0.025560756,1.751914
-0.025560256,1.756113
-0.025559756,1.754434
-0.025559256,1.758633
-0.025558756,1.752754
-0.025558256,1.762832
-0.025557756,1.762832
-0.025557256,1.77123
-0.025556756,1.763672
-0.025556256,1.768711
-0.025555756,1.762832
-0.025555256,1.766191
-0.025554756,1.761992
-0.025554256,1.759473
-0.025553756,1.759473
-0.025553256,1.756953
-0.025552756,1.752754
-0.025552256,1.751914
-0.025551756,1.748555
-0.025551256,1.755273
-0.025550756,1.752754
-0.025550256,1.754434
-0.025549756,1.757793
-0.025549256,1.767031
-0.025548756,1.751074
-0.025548256,1.749395
-0.025547756,1.744355
-0.025547256,1.742676
-0.025546756,1.739316
-0.025546256,1.752754
-0.025545756,1.748555
-0.025545256,1.746035
-0.025544756,1.738477
-0.025544256,1.745195
-0.025543756,1.748555
-0.025543256,1.751914
-0.025542756,1.745195
-0.025542256,1.746035
-0.025541756,1.744355
-0.025541256,1.742676
-0.025540756,1.732598
-0.025540256,1.736797
-0.025539756,1.729238
-0.025539256,1.735117
-0.025538756,1.728398
-0.025538256,1.735117
-0.025537756,1.729238
-0.025537256,1.735117
-0.025536756,1.730918
-0.025536256,1.742676
-0.025535756,1.731758
-0.025535256,1.730078
-0.025534756,1.730918
-0.025534256,1.727559
-0.025533756,1.724199
-0.025533256,1.732598
-0.025532756,1.735117
-0.025532256,1.741836
-0.025531756,1.740996
-0.025531256,1.744355
-0.025530756,1.739316
-0.025530256,1.737637
-0.025529756,1.731758
-0.025529256,1.735957
-0.025528756,1.735117
-0.025528256,1.732598
-0.025527756,1.730078
-0.025527256,1.728398
-0.025526756,1.723359
-0.025526256,1.724199
-0.025525756,1.72
-0.025525256,1.725039
-0.025524756,1.71832
-0.025524256,1.730918
-0.025523756,1.735957
-0.025523256,1.743516
-0.025522756,1.743516
-0.025522256,1.748555
-0.025521756,1.748555
-0.025521256,1.747715
-0.025520756,1.741836
-0.025520256,1.746035
-0.025519756,1.743516
-0.025519256,1.735957
-0.025518756,1.735957
-0.025518256,1.739316
-0.025517756,1.737637
-0.025517256,1.739316
