Device : ;PAX1000IR1/M
Serial Number : ;M00553514
Firmware Version : ;1.0.3
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-10-09 17:47:05.00;0.00:00:00:056;-0.82;-0.10;0.57;0.0001178;-8.538E-05;-1.061E-05;5.927E-05;-86.46;17.28;88.70;50.32;73.04;0.0001178;0.0001045;1.331E-05;-39.289;-39.810;-48.758;0.09;100.15;
2025-10-09 17:47:05.06;0.00:00:00:117;-0.84;-0.12;0.52;0.0001129;-8.84E-05;-1.298E-05;5.483E-05;-85.82;15.77;92.89;48.59;79.17;0.0001129;0.0001048;8.025E-06;-39.475;-39.795;-50.956;0.08;103.32;
2025-10-09 17:47:05.11;0.00:00:00:163;-0.80;-0.06;0.59;0.0001178;-8.46E-05;-6.473E-06;6.227E-05;-87.81;18.14;89.36;52.87;72.04;0.0001178;0.0001052;1.253E-05;-39.290;-39.778;-49.021;0.10;95.94;
2025-10-09 17:47:05.15;0.00:00:00:209;-0.83;-0.11;0.55;0.0001156;-8.577E-05;-1.134E-05;5.654E-05;-86.24;16.58;89.40;48.91;74.83;0.0001156;0.0001034;1.226E-05;-39.370;-39.857;-49.115;0.09;101.34;
2025-10-09 17:47:05.21;0.00:00:00:269;-0.81;-0.01;0.59;0.0001187;-8.462E-05;-5.496E-07;6.193E-05;-89.81;18.10;88.32;52.16;71.27;0.0001187;0.0001049;1.387E-05;-39.254;-39.794;-48.579;0.10;90.51;
2025-10-09 17:47:05.26;0.00:00:00:317;-0.83;-0.08;0.56;0.0001168;-8.601E-05;-8.843E-06;5.807E-05;-87.06;16.94;89.17;49.72;74.02;0.0001168;0.0001042;1.265E-05;-39.325;-39.823;-48.978;0.09;98.66;
2025-10-09 17:47:05.32;0.00:00:00:376;-0.84;-0.13;0.52;0.0001143;-8.966E-05;-1.375E-05;5.565E-05;-85.64;15.76;93.09;48.67;79.35;0.0001143;0.0001064;7.903E-06;-39.419;-39.730;-51.022;0.08;103.88;
2025-10-09 17:47:05.37;0.00:00:00:424;-0.83;-0.05;0.56;0.0001153;-9.052E-05;-5.468E-06;6.068E-05;-88.27;16.89;94.63;52.62;78.65;0.0001153;0.0001091;6.19E-06;-39.382;-39.621;-52.083;0.09;95.15;
2025-10-09 17:47:05.41;0.00:00:00:470;-0.84;-0.03;0.55;0.0001163;-8.643E-05;-3.146E-06;5.668E-05;-88.96;16.62;88.88;48.72;74.34;0.0001163;0.0001034;1.293E-05;-39.343;-39.855;-48.884;0.08;93.18;
2025-10-09 17:47:05.46;0.00:00:00:515;-0.83;-0.07;0.55;0.0001173;-8.834E-05;-7.937E-06;5.835E-05;-87.43;16.67;90.48;49.72;75.59;0.0001173;0.0001062;1.117E-05;-39.305;-39.740;-49.518;0.08;97.75;
