Device : ;PAX1000IR1/M
Serial Number : ;M00553514
Firmware Version : ;1.0.3
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-10-09 17:57:38.61;0.00:00:00:053;-0.83;-0.32;-0.46;4.292E-05;-1.71E-05;-6.721E-06;-9.49E-06;-79.27;-13.66;48.19;22.11;42.82;4.292E-05;2.068E-05;2.223E-05;-43.674;-46.844;-46.530;0.09;-125.31;
2025-10-09 17:57:38.66;0.00:00:00:103;-0.87;-0.42;-0.28;3.733E-05;-2.446E-05;-1.177E-05;-7.802E-06;-77.16;-8.02;75.66;20.90;72.72;3.733E-05;2.825E-05;9.085E-06;-44.279;-45.491;-50.417;0.07;-146.45;
2025-10-09 17:57:38.71;0.00:00:00:152;-0.96;-0.08;-0.27;3.807E-05;-3.585E-05;-2.882E-06;-1.015E-05;-87.70;-7.88;98.17;26.66;94.48;3.807E-05;3.737E-05;6.978E-07;-44.194;-44.275;-61.563;0.02;-105.85;
2025-10-09 17:57:38.76;0.00:00:00:200;-0.88;-0.39;-0.26;3.79E-05;-2.824E-05;-1.264E-05;-8.35E-06;-77.95;-7.55;84.55;22.03;81.63;3.79E-05;3.205E-05;5.855E-06;-44.213;-44.942;-52.324;0.06;-146.54;
2025-10-09 17:57:38.81;0.00:00:00:250;-0.85;-0.45;-0.27;3.553E-05;-3.908E-05;-2.045E-05;-1.255E-05;-76.19;-7.94;129.06;35.31;124.14;3.553E-05;4.586E-05;-1.033E-05;-44.494;-43.386;-99.990;0.07;-148.47;
2025-10-09 17:57:38.86;0.00:00:00:301;-0.87;-0.26;-0.41;4.086E-05;-2.235E-05;-6.592E-06;-1.048E-05;-81.78;-12.11;62.52;25.64;57.02;4.086E-05;2.555E-05;1.531E-05;-43.887;-45.927;-48.149;0.06;-122.17;
2025-10-09 17:57:38.91;0.00:00:00:352;-0.86;-0.37;-0.34;3.822E-05;-2.849E-05;-1.222E-05;-1.129E-05;-78.39;-10.01;86.32;29.54;81.11;3.822E-05;3.299E-05;5.227E-06;-44.177;-44.816;-52.818;0.07;-137.27;
2025-10-09 17:57:38.96;0.00:00:00:399;-0.83;-0.01;-0.55;4.498E-05;-1.828E-05;-2.289E-07;-1.207E-05;-89.64;-16.72;48.72;26.85;40.66;4.498E-05;2.191E-05;2.306E-05;-43.470;-46.593;-46.371;0.08;-91.09;
2025-10-09 17:57:39.01;0.00:00:00:449;-0.83;-0.44;-0.35;3.956E-05;-2.357E-05;-1.256E-05;-9.993E-06;-75.98;-10.26;72.09;25.26;67.52;3.956E-05;2.852E-05;1.104E-05;-44.027;-45.449;-49.569;0.09;-141.49;
2025-10-09 17:57:39.06;0.00:00:00:499;-0.83;-0.25;-0.50;3.963E-05;-2.433E-05;-7.269E-06;-1.471E-05;-81.68;-15.04;74.04;37.11;64.07;3.963E-05;2.935E-05;1.029E-05;-44.019;-45.324;-49.877;0.09;-116.30;
2025-10-09 17:57:39.11;0.00:00:00:548;-0.97;-0.20;-0.15;4.034E-05;-2.164E-05;-4.402E-06;-3.456E-06;-84.25;-4.45;55.42;8.57;54.75;4.034E-05;2.236E-05;1.798E-05;-43.943;-46.506;-47.451;0.02;-141.86;
2025-10-09 17:57:39.16;0.00:00:00:598;-0.71;-0.59;-0.37;4.126E-05;-2.255E-05;-1.88E-05;-1.185E-05;-70.09;-10.99;76.74;28.72;71.16;4.126E-05;3.166E-05;9.597E-06;-43.845;-44.994;-50.179;0.14;-147.78;
2025-10-09 17:57:39.21;0.00:00:00:649;-0.90;-0.39;-0.21;3.92E-05;-2.168E-05;-9.493E-06;-5.112E-06;-78.18;-6.09;61.77;13.04;60.38;3.92E-05;2.422E-05;1.499E-05;-44.067;-46.159;-48.242;0.05;-151.70;
2025-10-09 17:57:39.25;0.00:00:00:696;-0.88;-0.31;-0.35;3.779E-05;-2.655E-05;-9.366E-06;-1.057E-05;-80.29;-10.29;79.58;27.97;74.51;3.779E-05;3.007E-05;7.715E-06;-44.226;-45.218;-51.127;0.06;-131.54;
2025-10-09 17:57:39.31;0.00:00:00:749;-0.97;-0.10;-0.21;3.684E-05;-2.976E-05;-2.998E-06;-6.444E-06;-87.12;-6.08;83.05;17.49;81.19;3.684E-05;3.06E-05;6.243E-06;-44.337;-45.143;-52.046;0.01;-114.95;
2025-10-09 17:57:39.36;0.00:00:00:798;-0.58;-0.81;-0.12;4.141E-05;-1.409E-05;-1.96E-05;-2.987E-06;-62.85;-3.53;58.74;7.21;58.29;4.141E-05;2.433E-05;1.709E-05;-43.829;-46.139;-47.673;0.21;-171.34;
2025-10-09 17:57:39.41;0.00:00:00:848;-0.57;-0.74;-0.35;4.263E-05;-2.122E-05;-2.754E-05;-1.317E-05;-63.81;-10.38;87.21;30.90;81.55;4.263E-05;3.718E-05;5.453E-06;-43.702;-44.297;-52.634;0.21;-154.44;
2025-10-09 17:57:39.46;0.00:00:00:899;-0.69;-0.71;-0.15;3.545E-05;-3.224E-05;-3.295E-05;-7.198E-06;-67.19;-4.44;131.62;20.31;130.04;3.545E-05;4.665E-05;-1.121E-05;-44.504;-43.311;-99.990;0.15;-167.68;
2025-10-09 17:57:39.50;0.00:00:00:947;-0.87;-0.36;-0.33;3.569E-05;-3.554E-05;-1.462E-05;-1.356E-05;-78.82;-9.72;114.20;38.01;107.68;3.569E-05;4.075E-05;-5.066E-06;-44.475;-43.899;-99.990;0.06;-137.14;
2025-10-09 17:57:39.55;0.00:00:00:997;-0.82;-0.46;-0.33;3.757E-05;-2.739E-05;-1.521E-05;-1.108E-05;-75.47;-9.74;88.45;29.49;83.39;3.757E-05;3.323E-05;4.34E-06;-44.252;-44.785;-53.626;0.09;-143.94;
2025-10-09 17:57:39.60;0.00:00:01:044;-0.96;-0.09;-0.28;3.694E-05;-3.465E-05;-3.223E-06;-9.954E-06;-87.34;-7.98;98.00;26.95;94.22;3.694E-05;3.62E-05;7.384E-07;-44.326;-44.413;-61.317;0.02;-107.94;
2025-10-09 17:57:39.65;0.00:00:01:092;-0.82;-0.47;-0.32;3.731E-05;-2.957E-05;-1.685E-05;-1.145E-05;-75.16;-9.30;96.23;30.68;91.21;3.731E-05;3.591E-05;1.406E-06;-44.281;-44.448;-58.520;0.09;-145.81;
2025-10-09 17:57:39.70;0.00:00:01:141;-0.94;-0.13;-0.30;3.608E-05;-3.31E-05;-4.465E-06;-1.056E-05;-86.16;-8.77;97.10;29.28;92.58;3.608E-05;3.503E-05;1.046E-06;-44.427;-44.555;-59.803;0.03;-112.91;
2025-10-09 17:57:39.75;0.00:00:01:189;-0.93;-0.23;-0.27;3.828E-05;-2.514E-05;-6.122E-06;-7.384E-06;-83.16;-7.96;70.29;19.29;67.59;3.828E-05;2.69E-05;1.137E-05;-44.171;-45.702;-49.442;0.03;-129.66;
