Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-10-09 18:02:00.12;0.00:00:00:052;0.99;-0.11;0.01;2.674E-05;2.411E-05;-2.726E-06;2.218E-07;-3.23;0.26;90.74;0.83;90.74;2.674E-05;2.426E-05;2.475E-06;-45.729;-46.151;-56.064;1.00;175.35;
2025-10-09 18:02:00.16;0.00:00:00:100;0.99;-0.11;-0.01;2.569E-05;2.274E-05;-2.429E-06;-1.776E-07;-3.05;-0.22;89.01;0.69;89.01;2.569E-05;2.287E-05;2.823E-06;-45.902;-46.408;-55.493;1.00;-175.82;
2025-10-09 18:02:00.21;0.00:00:00:146;0.98;-0.20;0.00;2.67E-05;2.374E-05;-4.791E-06;-3.051E-08;-5.70;-0.04;90.71;0.11;90.71;2.67E-05;2.422E-05;2.479E-06;-45.735;-46.158;-56.056;0.99;-179.64;
2025-10-09 18:02:00.26;0.00:00:00:194;0.99;-0.17;-0.01;2.585E-05;2.287E-05;-3.93E-06;-2.583E-07;-4.88;-0.32;89.77;1.00;89.77;2.585E-05;2.32E-05;2.644E-06;-45.876;-46.345;-55.778;0.99;-176.24;
2025-10-09 18:02:00.30;0.00:00:00:240;0.99;-0.10;0.02;2.765E-05;2.42E-05;-2.396E-06;4.99E-07;-2.83;0.59;87.98;1.80;87.96;2.765E-05;2.433E-05;3.323E-06;-45.583;-46.139;-54.785;1.00;168.24;
2025-10-09 18:02:00.36;0.00:00:00:299;0.98;-0.22;-0.02;2.557E-05;2.257E-05;-5.069E-06;-5.779E-07;-6.33;-0.72;90.50;2.26;90.48;2.557E-05;2.314E-05;2.428E-06;-45.922;-46.356;-56.147;0.99;-173.50;
2025-10-09 18:02:00.42;0.00:00:00:359;0.99;-0.12;-0.02;2.546E-05;2.247E-05;-2.604E-06;-4.225E-07;-3.31;-0.54;88.86;1.66;88.84;2.546E-05;2.262E-05;2.836E-06;-45.942;-46.455;-55.472;1.00;-170.79;
2025-10-09 18:02:00.47;0.00:00:00:406;0.99;-0.17;0.00;2.737E-05;2.42E-05;-4.111E-06;1.17E-07;-4.82;0.14;89.68;0.43;89.67;2.737E-05;2.454E-05;2.826E-06;-45.627;-46.101;-55.488;0.99;178.37;
2025-10-09 18:02:00.52;0.00:00:00:452;0.99;-0.11;0.00;2.628E-05;2.301E-05;-2.46E-06;1.101E-07;-3.05;0.14;88.05;0.42;88.05;2.628E-05;2.314E-05;3.141E-06;-45.804;-46.357;-55.030;1.00;177.44;
2025-10-09 18:02:00.58;0.00:00:00:514;0.99;-0.13;-0.01;2.701E-05;2.438E-05;-3.145E-06;-2.071E-07;-3.68;-0.24;91.02;0.77;91.02;2.701E-05;2.458E-05;2.424E-06;-45.685;-46.093;-56.154;1.00;-176.23;
2025-10-09 18:02:00.64;0.00:00:00:574;0.98;-0.22;0.00;2.661E-05;2.375E-05;-5.371E-06;-1.194E-07;-6.37;-0.14;91.50;0.45;91.49;2.661E-05;2.435E-05;2.263E-06;-45.750;-46.136;-56.453;0.99;-178.73;
2025-10-09 18:02:00.69;0.00:00:00:626;0.98;-0.19;-0.03;2.541E-05;2.246E-05;-4.306E-06;-6.306E-07;-5.42;-0.79;90.04;2.48;90.00;2.541E-05;2.288E-05;2.532E-06;-45.949;-46.405;-55.966;0.99;-171.67;
2025-10-09 18:02:00.74;0.00:00:00:677;0.98;-0.18;0.04;2.872E-05;2.644E-05;-4.812E-06;1.089E-06;-5.16;1.16;93.64;3.79;93.57;2.872E-05;2.69E-05;1.825E-06;-45.418;-45.703;-57.386;0.99;167.25;
2025-10-09 18:02:00.79;0.00:00:00:728;0.98;-0.20;-0.02;2.58E-05;2.275E-05;-4.593E-06;-4.983E-07;-5.71;-0.61;89.99;1.93;89.97;2.58E-05;2.322E-05;2.582E-06;-45.884;-46.342;-55.881;0.99;-173.81;
2025-10-09 18:02:00.85;0.00:00:00:782;0.99;-0.11;-0.01;2.603E-05;2.291E-05;-2.469E-06;-3.148E-07;-3.08;-0.39;88.51;1.21;88.51;2.603E-05;2.304E-05;2.99E-06;-45.845;-46.375;-55.243;1.00;-172.73;
2025-10-09 18:02:00.90;0.00:00:00:833;0.98;-0.18;0.02;2.788E-05;2.542E-05;-4.561E-06;5.443E-07;-5.09;0.60;92.67;1.95;92.65;2.788E-05;2.583E-05;2.044E-06;-45.548;-45.878;-56.895;0.99;173.19;
2025-10-09 18:02:00.95;0.00:00:00:882;0.99;-0.17;0.00;2.67E-05;2.407E-05;-4.181E-06;3.012E-08;-4.93;0.04;91.50;0.11;91.50;2.67E-05;2.443E-05;2.268E-06;-45.735;-46.120;-56.443;0.99;179.59;
2025-10-09 18:02:01.00;0.00:00:00:934;0.99;-0.11;0.00;2.65E-05;2.369E-05;-2.674E-06;-1.041E-07;-3.22;-0.13;89.97;0.39;89.97;2.65E-05;2.384E-05;2.657E-06;-45.767;-46.226;-55.756;1.00;-177.77;
2025-10-09 18:02:01.05;0.00:00:00:983;0.99;-0.13;-0.02;2.626E-05;2.348E-05;-3.16E-06;-5.005E-07;-3.83;-0.61;90.25;1.91;90.23;2.626E-05;2.37E-05;2.561E-06;-45.807;-46.253;-55.915;1.00;-171.00;
2025-10-09 18:02:01.10;0.00:00:01:034;1.00;-0.07;0.02;2.663E-05;2.325E-05;-1.605E-06;4.235E-07;-1.97;0.52;87.53;1.59;87.52;2.663E-05;2.331E-05;3.319E-06;-45.747;-46.325;-54.790;1.00;165.22;
2025-10-09 18:02:01.15;0.00:00:01:089;0.99;-0.17;0.01;2.821E-05;2.531E-05;-4.396E-06;2.311E-07;-4.93;0.26;91.07;0.82;91.07;2.821E-05;2.569E-05;2.519E-06;-45.496;-45.903;-55.988;0.99;176.99;
2025-10-09 18:02:01.20;0.00:00:01:140;0.98;-0.17;-0.04;2.475E-05;2.162E-05;-3.754E-06;-8.182E-07;-4.92;-1.07;88.75;3.31;88.69;2.475E-05;2.196E-05;2.783E-06;-46.065;-46.583;-55.555;0.99;-167.70;
2025-10-09 18:02:01.25;0.00:00:01:190;1.00;-0.05;-0.02;2.767E-05;2.491E-05;-1.27E-06;-6.214E-07;-1.46;-0.71;90.15;2.25;90.12;2.767E-05;2.495E-05;2.725E-06;-45.580;-46.030;-55.646;1.00;-153.92;
2025-10-09 18:02:01.31;0.00:00:01:241;0.99;-0.11;-0.05;2.494E-05;2.185E-05;-2.427E-06;-9.94E-07;-3.17;-1.29;88.25;3.99;88.16;2.494E-05;2.201E-05;2.929E-06;-46.032;-46.574;-55.332;1.00;-157.73;
2025-10-09 18:02:01.36;0.00:00:01:294;1.00;-0.03;0.02;2.725E-05;2.449E-05;-6.698E-07;5.027E-07;-0.78;0.59;89.93;1.84;89.91;2.725E-05;2.45E-05;2.744E-06;-45.647;-46.108;-55.615;1.00;143.11;
2025-10-09 18:02:01.41;0.00:00:01:344;0.98;-0.22;-0.04;2.547E-05;2.241E-05;-5.01E-06;-8.222E-07;-6.30;-1.03;90.23;3.23;90.17;2.547E-05;2.298E-05;2.489E-06;-45.940;-46.387;-56.041;0.99;-170.68;
2025-10-09 18:02:01.46;0.00:00:01:398;0.99;-0.16;-0.01;2.553E-05;2.249E-05;-3.68E-06;-1.33E-07;-4.65;-0.17;89.27;0.52;89.27;2.553E-05;2.279E-05;2.74E-06;-45.930;-46.423;-55.623;0.99;-177.93;
2025-10-09 18:02:01.51;0.00:00:01:448;0.98;-0.20;0.00;2.595E-05;2.299E-05;-4.588E-06;3.214E-08;-5.64;0.04;90.33;0.12;90.33;2.595E-05;2.344E-05;2.509E-06;-45.858;-46.300;-56.006;0.99;179.60;
2025-10-09 18:02:01.56;0.00:00:01:499;0.98;-0.18;-0.02;2.56E-05;2.246E-05;-4.16E-06;-5.098E-07;-5.25;-0.64;89.25;1.99;89.23;2.56E-05;2.285E-05;2.751E-06;-45.918;-46.411;-55.605;0.99;-173.01;
2025-10-09 18:02:01.62;0.00:00:01:551;0.99;-0.17;-0.01;2.634E-05;2.344E-05;-3.951E-06;-2.541E-07;-4.78;-0.31;90.26;0.96;90.25;2.634E-05;2.377E-05;2.566E-06;-45.794;-46.239;-55.907;0.99;-176.32;
2025-10-09 18:02:01.67;0.00:00:01:604;0.99;-0.17;0.00;2.663E-05;2.359E-05;-4.075E-06;-7.409E-09;-4.90;-0.01;89.90;0.03;89.90;2.663E-05;2.394E-05;2.691E-06;-45.746;-46.208;-55.701;0.99;-179.90;
2025-10-09 18:02:01.72;0.00:00:01:654;0.99;-0.13;0.00;2.624E-05;2.343E-05;-3.063E-06;-1.94E-08;-3.72;-0.02;90.07;0.07;90.07;2.624E-05;2.363E-05;2.605E-06;-45.811;-46.265;-55.842;1.00;-179.64;
2025-10-09 18:02:01.77;0.00:00:01:704;0.99;-0.16;0.00;2.784E-05;2.508E-05;-4.163E-06;-2.868E-08;-4.71;-0.03;91.30;0.10;91.30;2.784E-05;2.542E-05;2.423E-06;-45.553;-45.948;-56.157;0.99;-179.61;
2025-10-09 18:02:01.82;0.00:00:01:755;0.98;-0.18;0.00;2.6E-05;2.314E-05;-4.334E-06;3.823E-08;-5.30;0.05;90.55;0.15;90.55;2.6E-05;2.354E-05;2.458E-06;-45.850;-46.281;-56.093;0.99;179.49;
2025-10-09 18:02:01.87;0.00:00:01:807;0.99;-0.11;-0.03;2.81E-05;2.572E-05;-2.877E-06;-7.064E-07;-3.19;-0.78;92.13;2.51;92.10;2.81E-05;2.589E-05;2.211E-06;-45.513;-45.869;-56.553;1.00;-166.20;
2025-10-09 18:02:01.92;0.00:00:01:859;0.98;-0.21;0.00;2.673E-05;2.359E-05;-5.139E-06;1.002E-08;-6.14;0.01;90.32;0.04;90.32;2.673E-05;2.414E-05;2.588E-06;-45.730;-46.172;-55.871;0.99;179.89;
2025-10-09 18:02:01.97;0.00:00:01:908;1.00;-0.06;0.00;2.658E-05;2.346E-05;-1.314E-06;-4.507E-08;-1.60;-0.05;88.40;0.17;88.40;2.658E-05;2.35E-05;3.083E-06;-45.754;-46.289;-55.110;1.00;-178.04;
2025-10-09 18:02:02.02;0.00:00:01:959;0.98;-0.19;-0.04;2.673E-05;2.408E-05;-4.727E-06;-9.382E-07;-5.55;-1.09;91.89;3.51;91.82;2.673E-05;2.456E-05;2.169E-06;-45.730;-46.098;-56.638;0.99;-168.77;
2025-10-09 18:02:02.07;0.00:00:02:010;1.00;-0.08;-0.02;2.585E-05;2.309E-05;-1.883E-06;-4.164E-07;-2.33;-0.51;89.63;1.61;89.62;2.585E-05;2.317E-05;2.68E-06;-45.875;-46.351;-55.719;1.00;-167.53;
2025-10-09 18:02:02.12;0.00:00:02:060;0.99;-0.12;0.03;2.732E-05;2.405E-05;-2.982E-06;7.721E-07;-3.53;0.91;88.77;2.83;88.72;2.732E-05;2.425E-05;3.069E-06;-45.635;-46.153;-55.130;1.00;165.48;
2025-10-09 18:02:02.18;0.00:00:02:112;0.99;-0.15;-0.03;2.527E-05;2.248E-05;-3.354E-06;-6.243E-07;-4.24;-0.79;89.98;2.47;89.94;2.527E-05;2.273E-05;2.532E-06;-45.975;-46.433;-55.965;0.99;-169.46;
2025-10-09 18:02:02.23;0.00:00:02:165;1.00;-0.05;0.01;2.714E-05;2.413E-05;-1.317E-06;3.173E-07;-1.56;0.38;89.06;1.17;89.05;2.714E-05;2.417E-05;2.969E-06;-45.664;-46.167;-55.274;1.00;166.46;
2025-10-09 18:02:02.28;0.00:00:02:215;0.98;-0.20;-0.02;2.55E-05;2.235E-05;-4.569E-06;-5.102E-07;-5.78;-0.64;89.49;2.00;89.47;2.55E-05;2.282E-05;2.679E-06;-45.935;-46.417;-55.720;0.99;-173.63;
2025-10-09 18:02:02.33;0.00:00:02:267;1.00;-0.09;0.04;2.71E-05;2.466E-05;-2.258E-06;9.341E-07;-2.62;1.08;91.45;3.45;91.38;2.71E-05;2.478E-05;2.317E-06;-45.671;-46.059;-56.351;1.00;157.52;
2025-10-09 18:02:02.38;0.00:00:02:320;0.97;-0.23;0.00;2.715E-05;2.421E-05;-5.809E-06;2.139E-08;-6.75;0.02;91.72;0.08;91.72;2.715E-05;2.49E-05;2.249E-06;-45.663;-46.038;-56.481;0.99;179.79;
2025-10-09 18:02:02.43;0.00:00:02:367;0.98;-0.19;-0.01;2.57E-05;2.268E-05;-4.425E-06;-3.152E-07;-5.52;-0.39;89.93;1.23;89.92;2.57E-05;2.311E-05;2.589E-06;-45.900;-46.361;-55.869;0.99;-175.93;
2025-10-09 18:02:02.49;0.00:00:02:421;1.00;-0.08;0.01;2.641E-05;2.361E-05;-1.959E-06;2.197E-07;-2.37;0.27;89.73;0.83;89.72;2.641E-05;2.369E-05;2.712E-06;-45.783;-46.254;-55.667;1.00;173.60;
2025-10-09 18:02:02.54;0.00:00:02:479;0.97;-0.25;0.00;2.627E-05;2.32E-05;-5.972E-06;4.133E-08;-7.22;0.05;91.21;0.16;91.21;2.627E-05;2.396E-05;2.31E-06;-45.806;-46.206;-56.364;0.98;179.60;
2025-10-09 18:02:02.60;0.00:00:02:533;0.98;-0.19;-0.01;2.535E-05;2.253E-05;-4.332E-06;-3.106E-07;-5.44;-0.39;90.51;1.23;90.50;2.535E-05;2.294E-05;2.406E-06;-45.960;-46.394;-56.187;0.99;-175.90;
2025-10-09 18:02:02.65;0.00:00:02:585;0.98;-0.18;0.01;2.634E-05;2.353E-05;-4.189E-06;3.05E-07;-5.05;0.37;90.74;1.16;90.73;2.634E-05;2.39E-05;2.44E-06;-45.794;-46.216;-56.126;0.99;175.84;
2025-10-09 18:02:02.71;0.00:00:02:645;0.98;-0.19;-0.02;2.515E-05;2.219E-05;-4.379E-06;-4.007E-07;-5.58;-0.51;89.92;1.59;89.91;2.515E-05;2.262E-05;2.534E-06;-45.994;-46.455;-55.962;0.99;-174.77;
2025-10-09 18:02:02.76;0.00:00:02:694;0.99;-0.13;-0.01;2.554E-05;2.287E-05;-3.021E-06;-3.196E-07;-3.76;-0.40;90.34;1.25;90.33;2.554E-05;2.307E-05;2.466E-06;-45.928;-46.369;-56.079;1.00;-173.96;
2025-10-09 18:02:02.81;0.00:00:02:742;0.98;-0.20;0.02;2.746E-05;2.487E-05;-5.178E-06;6.19E-07;-5.88;0.70;92.53;2.25;92.50;2.746E-05;2.541E-05;2.051E-06;-45.613;-45.950;-56.880;0.99;173.18;
2025-10-09 18:02:02.85;0.00:00:02:788;0.98;-0.19;-0.01;2.534E-05;2.225E-05;-4.372E-06;-2.586E-07;-5.56;-0.33;89.47;1.02;89.47;2.534E-05;2.267E-05;2.668E-06;-45.961;-46.445;-55.738;0.99;-176.61;
2025-10-09 18:02:02.90;0.00:00:02:834;0.99;-0.14;0.01;2.778E-05;2.549E-05;-3.658E-06;2.589E-07;-4.08;0.29;92.68;0.93;92.68;2.778E-05;2.575E-05;2.032E-06;-45.563;-45.892;-56.920;0.99;175.95;
2025-10-09 18:02:02.94;0.00:00:02:880;1.00;-0.09;0.01;2.678E-05;2.407E-05;-2.254E-06;2.971E-07;-2.67;0.35;90.30;1.11;90.29;2.678E-05;2.418E-05;2.599E-06;-45.722;-46.165;-55.853;1.00;172.49;
2025-10-09 18:02:02.99;0.00:00:02:927;0.99;-0.14;0.01;2.615E-05;2.338E-05;-3.321E-06;1.465E-07;-4.04;0.18;90.30;0.56;90.30;2.615E-05;2.362E-05;2.536E-06;-45.825;-46.268;-55.959;1.00;177.47;
2025-10-09 18:02:03.04;0.00:00:02:976;0.98;-0.18;0.02;2.579E-05;2.298E-05;-4.192E-06;3.818E-07;-5.17;0.47;90.58;1.48;90.57;2.579E-05;2.336E-05;2.429E-06;-45.886;-46.315;-56.146;0.99;174.80;
2025-10-09 18:02:03.10;0.00:00:03:036;1.00;-0.09;-0.02;2.662E-05;2.401E-05;-2.095E-06;-4.655E-07;-2.49;-0.55;90.54;1.75;90.52;2.662E-05;2.41E-05;2.518E-06;-45.748;-46.179;-55.989;1.00;-167.47;
