Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-10-30 18:20:58.47;0.00:00:00:047;-1.00;0.00;-0.01;0.07422;-0.07426;-1.832E-05;-0.0004902;-89.99;-0.19;100.05;0.66;100.05;0.07422;0.07426;-3.919E-05;-11.295;-11.293;-99.990;0.00;-92.14;
2025-10-30 18:20:58.53;0.00:00:00:109;-1.00;0.00;-0.01;0.07423;-0.07427;-6.733E-06;-0.000491;-90.00;-0.19;100.05;0.66;100.05;0.07423;0.07427;-4.075E-05;-11.294;-11.292;-99.990;0.00;-90.78;
2025-10-30 18:20:58.58;0.00:00:00:161;-1.00;0.00;-0.01;0.07427;-0.07431;-9.263E-06;-0.0004863;-90.00;-0.19;100.06;0.65;100.05;0.07427;0.07431;-4.107E-05;-11.292;-11.289;-99.990;0.00;-91.09;
2025-10-30 18:20:58.63;0.00:00:00:212;-1.00;0.00;-0.01;0.07428;-0.07432;-1.09E-05;-0.0004931;-90.00;-0.19;100.06;0.66;100.05;0.07428;0.07432;-4.212E-05;-11.291;-11.289;-99.990;0.00;-91.27;
2025-10-30 18:20:58.68;0.00:00:00:259;-1.00;0.00;-0.01;0.07426;-0.0743;-1.387E-05;-0.0004898;-89.99;-0.19;100.05;0.66;100.05;0.07426;0.0743;-3.965E-05;-11.293;-11.290;-99.990;0.00;-91.62;
2025-10-30 18:20:58.73;0.00:00:00:311;-1.00;0.00;-0.01;0.07425;-0.07429;-8.22E-06;-0.0004918;-90.00;-0.19;100.05;0.66;100.05;0.07425;0.07429;-4.069E-05;-11.293;-11.291;-99.990;0.00;-90.96;
2025-10-30 18:20:58.79;0.00:00:00:364;-1.00;0.00;-0.01;0.07421;-0.07425;-9.701E-06;-0.0004874;-90.00;-0.19;100.06;0.66;100.05;0.07421;0.07425;-4.089E-05;-11.296;-11.293;-99.990;0.00;-91.14;
2025-10-30 18:20:58.83;0.00:00:00:409;-1.00;0.00;-0.01;0.07422;-0.07426;-9.405E-06;-0.0004943;-90.00;-0.19;100.06;0.67;100.05;0.07422;0.07426;-4.141E-05;-11.295;-11.293;-99.990;0.00;-91.09;
2025-10-30 18:20:58.88;0.00:00:00:461;-1.00;0.00;-0.01;0.07422;-0.07426;-9.108E-06;-0.0004981;-90.00;-0.19;100.05;0.67;100.05;0.07422;0.07426;-4.03E-05;-11.295;-11.293;-99.990;0.00;-91.05;
2025-10-30 18:20:58.94;0.00:00:00:516;-1.00;0.00;-0.01;0.0742;-0.07424;1.088E-06;-0.0004891;90.00;-0.19;100.05;0.66;100.05;0.0742;0.07424;-4.037E-05;-11.296;-11.294;-99.990;0.00;-89.87;
2025-10-30 18:20:58.99;0.00:00:00:565;-1.00;0.00;-0.01;0.07421;-0.07425;-2.084E-05;-0.0004941;-89.99;-0.19;100.06;0.67;100.05;0.07421;0.07425;-4.171E-05;-11.295;-11.293;-99.990;0.00;-92.42;
2025-10-30 18:20:59.03;0.00:00:00:611;-1.00;0.00;-0.01;0.07419;-0.07423;-1.148E-05;-0.0004898;-90.00;-0.19;100.05;0.66;100.05;0.07419;0.07423;-3.955E-05;-11.296;-11.294;-99.990;0.00;-91.34;
2025-10-30 18:20:59.08;0.00:00:00:658;-1.00;0.00;-0.01;0.07419;-0.07423;-2.157E-05;-0.0004965;-89.99;-0.19;100.06;0.67;100.05;0.07419;0.07423;-4.14E-05;-11.297;-11.294;-99.990;0.00;-92.49;
2025-10-30 18:20:59.13;0.00:00:00:711;-1.00;0.00;-0.01;0.07423;-0.07427;-5.247E-06;-0.0004942;-90.00;-0.19;100.06;0.67;100.05;0.07423;0.07427;-4.246E-05;-11.294;-11.292;-99.990;0.00;-90.61;
2025-10-30 18:20:59.19;0.00:00:00:765;-1.00;0.00;-0.01;0.07424;-0.07427;3.456E-07;-0.0004939;90.00;-0.19;100.05;0.67;100.05;0.07424;0.07427;-3.883E-05;-11.294;-11.292;-99.990;0.00;-89.96;
2025-10-30 18:20:59.23;0.00:00:00:812;-1.00;0.00;-0.01;0.07427;-0.07431;-1.58E-05;-0.0004852;-89.99;-0.19;100.05;0.65;100.05;0.07427;0.07431;-4.077E-05;-11.292;-11.289;-99.990;0.00;-91.87;
2025-10-30 18:20:59.29;0.00:00:00:864;-1.00;0.00;-0.01;0.07426;-0.0743;-1.476E-05;-0.0004935;-89.99;-0.19;100.06;0.66;100.05;0.07426;0.0743;-4.114E-05;-11.293;-11.290;-99.990;0.00;-91.71;
2025-10-30 18:20:59.34;0.00:00:00:920;-1.00;0.00;-0.01;0.07428;-0.07432;-1.476E-05;-0.0004941;-89.99;-0.19;100.05;0.67;100.05;0.07428;0.07432;-4.056E-05;-11.291;-11.289;-99.990;0.00;-91.71;
2025-10-30 18:20:59.39;0.00:00:00:971;-1.00;0.00;-0.01;0.07429;-0.07433;-8.671E-06;-0.0004918;-90.00;-0.19;100.06;0.66;100.05;0.07429;0.07433;-4.101E-05;-11.291;-11.288;-99.990;0.00;-91.01;
2025-10-30 18:20:59.45;0.00:00:01:025;-1.00;0.00;-0.01;0.07432;-0.07435;-1.908E-05;-0.0004957;-89.99;-0.19;100.05;0.67;100.05;0.07432;0.07436;-3.924E-05;-11.289;-11.287;-99.990;0.00;-92.21;
2025-10-30 18:20:59.49;0.00:00:01:072;-1.00;0.00;-0.01;0.07427;-0.07431;-1.283E-05;-0.0004899;-90.00;-0.19;100.06;0.66;100.05;0.07427;0.07432;-4.204E-05;-11.292;-11.289;-99.990;0.00;-91.50;
2025-10-30 18:20:59.55;0.00:00:01:123;-1.00;0.00;-0.01;0.07425;-0.07429;-1.907E-05;-0.0004971;-89.99;-0.19;100.05;0.67;100.05;0.07425;0.07429;-3.995E-05;-11.293;-11.291;-99.990;0.00;-92.20;
2025-10-30 18:20:59.60;0.00:00:01:173;-1.00;0.00;-0.01;0.07429;-0.07433;-2.042E-05;-0.0004901;-89.99;-0.19;100.05;0.66;100.05;0.07429;0.07433;-4.049E-05;-11.291;-11.288;-99.990;0.00;-92.38;
