Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-10-30 18:40:51.14;0.00:00:00:065;1.00;0.01;0.00;0.0965;0.09551;0.0006821;-0.0001567;0.20;-0.05;98.98;0.16;98.98;0.0965;0.09552;0.0009845;-10.155;-10.199;-30.068;1.00;-12.94;
2025-10-30 18:40:51.18;0.00:00:00:113;1.00;0.01;0.00;0.09648;0.09549;0.0006434;-0.0001492;0.19;-0.04;98.98;0.15;98.98;0.09648;0.0955;0.0009833;-10.156;-10.200;-30.073;1.00;-13.05;
2025-10-30 18:40:51.23;0.00:00:00:161;1.00;0.01;0.00;0.0965;0.09548;0.0006794;-0.0001452;0.20;-0.04;98.95;0.15;98.95;0.0965;0.09549;0.001013;-10.155;-10.201;-29.945;1.00;-12.06;
2025-10-30 18:40:51.28;0.00:00:00:211;1.00;0.01;0.00;0.09654;0.09553;0.0006671;-0.0001432;0.20;-0.04;98.95;0.15;98.95;0.09654;0.09553;0.001014;-10.153;-10.199;-29.940;1.00;-12.12;
2025-10-30 18:40:51.33;0.00:00:00:257;1.00;0.01;0.00;0.09658;0.09559;0.0006895;-0.0001398;0.21;-0.04;98.98;0.14;98.98;0.09658;0.0956;0.000986;-10.151;-10.196;-30.061;1.00;-11.46;
2025-10-30 18:40:51.38;0.00:00:00:307;1.00;0.01;0.00;0.09657;0.09556;0.0006326;-0.0001392;0.19;-0.04;98.96;0.14;98.96;0.09657;0.09557;0.001008;-10.151;-10.197;-29.964;1.00;-12.41;
2025-10-30 18:40:51.42;0.00:00:00:352;1.00;0.01;0.00;0.09656;0.09555;0.0006734;-0.0001405;0.20;-0.04;98.96;0.15;98.96;0.09656;0.09555;0.001005;-10.152;-10.198;-29.977;1.00;-11.78;
2025-10-30 18:40:51.47;0.00:00:00:398;1.00;0.01;0.00;0.09655;0.09556;0.0006547;-0.0001543;0.20;-0.05;98.97;0.16;98.97;0.09655;0.09556;0.0009959;-10.152;-10.197;-30.018;1.00;-13.26;
2025-10-30 18:40:51.52;0.00:00:00:449;1.00;0.01;0.00;0.09652;0.09554;0.0006721;-0.0001286;0.20;-0.04;98.98;0.13;98.98;0.09652;0.09554;0.0009821;-10.154;-10.198;-30.078;1.00;-10.83;
2025-10-30 18:40:51.58;0.00:00:00:504;1.00;0.01;0.00;0.09651;0.0955;0.0006736;-0.0001416;0.20;-0.04;98.95;0.15;98.95;0.09651;0.0955;0.001012;-10.154;-10.200;-29.950;1.00;-11.88;
2025-10-30 18:40:51.63;0.00:00:00:556;1.00;0.01;0.00;0.09653;0.09553;0.0006553;-0.0001299;0.20;-0.04;98.96;0.13;98.96;0.09653;0.09553;0.001001;-10.153;-10.199;-29.994;1.00;-11.21;
2025-10-30 18:40:51.68;0.00:00:00:608;1.00;0.01;0.00;0.0965;0.09551;0.000636;-0.0001483;0.19;-0.04;98.97;0.15;98.97;0.0965;0.09551;0.0009954;-10.155;-10.200;-30.020;1.00;-13.13;
2025-10-30 18:40:51.73;0.00:00:00:655;1.00;0.01;0.00;0.09652;0.09551;0.000686;-0.0001422;0.21;-0.04;98.96;0.15;98.96;0.09652;0.09552;0.001002;-10.154;-10.199;-29.992;1.00;-11.71;
2025-10-30 18:40:51.78;0.00:00:00:706;1.00;0.01;0.00;0.0965;0.09551;0.0006683;-0.0001386;0.20;-0.04;98.97;0.14;98.97;0.0965;0.09551;0.0009909;-10.155;-10.199;-30.040;1.00;-11.71;
2025-10-30 18:40:51.83;0.00:00:00:757;1.00;0.01;0.00;0.09657;0.09557;0.0006713;-0.0001447;0.20;-0.04;98.97;0.15;98.97;0.09657;0.09557;0.0009977;-10.152;-10.197;-30.010;1.00;-12.16;
2025-10-30 18:40:51.88;0.00:00:00:805;1.00;0.01;0.00;0.09655;0.09556;0.0006667;-0.0001353;0.20;-0.04;98.98;0.14;98.98;0.09655;0.09556;0.0009841;-10.153;-10.197;-30.070;1.00;-11.48;
2025-10-30 18:40:51.93;0.00:00:00:856;1.00;0.01;0.00;0.09652;0.09553;0.0006691;-0.0001202;0.20;-0.04;98.98;0.12;98.98;0.09652;0.09553;0.000981;-10.154;-10.198;-30.083;1.00;-10.18;
2025-10-30 18:40:51.98;0.00:00:00:909;1.00;0.01;0.00;0.09649;0.0955;0.0006677;-0.0001413;0.20;-0.04;98.98;0.15;98.98;0.09649;0.09551;0.0009814;-10.155;-10.200;-30.081;1.00;-11.95;
2025-10-30 18:40:52.03;0.00:00:00:962;1.00;0.01;0.00;0.09646;0.09546;0.0006896;-0.0001399;0.21;-0.04;98.97;0.14;98.97;0.09646;0.09546;0.0009982;-10.157;-10.202;-30.008;1.00;-11.46;
2025-10-30 18:40:52.08;0.00:00:01:013;1.00;0.01;0.00;0.09645;0.09547;0.0006471;-0.0001516;0.19;-0.05;98.99;0.16;98.99;0.09645;0.09547;0.0009774;-10.157;-10.201;-30.099;1.00;-13.19;
2025-10-30 18:40:52.14;0.00:00:01:064;1.00;0.01;0.00;0.09642;0.09542;0.0006697;-0.0001457;0.20;-0.04;98.97;0.15;98.97;0.09642;0.09542;0.0009975;-10.158;-10.203;-30.011;1.00;-12.28;
