Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-10-30 18:52:50.54;0.00:00:00:051;1.00;0.00;0.00;0.09648;0.09546;-0.0003233;0.0003714;-0.10;0.11;98.95;0.38;98.95;0.09648;0.09546;0.001012;-10.156;-10.202;-29.947;1.00;131.04;
2025-10-30 18:52:50.60;0.00:00:00:113;1.00;0.00;0.00;0.09644;0.09543;-0.0003099;0.0003688;-0.09;0.11;98.95;0.38;98.94;0.09644;0.09543;0.001017;-10.157;-10.203;-29.927;1.00;130.04;
2025-10-30 18:52:50.65;0.00:00:00:162;1.00;0.00;0.00;0.09645;0.09542;-0.0003169;0.0003756;-0.10;0.11;98.94;0.39;98.94;0.09645;0.09542;0.001026;-10.157;-10.203;-29.890;1.00;130.15;
2025-10-30 18:52:50.70;0.00:00:00:211;1.00;0.00;0.00;0.09642;0.09537;-0.0002957;0.0003609;-0.09;0.11;98.91;0.37;98.91;0.09642;0.09537;0.001047;-10.158;-10.206;-29.800;1.00;129.33;
2025-10-30 18:52:50.75;0.00:00:00:257;1.00;0.00;0.00;0.09647;0.09544;-0.0003544;0.0003684;-0.11;0.11;98.94;0.38;98.94;0.09647;0.09544;0.001022;-10.156;-10.202;-29.904;1.00;133.89;
2025-10-30 18:52:50.80;0.00:00:00:308;1.00;0.00;0.00;0.09644;0.09542;-0.0003276;0.0003765;-0.10;0.11;98.94;0.39;98.94;0.09644;0.09542;0.001019;-10.158;-10.204;-29.918;1.00;131.02;
2025-10-30 18:52:50.84;0.00:00:00:354;1.00;0.00;0.00;0.09647;0.09545;-0.0003491;0.0003613;-0.10;0.11;98.95;0.37;98.95;0.09647;0.09546;0.001011;-10.156;-10.202;-29.953;1.00;134.02;
2025-10-30 18:52:50.90;0.00:00:00:408;1.00;0.00;0.00;0.09652;0.09548;-0.0003368;0.0003641;-0.10;0.11;98.92;0.38;98.92;0.09652;0.09548;0.001042;-10.154;-10.201;-29.819;1.00;132.77;
2025-10-30 18:52:50.95;0.00:00:00:462;1.00;0.00;0.00;0.09646;0.09547;-0.0003089;0.0003615;-0.09;0.11;98.97;0.37;98.97;0.09646;0.09547;0.0009921;-10.156;-10.201;-30.034;1.00;130.51;
2025-10-30 18:52:51.00;0.00:00:00:507;1.00;0.00;0.00;0.09647;0.09545;-0.0003297;0.0003841;-0.10;0.12;98.95;0.40;98.95;0.09647;0.09546;0.001011;-10.156;-10.202;-29.953;1.00;130.64;
2025-10-30 18:52:51.05;0.00:00:00:556;1.00;0.00;0.00;0.09648;0.09543;-0.0003229;0.0003636;-0.10;0.11;98.92;0.38;98.92;0.09648;0.09543;0.001045;-10.156;-10.203;-29.810;1.00;131.60;
2025-10-30 18:52:51.10;0.00:00:00:607;1.00;0.00;0.00;0.09649;0.09546;-0.0003306;0.0003728;-0.10;0.11;98.94;0.39;98.93;0.09649;0.09547;0.001027;-10.155;-10.202;-29.883;1.00;131.57;
2025-10-30 18:52:51.15;0.00:00:00:658;1.00;0.00;0.00;0.09649;0.09548;-0.0003204;0.0003718;-0.10;0.11;98.96;0.39;98.96;0.09649;0.09548;0.001001;-10.155;-10.201;-29.995;1.00;130.76;
2025-10-30 18:52:51.20;0.00:00:00:707;1.00;0.00;0.00;0.09646;0.09545;-0.0003254;0.0003644;-0.10;0.11;98.95;0.38;98.95;0.09646;0.09545;0.001014;-10.156;-10.202;-29.938;1.00;131.77;
2025-10-30 18:52:51.25;0.00:00:00:763;1.00;0.00;0.00;0.09639;0.09536;-0.0003174;0.0003622;-0.10;0.11;98.93;0.38;98.93;0.09639;0.09536;0.001028;-10.160;-10.206;-29.881;1.00;131.23;
2025-10-30 18:52:51.30;0.00:00:00:813;1.00;0.00;0.00;0.09637;0.09536;-0.0003568;0.0003853;-0.11;0.12;98.95;0.40;98.95;0.09637;0.09536;0.001009;-10.161;-10.206;-29.960;1.00;132.80;
2025-10-30 18:52:51.35;0.00:00:00:864;1.00;0.00;0.00;0.09641;0.0954;-0.0003131;0.0003599;-0.09;0.11;98.95;0.37;98.95;0.09641;0.0954;0.001012;-10.159;-10.205;-29.949;1.00;131.02;
2025-10-30 18:52:51.40;0.00:00:00:911;1.00;0.00;0.00;0.09644;0.09543;-0.0003107;0.0003615;-0.09;0.11;98.95;0.37;98.95;0.09644;0.09543;0.001009;-10.158;-10.203;-29.962;1.00;130.68;
2025-10-30 18:52:51.45;0.00:00:00:962;1.00;0.00;0.00;0.0965;0.09549;-0.0003095;0.0003701;-0.09;0.11;98.95;0.38;98.95;0.0965;0.09549;0.001017;-10.155;-10.201;-29.926;1.00;129.91;
2025-10-30 18:52:51.50;0.00:00:01:013;1.00;0.00;0.00;0.09654;0.09551;-0.0003515;0.0003691;-0.11;0.11;98.93;0.38;98.93;0.09654;0.09551;0.001029;-10.153;-10.200;-29.874;1.00;133.60;
