Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-10-30 18:54:28.20;0.00:00:00:069;-1.00;0.00;0.00;0.07553;-0.07556;0.0001482;-0.0002473;89.94;-0.09;100.05;0.33;100.05;0.07553;0.07556;-3.693E-05;-11.219;-11.217;-99.990;0.00;-59.08;
2025-10-30 18:54:28.27;0.00:00:00:137;-1.00;0.00;0.00;0.07554;-0.07557;0.0001356;-0.0002474;89.95;-0.09;100.05;0.33;100.05;0.07554;0.07557;-3.581E-05;-11.218;-11.216;-99.990;0.00;-61.27;
2025-10-30 18:54:28.32;0.00:00:00:186;-1.00;0.00;0.00;0.07549;-0.07553;0.0001472;-0.0002491;89.94;-0.09;100.05;0.33;100.05;0.07549;0.07553;-3.601E-05;-11.221;-11.219;-99.990;0.00;-59.42;
2025-10-30 18:54:28.37;0.00:00:00:232;-1.00;0.00;0.00;0.07549;-0.07553;0.0001328;-0.0002475;89.95;-0.09;100.04;0.33;100.04;0.07549;0.07553;-3.307E-05;-11.221;-11.219;-99.990;0.00;-61.78;
2025-10-30 18:54:28.41;0.00:00:00:277;-1.00;0.00;0.00;0.07546;-0.07549;0.0001465;-0.0002498;89.94;-0.09;100.04;0.33;100.04;0.07546;0.07549;-3.2E-05;-11.223;-11.221;-99.990;0.00;-59.61;
2025-10-30 18:54:28.46;0.00:00:00:324;-1.00;0.00;0.00;0.07543;-0.07547;0.0001368;-0.0002498;89.95;-0.09;100.05;0.33;100.05;0.07543;0.07547;-3.538E-05;-11.224;-11.222;-99.990;0.00;-61.29;
2025-10-30 18:54:28.51;0.00:00:00:371;-1.00;0.00;0.00;0.07542;-0.07546;0.0001326;-0.0002503;89.95;-0.10;100.05;0.33;100.05;0.07542;0.07546;-3.462E-05;-11.225;-11.223;-99.990;0.00;-62.10;
2025-10-30 18:54:28.55;0.00:00:00:418;-1.00;0.00;0.00;0.07544;-0.07548;0.0001432;-0.0002455;89.95;-0.09;100.05;0.33;100.05;0.07544;0.07548;-3.825E-05;-11.224;-11.222;-99.990;0.00;-59.75;
2025-10-30 18:54:28.60;0.00:00:00:465;-1.00;0.00;0.00;0.07545;-0.07549;0.0001447;-0.0002529;89.95;-0.10;100.05;0.34;100.04;0.07545;0.07549;-3.418E-05;-11.223;-11.221;-99.990;0.00;-60.22;
2025-10-30 18:54:28.65;0.00:00:00:512;-1.00;0.00;0.00;0.07543;-0.07547;0.0001368;-0.0002449;89.95;-0.09;100.05;0.32;100.05;0.07543;0.07547;-3.493E-05;-11.224;-11.222;-99.990;0.00;-60.82;
2025-10-30 18:54:28.69;0.00:00:00:558;-1.00;0.00;0.00;0.07539;-0.07542;0.0001328;-0.0002537;89.95;-0.10;100.04;0.34;100.04;0.07539;0.07542;-3.355E-05;-11.227;-11.225;-99.990;0.00;-62.38;
2025-10-30 18:54:28.74;0.00:00:00:606;-1.00;0.00;0.00;0.07538;-0.07541;0.0001439;-0.0002478;89.95;-0.09;100.05;0.33;100.05;0.07538;0.07541;-3.648E-05;-11.228;-11.226;-99.990;0.00;-59.85;
2025-10-30 18:54:28.79;0.00:00:00:651;-1.00;0.00;0.00;0.07534;-0.07538;0.0001362;-0.0002498;89.95;-0.09;100.05;0.33;100.05;0.07534;0.07538;-3.488E-05;-11.230;-11.228;-99.990;0.00;-61.40;
2025-10-30 18:54:28.84;0.00:00:00:700;-1.00;0.00;0.00;0.07532;-0.07535;0.0001461;-0.0002411;89.94;-0.09;100.05;0.32;100.05;0.07532;0.07535;-3.593E-05;-11.231;-11.229;-99.990;0.00;-58.78;
2025-10-30 18:54:28.88;0.00:00:00:745;-1.00;0.00;0.00;0.07531;-0.07535;0.0001366;-0.0002554;89.95;-0.10;100.05;0.34;100.05;0.07531;0.07535;-3.788E-05;-11.231;-11.229;-99.990;0.00;-61.87;
2025-10-30 18:54:28.93;0.00:00:00:793;-1.00;0.00;0.00;0.07539;-0.07543;0.0001512;-0.0002387;89.94;-0.09;100.05;0.32;100.05;0.07539;0.07543;-3.641E-05;-11.227;-11.225;-99.990;0.00;-57.65;
2025-10-30 18:54:28.98;0.00:00:00:840;-1.00;0.00;0.00;0.07536;-0.0754;0.0001312;-0.0002463;89.95;-0.09;100.05;0.33;100.05;0.07536;0.0754;-3.821E-05;-11.228;-11.226;-99.990;0.00;-61.95;
2025-10-30 18:54:29.02;0.00:00:00:887;-1.00;0.00;0.00;0.07536;-0.0754;0.0001398;-0.0002484;89.95;-0.09;100.05;0.33;100.05;0.07536;0.0754;-3.565E-05;-11.228;-11.226;-99.990;0.00;-60.62;
2025-10-30 18:54:29.07;0.00:00:00:936;-1.00;0.00;0.00;0.07534;-0.07537;0.0001301;-0.0002527;89.95;-0.10;100.05;0.34;100.04;0.07534;0.07537;-3.398E-05;-11.230;-11.228;-99.990;0.00;-62.75;
