Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-11-03 15:15:46.90;0.00:00:00:059;1.00;0.00;0.00;0.09223;0.09138;0.0003008;9.533E-05;0.09;0.03;99.07;0.10;99.07;0.09223;0.09138;0.0008567;-10.351;-10.392;-30.672;1.00;17.58;
2025-11-03 15:15:46.96;0.00:00:00:114;1.00;0.00;0.00;0.09224;0.09139;0.0002952;0.0001058;0.09;0.03;99.08;0.11;99.08;0.09224;0.09139;0.0008518;-10.351;-10.391;-30.697;1.00;19.72;
2025-11-03 15:15:47.01;0.00:00:00:169;1.00;0.00;0.00;0.09229;0.09144;0.0003189;0.000121;0.10;0.04;99.08;0.13;99.08;0.09229;0.09144;0.0008481;-10.349;-10.389;-30.716;1.00;20.78;
2025-11-03 15:15:47.06;0.00:00:00:216;1.00;0.00;0.00;0.09231;0.09146;0.0003068;9.105E-05;0.10;0.03;99.08;0.10;99.08;0.09231;0.09146;0.0008471;-10.347;-10.387;-30.721;1.00;16.53;
2025-11-03 15:15:47.11;0.00:00:00:263;1.00;0.00;0.00;0.0924;0.09156;0.0003134;0.0001088;0.10;0.03;99.09;0.12;99.09;0.0924;0.09156;0.000844;-10.343;-10.383;-30.736;1.00;19.14;
2025-11-03 15:15:47.15;0.00:00:00:309;1.00;0.00;0.00;0.09237;0.09149;0.0002805;0.0001087;0.09;0.03;99.05;0.12;99.05;0.09237;0.09149;0.0008809;-10.345;-10.386;-30.550;1.00;21.19;
2025-11-03 15:15:47.20;0.00:00:00:358;1.00;0.00;0.00;0.09222;0.0914;0.0002962;9.346E-05;0.09;0.03;99.11;0.10;99.11;0.09222;0.0914;0.0008193;-10.352;-10.391;-30.866;1.00;17.51;
2025-11-03 15:15:47.25;0.00:00:00:404;1.00;0.00;0.00;0.09224;0.09137;0.0003066;0.0001041;0.10;0.03;99.06;0.11;99.06;0.09224;0.09137;0.0008641;-10.351;-10.392;-30.634;1.00;18.75;
2025-11-03 15:15:47.30;0.00:00:00:451;1.00;0.00;0.00;0.09234;0.09146;0.0003098;9.359E-05;0.10;0.03;99.05;0.10;99.05;0.09234;0.09146;0.0008751;-10.346;-10.387;-30.580;1.00;16.81;
2025-11-03 15:15:47.34;0.00:00:00:499;1.00;0.00;0.00;0.09237;0.09151;0.0003281;8.811E-05;0.10;0.03;99.07;0.10;99.07;0.09237;0.09151;0.0008615;-10.345;-10.385;-30.648;1.00;15.03;
2025-11-03 15:15:47.39;0.00:00:00:546;1.00;0.00;0.00;0.09245;0.09162;0.0003147;0.0001059;0.10;0.03;99.10;0.11;99.10;0.09245;0.09162;0.0008333;-10.341;-10.380;-30.792;1.00;18.60;
2025-11-03 15:15:47.44;0.00:00:00:593;1.00;0.00;0.00;0.09231;0.09145;0.0003259;0.0001005;0.10;0.03;99.08;0.11;99.08;0.09231;0.09145;0.0008518;-10.348;-10.388;-30.696;1.00;17.14;
2025-11-03 15:15:47.48;0.00:00:00:638;1.00;0.00;0.00;0.09225;0.0914;0.0002754;9.263E-05;0.09;0.03;99.08;0.10;99.08;0.09225;0.0914;0.0008483;-10.350;-10.391;-30.714;1.00;18.59;
2025-11-03 15:15:47.53;0.00:00:00:686;1.00;0.00;0.00;0.09226;0.09139;0.0002918;9.805E-05;0.09;0.03;99.06;0.11;99.06;0.09226;0.09139;0.0008683;-10.350;-10.391;-30.614;1.00;18.57;
2025-11-03 15:15:47.58;0.00:00:00:733;1.00;0.00;0.00;0.09239;0.0915;0.0003364;9.059E-05;0.11;0.03;99.03;0.10;99.03;0.09239;0.0915;0.0008945;-10.344;-10.386;-30.484;1.00;15.07;
2025-11-03 15:15:47.62;0.00:00:00:778;1.00;0.00;0.00;0.09255;0.09168;0.0003269;9.59E-05;0.10;0.03;99.06;0.10;99.06;0.09255;0.09168;0.0008693;-10.336;-10.377;-30.609;1.00;16.35;
2025-11-03 15:15:47.67;0.00:00:00:825;1.00;0.00;0.00;0.0924;0.09154;0.0002847;0.0001165;0.09;0.04;99.08;0.13;99.08;0.0924;0.09154;0.0008518;-10.343;-10.384;-30.697;1.00;22.26;
2025-11-03 15:15:47.72;0.00:00:00:872;1.00;0.00;0.00;0.09232;0.09146;0.000302;9.029E-05;0.09;0.03;99.07;0.10;99.07;0.09232;0.09146;0.0008584;-10.347;-10.388;-30.663;1.00;16.64;
2025-11-03 15:15:47.76;0.00:00:00:918;1.00;0.00;0.00;0.09238;0.09153;0.0003229;8.893E-05;0.10;0.03;99.07;0.10;99.07;0.09238;0.09153;0.0008555;-10.344;-10.385;-30.678;1.00;15.40;
2025-11-03 15:15:47.81;0.00:00:00:966;1.00;0.00;0.00;0.09241;0.09157;0.00029;0.0001153;0.09;0.04;99.09;0.12;99.09;0.09241;0.09157;0.0008454;-10.343;-10.383;-30.729;1.00;21.67;
2025-11-03 15:15:47.86;0.00:00:01:013;1.00;0.00;0.00;0.09234;0.09151;0.0003169;9.167E-05;0.10;0.03;99.10;0.10;99.10;0.09234;0.09151;0.0008293;-10.346;-10.385;-30.813;1.00;16.13;
2025-11-03 15:15:47.91;0.00:00:01:062;1.00;0.00;0.00;0.09231;0.09148;0.0002666;9.054E-05;0.08;0.03;99.10;0.10;99.10;0.09231;0.09148;0.0008342;-10.347;-10.387;-30.787;1.00;18.76;
2025-11-03 15:15:47.95;0.00:00:01:108;1.00;0.00;0.00;0.09231;0.09146;0.0002951;9.506E-05;0.09;0.03;99.08;0.10;99.08;0.09231;0.09146;0.00085;-10.347;-10.388;-30.706;1.00;17.85;
2025-11-03 15:15:48.00;0.00:00:01:156;1.00;0.00;0.00;0.09223;0.09137;0.0002906;0.0001047;0.09;0.03;99.07;0.11;99.07;0.09223;0.09137;0.0008599;-10.351;-10.392;-30.655;1.00;19.81;
2025-11-03 15:15:48.05;0.00:00:01:203;1.00;0.00;0.00;0.09238;0.09152;0.000323;9.216E-05;0.10;0.03;99.07;0.10;99.07;0.09238;0.09152;0.0008623;-10.344;-10.385;-30.644;1.00;15.92;
