Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-11-03 15:17:53.70;0.00:00:00:077;-1.00;0.00;0.00;0.07205;-0.07208;-0.0002563;-0.0001733;-89.90;-0.07;100.03;0.24;100.03;0.07205;0.07208;-2.385E-05;-11.424;-11.422;-99.990;0.00;-145.94;
2025-11-03 15:17:53.76;0.00:00:00:138;-1.00;0.00;0.00;0.07207;-0.07209;-0.0002576;-0.0001751;-89.90;-0.07;100.03;0.24;100.03;0.07207;0.0721;-2.328E-05;-11.422;-11.421;-99.990;0.00;-145.79;
2025-11-03 15:17:53.81;0.00:00:00:185;-1.00;0.00;0.00;0.07213;-0.07216;-0.0002575;-0.0001802;-89.90;-0.07;100.04;0.25;100.04;0.07213;0.07216;-2.979E-05;-11.419;-11.417;-99.990;0.00;-145.02;
2025-11-03 15:17:53.85;0.00:00:00:231;-1.00;0.00;0.00;0.07221;-0.07223;-0.0002591;-0.0001695;-89.90;-0.07;100.03;0.23;100.03;0.07221;0.07223;-2.361E-05;-11.414;-11.413;-99.990;0.00;-146.80;
2025-11-03 15:17:53.90;0.00:00:00:277;-1.00;0.00;0.00;0.07221;-0.07223;-0.0002543;-0.0001775;-89.90;-0.07;100.03;0.25;100.03;0.07221;0.07223;-2.491E-05;-11.414;-11.413;-99.990;0.00;-145.08;
2025-11-03 15:17:53.95;0.00:00:00:326;-1.00;0.00;0.00;0.07229;-0.07231;-0.000275;-0.0001734;-89.89;-0.07;100.03;0.24;100.03;0.07229;0.07231;-2.14E-05;-11.409;-11.408;-99.990;0.00;-147.76;
2025-11-03 15:17:54.00;0.00:00:00:373;-1.00;0.00;0.00;0.07219;-0.07222;-0.0002502;-0.0001788;-89.90;-0.07;100.04;0.25;100.04;0.07219;0.07222;-2.7E-05;-11.415;-11.414;-99.990;0.00;-144.45;
2025-11-03 15:17:54.04;0.00:00:00:420;-1.00;0.00;0.00;0.07232;-0.07234;-0.0002611;-0.0001804;-89.90;-0.07;100.04;0.25;100.04;0.07232;0.07234;-2.668E-05;-11.408;-11.406;-99.990;0.00;-145.36;
2025-11-03 15:17:54.09;0.00:00:00:468;-1.00;0.00;0.00;0.07224;-0.07226;-0.0002684;-0.0001675;-89.89;-0.07;100.03;0.23;100.03;0.07224;0.07226;-2.29E-05;-11.412;-11.411;-99.990;0.00;-148.03;
2025-11-03 15:17:54.14;0.00:00:00:514;-1.00;0.00;0.00;0.07222;-0.07224;-0.0002565;-0.0001725;-89.90;-0.07;100.04;0.24;100.04;0.07222;0.07224;-2.578E-05;-11.414;-11.412;-99.990;0.00;-146.08;
2025-11-03 15:17:54.19;0.00:00:00:561;-1.00;0.00;0.00;0.07232;-0.07234;-0.0002508;-0.0001754;-89.90;-0.07;100.04;0.24;100.03;0.07232;0.07235;-2.546E-05;-11.407;-11.406;-99.990;0.00;-145.04;
2025-11-03 15:17:54.23;0.00:00:00:608;-1.00;0.00;0.00;0.07229;-0.07232;-0.0002617;-0.000169;-89.90;-0.07;100.03;0.23;100.03;0.07229;0.07232;-2.422E-05;-11.409;-11.408;-99.990;0.00;-147.14;
2025-11-03 15:17:54.28;0.00:00:00:656;-1.00;0.00;0.00;0.07237;-0.07239;-0.0002521;-0.000178;-89.90;-0.07;100.03;0.25;100.03;0.07237;0.07239;-2.432E-05;-11.404;-11.403;-99.990;0.00;-144.77;
2025-11-03 15:17:54.33;0.00:00:00:702;-1.00;0.00;0.00;0.0724;-0.07242;-0.0002651;-0.0001743;-89.90;-0.07;100.04;0.24;100.03;0.0724;0.07242;-2.548E-05;-11.403;-11.401;-99.990;0.00;-146.68;
2025-11-03 15:17:54.37;0.00:00:00:750;-1.00;0.00;0.00;0.07235;-0.07238;-0.0002564;-0.0001749;-89.90;-0.07;100.04;0.24;100.04;0.07235;0.07238;-2.684E-05;-11.406;-11.404;-99.990;0.00;-145.70;
2025-11-03 15:17:54.42;0.00:00:00:796;-1.00;0.00;0.00;0.07234;-0.07236;-0.0002633;-0.0001744;-89.90;-0.07;100.03;0.24;100.03;0.07234;0.07236;-2.416E-05;-11.406;-11.405;-99.990;0.00;-146.47;
2025-11-03 15:17:54.47;0.00:00:00:843;-1.00;0.00;0.00;0.0723;-0.07232;-0.000265;-0.0001853;-89.90;-0.07;100.04;0.26;100.03;0.0723;0.07232;-2.53E-05;-11.409;-11.407;-99.990;0.00;-145.04;
2025-11-03 15:17:54.51;0.00:00:00:890;-1.00;0.00;0.00;0.07225;-0.07228;-0.0002679;-0.0001643;-89.89;-0.07;100.03;0.23;100.03;0.07225;0.07228;-2.42E-05;-11.411;-11.410;-99.990;0.00;-148.48;
2025-11-03 15:17:54.56;0.00:00:00:937;-1.00;0.00;0.00;0.07223;-0.07226;-0.0002483;-0.0001721;-89.90;-0.07;100.04;0.24;100.04;0.07223;0.07226;-2.571E-05;-11.413;-11.411;-99.990;0.00;-145.28;
2025-11-03 15:17:54.61;0.00:00:00:983;-1.00;0.00;0.00;0.07231;-0.07234;-0.0002425;-0.0001712;-89.90;-0.07;100.04;0.24;100.04;0.07231;0.07234;-2.719E-05;-11.408;-11.406;-99.990;0.00;-144.77;
2025-11-03 15:17:54.65;0.00:00:01:030;-1.00;0.00;0.00;0.07249;-0.07251;-0.0002608;-0.0001755;-89.90;-0.07;100.03;0.24;100.03;0.07249;0.07251;-2.218E-05;-11.397;-11.396;-99.990;0.00;-146.06;
2025-11-03 15:17:54.70;0.00:00:01:077;-1.00;0.00;0.00;0.07244;-0.07246;-0.0002741;-0.0001713;-89.89;-0.07;100.03;0.24;100.03;0.07244;0.07246;-2.304E-05;-11.400;-11.399;-99.990;0.00;-147.99;
2025-11-03 15:17:54.75;0.00:00:01:123;-1.00;0.00;0.00;0.07216;-0.07218;-0.0002744;-0.0001708;-89.89;-0.07;100.03;0.24;100.03;0.07216;0.07219;-2.136E-05;-11.417;-11.416;-99.990;0.00;-148.10;
2025-11-03 15:17:54.79;0.00:00:01:171;-1.00;0.00;0.00;0.07212;-0.07214;-0.0002517;-0.0001743;-89.90;-0.07;100.04;0.24;100.04;0.07212;0.07214;-2.676E-05;-11.420;-11.418;-99.990;0.00;-145.30;
2025-11-03 15:17:54.84;0.00:00:01:218;-1.00;0.00;0.00;0.07221;-0.07223;-0.0002586;-0.0001724;-89.90;-0.07;100.04;0.24;100.04;0.07221;0.07223;-2.563E-05;-11.414;-11.413;-99.990;0.00;-146.31;
2025-11-03 15:17:54.89;0.00:00:01:265;-1.00;0.00;0.00;0.07226;-0.07229;-0.0002593;-0.0001675;-89.90;-0.07;100.04;0.23;100.04;0.07226;0.07229;-2.638E-05;-11.411;-11.409;-99.990;0.00;-147.13;
2025-11-03 15:17:54.94;0.00:00:01:312;-1.00;0.00;0.00;0.07235;-0.07237;-0.0002489;-0.0001743;-89.90;-0.07;100.03;0.24;100.03;0.07235;0.07237;-2.496E-05;-11.406;-11.404;-99.990;0.00;-144.99;
2025-11-03 15:17:54.98;0.00:00:01:358;-1.00;0.00;0.00;0.07242;-0.07245;-0.0002649;-0.0001699;-89.90;-0.07;100.03;0.23;100.03;0.07242;0.07245;-2.223E-05;-11.401;-11.400;-99.990;0.00;-147.33;
2025-11-03 15:17:55.03;0.00:00:01:405;-1.00;0.00;0.00;0.0723;-0.07232;-0.0002529;-0.0001708;-89.90;-0.07;100.03;0.24;100.03;0.0723;0.07232;-2.313E-05;-11.409;-11.407;-99.990;0.00;-145.97;
2025-11-03 15:17:55.08;0.00:00:01:452;-1.00;0.00;0.00;0.0722;-0.07222;-0.0002706;-0.0001666;-89.89;-0.07;100.03;0.23;100.03;0.0722;0.07222;-2.325E-05;-11.415;-11.413;-99.990;0.00;-148.38;
2025-11-03 15:17:55.12;0.00:00:01:498;-1.00;0.00;0.00;0.07215;-0.07217;-0.0002677;-0.0001743;-89.89;-0.07;100.04;0.24;100.04;0.07215;0.07217;-2.554E-05;-11.418;-11.416;-99.990;0.00;-146.94;
2025-11-03 15:17:55.17;0.00:00:01:544;-1.00;0.00;0.00;0.07216;-0.07218;-0.0002566;-0.0001773;-89.90;-0.07;100.04;0.25;100.04;0.07216;0.07218;-2.771E-05;-11.417;-11.416;-99.990;0.00;-145.36;
2025-11-03 15:17:55.21;0.00:00:01:591;-1.00;0.00;0.00;0.07233;-0.07236;-0.0002491;-0.0001776;-89.90;-0.07;100.04;0.25;100.04;0.07233;0.07236;-2.72E-05;-11.407;-11.405;-99.990;0.00;-144.51;
2025-11-03 15:17:55.28;0.00:00:01:651;-1.00;0.00;0.00;0.07229;-0.07231;-0.0002696;-0.0001662;-89.89;-0.07;100.03;0.23;100.03;0.07229;0.07231;-2.422E-05;-11.409;-11.408;-99.990;0.00;-148.35;
2025-11-03 15:17:55.32;0.00:00:01:698;-1.00;0.00;0.00;0.07227;-0.07229;-0.0002622;-0.0001705;-89.90;-0.07;100.03;0.24;100.03;0.07227;0.07229;-2.327E-05;-11.411;-11.409;-99.990;0.00;-146.96;
2025-11-03 15:17:55.37;0.00:00:01:744;-1.00;0.00;0.00;0.07222;-0.07224;-0.0002595;-0.0001698;-89.90;-0.07;100.03;0.24;100.03;0.07222;0.07224;-2.477E-05;-11.414;-11.412;-99.990;0.00;-146.81;
2025-11-03 15:17:55.41;0.00:00:01:791;-1.00;0.00;0.00;0.07221;-0.07224;-0.000251;-0.0001835;-89.90;-0.07;100.04;0.25;100.04;0.07221;0.07224;-2.672E-05;-11.414;-11.412;-99.990;0.00;-143.82;
2025-11-03 15:17:55.46;0.00:00:01:839;-1.00;0.00;0.00;0.07227;-0.0723;-0.000256;-0.000176;-89.90;-0.07;100.04;0.24;100.03;0.07227;0.0723;-2.537E-05;-11.410;-11.409;-99.990;0.00;-145.50;
2025-11-03 15:17:55.51;0.00:00:01:884;-1.00;0.00;0.00;0.07229;-0.07232;-0.00026;-0.0001733;-89.90;-0.07;100.04;0.24;100.04;0.07229;0.07232;-2.617E-05;-11.409;-11.407;-99.990;0.00;-146.31;
2025-11-03 15:17:55.56;0.00:00:01:931;-1.00;0.00;0.00;0.07235;-0.07238;-0.0002606;-0.0001729;-89.90;-0.07;100.04;0.24;100.04;0.07235;0.07238;-2.851E-05;-11.406;-11.404;-99.990;0.00;-146.43;
2025-11-03 15:17:55.60;0.00:00:01:977;-1.00;0.00;0.00;0.07237;-0.07239;-0.0002586;-0.0001656;-89.90;-0.07;100.04;0.23;100.03;0.07237;0.07239;-2.54E-05;-11.405;-11.403;-99.990;0.00;-147.37;
2025-11-03 15:17:55.65;0.00:00:02:024;-1.00;0.00;0.00;0.07226;-0.07228;-0.0002571;-0.0001746;-89.90;-0.07;100.04;0.24;100.04;0.07226;0.07228;-2.63E-05;-11.411;-11.410;-99.990;0.00;-145.82;
2025-11-03 15:17:55.69;0.00:00:02:071;-1.00;0.00;0.00;0.07233;-0.07235;-0.0002549;-0.0001737;-89.90;-0.07;100.03;0.24;100.03;0.07233;0.07235;-2.445E-05;-11.407;-11.406;-99.990;0.00;-145.72;
