Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-11-03 15:35:56.34;0.00:00:00:052;1.00;0.01;0.00;0.09254;0.0916;0.0005724;-1.927E-05;0.18;-0.01;98.99;0.02;98.99;0.09254;0.0916;0.0009359;-10.337;-10.381;-30.288;1.00;-1.93;
2025-11-03 15:35:56.38;0.00:00:00:096;1.00;0.01;0.00;0.09242;0.09147;0.0005567;-2.135E-05;0.17;-0.01;98.98;0.02;98.98;0.09242;0.09147;0.0009446;-10.342;-10.387;-30.248;1.00;-2.20;
2025-11-03 15:35:56.43;0.00:00:00:145;1.00;0.01;0.00;0.0924;0.09149;0.0005748;-4.621E-05;0.18;-0.01;99.03;0.05;99.03;0.0924;0.0915;0.0008996;-10.344;-10.386;-30.459;1.00;-4.60;
2025-11-03 15:35:56.49;0.00:00:00:206;1.00;0.01;0.00;0.09245;0.09153;0.0005415;-3.679E-05;0.17;-0.01;99.01;0.04;99.01;0.09245;0.09153;0.0009184;-10.341;-10.385;-30.370;1.00;-3.89;
2025-11-03 15:35:56.55;0.00:00:00:267;1.00;0.01;0.00;0.09229;0.09138;0.0005511;-2.815E-05;0.17;-0.01;99.03;0.03;99.03;0.09229;0.09139;0.0008997;-10.349;-10.391;-30.459;1.00;-2.92;
2025-11-03 15:35:56.60;0.00:00:00:315;1.00;0.01;0.00;0.09228;0.09135;0.0006011;-5.566E-05;0.19;-0.02;98.99;0.06;98.99;0.09228;0.09135;0.0009315;-10.349;-10.393;-30.308;1.00;-5.29;
2025-11-03 15:35:56.64;0.00:00:00:361;1.00;0.01;0.00;0.0922;0.09128;0.0005643;-3.459E-05;0.18;-0.01;99.00;0.04;99.00;0.0922;0.09128;0.0009205;-10.352;-10.396;-30.360;1.00;-3.51;
2025-11-03 15:35:56.69;0.00:00:00:407;1.00;0.01;0.00;0.09222;0.09128;0.0005524;-4.308E-05;0.17;-0.01;98.99;0.05;98.99;0.09222;0.09128;0.0009356;-10.352;-10.396;-30.289;1.00;-4.46;
2025-11-03 15:35:56.74;0.00:00:00:453;1.00;0.01;0.00;0.09229;0.09138;0.0005847;-4.433E-05;0.18;-0.01;99.02;0.05;99.02;0.09229;0.09138;0.000903;-10.349;-10.391;-30.443;1.00;-4.34;
2025-11-03 15:35:56.78;0.00:00:00:499;1.00;0.01;0.00;0.09228;0.09136;0.0005635;-2.948E-05;0.18;-0.01;99.01;0.03;99.01;0.09228;0.09136;0.0009164;-10.349;-10.392;-30.379;1.00;-2.99;
2025-11-03 15:35:56.83;0.00:00:00:547;1.00;0.01;0.00;0.09229;0.09135;0.0005642;-4.3E-05;0.18;-0.01;98.98;0.05;98.98;0.09229;0.09135;0.0009386;-10.348;-10.393;-30.275;1.00;-4.36;
2025-11-03 15:35:56.89;0.00:00:00:610;1.00;0.01;0.00;0.09241;0.09146;0.0005872;-4.26E-05;0.18;-0.01;98.98;0.05;98.98;0.09241;0.09146;0.0009469;-10.343;-10.387;-30.237;1.00;-4.15;
2025-11-03 15:35:56.94;0.00:00:00:658;1.00;0.01;0.00;0.09248;0.09156;0.0005278;-4.036E-05;0.17;-0.01;99.01;0.04;99.01;0.09248;0.09156;0.0009193;-10.340;-10.383;-30.365;1.00;-4.37;
2025-11-03 15:35:56.99;0.00:00:00:705;1.00;0.01;0.00;0.09251;0.09158;0.0005944;-4.117E-05;0.19;-0.01;99.00;0.04;99.00;0.09251;0.09158;0.0009223;-10.338;-10.382;-30.351;1.00;-3.96;
2025-11-03 15:35:57.04;0.00:00:00:752;1.00;0.01;0.00;0.09243;0.09151;0.0005356;-3.725E-05;0.17;-0.01;99.01;0.04;99.01;0.09243;0.09152;0.0009116;-10.342;-10.385;-30.402;1.00;-3.98;
