Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-11-03 15:34:12.13;0.00:00:00:068;-1.00;0.00;0.00;0.07195;-0.07198;-0.000273;0.0001385;-89.89;0.06;100.05;0.19;100.05;0.07195;0.07198;-3.446E-05;-11.430;-11.428;-99.990;0.00;153.10;
2025-11-03 15:34:12.18;0.00:00:00:119;-1.00;0.00;0.00;0.0722;-0.07223;-0.0002949;0.0001461;-89.88;0.06;100.04;0.20;100.04;0.0722;0.07223;-3.018E-05;-11.414;-11.413;-99.990;0.00;153.65;
2025-11-03 15:34:12.24;0.00:00:00:179;-1.00;0.00;0.00;0.07199;-0.07202;-0.0002866;0.0001383;-89.89;0.06;100.04;0.19;100.04;0.07199;0.07202;-3.153E-05;-11.427;-11.425;-99.990;0.00;154.23;
2025-11-03 15:34:12.29;0.00:00:00:226;-1.00;0.00;0.00;0.07201;-0.07204;-0.0002793;0.0001356;-89.89;0.05;100.05;0.19;100.05;0.07201;0.07204;-3.341E-05;-11.426;-11.424;-99.990;0.00;154.11;
2025-11-03 15:34:12.33;0.00:00:00:273;-1.00;0.00;0.00;0.07212;-0.07215;-0.0002808;0.0001429;-89.89;0.06;100.05;0.20;100.04;0.07212;0.07215;-3.26E-05;-11.420;-11.418;-99.990;0.00;153.03;
2025-11-03 15:34:12.38;0.00:00:00:319;-1.00;0.00;0.00;0.0721;-0.07213;-0.0002856;0.0001372;-89.89;0.05;100.04;0.19;100.04;0.0721;0.07213;-3.021E-05;-11.420;-11.419;-99.990;0.00;154.34;
2025-11-03 15:34:12.42;0.00:00:00:365;-1.00;0.00;0.00;0.07204;-0.07207;-0.0002898;0.0001361;-89.88;0.05;100.04;0.19;100.04;0.07204;0.07207;-3.033E-05;-11.424;-11.422;-99.990;0.00;154.84;
2025-11-03 15:34:12.47;0.00:00:00:413;-1.00;0.00;0.00;0.07203;-0.07206;-0.0002825;0.0001358;-89.89;0.05;100.04;0.19;100.04;0.07203;0.07206;-3.04E-05;-11.425;-11.423;-99.990;0.00;154.33;
2025-11-03 15:34:12.52;0.00:00:00:460;-1.00;0.00;0.00;0.07201;-0.07204;-0.0002981;0.0001428;-89.88;0.06;100.04;0.20;100.04;0.07201;0.07204;-3.183E-05;-11.426;-11.424;-99.990;0.00;154.41;
2025-11-03 15:34:12.57;0.00:00:00:507;-1.00;0.00;0.00;0.07207;-0.0721;-0.0002792;0.0001335;-89.89;0.05;100.05;0.19;100.05;0.07207;0.0721;-3.445E-05;-11.422;-11.420;-99.990;0.00;154.45;
2025-11-03 15:34:12.61;0.00:00:00:552;-1.00;0.00;0.00;0.0721;-0.07213;-0.0002961;0.0001348;-89.88;0.05;100.04;0.19;100.04;0.0721;0.07213;-3.05E-05;-11.421;-11.419;-99.990;0.00;155.52;
2025-11-03 15:34:12.66;0.00:00:00:601;-1.00;0.00;0.00;0.07201;-0.07205;-0.0002833;0.0001362;-89.89;0.05;100.05;0.19;100.05;0.07201;0.07205;-3.5E-05;-11.426;-11.424;-99.990;0.00;154.33;
2025-11-03 15:34:12.71;0.00:00:00:649;-1.00;0.00;0.00;0.07205;-0.07208;-0.0002904;0.0001375;-89.88;0.05;100.05;0.19;100.05;0.07205;0.07208;-3.293E-05;-11.424;-11.422;-99.990;0.00;154.67;
2025-11-03 15:34:12.76;0.00:00:00:697;-1.00;0.00;0.00;0.07224;-0.07227;-0.0002832;0.0001499;-89.89;0.06;100.04;0.21;100.04;0.07224;0.07227;-3.07E-05;-11.412;-11.411;-99.990;0.00;152.11;
2025-11-03 15:34:12.80;0.00:00:00:742;-1.00;0.00;0.00;0.07208;-0.07211;-0.0003054;0.0001404;-89.88;0.06;100.04;0.19;100.04;0.07208;0.07211;-3.049E-05;-11.422;-11.420;-99.990;0.00;155.31;
2025-11-03 15:34:12.85;0.00:00:00:789;-1.00;0.00;0.00;0.07209;-0.07213;-0.0002747;0.0001369;-89.89;0.05;100.05;0.19;100.05;0.07209;0.07213;-3.288E-05;-11.421;-11.419;-99.990;0.00;153.50;
2025-11-03 15:34:12.91;0.00:00:00:851;-1.00;0.00;0.00;0.07197;-0.07201;-0.0002948;0.0001419;-89.88;0.06;100.05;0.20;100.05;0.07197;0.07201;-3.498E-05;-11.428;-11.426;-99.990;0.00;154.29;
2025-11-03 15:34:12.96;0.00:00:00:898;-1.00;0.00;0.00;0.07197;-0.072;-0.0002927;0.0001422;-89.88;0.06;100.05;0.20;100.05;0.07197;0.07201;-3.296E-05;-11.428;-11.426;-99.990;0.00;154.09;
2025-11-03 15:34:13.00;0.00:00:00:944;-1.00;0.00;0.00;0.07192;-0.07195;-0.0002936;0.0001471;-89.88;0.06;100.04;0.20;100.04;0.07192;0.07195;-3.021E-05;-11.431;-11.429;-99.990;0.00;153.39;
2025-11-03 15:34:13.05;0.00:00:00:992;-1.00;0.00;0.00;0.07193;-0.07196;-0.0002818;0.0001363;-89.89;0.05;100.04;0.19;100.04;0.07193;0.07196;-3.064E-05;-11.431;-11.429;-99.990;0.00;154.19;
2025-11-03 15:34:13.10;0.00:00:01:042;-1.00;0.00;0.00;0.07195;-0.07199;-0.000293;0.0001356;-89.88;0.05;100.04;0.19;100.04;0.07195;0.07199;-3.159E-05;-11.429;-11.428;-99.990;0.00;155.16;
2025-11-03 15:34:13.16;0.00:00:01:101;-1.00;0.00;0.00;0.07192;-0.07195;-0.0002978;0.0001355;-89.88;0.05;100.04;0.19;100.04;0.07192;0.07195;-3.057E-05;-11.431;-11.429;-99.990;0.00;155.54;
2025-11-03 15:34:13.21;0.00:00:01:148;-1.00;0.00;0.00;0.07192;-0.07195;-0.000293;0.0001388;-89.88;0.06;100.05;0.19;100.05;0.07192;0.07195;-3.538E-05;-11.432;-11.430;-99.990;0.00;154.66;
2025-11-03 15:34:13.25;0.00:00:01:196;-1.00;0.00;0.00;0.07201;-0.07204;-0.0002849;0.0001377;-89.89;0.05;100.04;0.19;100.04;0.07201;0.07204;-3.154E-05;-11.426;-11.424;-99.990;0.00;154.20;
2025-11-03 15:34:13.30;0.00:00:01:244;-1.00;0.00;0.00;0.07208;-0.07211;-0.0002855;0.0001294;-89.89;0.05;100.05;0.18;100.05;0.07208;0.07211;-3.395E-05;-11.422;-11.420;-99.990;0.00;155.62;
2025-11-03 15:34:13.35;0.00:00:01:291;-1.00;0.00;0.00;0.07214;-0.07217;-0.0002844;0.0001418;-89.89;0.06;100.04;0.20;100.04;0.07214;0.07218;-3.196E-05;-11.418;-11.416;-99.990;0.00;153.50;
2025-11-03 15:34:13.40;0.00:00:01:339;-1.00;0.00;0.00;0.07214;-0.07217;-0.0002951;0.0001454;-89.88;0.06;100.05;0.20;100.05;0.07214;0.07218;-3.319E-05;-11.418;-11.416;-99.990;0.00;153.76;
2025-11-03 15:34:13.44;0.00:00:01:385;-1.00;0.00;0.00;0.07205;-0.07208;-0.0002934;0.0001381;-89.88;0.05;100.04;0.19;100.04;0.07205;0.07208;-3.113E-05;-11.424;-11.422;-99.990;0.00;154.80;
2025-11-03 15:34:13.49;0.00:00:01:434;-1.00;0.00;0.00;0.07209;-0.07212;-0.0002986;0.0001441;-89.88;0.06;100.05;0.20;100.05;0.07209;0.07212;-3.316E-05;-11.421;-11.419;-99.990;0.00;154.25;
2025-11-03 15:34:13.54;0.00:00:01:480;-1.00;0.00;0.00;0.07208;-0.07211;-0.0002886;0.0001306;-89.89;0.05;100.04;0.18;100.04;0.07208;0.07211;-3.179E-05;-11.422;-11.420;-99.990;0.00;155.66;
2025-11-03 15:34:13.59;0.00:00:01:529;-1.00;0.00;0.00;0.07232;-0.07235;-0.0002957;0.0001487;-89.88;0.06;100.04;0.21;100.04;0.07232;0.07236;-3.023E-05;-11.407;-11.405;-99.990;0.00;153.30;
2025-11-03 15:34:13.64;0.00:00:01:576;-1.00;0.00;0.00;0.07215;-0.07218;-0.0003002;0.0001384;-89.88;0.05;100.04;0.19;100.04;0.07215;0.07218;-3.038E-05;-11.418;-11.416;-99.990;0.00;155.25;
2025-11-03 15:34:13.68;0.00:00:01:624;-1.00;0.00;0.00;0.07217;-0.0722;-0.0002788;0.0001332;-89.89;0.05;100.05;0.18;100.05;0.07217;0.07221;-3.399E-05;-11.416;-11.414;-99.990;0.00;154.46;
2025-11-03 15:34:13.73;0.00:00:01:671;-1.00;0.00;0.00;0.07232;-0.07235;-0.0002935;0.0001473;-89.88;0.06;100.04;0.20;100.04;0.07232;0.07235;-3.009E-05;-11.407;-11.405;-99.990;0.00;153.35;
2025-11-03 15:34:13.78;0.00:00:01:717;-1.00;0.00;0.00;0.07216;-0.07219;-0.0003015;0.0001417;-89.88;0.06;100.04;0.20;100.04;0.07216;0.07219;-3.081E-05;-11.417;-11.415;-99.990;0.00;154.83;
2025-11-03 15:34:13.82;0.00:00:01:765;-1.00;0.00;0.00;0.07197;-0.072;-0.0002953;0.0001445;-89.88;0.06;100.04;0.20;100.04;0.07197;0.072;-2.951E-05;-11.428;-11.427;-99.990;0.00;153.92;
2025-11-03 15:34:13.87;0.00:00:01:811;-1.00;0.00;0.00;0.07194;-0.07197;-0.0002854;0.0001255;-89.89;0.05;100.05;0.17;100.05;0.07194;0.07197;-3.468E-05;-11.430;-11.428;-99.990;0.00;156.27;
2025-11-03 15:34:13.92;0.00:00:01:859;-1.00;0.00;0.00;0.0721;-0.07213;-0.0002873;0.0001419;-89.89;0.06;100.04;0.20;100.04;0.0721;0.07214;-3.064E-05;-11.420;-11.419;-99.990;0.00;153.71;
2025-11-03 15:34:13.98;0.00:00:01:919;-1.00;0.00;0.00;0.07207;-0.0721;-0.0002933;0.000137;-89.88;0.05;100.05;0.19;100.05;0.07207;0.0721;-3.394E-05;-11.423;-11.421;-99.990;0.00;154.97;
2025-11-03 15:34:14.03;0.00:00:01:967;-1.00;0.00;0.00;0.07206;-0.07209;-0.0002708;0.0001315;-89.89;0.05;100.04;0.18;100.04;0.07206;0.07209;-3.178E-05;-11.423;-11.421;-99.990;0.00;154.10;
2025-11-03 15:34:14.07;0.00:00:02:015;-1.00;0.00;0.00;0.07216;-0.07219;-0.000292;0.0001387;-89.88;0.06;100.05;0.19;100.05;0.07216;0.07219;-3.514E-05;-11.417;-11.415;-99.990;0.00;154.59;
2025-11-03 15:34:14.12;0.00:00:02:062;-1.00;0.00;0.00;0.07204;-0.07207;-0.0002925;0.0001458;-89.88;0.06;100.04;0.20;100.04;0.07204;0.07207;-3.213E-05;-11.424;-11.422;-99.990;0.00;153.50;
2025-11-03 15:34:14.17;0.00:00:02:110;-1.00;0.00;0.00;0.07199;-0.07203;-0.0002922;0.0001357;-89.88;0.05;100.05;0.19;100.05;0.07199;0.07203;-3.614E-05;-11.427;-11.425;-99.990;0.00;155.08;
2025-11-03 15:34:14.22;0.00:00:02:159;-1.00;0.00;0.00;0.07206;-0.07209;-0.0002783;0.000145;-89.89;0.06;100.05;0.20;100.05;0.07206;0.0721;-3.387E-05;-11.423;-11.421;-99.990;0.00;152.49;
2025-11-03 15:34:14.26;0.00:00:02:205;-1.00;0.00;0.00;0.07208;-0.07212;-0.0002774;0.0001344;-89.89;0.05;100.05;0.19;100.05;0.07208;0.07212;-3.633E-05;-11.422;-11.419;-99.990;0.00;154.15;
2025-11-03 15:34:14.31;0.00:00:02:251;-1.00;0.00;0.00;0.07204;-0.07207;-0.0002944;0.0001401;-89.88;0.06;100.04;0.19;100.04;0.07204;0.07207;-3.098E-05;-11.424;-11.422;-99.990;0.00;154.55;
2025-11-03 15:34:14.36;0.00:00:02:301;-1.00;0.00;0.00;0.07217;-0.07221;-0.000275;0.0001348;-89.89;0.05;100.05;0.19;100.05;0.07217;0.07221;-3.637E-05;-11.416;-11.414;-99.990;0.00;153.89;
2025-11-03 15:34:14.41;0.00:00:02:346;-1.00;0.00;0.00;0.07233;-0.07236;-0.0002727;0.0001336;-89.89;0.05;100.05;0.18;100.05;0.07233;0.07236;-3.414E-05;-11.407;-11.405;-99.990;0.00;153.90;
2025-11-03 15:34:14.45;0.00:00:02:395;-1.00;0.00;0.00;0.07226;-0.07228;-0.0002961;0.0001425;-89.88;0.06;100.04;0.20;100.04;0.07226;0.07229;-2.861E-05;-11.411;-11.409;-99.990;0.00;154.30;
2025-11-03 15:34:14.50;0.00:00:02:442;-1.00;0.00;0.00;0.07221;-0.07224;-0.0003038;0.0001446;-89.88;0.06;100.04;0.20;100.04;0.07221;0.07224;-3.011E-05;-11.414;-11.412;-99.990;0.00;154.54;
2025-11-03 15:34:14.55;0.00:00:02:489;-1.00;0.00;0.00;0.0721;-0.07213;-0.0003053;0.0001399;-89.88;0.06;100.04;0.19;100.04;0.0721;0.07213;-3.108E-05;-11.421;-11.419;-99.990;0.00;155.39;
2025-11-03 15:34:14.60;0.00:00:02:536;-1.00;0.00;0.00;0.07199;-0.07202;-0.0002828;0.0001349;-89.89;0.05;100.05;0.19;100.05;0.07199;0.07202;-3.376E-05;-11.427;-11.425;-99.990;0.00;154.50;
2025-11-03 15:34:14.64;0.00:00:02:584;-1.00;0.00;0.00;0.07207;-0.0721;-0.0002774;0.0001251;-89.89;0.05;100.05;0.17;100.05;0.07207;0.0721;-3.495E-05;-11.423;-11.420;-99.990;0.00;155.72;
2025-11-03 15:34:14.69;0.00:00:02:630;-1.00;0.00;0.00;0.07226;-0.07229;-0.0003002;0.0001459;-89.88;0.06;100.04;0.20;100.04;0.07226;0.07229;-2.984E-05;-11.411;-11.409;-99.990;0.00;154.08;
2025-11-03 15:34:14.74;0.00:00:02:678;-1.00;0.00;0.00;0.07212;-0.07215;-0.000298;0.0001387;-89.88;0.06;100.04;0.19;100.04;0.07212;0.07215;-3.094E-05;-11.419;-11.418;-99.990;0.00;155.05;
2025-11-03 15:34:14.79;0.00:00:02:727;-1.00;0.00;0.00;0.07216;-0.0722;-0.0002656;0.0001287;-89.89;0.05;100.05;0.18;100.05;0.07216;0.0722;-3.37E-05;-11.417;-11.415;-99.990;0.00;154.14;
2025-11-03 15:34:14.83;0.00:00:02:772;-1.00;0.00;0.00;0.07213;-0.07217;-0.0002939;0.000139;-89.88;0.06;100.05;0.19;100.05;0.07213;0.07217;-3.289E-05;-11.419;-11.417;-99.990;0.00;154.68;
2025-11-03 15:34:14.88;0.00:00:02:819;-1.00;0.00;0.00;0.07222;-0.07226;-0.0002859;0.000141;-89.89;0.06;100.04;0.20;100.04;0.07222;0.07226;-3.2E-05;-11.413;-11.411;-99.990;0.00;153.74;
2025-11-03 15:34:14.93;0.00:00:02:867;-1.00;0.00;0.00;0.07215;-0.07218;-0.0002982;0.0001396;-89.88;0.06;100.04;0.19;100.04;0.07215;0.07219;-3.247E-05;-11.417;-11.416;-99.990;0.00;154.91;
2025-11-03 15:34:14.99;0.00:00:02:928;-1.00;0.00;0.00;0.07217;-0.0722;-0.0002824;0.0001366;-89.89;0.05;100.05;0.19;100.05;0.07217;0.0722;-3.378E-05;-11.416;-11.414;-99.990;0.00;154.18;
2025-11-03 15:34:15.03;0.00:00:02:974;-1.00;0.00;0.00;0.07223;-0.07226;-0.0002954;0.0001474;-89.88;0.06;100.04;0.20;100.04;0.07223;0.07226;-3.113E-05;-11.413;-11.411;-99.990;0.00;153.48;
