Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-11-03 15:13:37.19;0.00:00:00:064;1.00;0.00;0.00;0.09365;0.09228;0.0002908;0.0001473;0.09;0.05;98.53;0.16;98.53;0.09365;0.09228;0.001374;-10.285;-10.349;-28.621;1.00;26.87;
2025-11-03 15:13:37.25;0.00:00:00:116;1.00;0.00;0.00;0.09365;0.09224;0.0002881;0.0001617;0.09;0.05;98.49;0.17;98.49;0.09365;0.09224;0.001412;-10.285;-10.351;-28.502;1.00;29.30;
2025-11-03 15:13:37.29;0.00:00:00:163;1.00;0.00;0.00;0.09366;0.09224;0.0003012;0.0001583;0.09;0.05;98.48;0.17;98.48;0.09366;0.09224;0.001423;-10.284;-10.351;-28.467;1.00;27.73;
2025-11-03 15:13:37.34;0.00:00:00:210;1.00;0.00;0.00;0.09367;0.09226;0.0002799;0.0001582;0.09;0.05;98.50;0.17;98.50;0.09367;0.09226;0.001406;-10.284;-10.350;-28.520;1.00;29.48;
2025-11-03 15:13:37.39;0.00:00:00:258;1.00;0.00;0.00;0.0936;0.0922;0.0002933;0.0001618;0.09;0.05;98.51;0.17;98.51;0.0936;0.0922;0.001394;-10.287;-10.353;-28.557;1.00;28.88;
2025-11-03 15:13:37.45;0.00:00:00:318;1.00;0.00;0.00;0.0935;0.09208;0.0003105;0.0001526;0.10;0.05;98.48;0.16;98.48;0.0935;0.09208;0.001417;-10.292;-10.358;-28.486;1.00;26.17;
2025-11-03 15:13:37.49;0.00:00:00:365;1.00;0.00;0.00;0.09359;0.09219;0.0003084;0.0001439;0.10;0.04;98.50;0.15;98.50;0.09359;0.09219;0.001407;-10.288;-10.353;-28.518;1.00;25.01;
2025-11-03 15:13:37.54;0.00:00:00:414;1.00;0.00;0.00;0.09361;0.09219;0.0002655;0.0001495;0.08;0.05;98.47;0.16;98.47;0.09361;0.09219;0.001428;-10.287;-10.353;-28.453;1.00;29.38;
2025-11-03 15:13:37.59;0.00:00:00:462;1.00;0.00;0.00;0.09356;0.0921;0.0003161;0.0001443;0.10;0.04;98.44;0.15;98.44;0.09356;0.0921;0.001458;-10.289;-10.357;-28.361;1.00;24.54;
2025-11-03 15:13:37.64;0.00:00:00:508;1.00;0.00;0.00;0.09363;0.09221;0.000285;0.0001509;0.09;0.05;98.48;0.16;98.48;0.09363;0.09221;0.001423;-10.286;-10.352;-28.468;1.00;27.90;
2025-11-03 15:13:37.68;0.00:00:00:555;1.00;0.00;0.00;0.09355;0.09213;0.0002898;0.0001621;0.09;0.05;98.48;0.17;98.48;0.09355;0.09213;0.001418;-10.290;-10.356;-28.482;1.00;29.22;
2025-11-03 15:13:37.73;0.00:00:00:601;1.00;0.00;0.00;0.09372;0.09226;0.0003346;0.0001647;0.10;0.05;98.45;0.18;98.45;0.09372;0.09226;0.001451;-10.282;-10.350;-28.382;1.00;26.22;
2025-11-03 15:13:37.78;0.00:00:00:648;1.00;0.00;0.00;0.09365;0.09225;0.0002336;0.0001605;0.07;0.05;98.51;0.17;98.51;0.09365;0.09225;0.001399;-10.285;-10.350;-28.542;1.00;34.49;
2025-11-03 15:13:37.82;0.00:00:00:694;1.00;0.00;0.00;0.09347;0.09207;0.0002555;0.0001675;0.08;0.05;98.50;0.18;98.50;0.09347;0.09207;0.001404;-10.293;-10.359;-28.525;1.00;33.25;
