Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-11-20 17:34:35.79;0.00:00:00:073;1.00;0.00;0.00;0.07249;0.07141;0.0001919;-8.657E-05;0.08;-0.03;98.52;0.12;98.52;0.07249;0.07141;0.001075;-11.397;-11.462;-29.686;1.00;-24.28;
2025-11-20 17:34:35.87;0.00:00:00:150;1.00;0.00;0.00;0.07271;0.07162;0.000203;-9.289E-05;0.08;-0.04;98.50;0.13;98.50;0.07271;0.07162;0.00109;-11.384;-11.450;-29.626;1.00;-24.59;
2025-11-20 17:34:35.92;0.00:00:00:202;1.00;0.00;0.00;0.07274;0.07167;0.0002133;-0.0001022;0.09;-0.04;98.53;0.14;98.53;0.07274;0.07167;0.001066;-11.383;-11.447;-29.722;1.00;-25.59;
2025-11-20 17:34:35.99;0.00:00:00:264;1.00;0.00;0.00;0.07264;0.07157;0.0002027;-9.848E-05;0.08;-0.04;98.52;0.14;98.52;0.07264;0.07157;0.001075;-11.388;-11.453;-29.685;1.00;-25.91;
2025-11-20 17:34:36.03;0.00:00:00:313;1.00;0.00;0.00;0.07272;0.07167;0.0002144;-9.578E-05;0.09;-0.04;98.55;0.13;98.55;0.07272;0.07167;0.001053;-11.383;-11.447;-29.776;1.00;-24.07;
2025-11-20 17:34:36.09;0.00:00:00:367;1.00;0.00;0.00;0.07271;0.07166;0.0002003;-7.972E-05;0.08;-0.03;98.56;0.11;98.56;0.07271;0.07166;0.001048;-11.384;-11.447;-29.794;1.00;-21.70;
2025-11-20 17:34:36.14;0.00:00:00:417;1.00;0.00;0.00;0.07283;0.07174;0.0002213;-9.522E-05;0.09;-0.04;98.50;0.13;98.50;0.07283;0.07174;0.001093;-11.377;-11.443;-29.612;1.00;-23.28;
2025-11-20 17:34:36.19;0.00:00:00:467;1.00;0.00;0.00;0.07282;0.07174;0.0002343;-9.954E-05;0.09;-0.04;98.52;0.14;98.52;0.07282;0.07174;0.001074;-11.378;-11.442;-29.688;1.00;-23.02;
2025-11-20 17:34:36.24;0.00:00:00:517;1.00;0.00;0.00;0.07278;0.07172;0.0001839;-9.943E-05;0.07;-0.04;98.54;0.14;98.54;0.07278;0.07172;0.00106;-11.380;-11.444;-29.745;1.00;-28.40;
2025-11-20 17:34:36.29;0.00:00:00:573;1.00;0.00;0.00;0.07273;0.07162;0.000209;-9.691E-05;0.08;-0.04;98.47;0.13;98.47;0.07273;0.07162;0.00111;-11.383;-11.450;-29.545;1.00;-24.88;
2025-11-20 17:34:36.34;0.00:00:00:621;1.00;0.00;0.00;0.0728;0.0717;0.0002328;-9.732E-05;0.09;-0.04;98.49;0.13;98.49;0.0728;0.0717;0.001099;-11.379;-11.445;-29.592;1.00;-22.69;
2025-11-20 17:34:36.39;0.00:00:00:672;1.00;0.00;0.00;0.07292;0.07186;0.0002012;-8.478E-05;0.08;-0.03;98.54;0.12;98.54;0.07292;0.07186;0.001065;-11.371;-11.435;-29.729;1.00;-22.84;
2025-11-20 17:34:36.44;0.00:00:00:721;1.00;0.00;0.00;0.07247;0.07143;0.0001672;-7.576E-05;0.07;-0.03;98.55;0.10;98.55;0.07247;0.07143;0.001049;-11.398;-11.461;-29.794;1.00;-24.37;
2025-11-20 17:34:36.50;0.00:00:00:774;1.00;0.00;0.00;0.07238;0.07132;0.0002283;-9.143E-05;0.09;-0.04;98.53;0.13;98.53;0.07238;0.07132;0.001061;-11.404;-11.468;-29.744;1.00;-21.82;
2025-11-20 17:34:36.55;0.00:00:00:831;1.00;0.00;0.00;0.07245;0.07138;0.0002232;-9.897E-05;0.09;-0.04;98.53;0.14;98.53;0.07245;0.07138;0.001066;-11.400;-11.464;-29.724;1.00;-23.91;
2025-11-20 17:34:36.61;0.00:00:00:884;1.00;0.00;0.00;0.07279;0.07175;0.0002236;-7.782E-05;0.09;-0.03;98.57;0.11;98.57;0.07279;0.07175;0.001042;-11.379;-11.442;-29.821;1.00;-19.19;
2025-11-20 17:34:36.66;0.00:00:00:934;1.00;0.00;0.00;0.0726;0.07153;0.0001968;-0.0001198;0.08;-0.05;98.53;0.17;98.53;0.0726;0.07153;0.001069;-11.391;-11.455;-29.711;1.00;-31.34;
2025-11-20 17:34:36.71;0.00:00:00:986;1.00;0.00;0.00;0.0726;0.07158;0.0001496;-7.776E-05;0.06;-0.03;98.59;0.11;98.59;0.0726;0.07158;0.001025;-11.391;-11.452;-29.891;1.00;-27.47;
2025-11-20 17:34:36.76;0.00:00:01:037;1.00;0.00;0.00;0.07247;0.0714;0.0002143;-0.0001012;0.09;-0.04;98.52;0.14;98.52;0.07247;0.0714;0.001075;-11.398;-11.463;-29.687;1.00;-25.29;
