Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-11-20 17:53:18.50;0.00:00:00:053;1.00;0.00;0.00;0.07305;0.07249;-2.511E-05;-2.393E-05;-0.01;-0.01;99.23;0.03;99.23;0.07305;0.07249;0.0005657;-11.364;-11.397;-32.474;1.00;-136.39;
2025-11-20 17:53:18.57;0.00:00:00:116;1.00;0.00;0.00;0.07263;0.07207;-1.387E-05;-4E-05;-0.01;-0.02;99.22;0.06;99.22;0.07263;0.07207;0.0005666;-11.389;-11.423;-32.467;1.00;-109.12;
2025-11-20 17:53:18.62;0.00:00:00:166;1.00;0.00;0.00;0.07275;0.07224;-7.253E-05;-1.583E-05;-0.03;-0.01;99.29;0.02;99.29;0.07275;0.07224;0.0005162;-11.382;-11.412;-32.872;1.00;-167.68;
2025-11-20 17:53:18.67;0.00:00:00:222;1.00;0.00;0.00;0.07256;0.07201;-1.825E-05;-4.233E-05;-0.01;-0.02;99.24;0.06;99.24;0.07256;0.07201;0.0005521;-11.393;-11.426;-32.580;1.00;-113.32;
2025-11-20 17:53:18.72;0.00:00:00:267;1.00;0.00;0.00;0.07266;0.0721;-4.406E-05;-3.731E-05;-0.02;-0.01;99.23;0.05;99.23;0.07266;0.0721;0.0005572;-11.387;-11.420;-32.540;1.00;-139.75;
2025-11-20 17:53:18.77;0.00:00:00:318;1.00;0.00;0.00;0.07277;0.07218;-8.766E-08;-2.24E-05;0.00;-0.01;99.18;0.03;99.18;0.07277;0.07218;0.0005931;-11.380;-11.416;-32.268;1.00;-90.22;
2025-11-20 17:53:18.81;0.00:00:00:365;1.00;0.00;0.00;0.07279;0.07228;-9.962E-06;-3.119E-05;0.00;-0.01;99.29;0.04;99.29;0.07279;0.07228;0.0005153;-11.379;-11.410;-32.880;1.00;-107.71;
2025-11-20 17:53:18.87;0.00:00:00:417;1.00;0.00;0.00;0.07296;0.07239;-7.371E-06;-2.779E-05;0.00;-0.01;99.21;0.04;99.21;0.07296;0.07239;0.0005768;-11.369;-11.403;-32.390;1.00;-104.85;
2025-11-20 17:53:18.92;0.00:00:00:470;1.00;0.00;0.00;0.07287;0.07231;-7.76E-06;-3.759E-05;0.00;-0.01;99.23;0.05;99.23;0.07287;0.07231;0.0005616;-11.374;-11.408;-32.506;1.00;-101.67;
2025-11-20 17:53:18.97;0.00:00:00:516;1.00;0.00;0.00;0.07297;0.07239;3.609E-05;-3.699E-05;0.01;-0.01;99.21;0.05;99.21;0.07297;0.07239;0.00058;-11.368;-11.403;-32.366;1.00;-45.71;
