Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-11-20 17:58:41.80;0.00:00:00:056;-1.00;0.00;0.00;0.05525;-0.05527;-0.0002551;-0.0001218;-89.87;-0.06;100.05;0.22;100.05;0.05525;0.05527;-2.536E-05;-12.577;-12.575;-99.990;0.00;-154.47;
2025-11-20 17:58:41.87;0.00:00:00:122;-1.00;0.00;0.00;0.05541;-0.05544;-0.0002381;-0.0001337;-89.88;-0.07;100.05;0.24;100.05;0.05541;0.05544;-2.677E-05;-12.564;-12.562;-99.990;0.00;-150.68;
2025-11-20 17:58:41.92;0.00:00:00:175;-1.00;0.00;0.00;0.05535;-0.05538;-0.0002506;-0.0001278;-89.87;-0.07;100.05;0.23;100.05;0.05535;0.05538;-2.519E-05;-12.569;-12.567;-99.990;0.00;-152.98;
2025-11-20 17:58:41.97;0.00:00:00:220;-1.00;0.00;0.00;0.05535;-0.05538;-0.0002444;-0.0001281;-89.87;-0.07;100.05;0.23;100.05;0.05535;0.05538;-2.53E-05;-12.569;-12.567;-99.990;0.00;-152.33;
2025-11-20 17:58:42.01;0.00:00:00:268;-1.00;0.00;0.00;0.05534;-0.05536;-0.0002576;-0.0001235;-89.87;-0.06;100.04;0.22;100.04;0.05534;0.05536;-2.158E-05;-12.570;-12.568;-99.990;0.00;-154.39;
2025-11-20 17:58:42.07;0.00:00:00:321;-1.00;0.00;0.00;0.05525;-0.05528;-0.0002484;-0.0001256;-89.87;-0.07;100.05;0.23;100.05;0.05525;0.05528;-2.917E-05;-12.577;-12.574;-99.990;0.00;-153.18;
2025-11-20 17:58:42.12;0.00:00:00:375;-1.00;0.00;0.00;0.05539;-0.05541;-0.0002505;-0.0001306;-89.87;-0.07;100.05;0.24;100.05;0.05539;0.05542;-2.625E-05;-12.566;-12.564;-99.990;0.00;-152.46;
2025-11-20 17:58:42.17;0.00:00:00:427;-1.00;0.00;0.00;0.05542;-0.05544;-0.0002551;-0.0001219;-89.87;-0.06;100.05;0.22;100.05;0.05542;0.05544;-2.677E-05;-12.564;-12.562;-99.990;0.00;-154.46;
2025-11-20 17:58:42.23;0.00:00:00:479;-1.00;0.00;0.00;0.05533;-0.05535;-0.000253;-0.0001283;-89.87;-0.07;100.04;0.23;100.04;0.05533;0.05535;-2.379E-05;-12.571;-12.569;-99.990;0.00;-153.11;
2025-11-20 17:58:42.28;0.00:00:00:529;-1.00;0.00;0.00;0.05533;-0.05536;-0.0002468;-0.0001222;-89.87;-0.06;100.04;0.22;100.04;0.05533;0.05536;-2.468E-05;-12.570;-12.568;-99.990;0.00;-153.66;
2025-11-20 17:58:42.32;0.00:00:00:575;-1.00;0.00;0.00;0.05528;-0.05531;-0.000245;-0.0001315;-89.87;-0.07;100.05;0.24;100.05;0.05528;0.05531;-3.035E-05;-12.575;-12.572;-99.990;0.00;-151.78;
2025-11-20 17:58:42.37;0.00:00:00:627;-1.00;0.00;0.00;0.05528;-0.0553;-0.0002681;-0.0001173;-89.86;-0.06;100.04;0.21;100.04;0.05528;0.0553;-2.112E-05;-12.574;-12.572;-99.990;0.00;-156.37;
2025-11-20 17:58:42.44;0.00:00:00:692;-1.00;0.00;0.00;0.05535;-0.05537;-0.0002415;-0.0001303;-89.88;-0.07;100.05;0.24;100.05;0.05535;0.05537;-2.623E-05;-12.569;-12.567;-99.990;0.00;-151.65;
