Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-11-20 17:41:38.03;0.00:00:00:053;-1.00;-0.01;0.00;0.05481;-0.05483;-0.0003047;-0.0001594;-89.84;-0.08;100.03;0.29;100.03;0.05481;0.05483;-1.716E-05;-12.611;-12.610;-99.990;0.00;-152.38;
2025-11-20 17:41:38.10;0.00:00:00:125;-1.00;-0.01;0.00;0.05467;-0.05468;-0.0003188;-0.0001585;-89.83;-0.08;100.03;0.29;100.03;0.05467;0.05468;-1.607E-05;-12.623;-12.621;-99.990;0.00;-153.57;
2025-11-20 17:41:38.15;0.00:00:00:176;-1.00;-0.01;0.00;0.05475;-0.05476;-0.0003111;-0.0001594;-89.84;-0.08;100.03;0.29;100.03;0.05475;0.05477;-1.5E-05;-12.616;-12.615;-99.990;0.00;-152.87;
2025-11-20 17:41:38.20;0.00:00:00:227;-1.00;-0.01;0.00;0.05484;-0.05485;-0.0003092;-0.0001583;-89.84;-0.08;100.03;0.29;100.03;0.05484;0.05485;-1.7E-05;-12.609;-12.608;-99.990;0.00;-152.89;
2025-11-20 17:41:38.25;0.00:00:00:278;-1.00;-0.01;0.00;0.05483;-0.05484;-0.0003176;-0.0001592;-89.83;-0.08;100.03;0.29;100.03;0.05483;0.05484;-1.639E-05;-12.610;-12.609;-99.990;0.00;-153.37;
2025-11-20 17:41:38.31;0.00:00:00:335;-1.00;-0.01;0.00;0.0548;-0.05482;-0.00031;-0.0001594;-89.84;-0.08;100.03;0.29;100.03;0.0548;0.05482;-1.759E-05;-12.612;-12.611;-99.990;0.00;-152.78;
2025-11-20 17:41:38.36;0.00:00:00:386;-1.00;-0.01;0.00;0.05491;-0.05493;-0.0003033;-0.0001604;-89.84;-0.08;100.04;0.29;100.04;0.05491;0.05493;-2.202E-05;-12.604;-12.602;-99.990;0.00;-152.13;
2025-11-20 17:41:38.41;0.00:00:00:433;-1.00;-0.01;0.00;0.055;-0.05502;-0.0003232;-0.0001481;-89.83;-0.08;100.03;0.27;100.03;0.055;0.05502;-1.496E-05;-12.596;-12.595;-99.990;0.00;-155.38;
2025-11-20 17:41:38.46;0.00:00:00:484;-1.00;-0.01;0.00;0.05492;-0.05494;-0.0003136;-0.0001545;-89.84;-0.08;100.03;0.28;100.03;0.05492;0.05494;-1.873E-05;-12.602;-12.601;-99.990;0.00;-153.78;
2025-11-20 17:41:38.51;0.00:00:00:536;-1.00;-0.01;0.00;0.0548;-0.05482;-0.0003169;-0.0001571;-89.83;-0.08;100.03;0.29;100.03;0.0548;0.05482;-1.644E-05;-12.612;-12.611;-99.990;0.00;-153.63;
2025-11-20 17:41:38.56;0.00:00:00:587;-1.00;-0.01;0.00;0.05476;-0.05478;-0.0003248;-0.0001541;-89.83;-0.08;100.03;0.28;100.03;0.05476;0.05478;-1.495E-05;-12.615;-12.614;-99.990;0.00;-154.62;
2025-11-20 17:41:38.62;0.00:00:00:648;-1.00;-0.01;0.00;0.05465;-0.05466;-0.0003173;-0.0001603;-89.83;-0.08;100.03;0.29;100.03;0.05465;0.05466;-1.443E-05;-12.624;-12.623;-99.990;0.00;-153.19;
2025-11-20 17:41:38.67;0.00:00:00:701;-1.00;-0.01;0.00;0.05465;-0.05467;-0.0003219;-0.0001544;-89.83;-0.08;100.03;0.28;100.03;0.05465;0.05467;-1.727E-05;-12.624;-12.622;-99.990;0.00;-154.38;
2025-11-20 17:41:38.72;0.00:00:00:752;-1.00;-0.01;0.00;0.05472;-0.05474;-0.0002946;-0.0001618;-89.85;-0.08;100.04;0.30;100.04;0.05472;0.05474;-2.118E-05;-12.619;-12.617;-99.990;0.00;-151.22;
2025-11-20 17:41:38.77;0.00:00:00:801;-1.00;-0.01;0.00;0.05476;-0.05478;-0.0003135;-0.0001552;-89.84;-0.08;100.04;0.28;100.03;0.05476;0.05478;-1.933E-05;-12.615;-12.614;-99.990;0.00;-153.66;
2025-11-20 17:41:38.83;0.00:00:00:853;-1.00;-0.01;0.00;0.05477;-0.05478;-0.000316;-0.0001568;-89.83;-0.08;100.04;0.29;100.03;0.05477;0.05479;-1.933E-05;-12.615;-12.613;-99.990;0.00;-153.61;
2025-11-20 17:41:38.88;0.00:00:00:905;-1.00;-0.01;0.00;0.05472;-0.05474;-0.0003239;-0.000156;-89.83;-0.08;100.03;0.29;100.03;0.05472;0.05474;-1.582E-05;-12.618;-12.617;-99.990;0.00;-154.28;
2025-11-20 17:41:38.93;0.00:00:00:957;-1.00;-0.01;0.00;0.05466;-0.05467;-0.0003265;-0.0001491;-89.83;-0.08;100.03;0.27;100.03;0.05466;0.05467;-1.481E-05;-12.624;-12.622;-99.990;0.00;-155.46;
2025-11-20 17:41:38.99;0.00:00:01:017;-1.00;-0.01;0.00;0.05451;-0.05452;-0.000316;-0.0001577;-89.83;-0.08;100.03;0.29;100.03;0.05451;0.05452;-1.504E-05;-12.635;-12.634;-99.990;0.00;-153.47;
2025-11-20 17:41:39.04;0.00:00:01:066;-1.00;-0.01;0.00;0.05458;-0.0546;-0.0003021;-0.000153;-89.84;-0.08;100.03;0.28;100.03;0.05458;0.0546;-1.752E-05;-12.629;-12.628;-99.990;0.00;-153.14;
2025-11-20 17:41:39.09;0.00:00:01:119;-1.00;-0.01;0.00;0.05459;-0.0546;-0.0003046;-0.0001547;-89.84;-0.08;100.03;0.28;100.03;0.05459;0.0546;-1.741E-05;-12.629;-12.628;-99.990;0.00;-153.08;
2025-11-20 17:41:39.14;0.00:00:01:168;-1.00;-0.01;0.00;0.05462;-0.05464;-0.0003039;-0.0001478;-89.84;-0.08;100.03;0.27;100.03;0.05462;0.05464;-1.666E-05;-12.626;-12.625;-99.990;0.00;-154.06;
2025-11-20 17:41:39.20;0.00:00:01:232;-1.00;-0.01;0.00;0.05465;-0.05466;-0.0003233;-0.0001507;-89.83;-0.08;100.03;0.28;100.03;0.05465;0.05466;-1.623E-05;-12.624;-12.623;-99.990;0.00;-155.01;
2025-11-20 17:41:39.26;0.00:00:01:292;-1.00;-0.01;0.00;0.05447;-0.05448;-0.0003215;-0.0001529;-89.83;-0.08;100.03;0.28;100.03;0.05447;0.05449;-1.596E-05;-12.638;-12.637;-99.990;0.00;-154.56;
2025-11-20 17:41:39.32;0.00:00:01:343;-1.00;-0.01;0.00;0.05458;-0.0546;-0.0003169;-0.0001622;-89.83;-0.09;100.03;0.30;100.03;0.05458;0.0546;-1.894E-05;-12.630;-12.628;-99.990;0.00;-152.90;
2025-11-20 17:41:39.37;0.00:00:01:395;-1.00;-0.01;0.00;0.05483;-0.05485;-0.0002801;-0.0001619;-89.85;-0.08;100.04;0.30;100.04;0.05483;0.05485;-2.401E-05;-12.610;-12.608;-99.990;0.00;-149.97;
2025-11-20 17:41:39.42;0.00:00:01:446;-1.00;-0.01;0.00;0.05474;-0.05475;-0.0003304;-0.0001519;-89.83;-0.08;100.03;0.28;100.03;0.05474;0.05475;-1.462E-05;-12.617;-12.616;-99.990;0.00;-155.31;
2025-11-20 17:41:39.47;0.00:00:01:497;-1.00;-0.01;0.00;0.05477;-0.05479;-0.000289;-0.0001664;-89.85;-0.09;100.04;0.30;100.04;0.05477;0.0548;-2.185E-05;-12.614;-12.613;-99.990;0.00;-150.07;
2025-11-20 17:41:39.52;0.00:00:01:547;-1.00;-0.01;0.00;0.05476;-0.05477;-0.0003376;-0.0001476;-89.82;-0.08;100.02;0.27;100.02;0.05476;0.05477;-1.238E-05;-12.616;-12.615;-99.990;0.00;-156.39;
2025-11-20 17:41:39.57;0.00:00:01:596;-1.00;-0.01;0.00;0.05465;-0.05467;-0.0003192;-0.0001546;-89.83;-0.08;100.03;0.28;100.03;0.05465;0.05467;-1.547E-05;-12.624;-12.623;-99.990;0.00;-154.16;
2025-11-20 17:41:39.62;0.00:00:01:647;-1.00;-0.01;0.00;0.05464;-0.05466;-0.0003221;-0.0001568;-89.83;-0.08;100.03;0.29;100.03;0.05464;0.05466;-1.852E-05;-12.625;-12.623;-99.990;0.00;-154.05;
2025-11-20 17:41:39.67;0.00:00:01:699;-1.00;-0.01;0.00;0.05471;-0.05472;-0.0002938;-0.0001654;-89.85;-0.09;100.04;0.30;100.03;0.05471;0.05472;-1.937E-05;-12.620;-12.618;-99.990;0.00;-150.62;
