Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-11-21 13:08:03.44;0.00:00:00:090;1.00;0.00;0.00;0.07156;0.07034;9.653E-05;0.0001363;0.04;0.06;98.29;0.19;98.29;0.07156;0.07034;0.001221;-11.453;-11.528;-29.133;1.00;54.69;
2025-11-21 13:08:03.50;0.00:00:00:156;1.00;0.00;0.00;0.0718;0.07056;0.0001116;0.0001332;0.05;0.05;98.28;0.19;98.28;0.0718;0.07056;0.001237;-11.439;-11.514;-29.077;1.00;50.04;
2025-11-21 13:08:03.55;0.00:00:00:202;1.00;0.00;0.00;0.07187;0.07066;8.835E-05;0.0001183;0.04;0.05;98.30;0.16;98.30;0.07187;0.07066;0.001219;-11.434;-11.509;-29.141;1.00;53.25;
2025-11-21 13:08:03.59;0.00:00:00:248;1.00;0.00;0.00;0.07178;0.07063;-3.441E-05;0.0001477;-0.01;0.06;98.40;0.21;98.40;0.07178;0.07063;0.001148;-11.440;-11.510;-29.400;1.00;103.11;
2025-11-21 13:08:03.64;0.00:00:00:295;1.00;0.00;0.00;0.0715;0.07026;9.911E-05;0.0001298;0.04;0.05;98.28;0.18;98.28;0.0715;0.07026;0.001232;-11.457;-11.533;-29.095;1.00;52.65;
2025-11-21 13:08:03.69;0.00:00:00:341;1.00;0.00;0.00;0.0716;0.07039;9.251E-05;0.0001393;0.04;0.06;98.32;0.19;98.32;0.0716;0.07039;0.001202;-11.451;-11.525;-29.200;1.00;56.41;
2025-11-21 13:08:03.74;0.00:00:00:389;1.00;0.00;0.00;0.07154;0.07033;5.237E-05;0.0001336;0.02;0.05;98.32;0.19;98.32;0.07154;0.07033;0.001201;-11.455;-11.528;-29.206;1.00;68.59;
2025-11-21 13:08:03.78;0.00:00:00:436;1.00;0.00;0.00;0.07151;0.0703;7.238E-05;0.0001301;0.03;0.05;98.31;0.18;98.31;0.07151;0.0703;0.00121;-11.457;-11.531;-29.171;1.00;60.91;
2025-11-21 13:08:03.83;0.00:00:00:481;1.00;0.00;0.00;0.07151;0.07035;4.367E-05;0.0001498;0.02;0.06;98.38;0.21;98.38;0.07151;0.07035;0.00116;-11.457;-11.528;-29.356;1.00;73.75;
2025-11-21 13:08:03.88;0.00:00:00:529;1.00;0.00;0.00;0.0715;0.07026;0.0001191;0.0001209;0.05;0.05;98.25;0.17;98.25;0.0715;0.07026;0.001249;-11.457;-11.533;-29.036;1.00;45.42;
2025-11-21 13:08:03.92;0.00:00:00:578;1.00;0.00;0.00;0.07162;0.07045;5.793E-05;0.0001478;0.02;0.06;98.37;0.21;98.37;0.07162;0.07045;0.001168;-11.449;-11.521;-29.325;1.00;68.60;
2025-11-21 13:08:03.97;0.00:00:00:625;1.00;0.00;0.00;0.07144;0.07024;5.908E-05;0.000123;0.02;0.05;98.32;0.17;98.32;0.07144;0.07024;0.001201;-11.460;-11.534;-29.204;1.00;64.34;
2025-11-21 13:08:04.02;0.00:00:00:670;1.00;0.00;0.00;0.0718;0.0706;2.691E-05;0.0001326;0.01;0.05;98.33;0.18;98.33;0.0718;0.0706;0.001198;-11.439;-11.512;-29.214;1.00;78.52;
