Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-11-21 13:12:09.60;0.00:00:00:079;-1.00;0.00;0.00;0.05417;-0.05418;-0.0001867;8.894E-05;-89.90;0.05;100.02;0.16;100.02;0.05417;0.05418;-1.013E-05;-12.662;-12.662;-99.990;0.00;154.53;
2025-11-21 13:12:09.67;0.00:00:00:149;-1.00;0.00;0.00;0.05422;-0.05423;-0.0001922;8.968E-05;-89.90;0.05;100.02;0.17;100.02;0.05422;0.05423;-1.101E-05;-12.659;-12.658;-99.990;0.00;154.99;
2025-11-21 13:12:09.72;0.00:00:00:197;-1.00;0.00;0.00;0.05436;-0.05437;-0.0001748;8.756E-05;-89.91;0.05;100.02;0.16;100.02;0.05436;0.05437;-1.218E-05;-12.647;-12.646;-99.990;0.00;153.39;
2025-11-21 13:12:09.77;0.00:00:00:243;-1.00;0.00;0.00;0.05445;-0.05446;-0.0001939;0.000101;-89.90;0.05;100.02;0.19;100.02;0.05445;0.05446;-8.44E-06;-12.640;-12.639;-99.990;0.00;152.48;
2025-11-21 13:12:09.82;0.00:00:00:291;-1.00;0.00;0.00;0.05411;-0.05411;-0.0002074;9.985E-05;-89.89;0.05;100.01;0.18;100.01;0.05411;0.05411;-4.924E-06;-12.668;-12.667;-99.990;0.00;154.29;
2025-11-21 13:12:09.86;0.00:00:00:337;-1.00;0.00;0.00;0.05396;-0.05396;-0.0001931;9.639E-05;-89.90;0.05;100.01;0.18;100.01;0.05396;0.05396;-6.367E-06;-12.679;-12.679;-99.990;0.00;153.48;
2025-11-21 13:12:09.91;0.00:00:00:386;-1.00;0.00;0.00;0.05384;-0.05385;-0.0001909;8.904E-05;-89.90;0.05;100.01;0.17;100.01;0.05384;0.05385;-7.969E-06;-12.689;-12.688;-99.990;0.00;154.99;
2025-11-21 13:12:09.96;0.00:00:00:436;-1.00;0.00;0.00;0.05399;-0.054;-0.0001615;7.835E-05;-89.91;0.04;100.03;0.15;100.03;0.05399;0.054;-1.387E-05;-12.677;-12.676;-99.990;0.00;154.12;
2025-11-21 13:12:10.02;0.00:00:00:495;-1.00;0.00;0.00;0.05437;-0.05437;-0.0002019;9.932E-05;-89.89;0.05;100.01;0.18;100.01;0.05437;0.05437;-6.633E-06;-12.647;-12.646;-99.990;0.00;153.80;
2025-11-21 13:12:10.07;0.00:00:00:541;-1.00;0.00;0.00;0.05419;-0.0542;-0.0001956;9.274E-05;-89.90;0.05;100.01;0.17;100.01;0.05419;0.0542;-7.533E-06;-12.661;-12.660;-99.990;0.00;154.63;
