Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-11-21 13:16:53.53;0.00:00:00:052;1.00;0.00;0.00;0.0717;0.07128;-6.489E-05;9.138E-05;-0.03;0.04;99.41;0.13;99.41;0.0717;0.07128;0.0004217;-11.445;-11.470;-33.750;1.00;125.38;
2025-11-21 13:16:53.59;0.00:00:00:114;1.00;0.00;0.00;0.07165;0.0712;-9.168E-06;8.515E-05;0.00;0.03;99.37;0.12;99.37;0.07165;0.0712;0.0004492;-11.448;-11.475;-33.476;1.00;96.15;
2025-11-21 13:16:53.66;0.00:00:00:178;1.00;0.00;0.00;0.07155;0.07111;2.957E-05;8.159E-05;0.01;0.03;99.39;0.11;99.39;0.07155;0.07111;0.0004349;-11.454;-11.481;-33.616;1.00;70.08;
2025-11-21 13:16:53.71;0.00:00:00:228;1.00;0.00;0.00;0.07181;0.0713;6.649E-05;6.73E-05;0.03;0.03;99.30;0.09;99.30;0.07181;0.0713;0.0005045;-11.438;-11.469;-32.971;1.00;45.35;
2025-11-21 13:16:53.76;0.00:00:00:280;1.00;0.00;0.00;0.07199;0.07152;1.067E-05;8.713E-05;0.00;0.03;99.34;0.12;99.34;0.07199;0.07152;0.0004718;-11.427;-11.456;-33.263;1.00;83.02;
2025-11-21 13:16:53.81;0.00:00:00:331;1.00;0.00;0.00;0.07194;0.07149;4.992E-06;8.288E-05;0.00;0.03;99.38;0.12;99.38;0.07194;0.07149;0.0004467;-11.430;-11.458;-33.500;1.00;86.55;
2025-11-21 13:16:53.86;0.00:00:00:382;1.00;0.00;0.00;0.07193;0.07149;-8.183E-06;9.144E-05;0.00;0.04;99.39;0.13;99.39;0.07193;0.07149;0.0004404;-11.431;-11.458;-33.562;1.00;95.11;
2025-11-21 13:16:53.91;0.00:00:00:432;1.00;0.00;0.00;0.07185;0.0714;-1.856E-05;8.55E-05;-0.01;0.03;99.37;0.12;99.37;0.07185;0.0714;0.000451;-11.436;-11.463;-33.459;1.00;102.24;
2025-11-21 13:16:53.97;0.00:00:00:489;1.00;0.00;0.00;0.07168;0.07124;-5.724E-05;7.173E-05;-0.02;0.03;99.39;0.10;99.39;0.07168;0.07124;0.0004368;-11.446;-11.473;-33.598;1.00;128.59;
2025-11-21 13:16:54.02;0.00:00:00:534;1.00;0.00;0.00;0.07181;0.07134;2.682E-05;9.145E-05;0.01;0.04;99.35;0.13;99.35;0.07181;0.07134;0.0004697;-11.438;-11.466;-33.282;1.00;73.65;
2025-11-21 13:16:54.07;0.00:00:00:587;1.00;0.00;0.00;0.07189;0.07144;1.049E-05;8.309E-05;0.00;0.03;99.36;0.12;99.36;0.07189;0.07144;0.0004572;-11.433;-11.461;-33.399;1.00;82.80;
2025-11-21 13:16:54.12;0.00:00:00:638;1.00;0.00;0.00;0.07166;0.07121;-2.289E-05;8.589E-05;-0.01;0.03;99.38;0.12;99.38;0.07166;0.07121;0.0004456;-11.447;-11.474;-33.510;1.00;104.92;
2025-11-21 13:16:54.17;0.00:00:00:687;1.00;0.00;0.00;0.07171;0.07125;5.57E-06;7.46E-05;0.00;0.03;99.36;0.10;99.36;0.07171;0.07125;0.0004576;-11.444;-11.472;-33.395;1.00;85.73;
2025-11-21 13:16:54.22;0.00:00:00:740;1.00;0.00;0.00;0.07185;0.0714;-2.322E-05;9.296E-05;-0.01;0.04;99.38;0.13;99.38;0.07185;0.0714;0.0004454;-11.436;-11.463;-33.513;1.00;104.03;
2025-11-21 13:16:54.27;0.00:00:00:791;1.00;0.00;0.00;0.07177;0.07128;7.034E-06;7.491E-05;0.00;0.03;99.32;0.10;99.32;0.07177;0.07128;0.0004867;-11.441;-11.470;-33.128;1.00;84.64;
2025-11-21 13:16:54.32;0.00:00:00:838;1.00;0.00;0.00;0.07182;0.07134;-1.101E-05;8.021E-05;0.00;0.03;99.34;0.11;99.34;0.07182;0.07134;0.0004751;-11.438;-11.466;-33.233;1.00;97.81;
2025-11-21 13:16:54.36;0.00:00:00:883;1.00;0.00;0.00;0.0719;0.07144;1.797E-05;9.465E-05;0.01;0.04;99.36;0.13;99.36;0.0719;0.07144;0.0004613;-11.433;-11.461;-33.360;1.00;79.25;
2025-11-21 13:16:54.42;0.00:00:00:935;1.00;0.00;0.00;0.07218;0.0717;5.154E-05;9.664E-05;0.02;0.04;99.34;0.13;99.34;0.07218;0.07171;0.0004739;-11.416;-11.445;-33.243;1.00;61.93;
2025-11-21 13:16:54.48;0.00:00:00:995;1.00;0.00;0.00;0.07206;0.07163;-2.509E-05;8.537E-05;-0.01;0.03;99.41;0.12;99.41;0.07206;0.07163;0.0004245;-11.423;-11.449;-33.722;1.00;106.38;
2025-11-21 13:16:54.52;0.00:00:01:041;1.00;0.00;0.00;0.07186;0.07139;2.449E-05;0.000103;0.01;0.04;99.35;0.14;99.35;0.07186;0.07139;0.000469;-11.435;-11.464;-33.289;1.00;76.63;
2025-11-21 13:16:54.57;0.00:00:01:092;1.00;0.00;0.00;0.07176;0.07132;-1.804E-05;7.969E-05;-0.01;0.03;99.38;0.11;99.38;0.07176;0.07132;0.0004461;-11.441;-11.468;-33.506;1.00;102.76;
2025-11-21 13:16:54.63;0.00:00:01:149;1.00;0.00;0.00;0.07176;0.07129;2.017E-05;8.081E-05;0.01;0.03;99.34;0.11;99.34;0.07176;0.07129;0.0004771;-11.441;-11.470;-33.214;1.00;75.98;
2025-11-21 13:16:54.68;0.00:00:01:196;1.00;0.00;0.00;0.07184;0.07139;-6.163E-06;8.323E-05;0.00;0.03;99.36;0.12;99.36;0.07184;0.07139;0.0004565;-11.436;-11.464;-33.406;1.00;94.23;
2025-11-21 13:16:54.72;0.00:00:01:241;1.00;0.00;0.00;0.07173;0.07127;-4.453E-06;7.508E-05;0.00;0.03;99.36;0.10;99.36;0.07173;0.07127;0.0004581;-11.443;-11.471;-33.391;1.00;93.39;
2025-11-21 13:16:54.77;0.00:00:01:290;1.00;0.00;0.00;0.07185;0.07136;4.051E-05;7.701E-05;0.02;0.03;99.32;0.11;99.32;0.07185;0.07136;0.0004883;-11.436;-11.465;-33.113;1.00;62.26;
2025-11-21 13:16:54.82;0.00:00:01:336;1.00;0.00;0.00;0.07189;0.07143;-3.979E-05;9.346E-05;-0.02;0.04;99.36;0.13;99.36;0.07189;0.07143;0.0004575;-11.433;-11.461;-33.396;1.00;113.06;
2025-11-21 13:16:54.86;0.00:00:01:384;1.00;0.00;0.00;0.07165;0.07117;3.439E-05;7.868E-05;0.01;0.03;99.34;0.11;99.34;0.07165;0.07117;0.0004763;-11.448;-11.477;-33.221;1.00;66.39;
2025-11-21 13:16:54.91;0.00:00:01:430;1.00;0.00;0.00;0.07187;0.0714;4.758E-05;8.321E-05;0.02;0.03;99.35;0.12;99.35;0.07187;0.0714;0.0004672;-11.435;-11.463;-33.305;1.00;60.24;
2025-11-21 13:16:54.96;0.00:00:01:477;1.00;0.00;0.00;0.07209;0.07159;7.339E-05;6.726E-05;0.03;0.03;99.31;0.09;99.31;0.07209;0.07159;0.0005004;-11.421;-11.452;-33.007;1.00;42.50;
2025-11-21 13:16:55.01;0.00:00:01:530;1.00;0.00;0.00;0.07235;0.07187;2.239E-05;8.642E-05;0.01;0.03;99.34;0.12;99.34;0.07235;0.07187;0.0004803;-11.406;-11.435;-33.185;1.00;75.47;
2025-11-21 13:16:55.07;0.00:00:01:588;1.00;0.00;0.00;0.07234;0.0719;-5.378E-05;9.128E-05;-0.02;0.04;99.39;0.13;99.39;0.07234;0.0719;0.0004396;-11.406;-11.432;-33.569;1.00;120.50;
2025-11-21 13:16:55.13;0.00:00:01:649;1.00;0.00;0.00;0.072;0.07155;-6.239E-05;9.565E-05;-0.02;0.04;99.38;0.13;99.38;0.072;0.07155;0.000445;-11.427;-11.454;-33.516;1.00;123.12;
2025-11-21 13:16:55.18;0.00:00:01:696;1.00;0.00;0.00;0.07196;0.07151;1.976E-05;7.951E-05;0.01;0.03;99.37;0.11;99.37;0.07196;0.07151;0.0004518;-11.429;-11.456;-33.450;1.00;76.04;
2025-11-21 13:16:55.22;0.00:00:01:742;1.00;0.00;0.00;0.07212;0.07165;2.147E-05;7.424E-05;0.01;0.03;99.34;0.10;99.34;0.07212;0.07165;0.0004754;-11.419;-11.448;-33.229;1.00;73.87;
2025-11-21 13:16:55.27;0.00:00:01:789;1.00;0.00;0.00;0.07219;0.07175;-1.232E-05;8.73E-05;0.00;0.03;99.39;0.12;99.39;0.07219;0.07175;0.0004422;-11.415;-11.442;-33.544;1.00;98.03;
2025-11-21 13:16:55.32;0.00:00:01:836;1.00;0.00;0.00;0.07212;0.07165;-1.298E-05;8.339E-05;-0.01;0.03;99.35;0.12;99.35;0.07212;0.07165;0.0004706;-11.420;-11.448;-33.274;1.00;98.85;
2025-11-21 13:16:55.36;0.00:00:01:883;1.00;0.00;0.00;0.07192;0.07145;-1.825E-05;8.288E-05;-0.01;0.03;99.34;0.12;99.34;0.07192;0.07145;0.0004717;-11.431;-11.460;-33.264;1.00;102.42;
2025-11-21 13:16:55.41;0.00:00:01:930;1.00;0.00;0.00;0.07198;0.07151;1.014E-05;8.098E-05;0.00;0.03;99.35;0.11;99.35;0.07198;0.07151;0.0004679;-11.428;-11.456;-33.298;1.00;82.86;
2025-11-21 13:16:55.46;0.00:00:01:978;1.00;0.00;0.00;0.07184;0.07144;-5.123E-05;9.561E-05;-0.02;0.04;99.44;0.13;99.44;0.07184;0.07144;0.0004023;-11.436;-11.461;-33.954;1.00;118.18;
2025-11-21 13:16:55.50;0.00:00:02:024;1.00;0.00;0.00;0.07177;0.07126;2.576E-05;7.608E-05;0.01;0.03;99.30;0.11;99.30;0.07177;0.07126;0.0005006;-11.441;-11.471;-33.005;1.00;71.30;
2025-11-21 13:16:55.55;0.00:00:02:070;1.00;0.00;0.00;0.07185;0.0714;7.761E-06;8.871E-05;0.00;0.04;99.38;0.12;99.38;0.07185;0.0714;0.0004474;-11.436;-11.463;-33.493;1.00;85.00;
2025-11-21 13:16:55.60;0.00:00:02:117;1.00;0.00;0.00;0.07184;0.0714;-3.665E-05;7.73E-05;-0.01;0.03;99.38;0.11;99.38;0.07184;0.0714;0.0004449;-11.436;-11.463;-33.517;1.00;115.37;
2025-11-21 13:16:55.64;0.00:00:02:164;1.00;0.00;0.00;0.07191;0.07141;5.791E-05;7.789E-05;0.02;0.03;99.32;0.11;99.32;0.07191;0.07141;0.0004918;-11.432;-11.462;-33.082;1.00;53.37;
2025-11-21 13:16:55.69;0.00:00:02:211;1.00;0.00;0.00;0.07206;0.07159;7.321E-06;8.419E-05;0.00;0.03;99.35;0.12;99.34;0.07206;0.07159;0.000472;-11.423;-11.452;-33.261;1.00;85.03;
2025-11-21 13:16:55.74;0.00:00:02:257;1.00;0.00;0.00;0.0721;0.07164;-9.379E-06;7.886E-05;0.00;0.03;99.36;0.11;99.36;0.0721;0.07164;0.0004614;-11.420;-11.448;-33.360;1.00;96.78;
