Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-11-21 13:10:27.64;0.00:00:00:068;1.00;0.00;0.00;0.07151;0.07096;-4.753E-05;-5.078E-05;-0.02;-0.02;99.23;0.07;99.23;0.07151;0.07096;0.00055;-11.456;-11.490;-32.597;1.00;-133.11;
2025-11-21 13:10:27.70;0.00:00:00:131;1.00;0.00;0.00;0.07132;0.07072;-2.981E-05;-6.253E-05;-0.01;-0.03;99.17;0.09;99.17;0.07132;0.07072;0.0005939;-11.468;-11.504;-32.263;1.00;-115.49;
2025-11-21 13:10:27.75;0.00:00:00:185;1.00;0.00;0.00;0.07158;0.07098;2.828E-05;-6.656E-05;0.01;-0.03;99.17;0.09;99.17;0.07158;0.07098;0.000595;-11.452;-11.488;-32.255;1.00;-66.98;
2025-11-21 13:10:27.80;0.00:00:00:236;1.00;0.00;0.00;0.07179;0.07123;-4.285E-05;-5.716E-05;-0.02;-0.02;99.21;0.08;99.21;0.07179;0.07123;0.0005663;-11.439;-11.474;-32.469;1.00;-126.85;
2025-11-21 13:10:27.86;0.00:00:00:296;1.00;0.00;0.00;0.0718;0.07124;-3.881E-05;-5.179E-05;-0.02;-0.02;99.22;0.07;99.22;0.0718;0.07124;0.0005615;-11.439;-11.473;-32.507;1.00;-126.85;
2025-11-21 13:10:27.92;0.00:00:00:347;1.00;0.00;0.00;0.07177;0.07122;-5.042E-05;-4.477E-05;-0.02;-0.02;99.24;0.06;99.24;0.07177;0.07122;0.0005472;-11.441;-11.474;-32.619;1.00;-138.40;
2025-11-21 13:10:27.98;0.00:00:00:408;1.00;0.00;0.00;0.07222;0.07166;1.317E-05;-2.746E-05;0.01;-0.01;99.23;0.04;99.23;0.07222;0.07166;0.0005596;-11.414;-11.447;-32.521;1.00;-64.38;
2025-11-21 13:10:28.03;0.00:00:00:458;1.00;0.00;0.00;0.07192;0.07142;-0.0001137;-4.076E-05;-0.05;-0.02;99.31;0.06;99.31;0.07192;0.07142;0.0004988;-11.432;-11.462;-33.021;1.00;-160.28;
2025-11-21 13:10:28.09;0.00:00:00:519;1.00;0.00;0.00;0.07157;0.071;4.799E-05;-6.749E-05;0.02;-0.03;99.21;0.09;99.21;0.07157;0.071;0.0005632;-11.453;-11.487;-32.494;1.00;-54.59;
2025-11-21 13:10:28.14;0.00:00:00:570;1.00;0.00;0.00;0.07144;0.07087;-1.933E-05;-6.394E-05;-0.01;-0.03;99.20;0.09;99.20;0.07144;0.07087;0.0005738;-11.460;-11.495;-32.412;1.00;-106.82;
2025-11-21 13:10:28.20;0.00:00:00:627;1.00;0.00;0.00;0.07166;0.07109;9.338E-06;-5.586E-05;0.00;-0.02;99.21;0.08;99.21;0.07166;0.07109;0.000567;-11.447;-11.482;-32.464;1.00;-80.51;
