Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-11-24 16:29:43.45;0.00:00:00:064;-1.00;0.00;0.00;0.04795;-0.04808;6.57E-06;3.974E-05;90.00;0.02;100.26;0.08;100.26;0.04795;0.04808;-0.0001266;-13.192;-13.181;-99.990;0.00;80.61;
2025-11-24 16:29:43.51;0.00:00:00:122;-1.00;0.00;0.00;0.04796;-0.04808;-2.099E-05;3.661E-05;-89.99;0.02;100.25;0.08;100.25;0.04796;0.04808;-0.000119;-13.192;-13.181;-99.990;0.00;119.83;
2025-11-24 16:29:43.57;0.00:00:00:184;-1.00;0.00;0.00;0.04796;-0.04808;-3.397E-06;4.053E-05;-90.00;0.02;100.23;0.08;100.23;0.04796;0.04808;-0.0001122;-13.191;-13.181;-99.990;0.00;94.79;
2025-11-24 16:29:43.62;0.00:00:00:234;-1.00;0.00;0.00;0.04794;-0.04808;-2.561E-05;5.367E-05;-89.98;0.03;100.29;0.11;100.29;0.04794;0.04808;-0.0001379;-13.193;-13.181;-99.990;0.00;115.51;
2025-11-24 16:29:43.66;0.00:00:00:280;-1.00;0.00;0.00;0.04793;-0.04806;2.416E-05;3.8E-05;89.99;0.02;100.27;0.08;100.27;0.04793;0.04806;-0.0001305;-13.194;-13.182;-99.990;0.00;57.56;
2025-11-24 16:29:43.71;0.00:00:00:325;-1.00;0.00;0.00;0.04802;-0.04816;6.581E-06;4.868E-05;90.00;0.03;100.28;0.10;100.28;0.04802;0.04816;-0.0001349;-13.186;-13.173;-99.990;0.00;82.30;
2025-11-24 16:29:43.76;0.00:00:00:377;-1.00;0.00;0.00;0.04804;-0.04816;-3.204E-07;3.972E-05;-90.00;0.02;100.26;0.08;100.26;0.04804;0.04816;-0.0001227;-13.184;-13.173;-99.990;0.00;90.46;
2025-11-24 16:29:43.82;0.00:00:00:438;-1.00;0.00;0.00;0.04801;-0.04815;1.371E-05;4.658E-05;89.99;0.03;100.28;0.10;100.28;0.04801;0.04815;-0.0001358;-13.187;-13.174;-99.990;0.00;73.60;
2025-11-24 16:29:43.87;0.00:00:00:488;-1.00;0.00;0.00;0.04802;-0.04816;4.52E-05;4.613E-05;89.97;0.03;100.29;0.10;100.29;0.04802;0.04816;-0.0001409;-13.186;-13.173;-99.990;0.00;45.58;
2025-11-24 16:29:43.93;0.00:00:00:541;-1.00;0.00;0.00;0.04801;-0.04815;1.525E-05;4.44E-05;89.99;0.03;100.29;0.09;100.29;0.04801;0.04815;-0.0001389;-13.186;-13.174;-99.990;0.00;71.05;
