Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-11-24 16:47:31.83;0.00:00:00:070;1.00;0.00;0.00;0.06256;0.06236;2.837E-05;-1.282E-05;0.01;-0.01;99.68;0.02;99.68;0.06256;0.06236;0.0001977;-12.037;-12.051;-37.041;1.00;-24.32;
2025-11-24 16:47:31.89;0.00:00:00:137;1.00;0.00;0.00;0.06253;0.06236;2.348E-05;-8.774E-07;0.01;0.00;99.73;0.00;99.73;0.06253;0.06236;0.0001702;-12.039;-12.051;-37.690;1.00;-2.14;
2025-11-24 16:47:31.94;0.00:00:00:183;1.00;0.00;0.00;0.06252;0.06237;9.992E-06;9.207E-06;0.00;0.00;99.76;0.01;99.76;0.06252;0.06237;0.0001499;-12.040;-12.050;-38.242;1.00;42.66;
2025-11-24 16:47:31.99;0.00:00:00:230;1.00;0.00;0.00;0.06256;0.06241;1.071E-05;-5.657E-07;0.00;0.00;99.77;0.00;99.77;0.06256;0.06241;0.0001447;-12.037;-12.047;-38.394;1.00;-3.02;
2025-11-24 16:47:32.04;0.00:00:00:282;1.00;0.00;0.00;0.06252;0.06237;3.489E-05;-2.208E-05;0.02;-0.01;99.77;0.04;99.77;0.06252;0.06237;0.000146;-12.040;-12.050;-38.355;1.00;-32.33;
2025-11-24 16:47:32.10;0.00:00:00:341;1.00;0.00;0.00;0.06249;0.06239;5.341E-07;-1.712E-05;0.00;-0.01;99.83;0.03;99.83;0.06249;0.06239;0.0001043;-12.042;-12.049;-39.819;1.00;-88.21;
2025-11-24 16:47:32.15;0.00:00:00:387;1.00;0.00;0.00;0.0625;0.06232;1.628E-05;-2.487E-05;0.01;-0.01;99.72;0.04;99.72;0.0625;0.06232;0.0001763;-12.041;-12.054;-37.538;1.00;-56.79;
2025-11-24 16:47:32.19;0.00:00:00:435;1.00;0.00;0.00;0.06247;0.06236;2.652E-05;-9.93E-06;0.01;0.00;99.81;0.02;99.81;0.06247;0.06236;0.0001178;-12.043;-12.051;-39.288;1.00;-20.53;
2025-11-24 16:47:32.24;0.00:00:00:482;1.00;0.00;0.00;0.06252;0.06239;1.835E-05;-2.053E-05;0.01;-0.01;99.79;0.03;99.79;0.06252;0.06239;0.0001331;-12.040;-12.049;-38.759;1.00;-48.20;
2025-11-24 16:47:32.29;0.00:00:00:529;1.00;0.00;0.00;0.06256;0.0624;7.274E-06;-8.501E-06;0.00;0.00;99.74;0.01;99.74;0.06256;0.0624;0.0001622;-12.037;-12.048;-37.898;1.00;-49.45;
2025-11-24 16:47:32.33;0.00:00:00:576;1.00;0.00;0.00;0.06259;0.0624;1.529E-05;-8.969E-06;0.01;0.00;99.70;0.01;99.70;0.06259;0.0624;0.0001898;-12.035;-12.048;-37.218;1.00;-30.39;
2025-11-24 16:47:32.38;0.00:00:00:622;1.00;0.00;0.00;0.06254;0.06245;-2.514E-05;3.325E-06;-0.01;0.00;99.87;0.01;99.87;0.06254;0.06245;8.336E-05;-12.039;-12.044;-40.790;1.00;172.46;
2025-11-24 16:47:32.43;0.00:00:00:668;1.00;0.00;0.00;0.06253;0.06235;-3.433E-07;1.061E-05;0.00;0.00;99.72;0.02;99.72;0.06253;0.06235;0.0001748;-12.039;-12.051;-37.574;1.00;91.85;
2025-11-24 16:47:32.47;0.00:00:00:716;1.00;0.00;0.00;0.0625;0.06239;-2.515E-06;7.58E-06;0.00;0.00;99.83;0.01;99.83;0.0625;0.06239;0.000108;-12.041;-12.049;-39.668;1.00;108.36;
2025-11-24 16:47:32.52;0.00:00:00:762;1.00;0.00;0.00;0.06254;0.06233;1.412E-05;-3.473E-05;0.01;-0.02;99.65;0.06;99.65;0.06254;0.06233;0.0002175;-12.038;-12.053;-36.625;1.00;-67.88;
2025-11-24 16:47:32.57;0.00:00:00:809;1.00;0.00;0.00;0.06247;0.06238;1.541E-05;1.633E-05;0.01;0.01;99.86;0.03;99.86;0.06247;0.06238;8.831E-05;-12.043;-12.050;-40.540;1.00;46.66;
2025-11-24 16:47:32.61;0.00:00:00:856;1.00;0.00;0.00;0.06253;0.06235;4.252E-05;-7.287E-06;0.02;0.00;99.72;0.01;99.72;0.06253;0.06235;0.0001754;-12.039;-12.051;-37.559;1.00;-9.73;
2025-11-24 16:47:32.66;0.00:00:00:907;1.00;0.00;0.00;0.06252;0.06237;1.377E-05;-9.4E-06;0.01;0.00;99.77;0.02;99.77;0.06252;0.06237;0.0001466;-12.040;-12.050;-38.340;1.00;-34.32;
2025-11-24 16:47:32.72;0.00:00:00:966;1.00;0.00;0.00;0.06252;0.06236;2.187E-05;6.321E-06;0.01;0.00;99.74;0.01;99.74;0.06252;0.06236;0.0001647;-12.040;-12.051;-37.833;1.00;16.12;
2025-11-24 16:47:32.77;0.00:00:01:012;1.00;0.00;0.00;0.06253;0.06241;1.308E-05;4.791E-06;0.01;0.00;99.82;0.01;99.82;0.06253;0.06241;0.0001124;-12.039;-12.047;-39.493;1.00;20.12;
2025-11-24 16:47:32.82;0.00:00:01:059;1.00;0.00;0.00;0.06248;0.06236;4.697E-06;-2.859E-06;0.00;0.00;99.82;0.00;99.82;0.06248;0.06236;0.0001147;-12.043;-12.051;-39.405;1.00;-31.33;
2025-11-24 16:47:32.86;0.00:00:01:104;1.00;0.00;0.00;0.06251;0.0623;3.43E-05;-2.454E-05;0.02;-0.01;99.67;0.04;99.67;0.06251;0.0623;0.0002094;-12.040;-12.055;-36.791;1.00;-35.58;
2025-11-24 16:47:32.91;0.00:00:01:152;1.00;0.00;0.00;0.06254;0.06236;1.383E-05;-5.046E-06;0.01;0.00;99.72;0.01;99.72;0.06254;0.06236;0.000172;-12.039;-12.051;-37.644;1.00;-20.05;
2025-11-24 16:47:32.96;0.00:00:01:201;1.00;0.00;0.00;0.06251;0.06238;5.638E-05;-1.253E-05;0.03;-0.01;99.80;0.02;99.80;0.06251;0.06238;0.0001248;-12.041;-12.049;-39.038;1.00;-12.53;
2025-11-24 16:47:33.02;0.00:00:01:264;1.00;0.00;0.00;0.06251;0.06234;3.986E-05;-1.545E-06;0.02;0.00;99.72;0.00;99.72;0.06251;0.06234;0.0001768;-12.040;-12.053;-37.526;1.00;-2.22;
2025-11-24 16:47:33.08;0.00:00:01:324;1.00;0.00;0.00;0.06243;0.0623;-1.634E-05;-2.9E-05;-0.01;-0.01;99.80;0.05;99.80;0.06243;0.0623;0.0001236;-12.046;-12.055;-39.081;1.00;-119.40;
2025-11-24 16:47:33.13;0.00:00:01:375;1.00;0.00;0.00;0.06245;0.06231;4.308E-05;3.203E-06;0.02;0.00;99.77;0.01;99.77;0.06245;0.06231;0.0001427;-12.044;-12.054;-38.457;1.00;4.25;
2025-11-24 16:47:33.19;0.00:00:01:433;1.00;0.00;0.00;0.06248;0.06238;2.11E-06;2.489E-06;0.00;0.00;99.84;0.00;99.84;0.06248;0.06238;9.845E-05;-12.043;-12.050;-40.068;1.00;49.71;
2025-11-24 16:47:33.24;0.00:00:01:481;1.00;0.00;0.00;0.06251;0.06228;-6.179E-06;-4.024E-06;0.00;0.00;99.64;0.01;99.64;0.06251;0.06228;0.0002245;-12.041;-12.056;-36.489;1.00;-146.92;
2025-11-24 16:47:33.29;0.00:00:01:534;1.00;0.00;0.00;0.06248;0.06235;2.57E-05;-3.026E-05;0.01;-0.01;99.80;0.05;99.80;0.06248;0.06235;0.0001276;-12.043;-12.051;-38.942;1.00;-49.66;
2025-11-24 16:47:33.35;0.00:00:01:593;1.00;0.00;0.00;0.06247;0.06228;4.45E-05;-1.453E-05;0.02;-0.01;99.69;0.02;99.69;0.06247;0.06228;0.0001935;-12.043;-12.057;-37.133;1.00;-18.09;
2025-11-24 16:47:33.40;0.00:00:01:641;1.00;0.00;0.00;0.06245;0.06238;1.71E-05;-1.121E-05;0.01;-0.01;99.88;0.02;99.88;0.06245;0.06238;7.779E-05;-12.044;-12.050;-41.091;1.00;-33.25;
2025-11-24 16:47:33.45;0.00:00:01:687;1.00;0.00;0.00;0.06245;0.06225;-4.84E-06;-1.081E-06;0.00;0.00;99.68;0.00;99.68;0.06245;0.06225;0.0001977;-12.045;-12.059;-37.040;1.00;-167.41;
