Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-11-24 15:35:07.17;0.00:00:00:065;1.00;0.00;0.00;0.07606;0.07597;-0.0001003;1.29E-05;-0.04;0.00;99.88;0.02;99.88;0.07606;0.07597;9.193E-05;-11.188;-11.194;-40.366;1.00;172.67;
2025-11-24 15:35:07.23;0.00:00:00:124;1.00;0.00;0.00;0.07595;0.07595;-8.02E-05;2.019E-05;-0.03;0.01;99.99;0.03;99.99;0.07595;0.07595;7.17E-06;-11.195;-11.195;-51.445;1.00;165.87;
2025-11-24 15:35:07.29;0.00:00:00:182;1.00;0.00;0.00;0.07591;0.07587;-7.348E-05;1.384E-05;-0.03;0.01;99.95;0.02;99.95;0.07591;0.07587;3.94E-05;-11.197;-11.199;-44.045;1.00;169.33;
2025-11-24 15:35:07.34;0.00:00:00:232;1.00;0.00;0.00;0.07596;0.07591;-7.415E-05;2.547E-05;-0.03;0.01;99.94;0.03;99.94;0.07596;0.07591;4.29E-05;-11.194;-11.197;-43.675;1.00;161.05;
2025-11-24 15:35:07.40;0.00:00:00:286;1.00;0.00;0.00;0.07598;0.07587;-0.0001109;-1.697E-05;-0.04;-0.01;99.86;0.02;99.86;0.07598;0.07587;0.0001089;-11.193;-11.199;-39.628;1.00;-171.30;
2025-11-24 15:35:07.44;0.00:00:00:335;1.00;0.00;0.00;0.07591;0.07588;-0.0001152;-6.039E-06;-0.04;0.00;99.96;0.01;99.96;0.07591;0.07588;2.821E-05;-11.197;-11.199;-45.496;1.00;-177.00;
2025-11-24 15:35:07.50;0.00:00:00:388;1.00;0.00;0.00;0.07591;0.07585;-0.0001025;6.678E-06;-0.04;0.00;99.93;0.01;99.93;0.07591;0.07585;5.61E-05;-11.197;-11.200;-42.511;1.00;176.27;
2025-11-24 15:35:07.55;0.00:00:00:440;1.00;0.00;0.00;0.07594;0.07584;-5.752E-05;2.298E-05;-0.02;0.01;99.86;0.03;99.86;0.07594;0.07584;0.0001034;-11.195;-11.201;-39.853;1.00;158.22;
2025-11-24 15:35:07.60;0.00:00:00:487;1.00;0.00;0.00;0.07595;0.07586;-9.308E-05;2.379E-05;-0.04;0.01;99.89;0.03;99.89;0.07595;0.07586;8.164E-05;-11.195;-11.200;-40.881;1.00;165.66;
2025-11-24 15:35:07.66;0.00:00:00:552;1.00;0.00;0.00;0.0759;0.07585;-4.725E-05;2.631E-06;-0.02;0.00;99.93;0.00;99.93;0.0759;0.07585;5.48E-05;-11.198;-11.201;-42.612;1.00;176.81;
