Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-11-24 16:28:05.86;0.00:00:00:060;1.00;0.00;0.00;0.06288;0.06276;-5.255E-05;2.114E-05;-0.02;0.01;99.81;0.03;99.81;0.06288;0.06276;0.0001201;-12.015;-12.023;-39.204;1.00;158.09;
2025-11-24 16:28:05.93;0.00:00:00:131;1.00;0.00;0.00;0.06297;0.06279;-2.117E-05;1.893E-05;-0.01;0.01;99.71;0.03;99.71;0.06297;0.06279;0.000184;-12.009;-12.021;-37.351;1.00;138.19;
2025-11-24 16:28:05.98;0.00:00:00:182;1.00;0.00;0.00;0.06306;0.06287;-1.938E-05;1.766E-05;-0.01;0.01;99.69;0.03;99.69;0.06306;0.06287;0.0001964;-12.002;-12.016;-37.068;1.00;137.66;
2025-11-24 16:28:06.02;0.00:00:00:225;1.00;0.00;0.00;0.06309;0.06289;-1.462E-05;4.762E-07;-0.01;0.00;99.68;0.00;99.68;0.06309;0.06289;0.0002039;-12.000;-12.014;-36.905;1.00;178.13;
2025-11-24 16:28:06.08;0.00:00:00:283;1.00;0.00;0.00;0.06313;0.06296;-3.492E-05;7.269E-06;-0.02;0.00;99.74;0.01;99.74;0.06313;0.06296;0.0001662;-11.998;-12.009;-37.792;1.00;168.24;
2025-11-24 16:28:06.15;0.00:00:00:350;1.00;0.00;0.00;0.06313;0.06292;-3.737E-06;7.148E-06;0.00;0.00;99.67;0.01;99.67;0.06313;0.06292;0.0002098;-11.997;-12.012;-36.782;1.00;117.60;
2025-11-24 16:28:06.20;0.00:00:00:405;1.00;0.00;0.00;0.0631;0.06293;-7.894E-06;6.976E-06;0.00;0.00;99.74;0.01;99.74;0.0631;0.06293;0.0001626;-12.000;-12.011;-37.888;1.00;138.53;
2025-11-24 16:28:06.25;0.00:00:00:452;1.00;0.00;0.00;0.06313;0.06296;-4.275E-05;1.118E-05;-0.02;0.01;99.72;0.02;99.72;0.06313;0.06296;0.0001771;-11.997;-12.010;-37.518;1.00;165.35;
2025-11-24 16:28:06.30;0.00:00:00:507;1.00;0.00;0.00;0.06311;0.06293;-2.581E-05;1.361E-05;-0.01;0.01;99.71;0.02;99.71;0.06311;0.06293;0.0001861;-11.999;-12.012;-37.302;1.00;152.19;
2025-11-24 16:28:06.35;0.00:00:00:558;1.00;0.00;0.00;0.06306;0.06288;2.369E-05;1.047E-05;0.01;0.00;99.72;0.02;99.72;0.06306;0.06288;0.0001791;-12.002;-12.015;-37.470;1.00;23.85;
2025-11-24 16:28:06.40;0.00:00:00:608;1.00;0.00;0.00;0.06304;0.06285;-3.276E-05;7.274E-06;-0.01;0.00;99.71;0.01;99.71;0.06304;0.06285;0.0001809;-12.004;-12.017;-37.427;1.00;167.48;
2025-11-24 16:28:06.46;0.00:00:00:662;1.00;0.00;0.00;0.06299;0.06281;-4.472E-05;-3.65E-06;-0.02;0.00;99.72;0.01;99.72;0.06299;0.06281;0.0001761;-12.007;-12.019;-37.541;1.00;-175.33;
2025-11-24 16:28:06.52;0.00:00:00:721;1.00;0.00;0.00;0.06297;0.0628;-3.114E-05;2.789E-05;-0.01;0.01;99.73;0.04;99.73;0.06297;0.0628;0.0001676;-12.009;-12.021;-37.757;1.00;138.16;
2025-11-24 16:28:06.57;0.00:00:00:772;1.00;0.00;0.00;0.06301;0.0628;-1.683E-05;2.506E-05;-0.01;0.01;99.67;0.04;99.67;0.06301;0.0628;0.0002105;-12.006;-12.020;-36.767;1.00;123.89;
2025-11-24 16:28:06.62;0.00:00:00:824;1.00;0.00;0.00;0.06302;0.06279;-5.269E-05;2.055E-05;-0.02;0.01;99.64;0.03;99.64;0.06302;0.06279;0.0002299;-12.005;-12.021;-36.385;1.00;158.70;
2025-11-24 16:28:06.67;0.00:00:00:875;1.00;0.00;0.00;0.063;0.06276;-2.544E-05;2.298E-06;-0.01;0.00;99.62;0.00;99.62;0.063;0.06276;0.0002411;-12.007;-12.023;-36.178;1.00;174.84;
