Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-11-24 16:45:52.77;0.00:00:00:060;-1.00;0.00;0.00;0.04732;-0.04746;3.829E-05;-3.728E-06;89.98;0.00;100.30;0.01;100.30;0.04732;0.04746;-0.0001402;-13.249;-13.236;-99.990;0.00;-5.56;
2025-11-24 16:45:52.84;0.00:00:00:133;-1.00;0.00;0.00;0.04733;-0.04746;6.951E-05;-1.439E-05;89.96;-0.01;100.28;0.03;100.28;0.04733;0.04746;-0.0001344;-13.249;-13.237;-99.990;0.00;-11.70;
2025-11-24 16:45:52.89;0.00:00:00:184;-1.00;0.00;0.00;0.04731;-0.04744;3.391E-05;2.694E-06;89.98;0.00;100.27;0.01;100.27;0.04731;0.04744;-0.0001288;-13.250;-13.238;-99.990;0.00;4.54;
2025-11-24 16:45:52.94;0.00:00:00:235;-1.00;0.00;0.00;0.04734;-0.04749;4.381E-05;-3.087E-06;89.97;0.00;100.31;0.01;100.31;0.04734;0.04749;-0.0001453;-13.248;-13.234;-99.990;0.00;-4.03;
2025-11-24 16:45:52.99;0.00:00:00:287;-1.00;0.00;0.00;0.04731;-0.04744;4.956E-05;3.478E-06;89.97;0.00;100.28;0.01;100.28;0.04731;0.04744;-0.0001316;-13.251;-13.239;-99.990;0.00;4.01;
2025-11-24 16:45:53.05;0.00:00:00:344;-1.00;0.00;0.00;0.0473;-0.04744;2.128E-05;1.043E-05;89.99;0.01;100.30;0.02;100.30;0.0473;0.04744;-0.0001432;-13.252;-13.239;-99.990;0.00;26.10;
2025-11-24 16:45:53.09;0.00:00:00:390;-1.00;0.00;0.00;0.04724;-0.0474;3.776E-05;-9.24E-06;89.98;-0.01;100.33;0.02;100.33;0.04724;0.0474;-0.0001543;-13.257;-13.242;-99.990;0.00;-13.75;
2025-11-24 16:45:53.15;0.00:00:00:441;-1.00;0.00;0.00;0.04719;-0.04732;6.467E-06;1.703E-05;90.00;0.01;100.27;0.04;100.27;0.04719;0.04732;-0.0001278;-13.261;-13.249;-99.990;0.00;69.21;
2025-11-24 16:45:53.20;0.00:00:00:492;-1.00;0.00;0.00;0.04723;-0.04738;2.836E-05;-2.54E-06;89.98;0.00;100.33;0.01;100.33;0.04723;0.04738;-0.0001536;-13.258;-13.244;-99.990;0.00;-5.12;
2025-11-24 16:45:53.25;0.00:00:00:543;-1.00;0.00;0.00;0.04724;-0.04736;6.529E-05;1.278E-05;89.96;0.01;100.26;0.03;100.26;0.04724;0.04736;-0.0001231;-13.257;-13.246;-99.990;0.00;11.08;
2025-11-24 16:45:53.30;0.00:00:00:594;-1.00;0.00;0.00;0.04733;-0.04746;2.509E-05;-1.716E-05;89.98;-0.01;100.29;0.04;100.29;0.04733;0.04746;-0.000138;-13.249;-13.236;-99.990;0.00;-34.37;
2025-11-24 16:45:53.35;0.00:00:00:646;-1.00;0.00;0.00;0.04733;-0.04747;1.921E-05;-4.932E-06;89.99;0.00;100.31;0.01;100.31;0.04733;0.04747;-0.0001463;-13.249;-13.235;-99.990;0.00;-14.40;
2025-11-24 16:45:53.40;0.00:00:00:696;-1.00;0.00;0.00;0.04728;-0.0474;3.71E-05;1.403E-05;89.98;0.01;100.26;0.03;100.26;0.04728;0.0474;-0.0001208;-13.253;-13.242;-99.990;0.00;20.71;
2025-11-24 16:45:53.46;0.00:00:00:758;-1.00;0.00;0.00;0.04727;-0.04741;4.128E-05;1.474E-05;89.98;0.01;100.29;0.03;100.29;0.04727;0.04741;-0.0001369;-13.254;-13.241;-99.990;0.00;19.65;
2025-11-24 16:45:53.52;0.00:00:00:817;-1.00;0.00;0.00;0.04727;-0.04742;3.882E-05;-2.712E-06;89.98;0.00;100.32;0.01;100.32;0.04727;0.04742;-0.0001501;-13.254;-13.240;-99.990;0.00;-4.00;
2025-11-24 16:45:53.58;0.00:00:00:871;-1.00;0.00;0.00;0.04728;-0.04741;5.238E-05;-7.261E-06;89.97;0.00;100.28;0.02;100.28;0.04728;0.04741;-0.0001329;-13.253;-13.241;-99.990;0.00;-7.89;
2025-11-24 16:45:53.63;0.00:00:00:923;-1.00;0.00;0.00;0.04731;-0.04745;1.597E-05;-5.255E-06;89.99;0.00;100.29;0.01;100.29;0.04731;0.04745;-0.0001373;-13.251;-13.238;-99.990;0.00;-18.21;
2025-11-24 16:45:53.68;0.00:00:00:974;-1.00;0.00;0.00;0.04726;-0.04738;3.917E-05;2.329E-06;89.98;0.00;100.26;0.00;100.26;0.04726;0.04738;-0.0001209;-13.255;-13.244;-99.990;0.00;3.40;
2025-11-24 16:45:53.74;0.00:00:01:031;-1.00;0.00;0.00;0.04735;-0.04749;1.751E-05;-1.594E-05;89.99;-0.01;100.30;0.03;100.30;0.04735;0.04749;-0.0001421;-13.247;-13.234;-99.990;0.00;-42.32;
2025-11-24 16:45:53.78;0.00:00:01:077;-1.00;0.00;0.00;0.04739;-0.04753;5.659E-05;3.91E-06;89.97;0.00;100.29;0.01;100.29;0.04739;0.04753;-0.0001372;-13.243;-13.230;-99.990;0.00;3.95;
2025-11-24 16:45:53.84;0.00:00:01:134;-1.00;0.00;0.00;0.04739;-0.04754;3.178E-05;-2.447E-05;89.98;-0.01;100.30;0.05;100.30;0.04739;0.04754;-0.000141;-13.243;-13.230;-99.990;0.00;-37.59;
2025-11-24 16:45:53.90;0.00:00:01:199;-1.00;0.00;0.00;0.04737;-0.0475;4.924E-05;1.625E-05;89.97;0.01;100.28;0.03;100.28;0.04737;0.0475;-0.0001325;-13.245;-13.233;-99.990;0.00;18.26;
2025-11-24 16:45:53.96;0.00:00:01:252;-1.00;0.00;0.00;0.04738;-0.04753;5.383E-05;-1.803E-05;89.97;-0.01;100.30;0.04;100.30;0.04738;0.04753;-0.0001422;-13.244;-13.231;-99.990;0.00;-18.52;
2025-11-24 16:45:54.01;0.00:00:01:304;-1.00;0.00;0.00;0.04738;-0.04752;1.989E-05;1.157E-05;89.99;0.01;100.29;0.02;100.29;0.04738;0.04752;-0.0001393;-13.244;-13.231;-99.990;0.00;30.18;
2025-11-24 16:45:54.06;0.00:00:01:355;-1.00;0.00;0.00;0.04732;-0.04746;1.892E-05;-4.212E-06;89.99;0.00;100.29;0.01;100.29;0.04732;0.04746;-0.0001363;-13.249;-13.237;-99.990;0.00;-12.55;
2025-11-24 16:45:54.11;0.00:00:01:406;-1.00;0.00;0.00;0.0473;-0.04744;5.781E-05;-6.381E-06;89.97;0.00;100.28;0.01;100.28;0.0473;0.04744;-0.000131;-13.251;-13.239;-99.990;0.00;-6.30;
2025-11-24 16:45:54.16;0.00:00:01:457;-1.00;0.00;0.00;0.04733;-0.04749;6.252E-05;1.783E-06;89.96;0.00;100.33;0.00;100.33;0.04733;0.04749;-0.000156;-13.249;-13.234;-99.990;0.00;1.63;
2025-11-24 16:45:54.22;0.00:00:01:520;-1.00;0.00;0.00;0.04731;-0.04743;4.575E-05;-4.154E-07;89.97;0.00;100.24;0.00;100.24;0.04731;0.04743;-0.0001127;-13.250;-13.240;-99.990;0.00;-0.52;
2025-11-24 16:45:54.27;0.00:00:01:566;-1.00;0.00;0.00;0.04735;-0.04752;4.793E-05;-1.116E-05;89.97;-0.01;100.34;0.02;100.34;0.04735;0.04752;-0.0001609;-13.246;-13.232;-99.990;0.00;-13.11;
2025-11-24 16:45:54.32;0.00:00:01:611;-1.00;0.00;0.00;0.04733;-0.04745;6.513E-05;-2.32E-06;89.96;0.00;100.26;0.00;100.26;0.04733;0.04745;-0.0001221;-13.249;-13.238;-99.990;0.00;-2.04;
2025-11-24 16:45:54.38;0.00:00:01:678;-1.00;0.00;0.00;0.04732;-0.04747;3.383E-05;2.971E-06;89.98;0.00;100.31;0.01;100.31;0.04732;0.04747;-0.0001469;-13.249;-13.236;-99.990;0.00;5.02;
2025-11-24 16:45:54.44;0.00:00:01:735;-1.00;0.00;0.00;0.04726;-0.04739;4.837E-05;-1.865E-05;89.97;-0.01;100.27;0.04;100.27;0.04726;0.04739;-0.0001278;-13.255;-13.243;-99.990;0.00;-21.09;
2025-11-24 16:45:54.49;0.00:00:01:785;-1.00;0.00;0.00;0.04732;-0.04747;4.294E-05;-8.417E-06;89.97;-0.01;100.30;0.02;100.30;0.04732;0.04747;-0.000144;-13.249;-13.236;-99.990;0.00;-11.09;
2025-11-24 16:45:54.55;0.00:00:01:842;-1.00;0.00;0.00;0.04732;-0.04748;4.314E-05;-3.239E-06;89.97;0.00;100.33;0.01;100.33;0.04732;0.04748;-0.0001572;-13.249;-13.235;-99.990;0.00;-4.29;
2025-11-24 16:45:54.60;0.00:00:01:898;-1.00;0.00;0.00;0.04729;-0.04744;2.859E-05;-1.302E-05;89.98;-0.01;100.30;0.03;100.30;0.04729;0.04744;-0.0001428;-13.252;-13.239;-99.990;0.00;-24.48;
2025-11-24 16:45:54.66;0.00:00:01:954;-1.00;0.00;0.00;0.04734;-0.04748;5.321E-05;-3.85E-06;89.97;0.00;100.29;0.01;100.29;0.04734;0.04748;-0.0001366;-13.248;-13.235;-99.990;0.00;-4.14;
2025-11-24 16:45:54.71;0.00:00:02:001;-1.00;0.00;0.00;0.04732;-0.04745;6.191E-05;-4.582E-07;89.96;0.00;100.29;0.00;100.29;0.04732;0.04745;-0.0001381;-13.250;-13.237;-99.990;0.00;-0.42;
2025-11-24 16:45:54.75;0.00:00:02:048;-1.00;0.00;0.00;0.04728;-0.04741;5.967E-05;8.167E-06;89.96;0.00;100.28;0.02;100.28;0.04728;0.04741;-0.0001309;-13.254;-13.242;-99.990;0.00;7.79;
2025-11-24 16:45:54.80;0.00:00:02:095;-1.00;0.00;0.00;0.04727;-0.04741;7.9E-06;-4.687E-06;90.00;0.00;100.29;0.01;100.29;0.04727;0.04741;-0.000136;-13.254;-13.242;-99.990;0.00;-30.67;
2025-11-24 16:45:54.85;0.00:00:02:141;-1.00;0.00;0.00;0.04727;-0.04741;3.729E-05;-4.556E-06;89.98;0.00;100.28;0.01;100.28;0.04727;0.04741;-0.0001321;-13.254;-13.242;-99.990;0.00;-6.97;
2025-11-24 16:45:54.89;0.00:00:02:188;-1.00;0.00;0.00;0.04729;-0.04744;1.588E-05;-1.111E-05;89.99;-0.01;100.31;0.02;100.31;0.04729;0.04744;-0.0001455;-13.252;-13.239;-99.990;0.00;-34.98;
2025-11-24 16:45:54.94;0.00:00:02:235;-1.00;0.00;0.00;0.04733;-0.04748;6.755E-05;4.655E-06;89.96;0.00;100.33;0.01;100.33;0.04733;0.04748;-0.0001552;-13.249;-13.234;-99.990;0.00;3.94;
2025-11-24 16:45:54.99;0.00:00:02:282;-1.00;0.00;0.00;0.04728;-0.04743;2.137E-05;-1.033E-05;89.99;-0.01;100.31;0.02;100.31;0.04728;0.04743;-0.0001469;-13.253;-13.239;-99.990;0.00;-25.79;
2025-11-24 16:45:55.03;0.00:00:02:328;-1.00;0.00;0.00;0.0473;-0.04744;1.18E-05;3.45E-06;89.99;0.00;100.30;0.01;100.30;0.0473;0.04744;-0.0001417;-13.251;-13.238;-99.990;0.00;16.29;
2025-11-24 16:45:55.08;0.00:00:02:375;-1.00;0.00;0.00;0.04734;-0.04748;4.609E-05;3.905E-06;89.97;0.00;100.32;0.01;100.32;0.04734;0.04748;-0.0001492;-13.248;-13.234;-99.990;0.00;4.84;
2025-11-24 16:45:55.13;0.00:00:02:421;-1.00;0.00;0.00;0.04736;-0.04751;6.312E-05;-1.231E-05;89.96;-0.01;100.31;0.03;100.31;0.04736;0.04751;-0.0001468;-13.246;-13.233;-99.990;0.00;-11.04;
2025-11-24 16:45:55.17;0.00:00:02:467;-1.00;0.00;0.00;0.04732;-0.04746;4.217E-05;4.317E-06;89.97;0.00;100.28;0.01;100.28;0.04732;0.04746;-0.0001326;-13.249;-13.237;-99.990;0.00;5.85;
2025-11-24 16:45:55.22;0.00:00:02:513;-1.00;0.00;0.00;0.04733;-0.0475;7.071E-05;-1.626E-05;89.96;-0.01;100.35;0.03;100.35;0.04733;0.0475;-0.0001666;-13.248;-13.233;-99.990;0.00;-12.95;
2025-11-24 16:45:55.26;0.00:00:02:560;-1.00;0.00;0.00;0.04732;-0.04748;7.656E-05;1.233E-05;89.95;0.01;100.33;0.03;100.33;0.04732;0.04748;-0.0001562;-13.250;-13.235;-99.990;0.00;9.15;
2025-11-24 16:45:55.31;0.00:00:02:607;-1.00;0.00;0.00;0.04736;-0.0475;2.283E-05;1.043E-05;89.99;0.01;100.29;0.02;100.29;0.04736;0.0475;-0.0001365;-13.246;-13.233;-99.990;0.00;24.54;
2025-11-24 16:45:55.36;0.00:00:02:653;-1.00;0.00;0.00;0.04731;-0.04744;-1.094E-05;6.254E-06;-89.99;0.00;100.28;0.01;100.28;0.04731;0.04744;-0.0001327;-13.250;-13.238;-99.990;0.00;150.25;
2025-11-24 16:45:55.40;0.00:00:02:700;-1.00;0.00;0.00;0.04732;-0.04748;4.817E-05;-6.803E-06;89.97;0.00;100.34;0.01;100.34;0.04732;0.04748;-0.0001595;-13.250;-13.235;-99.990;0.00;-8.04;
2025-11-24 16:45:55.45;0.00:00:02:747;-1.00;0.00;0.00;0.04732;-0.04745;4.245E-05;4.759E-06;89.97;0.00;100.26;0.01;100.26;0.04732;0.04745;-0.0001251;-13.249;-13.238;-99.990;0.00;6.40;
2025-11-24 16:45:55.50;0.00:00:02:794;-1.00;0.00;0.00;0.04734;-0.04749;7.307E-05;-1.254E-05;89.96;-0.01;100.31;0.03;100.31;0.04734;0.04749;-0.000146;-13.248;-13.234;-99.990;0.00;-9.73;
2025-11-24 16:45:55.55;0.00:00:02:841;-1.00;0.00;0.00;0.04732;-0.04746;4.009E-05;-3.886E-06;89.98;0.00;100.30;0.01;100.30;0.04732;0.04746;-0.0001433;-13.250;-13.237;-99.990;0.00;-5.54;
2025-11-24 16:45:55.59;0.00:00:02:889;-1.00;0.00;0.00;0.04728;-0.04744;5.544E-05;6.547E-06;89.97;0.00;100.32;0.01;100.32;0.04728;0.04744;-0.0001525;-13.253;-13.239;-99.990;0.00;6.74;
2025-11-24 16:45:55.64;0.00:00:02:934;-1.00;0.00;0.00;0.04731;-0.04745;4.872E-05;-7.343E-07;89.97;0.00;100.30;0.00;100.30;0.04731;0.04745;-0.0001424;-13.251;-13.238;-99.990;0.00;-0.86;
2025-11-24 16:45:55.69;0.00:00:02:982;-1.00;0.00;0.00;0.04727;-0.04741;7.655E-05;1.577E-05;89.95;0.01;100.30;0.03;100.30;0.04727;0.04741;-0.0001401;-13.254;-13.241;-99.990;0.00;11.64;
2025-11-24 16:45:55.73;0.00:00:03:028;-1.00;0.00;0.00;0.04725;-0.04737;3.727E-05;-1.499E-05;89.98;-0.01;100.26;0.03;100.26;0.04725;0.04737;-0.0001246;-13.256;-13.245;-99.990;0.00;-21.91;
2025-11-24 16:45:55.78;0.00:00:03:075;-1.00;0.00;0.00;0.04724;-0.0474;6.876E-05;1.133E-05;89.96;0.01;100.32;0.02;100.32;0.04724;0.0474;-0.0001517;-13.256;-13.243;-99.990;0.00;9.35;
2025-11-24 16:45:55.83;0.00:00:03:122;-1.00;0.00;0.00;0.04724;-0.04739;3.975E-05;1.089E-05;89.98;0.01;100.33;0.02;100.33;0.04724;0.04739;-0.0001577;-13.257;-13.243;-99.990;0.00;15.32;
2025-11-24 16:45:55.88;0.00:00:03:171;-1.00;0.00;0.00;0.04724;-0.04738;-1.737E-06;-1.263E-05;-90.00;-0.01;100.30;0.03;100.30;0.04724;0.04738;-0.0001417;-13.257;-13.244;-99.990;0.00;-97.85;
