Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-11-24 18:33:02.82;0.00:00:00:076;1.00;0.00;0.00;0.07733;0.077;-0.0001046;4.672E-05;-0.04;0.02;99.56;0.06;99.56;0.07733;0.077;0.0003384;-11.116;-11.135;-34.705;1.00;155.94;
2025-11-24 18:33:02.86;0.00:00:00:123;1.00;0.00;0.00;0.07773;0.07748;-0.00011;7.349E-05;-0.04;0.03;99.68;0.09;99.68;0.07773;0.07748;0.0002514;-11.094;-11.108;-35.997;1.00;146.25;
2025-11-24 18:33:02.91;0.00:00:00:170;1.00;0.00;0.00;0.07766;0.07743;-0.0001718;7.562E-05;-0.06;0.03;99.71;0.10;99.71;0.07766;0.07743;0.0002271;-11.098;-11.111;-36.438;1.00;156.25;
2025-11-24 18:33:02.96;0.00:00:00:217;1.00;0.00;0.00;0.07758;0.07724;-0.000118;8.186E-05;-0.04;0.03;99.56;0.11;99.56;0.07758;0.07724;0.0003415;-11.103;-11.122;-34.666;1.00;145.24;
2025-11-24 18:33:03.02;0.00:00:00:280;1.00;0.00;0.00;0.0777;0.07735;-0.000124;8.708E-05;-0.05;0.03;99.56;0.11;99.56;0.0777;0.07735;0.0003439;-11.096;-11.115;-34.635;1.00;144.91;
2025-11-24 18:33:03.07;0.00:00:00:325;1.00;0.00;0.00;0.07791;0.07755;-0.0001436;6.1E-05;-0.05;0.02;99.54;0.08;99.54;0.07791;0.07755;0.0003593;-11.084;-11.104;-34.446;1.00;156.99;
2025-11-24 18:33:03.11;0.00:00:00:372;1.00;0.00;0.00;0.07796;0.07766;-0.0001516;7.589E-05;-0.06;0.03;99.61;0.10;99.61;0.07796;0.07766;0.0003044;-11.081;-11.098;-35.165;1.00;153.41;
2025-11-24 18:33:03.16;0.00:00:00:419;1.00;0.00;0.00;0.07788;0.07757;-0.0001912;8.437E-05;-0.07;0.03;99.59;0.11;99.59;0.07788;0.07757;0.0003184;-11.086;-11.103;-34.970;1.00;156.19;
2025-11-24 18:33:03.21;0.00:00:00:466;1.00;0.00;0.00;0.07764;0.07738;-0.0001903;7.498E-05;-0.07;0.03;99.67;0.10;99.67;0.07764;0.07738;0.0002572;-11.099;-11.114;-35.898;1.00;158.50;
2025-11-24 18:33:03.25;0.00:00:00:513;1.00;0.00;0.00;0.07766;0.07733;-0.0001854;7.508E-05;-0.07;0.03;99.58;0.10;99.58;0.07766;0.07733;0.0003223;-11.098;-11.116;-34.918;1.00;157.96;
2025-11-24 18:33:03.30;0.00:00:00:559;1.00;0.00;0.00;0.07757;0.07725;-0.0002158;0.0001181;-0.08;0.04;99.59;0.15;99.59;0.07757;0.07725;0.0003172;-11.103;-11.121;-34.987;1.00;151.31;
2025-11-24 18:33:03.35;0.00:00:00:606;1.00;0.00;0.00;0.07745;0.07708;-0.0001607;5.553E-05;-0.06;0.02;99.52;0.07;99.52;0.07745;0.07708;0.0003752;-11.110;-11.131;-34.258;1.00;160.94;
2025-11-24 18:33:03.39;0.00:00:00:653;1.00;0.00;0.00;0.07742;0.07717;-0.0002161;9.098E-05;-0.08;0.03;99.67;0.12;99.67;0.07742;0.07717;0.0002531;-11.111;-11.125;-35.967;1.00;157.17;
2025-11-24 18:33:03.44;0.00:00:00:699;1.00;0.00;0.00;0.07734;0.07702;-0.0001545;7.487E-05;-0.06;0.03;99.59;0.10;99.59;0.07734;0.07702;0.000319;-11.116;-11.134;-34.963;1.00;154.14;
2025-11-24 18:33:03.49;0.00:00:00:745;1.00;0.00;0.00;0.0775;0.07714;-0.0001357;7.01E-05;-0.05;0.03;99.53;0.09;99.53;0.0775;0.07714;0.000366;-11.107;-11.127;-34.365;1.00;152.68;
2025-11-24 18:33:03.53;0.00:00:00:792;1.00;0.00;0.00;0.07754;0.07724;-0.0001503;7.276E-05;-0.06;0.03;99.62;0.09;99.62;0.07754;0.07724;0.0002943;-11.105;-11.121;-35.312;1.00;154.16;
2025-11-24 18:33:03.58;0.00:00:00:839;1.00;0.00;0.00;0.07765;0.07734;-0.0001252;5.097E-05;-0.05;0.02;99.60;0.07;99.60;0.07765;0.07734;0.0003072;-11.098;-11.116;-35.126;1.00;157.86;
2025-11-24 18:33:03.63;0.00:00:00:885;1.00;0.00;0.00;0.07761;0.07723;-0.0001353;4.865E-05;-0.05;0.02;99.51;0.06;99.51;0.07761;0.07723;0.0003802;-11.101;-11.122;-34.200;1.00;160.22;
