Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-11-24 18:27:38.86;0.00:00:00:065;-1.00;-0.02;0.00;0.02742;-0.02758;-0.0004158;-9.729E-06;-89.57;-0.01;100.58;0.04;100.58;0.02742;0.02758;-0.0001585;-15.619;-15.594;-99.990;0.00;-178.66;
2025-11-24 18:27:38.91;0.00:00:00:119;-1.00;-0.01;0.00;0.02735;-0.02751;-0.0003784;-1.808E-05;-89.61;-0.02;100.58;0.07;100.58;0.02735;0.02751;-0.0001586;-15.630;-15.605;-99.990;0.00;-177.26;
2025-11-24 18:27:38.96;0.00:00:00:170;-1.00;-0.02;0.00;0.02729;-0.02747;-0.0004339;-3.105E-05;-89.55;-0.03;100.68;0.11;100.68;0.02729;0.02747;-0.0001857;-15.640;-15.611;-99.990;0.00;-175.91;
2025-11-24 18:27:39.02;0.00:00:00:226;-1.00;-0.02;0.00;0.02727;-0.02741;-0.0004159;-3.808E-05;-89.57;-0.04;100.52;0.14;100.52;0.02727;0.02741;-0.0001422;-15.643;-15.621;-99.990;0.00;-174.77;
2025-11-24 18:27:39.08;0.00:00:00:282;-1.00;-0.01;0.00;0.02733;-0.02751;-0.0004076;-4.834E-05;-89.58;-0.05;100.69;0.18;100.69;0.02733;0.02752;-0.0001898;-15.634;-15.604;-99.990;0.00;-173.24;
2025-11-24 18:27:39.13;0.00:00:00:333;-1.00;-0.01;0.00;0.02723;-0.0274;-0.0003854;-2.776E-05;-89.60;-0.03;100.63;0.10;100.63;0.02723;0.0274;-0.0001703;-15.649;-15.622;-99.990;0.00;-175.88;
2025-11-24 18:27:39.19;0.00:00:00:394;-1.00;-0.02;0.00;0.02725;-0.02738;-0.0004201;-8.277E-06;-89.56;-0.01;100.50;0.03;100.50;0.02725;0.02738;-0.0001375;-15.647;-15.625;-99.990;0.00;-178.87;
2025-11-24 18:27:39.24;0.00:00:00:445;-1.00;-0.01;0.00;0.02719;-0.02735;-0.0004076;-3.865E-05;-89.57;-0.04;100.59;0.14;100.59;0.02719;0.02735;-0.0001597;-15.655;-15.630;-99.990;0.00;-174.58;
2025-11-24 18:27:39.30;0.00:00:00:502;-1.00;-0.01;0.00;0.02728;-0.02744;-0.0003838;-2.625E-05;-89.60;-0.03;100.61;0.10;100.61;0.02728;0.02744;-0.0001655;-15.642;-15.616;-99.990;0.00;-176.09;
2025-11-24 18:27:39.35;0.00:00:00:558;-1.00;-0.02;0.00;0.02726;-0.0274;-0.0004326;-2.084E-05;-89.55;-0.02;100.55;0.08;100.55;0.02726;0.02741;-0.0001498;-15.645;-15.622;-99.990;0.00;-177.24;
2025-11-24 18:27:39.40;0.00:00:00:609;-1.00;-0.01;0.00;0.02723;-0.02737;-0.0004054;-2.183E-05;-89.58;-0.02;100.52;0.08;100.52;0.02723;0.02738;-0.000141;-15.649;-15.626;-99.990;0.00;-176.92;
2025-11-24 18:27:39.45;0.00:00:00:661;-1.00;-0.01;0.00;0.02729;-0.02746;-0.0003889;-3.362E-05;-89.59;-0.04;100.62;0.12;100.62;0.02729;0.02746;-0.0001702;-15.639;-15.612;-99.990;0.00;-175.06;
2025-11-24 18:27:39.52;0.00:00:00:722;-1.00;-0.01;0.00;0.02738;-0.02756;-0.0003887;-2.926E-05;-89.60;-0.03;100.63;0.11;100.63;0.02738;0.02756;-0.0001738;-15.625;-15.597;-99.990;0.00;-175.70;
2025-11-24 18:27:39.56;0.00:00:00:763;-1.00;-0.01;0.00;0.0273;-0.02746;-0.0003813;-9.322E-06;-89.60;-0.01;100.62;0.03;100.62;0.0273;0.02746;-0.0001684;-15.639;-15.612;-99.990;0.00;-178.60;
2025-11-24 18:27:39.62;0.00:00:00:824;-1.00;-0.01;0.00;0.02738;-0.02752;-0.0003911;-3.405E-06;-89.59;0.00;100.52;0.01;100.52;0.02738;0.02752;-0.0001415;-15.626;-15.603;-99.990;0.00;-179.50;
