Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-11-24 18:07:54.08;0.00:00:00:047;-1.00;0.00;0.00;0.07581;-0.07599;0.0001859;-5.71E-05;89.93;-0.02;100.24;0.08;100.24;0.07581;0.07599;-0.0001805;-11.203;-11.192;-99.990;0.00;-17.07;
2025-11-24 18:07:54.13;0.00:00:00:105;-1.00;0.00;0.00;0.07572;-0.07589;0.0002034;-5.157E-05;89.92;-0.02;100.23;0.07;100.23;0.07572;0.07589;-0.0001752;-11.208;-11.198;-99.990;0.00;-14.22;
2025-11-24 18:07:54.18;0.00:00:00:152;-1.00;0.00;0.00;0.07591;-0.07608;0.0002423;-5.863E-05;89.91;-0.02;100.22;0.08;100.22;0.07591;0.07608;-0.0001683;-11.197;-11.187;-99.990;0.00;-13.60;
2025-11-24 18:07:54.23;0.00:00:00:200;-1.00;0.00;0.00;0.07601;-0.07619;0.0001872;-5.595E-05;89.93;-0.02;100.24;0.07;100.24;0.07601;0.07619;-0.000184;-11.191;-11.181;-99.990;0.00;-16.64;
2025-11-24 18:07:54.28;0.00:00:00:248;-1.00;0.00;0.00;0.07607;-0.07625;0.0002466;-7.034E-05;89.91;-0.03;100.23;0.09;100.23;0.07607;0.07625;-0.0001774;-11.188;-11.178;-99.990;0.00;-15.92;
2025-11-24 18:07:54.33;0.00:00:00:296;-1.00;0.00;0.00;0.07607;-0.07626;0.0002066;-5.581E-05;89.92;-0.02;100.25;0.07;100.25;0.07607;0.07626;-0.000187;-11.188;-11.177;-99.990;0.00;-15.12;
2025-11-24 18:07:54.38;0.00:00:00:346;-1.00;0.00;0.00;0.07598;-0.07617;0.0001824;-5.795E-05;89.93;-0.02;100.26;0.08;100.26;0.07598;0.07617;-0.0001941;-11.193;-11.182;-99.990;0.00;-17.63;
2025-11-24 18:07:54.42;0.00:00:00:393;-1.00;0.00;0.00;0.07579;-0.07598;0.0002339;-6.116E-05;89.91;-0.02;100.25;0.08;100.25;0.07579;0.07598;-0.0001909;-11.204;-11.193;-99.990;0.00;-14.65;
2025-11-24 18:07:54.47;0.00:00:00:442;-1.00;0.00;0.00;0.07588;-0.07607;0.0001943;-7.138E-05;89.93;-0.03;100.25;0.09;100.25;0.07588;0.07607;-0.0001885;-11.199;-11.188;-99.990;0.00;-20.17;
2025-11-24 18:07:54.52;0.00:00:00:490;-1.00;0.00;0.00;0.07579;-0.07597;0.0001775;-6.578E-05;89.93;-0.02;100.24;0.09;100.24;0.07579;0.07597;-0.0001789;-11.204;-11.194;-99.990;0.00;-20.33;
2025-11-24 18:07:54.57;0.00:00:00:538;-1.00;0.00;0.00;0.07564;-0.0758;0.0001826;-5.61E-05;89.93;-0.02;100.21;0.07;100.21;0.07564;0.0758;-0.0001591;-11.213;-11.204;-99.990;0.00;-17.08;
2025-11-24 18:07:54.62;0.00:00:00:586;-1.00;0.00;0.00;0.07564;-0.07579;0.0002623;-7.314E-05;89.90;-0.03;100.21;0.10;100.21;0.07564;0.07579;-0.0001578;-11.213;-11.204;-99.990;0.00;-15.58;
2025-11-24 18:07:54.67;0.00:00:00:640;-1.00;0.00;0.00;0.0759;-0.07608;0.0001931;-6.923E-05;89.93;-0.03;100.24;0.09;100.24;0.0759;0.07608;-0.0001815;-11.198;-11.187;-99.990;0.00;-19.72;
