Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-11-24 18:34:46.38;0.00:00:00:060;-1.00;-0.01;0.00;0.0456;-0.04578;-0.0002458;-1.229E-07;-89.85;0.00;100.39;0.00;100.39;0.0456;0.04578;-0.0001796;-13.410;-13.393;-99.990;0.00;-179.97;
2025-11-24 18:34:46.44;0.00:00:00:122;-1.00;0.00;0.00;0.04567;-0.04584;-0.0002291;2.235E-05;-89.86;0.01;100.37;0.05;100.37;0.04567;0.04584;-0.0001707;-13.404;-13.387;-99.990;0.00;174.43;
2025-11-24 18:34:46.49;0.00:00:00:171;-1.00;-0.01;0.00;0.04548;-0.04566;-0.0002442;2.593E-05;-89.85;0.02;100.39;0.06;100.39;0.04548;0.04566;-0.0001792;-13.422;-13.405;-99.990;0.00;173.94;
2025-11-24 18:34:46.54;0.00:00:00:222;-1.00;-0.01;0.00;0.04546;-0.04565;-0.0002672;8.614E-06;-89.83;0.01;100.41;0.02;100.41;0.04546;0.04565;-0.000188;-13.424;-13.406;-99.990;0.00;178.15;
2025-11-24 18:34:46.60;0.00:00:00:275;-1.00;-0.01;0.00;0.0455;-0.0457;-0.0002529;8.318E-06;-89.84;0.01;100.43;0.02;100.43;0.0455;0.0457;-0.0001948;-13.419;-13.401;-99.990;0.00;178.12;
2025-11-24 18:34:46.65;0.00:00:00:331;-1.00;-0.01;0.00;0.04568;-0.04586;-0.0003053;1.639E-05;-89.81;0.01;100.40;0.04;100.40;0.04568;0.04586;-0.0001825;-13.403;-13.386;-99.990;0.00;176.93;
2025-11-24 18:34:46.72;0.00:00:00:393;-1.00;-0.01;0.00;0.04566;-0.04583;-0.0002647;9.103E-06;-89.83;0.01;100.39;0.02;100.39;0.04566;0.04584;-0.0001787;-13.405;-13.388;-99.990;0.00;178.03;
2025-11-24 18:34:46.77;0.00:00:00:444;-1.00;0.00;0.00;0.04574;-0.04593;-0.0002195;1.197E-05;-89.86;0.01;100.42;0.03;100.42;0.04574;0.04594;-0.0001922;-13.397;-13.379;-99.990;0.00;176.88;
2025-11-24 18:34:46.82;0.00:00:00:496;-1.00;-0.01;0.00;0.04582;-0.046;-0.0002957;2.679E-05;-89.82;0.02;100.39;0.06;100.39;0.04582;0.046;-0.0001783;-13.389;-13.372;-99.990;0.00;174.82;
2025-11-24 18:34:46.87;0.00:00:00:547;-1.00;-0.01;0.00;0.0457;-0.04589;-0.000271;2.163E-05;-89.83;0.01;100.40;0.05;100.40;0.0457;0.04589;-0.0001829;-13.401;-13.383;-99.990;0.00;175.44;
