Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-11-24 18:29:27.86;0.00:00:00:089;1.00;-0.01;0.00;0.07753;0.07723;-0.0005051;2.817E-05;-0.19;0.01;99.62;0.04;99.62;0.07753;0.07723;0.000297;-11.106;-11.122;-35.273;1.00;176.81;
2025-11-24 18:29:27.90;0.00:00:00:135;1.00;-0.01;0.00;0.07738;0.077;-0.0005139;4.615E-06;-0.19;0.00;99.51;0.01;99.51;0.07738;0.077;0.0003804;-11.114;-11.135;-34.198;1.00;179.49;
2025-11-24 18:29:27.95;0.00:00:00:186;1.00;-0.01;0.00;0.07751;0.07712;-0.0004497;3.005E-05;-0.17;0.01;99.50;0.04;99.50;0.07751;0.07712;0.0003887;-11.106;-11.128;-34.104;1.00;176.18;
2025-11-24 18:29:28.00;0.00:00:00:237;1.00;-0.01;0.00;0.0774;0.07703;-0.0005229;6.647E-06;-0.19;0.00;99.53;0.01;99.53;0.0774;0.07703;0.0003623;-11.113;-11.133;-34.410;1.00;179.27;
2025-11-24 18:29:28.05;0.00:00:00:283;1.00;-0.01;0.00;0.07725;0.07698;-0.0005298;3.658E-05;-0.20;0.01;99.66;0.05;99.66;0.07725;0.07698;0.0002646;-11.121;-11.136;-35.774;1.00;176.05;
2025-11-24 18:29:28.11;0.00:00:00:341;1.00;-0.01;0.00;0.07703;0.07674;-0.0005849;5.779E-05;-0.22;0.02;99.62;0.08;99.62;0.07703;0.07674;0.0002954;-11.133;-11.150;-35.296;1.00;174.36;
2025-11-24 18:29:28.16;0.00:00:00:391;1.00;-0.01;0.00;0.07667;0.07639;-0.0004859;2.173E-05;-0.18;0.01;99.63;0.03;99.63;0.07667;0.07639;0.0002824;-11.154;-11.170;-35.491;1.00;177.44;
2025-11-24 18:29:28.21;0.00:00:00:442;1.00;-0.01;0.00;0.07703;0.07668;-0.0004205;1.553E-05;-0.16;0.01;99.55;0.02;99.55;0.07703;0.07668;0.0003483;-11.133;-11.153;-34.580;1.00;177.88;
2025-11-24 18:29:28.26;0.00:00:00:493;1.00;-0.01;0.00;0.07728;0.07693;-0.0004909;3.036E-05;-0.18;0.01;99.55;0.04;99.55;0.07728;0.07693;0.0003478;-11.119;-11.139;-34.586;1.00;176.46;
2025-11-24 18:29:28.31;0.00:00:00:544;1.00;-0.01;0.00;0.07744;0.07706;-0.0004984;2.235E-05;-0.19;0.01;99.51;0.03;99.51;0.07744;0.07706;0.0003761;-11.111;-11.132;-34.247;1.00;177.43;
2025-11-24 18:29:28.36;0.00:00:00:596;1.00;-0.01;0.00;0.07722;0.07693;-0.0004638;1.333E-05;-0.17;0.00;99.62;0.02;99.62;0.07722;0.07693;0.0002903;-11.123;-11.139;-35.372;1.00;178.35;
2025-11-24 18:29:28.42;0.00:00:00:651;1.00;-0.01;0.00;0.07744;0.07706;-0.0004839;1.102E-05;-0.18;0.00;99.52;0.01;99.52;0.07744;0.07706;0.0003749;-11.111;-11.132;-34.260;1.00;178.70;
2025-11-24 18:29:28.47;0.00:00:00:707;1.00;-0.01;0.00;0.07753;0.07712;-0.0005195;2.587E-05;-0.19;0.01;99.47;0.03;99.47;0.07753;0.07712;0.0004076;-11.105;-11.128;-33.898;1.00;177.15;
2025-11-24 18:29:28.53;0.00:00:00:758;1.00;-0.01;0.00;0.07759;0.07724;-0.0005086;2.187E-05;-0.19;0.01;99.55;0.03;99.55;0.07759;0.07724;0.0003453;-11.102;-11.121;-34.618;1.00;177.54;
2025-11-24 18:29:28.58;0.00:00:00:809;1.00;-0.01;0.00;0.07748;0.07718;-0.0005455;9.268E-06;-0.20;0.00;99.60;0.01;99.60;0.07748;0.07718;0.0003062;-11.108;-11.125;-35.141;1.00;179.03;
2025-11-24 18:29:28.62;0.00:00:00:856;1.00;-0.01;0.00;0.07733;0.07701;-0.000533;5.757E-06;-0.20;0.00;99.60;0.01;99.60;0.07733;0.07702;0.0003122;-11.117;-11.134;-35.056;1.00;179.38;
2025-11-24 18:29:28.67;0.00:00:00:904;1.00;-0.01;0.00;0.07733;0.077;-0.0004765;5.964E-06;-0.18;0.00;99.57;0.01;99.57;0.07733;0.077;0.0003298;-11.116;-11.135;-34.818;1.00;179.28;
2025-11-24 18:29:28.72;0.00:00:00:950;1.00;-0.01;0.00;0.07741;0.07701;-0.0004718;-1.144E-05;-0.18;0.00;99.49;0.01;99.49;0.07741;0.07701;0.0003931;-11.112;-11.134;-34.056;1.00;-178.61;
2025-11-24 18:29:28.76;0.00:00:00:997;1.00;-0.01;0.00;0.07754;0.07721;-0.0005088;-3.602E-06;-0.19;0.00;99.57;0.00;99.57;0.07754;0.07721;0.0003316;-11.105;-11.123;-34.794;1.00;-179.59;
2025-11-24 18:29:28.81;0.00:00:01:044;1.00;-0.01;0.00;0.07767;0.07732;-0.0004643;1.394E-05;-0.17;0.01;99.55;0.02;99.55;0.07767;0.07732;0.000349;-11.098;-11.117;-34.572;1.00;178.28;
2025-11-24 18:29:28.86;0.00:00:01:091;1.00;-0.01;0.00;0.07771;0.07736;-0.0005279;1.703E-05;-0.20;0.01;99.56;0.02;99.56;0.07771;0.07736;0.0003447;-11.095;-11.115;-34.625;1.00;178.15;
2025-11-24 18:29:28.91;0.00:00:01:138;1.00;-0.01;0.00;0.07754;0.07719;-0.0004774;-1.541E-06;-0.18;0.00;99.56;0.00;99.56;0.07754;0.07719;0.0003441;-11.105;-11.124;-34.633;1.00;-179.82;
2025-11-24 18:29:28.95;0.00:00:01:186;1.00;-0.01;0.00;0.07772;0.07737;-0.0004787;3.023E-05;-0.18;0.01;99.56;0.04;99.56;0.07772;0.07738;0.0003405;-11.095;-11.114;-34.679;1.00;176.39;
2025-11-24 18:29:29.01;0.00:00:01:248;1.00;-0.01;0.00;0.0777;0.07736;-0.0005787;4.232E-05;-0.21;0.02;99.57;0.05;99.57;0.0777;0.07736;0.0003359;-11.096;-11.115;-34.738;1.00;175.82;
2025-11-24 18:29:29.06;0.00:00:01:294;1.00;-0.01;0.00;0.07747;0.07716;-0.0006075;2.88E-06;-0.23;0.00;99.61;0.00;99.61;0.07747;0.07717;0.0003025;-11.109;-11.126;-35.192;1.00;179.73;
2025-11-24 18:29:29.11;0.00:00:01:342;1.00;-0.01;0.00;0.07679;0.0765;-0.0005273;-7.052E-06;-0.20;0.00;99.62;0.01;99.62;0.07679;0.0765;0.0002898;-11.147;-11.163;-35.379;1.00;-179.23;
2025-11-24 18:29:29.16;0.00:00:01:391;1.00;-0.01;0.00;0.07708;0.07671;-0.0004433;2.243E-06;-0.17;0.00;99.52;0.00;99.52;0.07708;0.07671;0.0003728;-11.131;-11.152;-34.286;1.00;179.71;
2025-11-24 18:29:29.22;0.00:00:01:451;1.00;-0.01;0.00;0.07757;0.07711;-0.0004546;6.635E-06;-0.17;0.00;99.41;0.01;99.41;0.07757;0.07711;0.0004603;-11.103;-11.129;-33.369;1.00;179.16;
2025-11-24 18:29:29.27;0.00:00:01:499;1.00;-0.01;0.00;0.07767;0.07731;-0.0005187;2.695E-05;-0.19;0.01;99.54;0.03;99.54;0.07767;0.07731;0.0003546;-11.098;-11.117;-34.502;1.00;177.03;
2025-11-24 18:29:29.31;0.00:00:01:546;1.00;-0.01;0.00;0.07736;0.07709;-0.0006039;3.339E-05;-0.22;0.01;99.66;0.04;99.66;0.07736;0.0771;0.0002637;-11.115;-11.130;-35.790;1.00;176.84;
2025-11-24 18:29:29.36;0.00:00:01:595;1.00;-0.01;0.00;0.07703;0.0767;-0.0005654;2.06E-05;-0.21;0.01;99.58;0.03;99.58;0.07703;0.07671;0.0003204;-11.134;-11.152;-34.942;1.00;177.91;
2025-11-24 18:29:29.41;0.00:00:01:641;1.00;-0.01;0.00;0.07715;0.07679;-0.0005247;2.595E-05;-0.20;0.01;99.53;0.03;99.53;0.07715;0.07679;0.0003631;-11.127;-11.147;-34.400;1.00;177.17;
2025-11-24 18:29:29.46;0.00:00:01:690;1.00;-0.01;0.00;0.07699;0.07672;-0.0005375;2.825E-05;-0.20;0.01;99.65;0.04;99.65;0.07699;0.07672;0.0002661;-11.136;-11.151;-35.750;1.00;176.99;
2025-11-24 18:29:29.52;0.00:00:01:750;1.00;-0.01;0.00;0.07721;0.07687;-0.0005472;-5.776E-07;-0.20;0.00;99.56;0.00;99.56;0.07721;0.07687;0.0003401;-11.123;-11.143;-34.684;1.00;-179.94;
2025-11-24 18:29:29.56;0.00:00:01:796;1.00;-0.01;0.00;0.07726;0.07692;-0.0004859;4.419E-05;-0.18;0.02;99.56;0.06;99.56;0.07726;0.07692;0.0003389;-11.120;-11.140;-34.700;1.00;174.80;
2025-11-24 18:29:29.61;0.00:00:01:843;1.00;-0.01;0.00;0.07686;0.07659;-0.0004909;-9.052E-06;-0.18;0.00;99.65;0.01;99.65;0.07686;0.0766;0.0002694;-11.143;-11.158;-35.696;1.00;-178.94;
2025-11-24 18:29:29.66;0.00:00:01:890;1.00;-0.01;0.00;0.0772;0.07687;-0.0004398;2.537E-05;-0.16;0.01;99.58;0.03;99.58;0.0772;0.07687;0.0003251;-11.124;-11.142;-34.880;1.00;176.70;
2025-11-24 18:29:29.70;0.00:00:01:937;1.00;-0.01;0.00;0.07736;0.07705;-0.0005303;3.491E-05;-0.20;0.01;99.60;0.05;99.60;0.07736;0.07705;0.0003128;-11.115;-11.132;-35.048;1.00;176.23;
