Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-11-24 18:11:33.03;0.00:00:00:058;1.00;0.00;0.00;0.07717;0.07663;-7.164E-06;0.0001013;0.00;0.04;99.31;0.13;99.31;0.07717;0.07663;0.0005338;-11.126;-11.156;-32.726;1.00;94.05;
2025-11-24 18:11:33.09;0.00:00:00:113;1.00;0.00;0.00;0.07714;0.07663;4.361E-05;0.0001014;0.02;0.04;99.34;0.13;99.34;0.07714;0.07663;0.000511;-11.127;-11.156;-32.916;1.00;66.72;
2025-11-24 18:11:33.14;0.00:00:00:169;1.00;0.00;0.00;0.07709;0.07667;-1.722E-05;9.24E-05;-0.01;0.03;99.46;0.12;99.46;0.07709;0.07667;0.0004127;-11.130;-11.154;-33.844;1.00;100.56;
2025-11-24 18:11:33.19;0.00:00:00:216;1.00;0.00;0.00;0.07715;0.0767;3.511E-05;8.987E-05;0.01;0.03;99.41;0.12;99.41;0.07715;0.0767;0.0004538;-11.127;-11.152;-33.431;1.00;68.66;
2025-11-24 18:11:33.25;0.00:00:00:277;1.00;0.00;0.00;0.07711;0.07665;8.844E-06;9.671E-05;0.00;0.04;99.41;0.13;99.41;0.07711;0.07665;0.0004577;-11.129;-11.155;-33.394;1.00;84.78;
2025-11-24 18:11:33.30;0.00:00:00:328;1.00;0.00;0.00;0.07712;0.07664;-8.846E-06;0.0001125;0.00;0.04;99.38;0.15;99.38;0.07712;0.07664;0.0004752;-11.129;-11.155;-33.231;1.00;94.50;
2025-11-24 18:11:33.35;0.00:00:00:379;1.00;0.00;0.00;0.07692;0.07641;-4.025E-07;0.0001008;0.00;0.04;99.34;0.13;99.34;0.07692;0.07641;0.0005101;-11.139;-11.168;-32.923;1.00;90.23;
2025-11-24 18:11:33.40;0.00:00:00:430;1.00;0.00;0.00;0.07697;0.07652;6.199E-05;8.56E-05;0.02;0.03;99.42;0.11;99.42;0.07697;0.07652;0.0004475;-11.137;-11.162;-33.492;1.00;54.09;
2025-11-24 18:11:33.46;0.00:00:00:482;1.00;0.00;0.00;0.07686;0.07642;-2.15E-05;0.0001123;-0.01;0.04;99.43;0.15;99.43;0.07686;0.07643;0.0004392;-11.143;-11.168;-33.574;1.00;100.84;
2025-11-24 18:11:33.51;0.00:00:00:533;1.00;0.00;0.00;0.07679;0.07638;4.467E-05;9.787E-05;0.02;0.04;99.46;0.13;99.46;0.07679;0.07638;0.000413;-11.147;-11.170;-33.841;1.00;65.47;
2025-11-24 18:11:33.56;0.00:00:00:585;1.00;0.00;0.00;0.07681;0.07636;-2.449E-05;0.0001095;-0.01;0.04;99.41;0.14;99.41;0.07681;0.07636;0.0004534;-11.146;-11.171;-33.435;1.00;102.61;
2025-11-24 18:11:33.61;0.00:00:00:635;1.00;0.00;0.00;0.07666;0.07621;3.27E-05;8.947E-05;0.01;0.03;99.40;0.12;99.40;0.07666;0.07621;0.000458;-11.154;-11.180;-33.392;1.00;69.92;
2025-11-24 18:11:33.66;0.00:00:00:686;1.00;0.00;0.00;0.077;0.07654;1.409E-05;9.971E-05;0.01;0.04;99.40;0.13;99.40;0.077;0.07654;0.0004646;-11.135;-11.161;-33.329;1.00;81.96;
2025-11-24 18:11:33.71;0.00:00:00:738;1.00;0.00;0.00;0.07693;0.0765;3.294E-05;9.268E-05;0.01;0.03;99.43;0.12;99.43;0.07693;0.0765;0.000436;-11.139;-11.164;-33.605;1.00;70.44;
2025-11-24 18:11:33.76;0.00:00:00:790;1.00;0.00;0.00;0.07685;0.07638;2.38E-05;0.0001059;0.01;0.04;99.39;0.14;99.39;0.07685;0.07638;0.0004717;-11.144;-11.170;-33.263;1.00;77.34;
2025-11-24 18:11:33.81;0.00:00:00:839;1.00;0.00;0.00;0.07688;0.07638;-1.2E-05;9.33E-05;0.00;0.03;99.34;0.12;99.34;0.07688;0.07638;0.0005036;-11.142;-11.170;-32.979;1.00;97.33;
2025-11-24 18:11:33.86;0.00:00:00:890;1.00;0.00;0.00;0.07707;0.07659;9.84E-05;9.104E-05;0.04;0.03;99.38;0.12;99.38;0.07707;0.07659;0.0004789;-11.131;-11.158;-33.198;1.00;42.78;
2025-11-24 18:11:33.92;0.00:00:00:940;1.00;0.00;0.00;0.07732;0.0768;6.663E-06;9.434E-05;0.00;0.04;99.32;0.12;99.32;0.07732;0.0768;0.0005237;-11.117;-11.146;-32.809;1.00;85.96;
2025-11-24 18:11:33.97;0.00:00:00:992;1.00;0.00;0.00;0.07726;0.0768;-1.828E-05;8.133E-05;-0.01;0.03;99.41;0.11;99.41;0.07726;0.0768;0.0004586;-11.121;-11.146;-33.385;1.00;102.66;
2025-11-24 18:11:34.02;0.00:00:01:042;1.00;0.00;0.00;0.07723;0.07677;2.839E-05;0.0001001;0.01;0.04;99.40;0.13;99.40;0.07723;0.07677;0.0004628;-11.122;-11.148;-33.346;1.00;74.17;
2025-11-24 18:11:34.07;0.00:00:01:094;1.00;0.00;0.00;0.07709;0.07663;5.143E-05;9.905E-05;0.02;0.04;99.40;0.13;99.40;0.07709;0.07663;0.0004603;-11.130;-11.156;-33.370;1.00;62.56;
2025-11-24 18:11:34.12;0.00:00:01:145;1.00;0.00;0.00;0.07707;0.07663;2.519E-06;0.0001003;0.00;0.04;99.42;0.13;99.42;0.07707;0.07663;0.000444;-11.131;-11.156;-33.526;1.00;88.56;
2025-11-24 18:11:34.17;0.00:00:01:198;1.00;0.00;0.00;0.07679;0.07638;-7.668E-05;0.000112;-0.03;0.04;99.46;0.15;99.46;0.07679;0.07638;0.0004181;-11.147;-11.170;-33.787;1.00;124.40;
2025-11-24 18:11:34.22;0.00:00:01:249;1.00;0.00;0.00;0.07686;0.07636;5.433E-05;8.903E-05;0.02;0.03;99.36;0.12;99.36;0.07686;0.07636;0.0004946;-11.143;-11.171;-33.057;1.00;58.61;
2025-11-24 18:11:34.28;0.00:00:01:300;1.00;0.00;0.00;0.07701;0.07645;4.278E-05;8.835E-05;0.02;0.03;99.28;0.11;99.27;0.07701;0.07645;0.0005583;-11.135;-11.166;-32.532;1.00;64.17;
2025-11-24 18:11:34.33;0.00:00:01:352;1.00;0.00;0.00;0.07699;0.07653;-4.873E-06;9.169E-05;0.00;0.03;99.40;0.12;99.40;0.07699;0.07653;0.0004588;-11.136;-11.162;-33.383;1.00;93.04;
2025-11-24 18:11:34.38;0.00:00:01:403;1.00;0.00;0.00;0.07673;0.07631;-4.725E-05;0.0001106;-0.02;0.04;99.46;0.14;99.46;0.07673;0.07631;0.0004146;-11.150;-11.174;-33.824;1.00;113.14;
2025-11-24 18:11:34.43;0.00:00:01:454;1.00;0.00;0.00;0.07657;0.07611;-7.986E-06;9.562E-05;0.00;0.04;99.40;0.12;99.40;0.07657;0.07611;0.0004564;-11.160;-11.186;-33.407;1.00;94.77;
2025-11-24 18:11:34.48;0.00:00:01:500;1.00;0.00;0.00;0.07673;0.0762;7.463E-05;8.527E-05;0.03;0.03;99.31;0.11;99.31;0.07673;0.0762;0.0005315;-11.150;-11.180;-32.745;1.00;48.80;
