Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-11-25 15:36:22.33;0.00:00:00:065;-1.00;-0.02;0.00;0.01619;-0.01627;-0.0003053;-1.66E-05;-89.46;-0.03;100.55;0.10;100.55;0.01619;0.01628;-8.888E-05;-17.908;-17.884;-99.990;0.00;-176.89;
2025-11-25 15:36:22.39;0.00:00:00:125;-1.00;-0.02;0.00;0.01616;-0.01624;-0.0003046;-3.812E-05;-89.46;-0.07;100.53;0.24;100.53;0.01616;0.01625;-8.573E-05;-17.916;-17.893;-99.990;0.00;-172.87;
2025-11-25 15:36:22.44;0.00:00:00:171;-1.00;-0.02;0.00;0.01616;-0.01624;-0.0002736;-3.403E-05;-89.52;-0.06;100.51;0.21;100.51;0.01616;0.01625;-8.306E-05;-17.915;-17.893;-99.990;0.00;-172.91;
2025-11-25 15:36:22.49;0.00:00:00:219;-1.00;-0.02;0.00;0.01619;-0.01631;-0.0002852;-5.34E-05;-89.50;-0.09;100.73;0.33;100.73;0.01619;0.01631;-0.0001188;-17.908;-17.876;-99.990;0.00;-169.39;
2025-11-25 15:36:22.53;0.00:00:00:266;-1.00;-0.02;0.00;0.01615;-0.01626;-0.0002997;-2.413E-05;-89.47;-0.04;100.72;0.15;100.72;0.01615;0.01626;-0.0001167;-17.919;-17.888;-99.990;0.00;-175.40;
2025-11-25 15:36:22.58;0.00:00:00:313;-1.00;-0.02;0.00;0.01613;-0.01624;-0.0003119;-3.135E-05;-89.45;-0.06;100.75;0.19;100.75;0.01613;0.01625;-0.0001207;-17.925;-17.892;-99.990;0.00;-174.26;
2025-11-25 15:36:22.64;0.00:00:00:376;-1.00;-0.02;0.00;0.01614;-0.01625;-0.0002853;-4.098E-05;-89.50;-0.07;100.69;0.25;100.69;0.01614;0.01625;-0.000112;-17.922;-17.892;-99.990;0.00;-171.82;
2025-11-25 15:36:22.69;0.00:00:00:423;-1.00;-0.02;0.00;0.01617;-0.01629;-0.0002703;-3.986E-05;-89.52;-0.07;100.74;0.25;100.74;0.01617;0.01629;-0.0001199;-17.913;-17.881;-99.990;0.00;-171.61;
2025-11-25 15:36:22.74;0.00:00:00:471;-1.00;-0.02;0.00;0.01616;-0.01626;-0.0002922;-4.333E-05;-89.49;-0.08;100.62;0.27;100.62;0.01616;0.01626;-0.0001008;-17.915;-17.888;-99.990;0.00;-171.57;
2025-11-25 15:36:22.79;0.00:00:00:518;-1.00;-0.02;0.00;0.0162;-0.01632;-0.0003084;-3.514E-05;-89.46;-0.06;100.77;0.22;100.77;0.0162;0.01632;-0.000125;-17.905;-17.872;-99.990;0.00;-173.50;
2025-11-25 15:36:22.83;0.00:00:00:564;-1.00;-0.02;0.00;0.01617;-0.01628;-0.0003199;-3.638E-05;-89.44;-0.06;100.69;0.22;100.69;0.01617;0.01629;-0.0001118;-17.912;-17.882;-99.990;0.00;-173.51;
2025-11-25 15:36:22.88;0.00:00:00:611;-1.00;-0.02;0.00;0.01618;-0.01632;-0.000312;-3.753E-05;-89.45;-0.07;100.87;0.23;100.87;0.01618;0.01632;-0.0001414;-17.909;-17.872;-99.990;0.00;-173.14;
2025-11-25 15:36:22.93;0.00:00:00:659;-1.00;-0.02;0.00;0.01617;-0.01626;-0.0002899;-2.592E-05;-89.49;-0.05;100.59;0.16;100.59;0.01617;0.01626;-9.597E-05;-17.914;-17.888;-99.990;0.00;-174.89;
2025-11-25 15:36:22.97;0.00:00:00:704;-1.00;-0.02;0.00;0.01619;-0.0163;-0.0002736;-4.136E-05;-89.52;-0.07;100.67;0.26;100.67;0.01619;0.0163;-0.0001093;-17.908;-17.879;-99.990;0.00;-171.40;
2025-11-25 15:36:23.02;0.00:00:00:752;-1.00;-0.02;0.00;0.01617;-0.01629;-0.0002966;-2.794E-05;-89.48;-0.05;100.73;0.17;100.73;0.01617;0.01629;-0.0001174;-17.913;-17.881;-99.990;0.00;-174.62;
2025-11-25 15:36:23.06;0.00:00:00:798;-1.00;-0.02;0.00;0.01615;-0.01624;-0.0003038;-4.041E-05;-89.46;-0.07;100.59;0.25;100.59;0.01615;0.01625;-9.533E-05;-17.918;-17.892;-99.990;0.00;-172.42;
2025-11-25 15:36:23.11;0.00:00:00:845;-1.00;-0.02;0.00;0.01617;-0.01628;-0.0002765;-4.785E-05;-89.51;-0.08;100.70;0.30;100.70;0.01617;0.01628;-0.0001129;-17.914;-17.884;-99.990;0.00;-170.18;
2025-11-25 15:36:23.16;0.00:00:00:892;-1.00;-0.02;0.00;0.01617;-0.01627;-0.0003072;-5.32E-05;-89.46;-0.09;100.65;0.33;100.65;0.01617;0.01627;-0.0001059;-17.913;-17.885;-99.990;0.00;-170.18;
2025-11-25 15:36:23.20;0.00:00:00:938;-1.00;-0.02;0.00;0.01616;-0.01626;-0.000299;-2.521E-05;-89.47;-0.04;100.62;0.16;100.62;0.01616;0.01626;-9.993E-05;-17.916;-17.889;-99.990;0.00;-175.18;
2025-11-25 15:36:23.25;0.00:00:00:985;-1.00;-0.02;0.00;0.01617;-0.01628;-0.0002954;-4.555E-05;-89.48;-0.08;100.74;0.28;100.74;0.01617;0.01629;-0.0001201;-17.914;-17.882;-99.990;0.00;-171.23;
2025-11-25 15:36:23.30;0.00:00:01:033;-1.00;-0.02;0.00;0.01615;-0.01625;-0.0002828;-1.834E-05;-89.50;-0.03;100.62;0.11;100.62;0.01615;0.01625;-9.955E-05;-17.917;-17.890;-99.990;0.00;-176.29;
2025-11-25 15:36:23.35;0.00:00:01:079;-1.00;-0.02;0.00;0.01617;-0.01628;-0.000302;-4.114E-05;-89.47;-0.07;100.70;0.25;100.70;0.01617;0.01628;-0.0001125;-17.913;-17.883;-99.990;0.00;-172.24;
2025-11-25 15:36:23.39;0.00:00:01:125;-1.00;-0.02;0.00;0.01616;-0.01627;-0.0002828;-4.005E-05;-89.50;-0.07;100.72;0.25;100.72;0.01616;0.01627;-0.0001157;-17.916;-17.885;-99.990;0.00;-171.94;
2025-11-25 15:36:23.44;0.00:00:01:171;-1.00;-0.02;0.00;0.01619;-0.0163;-0.0002852;-3.865E-05;-89.50;-0.07;100.71;0.24;100.71;0.01619;0.0163;-0.0001152;-17.909;-17.878;-99.990;0.00;-172.28;
2025-11-25 15:36:23.49;0.00:00:01:218;-1.00;-0.02;0.00;0.01617;-0.01629;-0.0002956;-2.368E-05;-89.48;-0.04;100.71;0.15;100.71;0.01617;0.01629;-0.0001153;-17.912;-17.881;-99.990;0.00;-175.42;
2025-11-25 15:36:23.53;0.00:00:01:265;-1.00;-0.02;0.00;0.01618;-0.0163;-0.0002937;-3.565E-05;-89.48;-0.06;100.75;0.22;100.75;0.01618;0.01631;-0.0001215;-17.909;-17.876;-99.990;0.00;-173.08;
2025-11-25 15:36:23.58;0.00:00:01:312;-1.00;-0.02;0.00;0.01617;-0.01627;-0.000292;-2.863E-05;-89.49;-0.05;100.65;0.18;100.65;0.01617;0.01627;-0.0001052;-17.913;-17.885;-99.990;0.00;-174.40;
2025-11-25 15:36:23.63;0.00:00:01:359;-1.00;-0.02;0.00;0.01614;-0.01625;-0.0002458;-2.079E-05;-89.57;-0.04;100.65;0.13;100.65;0.01614;0.01625;-0.0001042;-17.920;-17.892;-99.990;0.00;-175.17;
2025-11-25 15:36:23.67;0.00:00:01:407;-1.00;-0.02;0.00;0.01617;-0.01628;-0.0002834;-2.536E-05;-89.50;-0.04;100.67;0.16;100.67;0.01617;0.01628;-0.0001077;-17.913;-17.884;-99.990;0.00;-174.89;
2025-11-25 15:36:23.72;0.00:00:01:458;-1.00;-0.02;0.00;0.01615;-0.01625;-0.0002584;-2.635E-05;-89.54;-0.05;100.59;0.16;100.59;0.01615;0.01625;-9.47E-05;-17.917;-17.892;-99.990;0.00;-174.18;
2025-11-25 15:36:23.78;0.00:00:01:516;-1.00;-0.02;0.00;0.0162;-0.01632;-0.0003227;-3.91E-05;-89.43;-0.07;100.77;0.24;100.76;0.0162;0.01633;-0.000124;-17.904;-17.871;-99.990;0.00;-173.09;
2025-11-25 15:36:23.83;0.00:00:01:563;-1.00;-0.02;0.00;0.0162;-0.01632;-0.000327;-2.901E-05;-89.43;-0.05;100.75;0.18;100.75;0.0162;0.01632;-0.0001219;-17.904;-17.872;-99.990;0.00;-174.93;
2025-11-25 15:36:23.88;0.00:00:01:609;-1.00;-0.02;0.00;0.01617;-0.01627;-0.0003038;-5.26E-05;-89.47;-0.09;100.63;0.33;100.63;0.01617;0.01627;-0.0001013;-17.914;-17.887;-99.990;0.00;-170.18;
2025-11-25 15:36:23.92;0.00:00:01:656;-1.00;-0.02;0.00;0.01617;-0.01626;-0.0003248;-5.112E-05;-89.43;-0.09;100.60;0.32;100.60;0.01617;0.01627;-9.651E-05;-17.912;-17.887;-99.990;0.00;-171.06;
2025-11-25 15:36:23.98;0.00:00:01:710;-1.00;-0.02;0.00;0.01616;-0.01627;-0.0003202;-4.235E-05;-89.44;-0.07;100.69;0.26;100.69;0.01616;0.01627;-0.0001122;-17.915;-17.885;-99.990;0.00;-172.46;
