Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-11-25 11:52:47.92;0.00:00:00:072;-1.00;0.00;0.00;0.06024;-0.06036;1.778E-05;0.0001583;89.99;0.08;100.19;0.26;100.19;0.06024;0.06036;-0.0001134;-12.201;-12.193;-99.990;0.00;83.59;
2025-11-25 11:52:47.98;0.00:00:00:139;-1.00;0.00;0.00;0.06024;-0.06037;-6.439E-06;0.0001506;-90.00;0.07;100.21;0.25;100.21;0.06024;0.06037;-0.0001288;-12.201;-12.192;-99.990;0.00;92.45;
2025-11-25 11:52:48.03;0.00:00:00:185;-1.00;0.00;0.00;0.06023;-0.06036;2.998E-05;0.0001379;89.99;0.07;100.21;0.23;100.21;0.06023;0.06036;-0.0001237;-12.202;-12.193;-99.990;0.00;77.73;
2025-11-25 11:52:48.08;0.00:00:00:233;-1.00;0.00;0.00;0.06025;-0.06037;3.903E-06;0.0001623;90.00;0.08;100.19;0.27;100.19;0.06025;0.06037;-0.0001172;-12.201;-12.192;-99.990;0.00;88.62;
2025-11-25 11:52:48.13;0.00:00:00:280;-1.00;0.00;0.00;0.06027;-0.06041;2.227E-05;0.0001495;89.99;0.07;100.24;0.25;100.24;0.06027;0.06041;-0.0001422;-12.199;-12.189;-99.990;0.00;81.53;
2025-11-25 11:52:48.17;0.00:00:00:328;-1.00;0.00;0.00;0.06028;-0.06043;-1.611E-06;0.0001423;-90.00;0.07;100.24;0.24;100.24;0.06028;0.06043;-0.0001474;-12.198;-12.188;-99.990;0.00;90.65;
2025-11-25 11:52:48.24;0.00:00:00:391;-1.00;0.00;0.00;0.06034;-0.06046;-9.108E-06;0.0001714;-90.00;0.08;100.20;0.28;100.20;0.06034;0.06046;-0.0001212;-12.194;-12.185;-99.990;0.00;93.04;
2025-11-25 11:52:48.28;0.00:00:00:439;-1.00;0.00;0.00;0.0603;-0.06043;2.566E-05;0.0001469;89.99;0.07;100.22;0.24;100.22;0.0603;0.06043;-0.0001339;-12.197;-12.187;-99.990;0.00;80.09;
2025-11-25 11:52:48.33;0.00:00:00:485;-1.00;0.00;0.00;0.0602;-0.06034;-3.539E-06;0.0001443;-90.00;0.07;100.23;0.24;100.23;0.0602;0.06034;-0.0001382;-12.204;-12.194;-99.990;0.00;91.40;
2025-11-25 11:52:48.38;0.00:00:00:533;-1.00;0.00;0.00;0.06012;-0.06027;-1.547E-05;0.0001692;-89.99;0.08;100.24;0.28;100.24;0.06012;0.06027;-0.0001436;-12.209;-12.199;-99.990;0.00;95.23;
2025-11-25 11:52:48.43;0.00:00:00:580;-1.00;0.00;0.00;0.06021;-0.06035;4.035E-05;0.0001501;89.98;0.07;100.23;0.25;100.23;0.06021;0.06035;-0.0001385;-12.203;-12.193;-99.990;0.00;74.95;
2025-11-25 11:52:48.47;0.00:00:00:627;-1.00;0.00;0.00;0.0602;-0.06034;5.221E-07;0.0001464;90.00;0.07;100.24;0.24;100.24;0.0602;0.06034;-0.000143;-12.204;-12.194;-99.990;0.00;89.80;
2025-11-25 11:52:48.52;0.00:00:00:674;-1.00;0.00;0.00;0.06021;-0.06034;-9.694E-06;0.0001563;-90.00;0.07;100.23;0.26;100.23;0.06021;0.06034;-0.0001375;-12.204;-12.194;-99.990;0.00;93.55;
2025-11-25 11:52:48.57;0.00:00:00:721;-1.00;0.00;0.00;0.06021;-0.06035;2.032E-05;0.0001524;89.99;0.07;100.23;0.25;100.23;0.06021;0.06035;-0.0001414;-12.203;-12.193;-99.990;0.00;82.41;
2025-11-25 11:52:48.61;0.00:00:00:767;-1.00;0.00;0.00;0.06026;-0.06039;2.334E-06;0.0001491;90.00;0.07;100.22;0.25;100.22;0.06026;0.06039;-0.0001326;-12.200;-12.190;-99.990;0.00;89.10;
2025-11-25 11:52:48.66;0.00:00:00:814;-1.00;0.00;0.00;0.06028;-0.0604;-2.203E-05;0.0001443;-89.99;0.07;100.21;0.24;100.21;0.06028;0.0604;-0.0001256;-12.198;-12.189;-99.990;0.00;98.68;
2025-11-25 11:52:48.71;0.00:00:00:861;-1.00;0.00;0.00;0.06016;-0.0603;2.38E-05;0.0001385;89.99;0.07;100.22;0.23;100.22;0.06016;0.0603;-0.0001307;-12.207;-12.197;-99.990;0.00;80.25;
2025-11-25 11:52:48.75;0.00:00:00:907;-1.00;0.00;0.00;0.06019;-0.06031;2.718E-05;0.0001547;89.99;0.07;100.19;0.26;100.19;0.06019;0.06031;-0.000117;-12.205;-12.196;-99.990;0.00;80.04;
2025-11-25 11:52:48.80;0.00:00:00:954;-1.00;0.00;0.00;0.06022;-0.06035;1.308E-05;0.0001723;89.99;0.08;100.21;0.29;100.21;0.06022;0.06035;-0.0001275;-12.202;-12.193;-99.990;0.00;85.66;
2025-11-25 11:52:48.85;0.00:00:01:001;-1.00;0.00;0.00;0.0603;-0.06042;1.792E-05;0.0001341;89.99;0.06;100.19;0.22;100.19;0.0603;0.06042;-0.0001163;-12.197;-12.188;-99.990;0.00;82.38;
2025-11-25 11:52:48.89;0.00:00:01:049;-1.00;0.00;0.00;0.06031;-0.06043;5.032E-05;0.0001572;89.98;0.07;100.20;0.26;100.20;0.06031;0.06043;-0.0001209;-12.196;-12.188;-99.990;0.00;72.25;
2025-11-25 11:52:48.94;0.00:00:01:096;-1.00;0.00;0.00;0.06041;-0.06054;4.035E-06;0.0001541;90.00;0.07;100.21;0.26;100.21;0.06041;0.06054;-0.0001261;-12.189;-12.180;-99.990;0.00;88.50;
2025-11-25 11:52:48.99;0.00:00:01:142;-1.00;0.00;0.00;0.06048;-0.06062;3.993E-05;0.0001451;89.98;0.07;100.23;0.24;100.23;0.06048;0.06062;-0.0001365;-12.184;-12.174;-99.990;0.00;74.62;
2025-11-25 11:52:49.03;0.00:00:01:190;-1.00;0.00;0.00;0.06037;-0.06049;9.113E-06;0.0001572;90.00;0.07;100.19;0.26;100.19;0.06037;0.06049;-0.0001151;-12.192;-12.183;-99.990;0.00;86.68;
2025-11-25 11:52:49.10;0.00:00:01:253;-1.00;0.00;0.00;0.06036;-0.06048;2.254E-05;0.0001383;89.99;0.07;100.21;0.23;100.21;0.06036;0.06048;-0.0001259;-12.193;-12.184;-99.990;0.00;80.75;
2025-11-25 11:52:49.15;0.00:00:01:300;-1.00;0.00;0.00;0.06036;-0.06049;4.286E-05;0.0001436;89.98;0.07;100.21;0.24;100.21;0.06036;0.06049;-0.0001255;-12.192;-12.183;-99.990;0.00;73.38;
2025-11-25 11:52:49.19;0.00:00:01:347;-1.00;0.00;0.00;0.06034;-0.06045;-1.914E-05;0.0001535;-89.99;0.07;100.19;0.25;100.19;0.06034;0.06045;-0.0001139;-12.194;-12.186;-99.990;0.00;97.11;
2025-11-25 11:52:49.24;0.00:00:01:394;-1.00;0.00;0.00;0.06031;-0.06047;4.104E-05;0.0001515;89.98;0.07;100.26;0.25;100.26;0.06031;0.06047;-0.0001575;-12.196;-12.185;-99.990;0.00;74.84;
2025-11-25 11:52:49.29;0.00:00:01:441;-1.00;0.00;0.00;0.06029;-0.06041;-2.686E-05;0.0001445;-89.99;0.07;100.20;0.24;100.20;0.06029;0.06041;-0.0001234;-12.198;-12.189;-99.990;0.00;100.54;
2025-11-25 11:52:49.33;0.00:00:01:487;-1.00;0.00;0.00;0.06033;-0.06045;2.398E-05;0.0001616;89.99;0.08;100.19;0.27;100.19;0.06033;0.06045;-0.0001161;-12.195;-12.186;-99.990;0.00;81.56;
2025-11-25 11:52:49.38;0.00:00:01:534;-1.00;0.00;0.00;0.06034;-0.06046;-6.441E-07;0.0001512;-90.00;0.07;100.21;0.25;100.20;0.06034;0.06046;-0.0001237;-12.194;-12.185;-99.990;0.00;90.24;
2025-11-25 11:52:49.43;0.00:00:01:580;-1.00;0.00;0.00;0.06028;-0.06044;1.104E-05;0.0001452;89.99;0.07;100.26;0.24;100.26;0.06028;0.06044;-0.0001557;-12.198;-12.187;-99.990;0.00;85.65;
2025-11-25 11:52:49.48;0.00:00:01:632;-1.00;0.00;0.00;0.06026;-0.06039;3.519E-05;0.0001516;89.98;0.07;100.23;0.25;100.23;0.06026;0.06039;-0.0001364;-12.200;-12.190;-99.990;0.00;76.94;
2025-11-25 11:52:49.54;0.00:00:01:690;-1.00;0.00;0.00;0.06019;-0.06032;2.175E-05;0.0001588;89.99;0.08;100.21;0.26;100.21;0.06019;0.06032;-0.0001241;-12.204;-12.195;-99.990;0.00;82.20;
2025-11-25 11:52:49.58;0.00:00:01:736;-1.00;0.00;0.00;0.06019;-0.0603;1.969E-06;0.0001434;90.00;0.07;100.19;0.24;100.19;0.06019;0.0603;-0.0001162;-12.205;-12.197;-99.990;0.00;89.21;
2025-11-25 11:52:49.63;0.00:00:01:787;-1.00;0.00;0.00;0.06021;-0.06033;3.117E-05;0.0001338;89.99;0.06;100.20;0.22;100.20;0.06021;0.06033;-0.0001203;-12.203;-12.194;-99.990;0.00;76.89;
2025-11-25 11:52:49.69;0.00:00:01:845;-1.00;0.00;0.00;0.06014;-0.06026;-3.293E-06;0.0001584;-90.00;0.08;100.20;0.26;100.20;0.06014;0.06026;-0.0001205;-12.208;-12.200;-99.990;0.00;91.19;
2025-11-25 11:52:49.74;0.00:00:01:892;-1.00;0.00;0.00;0.06015;-0.06028;4.838E-05;0.0001444;89.98;0.07;100.21;0.24;100.21;0.06015;0.06028;-0.0001283;-12.208;-12.199;-99.990;0.00;71.48;
2025-11-25 11:52:49.78;0.00:00:01:939;-1.00;0.00;0.00;0.06019;-0.06032;-1.717E-05;0.0001557;-89.99;0.07;100.22;0.26;100.22;0.06019;0.06032;-0.0001322;-12.205;-12.195;-99.990;0.00;96.30;
2025-11-25 11:52:49.83;0.00:00:01:986;-1.00;0.00;0.00;0.06019;-0.06032;-5.951E-06;0.0001611;-90.00;0.08;100.21;0.27;100.21;0.06019;0.06032;-0.0001242;-12.204;-12.195;-99.990;0.00;92.11;
2025-11-25 11:52:49.88;0.00:00:02:034;-1.00;0.00;0.00;0.0602;-0.06034;4.083E-05;0.0001579;89.98;0.07;100.23;0.26;100.23;0.0602;0.06034;-0.0001407;-12.204;-12.194;-99.990;0.00;75.50;
2025-11-25 11:52:49.94;0.00:00:02:095;-1.00;0.00;0.00;0.06022;-0.06034;2.188E-05;0.0001738;89.99;0.08;100.20;0.29;100.20;0.06022;0.06034;-0.0001204;-12.202;-12.194;-99.990;0.00;82.82;
2025-11-25 11:52:49.99;0.00:00:02:140;-1.00;0.00;0.00;0.06015;-0.06029;-5.345E-06;0.0001595;-90.00;0.08;100.22;0.27;100.22;0.06015;0.06029;-0.0001315;-12.207;-12.198;-99.990;0.00;91.92;
