Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-11-25 12:03:04.44;0.00:00:00:060;1.00;0.00;0.00;0.08045;0.07959;-0.0002187;0.0001323;-0.08;0.05;98.93;0.16;98.93;0.08045;0.07959;0.0008599;-10.945;-10.991;-30.656;1.00;148.84;
2025-11-25 12:03:04.49;0.00:00:00:109;1.00;0.00;0.00;0.08057;0.07963;-0.0002515;0.0001268;-0.09;0.05;98.84;0.16;98.84;0.08057;0.07963;0.0009368;-10.938;-10.989;-30.284;1.00;153.24;
2025-11-25 12:03:04.54;0.00:00:00:165;1.00;0.00;0.00;0.08056;0.0797;-0.000225;0.0001358;-0.08;0.05;98.93;0.17;98.93;0.08056;0.0797;0.0008592;-10.939;-10.985;-30.659;1.00;148.88;
2025-11-25 12:03:04.59;0.00:00:00:210;1.00;0.00;0.00;0.08049;0.07958;-0.0002507;0.0001397;-0.09;0.05;98.87;0.17;98.87;0.08049;0.07958;0.0009076;-10.943;-10.992;-30.421;1.00;150.87;
2025-11-25 12:03:04.64;0.00:00:00:261;1.00;0.00;0.00;0.0805;0.07959;-0.0001868;0.0001251;-0.07;0.05;98.87;0.16;98.87;0.0805;0.07959;0.0009105;-10.942;-10.992;-30.407;1.00;146.19;
2025-11-25 12:03:04.69;0.00:00:00:312;1.00;0.00;0.00;0.08053;0.07959;-0.0002008;0.0001042;-0.07;0.04;98.83;0.13;98.83;0.08053;0.07959;0.0009401;-10.940;-10.991;-30.268;1.00;152.57;
2025-11-25 12:03:04.74;0.00:00:00:363;1.00;0.00;0.00;0.08055;0.07964;-0.0002097;0.0001293;-0.08;0.05;98.88;0.16;98.88;0.08055;0.07965;0.0009003;-10.940;-10.988;-30.456;1.00;148.34;
2025-11-25 12:03:04.80;0.00:00:00:425;1.00;0.00;0.00;0.08061;0.07975;-0.0002353;0.0001332;-0.08;0.05;98.92;0.17;98.92;0.08061;0.07975;0.0008689;-10.936;-10.983;-30.610;1.00;150.48;
2025-11-25 12:03:04.85;0.00:00:00:476;1.00;0.00;0.00;0.08069;0.07979;-0.0002201;0.0001136;-0.08;0.04;98.89;0.14;98.89;0.08069;0.07979;0.0008971;-10.932;-10.981;-30.472;1.00;152.69;
2025-11-25 12:03:04.91;0.00:00:00:533;1.00;0.00;0.00;0.08075;0.07979;-0.0001945;0.0001364;-0.07;0.05;98.80;0.17;98.80;0.08075;0.07979;0.0009672;-10.928;-10.981;-30.145;1.00;144.95;
2025-11-25 12:03:04.97;0.00:00:00:588;1.00;0.00;0.00;0.08063;0.07971;-0.0002489;0.000102;-0.09;0.04;98.86;0.13;98.86;0.08063;0.07971;0.0009229;-10.935;-10.985;-30.348;1.00;157.71;
2025-11-25 12:03:05.02;0.00:00:00:643;1.00;0.00;0.00;0.08046;0.07956;-0.0002468;0.0001412;-0.09;0.05;98.89;0.18;98.89;0.08046;0.07956;0.0008938;-10.944;-10.993;-30.488;1.00;150.23;
2025-11-25 12:03:05.08;0.00:00:00:700;1.00;0.00;0.00;0.08035;0.07948;-0.0002321;0.0001111;-0.08;0.04;98.91;0.14;98.91;0.08035;0.07948;0.0008721;-10.950;-10.997;-30.595;1.00;154.43;
2025-11-25 12:03:05.13;0.00:00:00:751;1.00;0.00;0.00;0.08032;0.07944;-0.0002108;0.0001198;-0.08;0.04;98.90;0.15;98.90;0.08032;0.07944;0.0008807;-10.952;-10.999;-30.552;1.00;150.39;
2025-11-25 12:03:05.18;0.00:00:00:802;1.00;0.00;0.00;0.08033;0.07945;-0.0002479;0.0001145;-0.09;0.04;98.90;0.14;98.90;0.08033;0.07945;0.0008797;-10.951;-10.999;-30.557;1.00;155.21;
2025-11-25 12:03:05.23;0.00:00:00:854;1.00;0.00;0.00;0.08037;0.07945;-0.0002157;0.0001318;-0.08;0.05;98.85;0.16;98.85;0.08037;0.07945;0.0009212;-10.949;-10.999;-30.357;1.00;148.57;
2025-11-25 12:03:05.28;0.00:00:00:901;1.00;0.00;0.00;0.0804;0.07951;-0.0002109;0.0001088;-0.08;0.04;98.90;0.14;98.90;0.0804;0.07951;0.000886;-10.948;-10.996;-30.526;1.00;152.71;
2025-11-25 12:03:05.32;0.00:00:00:947;1.00;0.00;0.00;0.08038;0.07947;-0.0002331;0.0001275;-0.08;0.05;98.86;0.16;98.86;0.08038;0.07947;0.0009157;-10.948;-10.998;-30.382;1.00;151.33;
2025-11-25 12:03:05.37;0.00:00:00:997;1.00;0.00;0.00;0.08038;0.07947;-0.0001954;0.000125;-0.07;0.05;98.87;0.16;98.87;0.08038;0.07947;0.0009108;-10.948;-10.998;-30.406;1.00;147.40;
2025-11-25 12:03:05.42;0.00:00:01:048;1.00;0.00;0.00;0.08047;0.07949;-0.0002678;0.000108;-0.10;0.04;98.79;0.13;98.79;0.08047;0.0795;0.0009774;-10.944;-10.997;-30.099;1.00;158.04;
2025-11-25 12:03:05.48;0.00:00:01:098;1.00;0.00;0.00;0.08042;0.07948;-0.0001798;0.0001005;-0.06;0.04;98.83;0.12;98.83;0.08042;0.07948;0.0009384;-10.946;-10.997;-30.276;1.00;150.81;
2025-11-25 12:03:05.54;0.00:00:01:160;1.00;0.00;0.00;0.08049;0.07963;-0.0002459;0.0001268;-0.09;0.05;98.93;0.16;98.93;0.08049;0.07963;0.0008574;-10.943;-10.989;-30.668;1.00;152.72;
2025-11-25 12:03:05.59;0.00:00:01:211;1.00;0.00;0.00;0.08047;0.07963;-0.0002154;0.0001108;-0.08;0.04;98.96;0.14;98.96;0.08047;0.07963;0.0008345;-10.944;-10.989;-30.786;1.00;152.77;
2025-11-25 12:03:05.65;0.00:00:01:269;1.00;0.00;0.00;0.08045;0.07957;-0.0002152;0.0001018;-0.08;0.04;98.92;0.13;98.92;0.08045;0.07957;0.0008722;-10.945;-10.992;-30.594;1.00;154.69;
2025-11-25 12:03:05.70;0.00:00:01:324;1.00;0.00;0.00;0.08038;0.07948;-0.0002381;0.0001058;-0.09;0.04;98.88;0.13;98.88;0.08038;0.07948;0.0008993;-10.949;-10.997;-30.461;1.00;156.05;
2025-11-25 12:03:05.75;0.00:00:01:374;1.00;0.00;0.00;0.08041;0.07944;-0.0002232;0.0001376;-0.08;0.05;98.80;0.17;98.80;0.08041;0.07944;0.0009641;-10.947;-10.999;-30.159;1.00;148.35;
2025-11-25 12:03:05.81;0.00:00:01:436;1.00;0.00;0.00;0.08045;0.07957;-0.0002154;0.0001146;-0.08;0.04;98.90;0.14;98.90;0.08045;0.07957;0.0008862;-10.945;-10.993;-30.525;1.00;151.97;
2025-11-25 12:03:05.86;0.00:00:01:487;1.00;0.00;0.00;0.08046;0.07963;-0.0002391;0.0001127;-0.09;0.04;98.96;0.14;98.96;0.08046;0.07963;0.0008365;-10.944;-10.989;-30.775;1.00;154.75;
2025-11-25 12:03:05.92;0.00:00:01:547;1.00;0.00;0.00;0.08051;0.07959;-0.0002333;0.0001112;-0.08;0.04;98.86;0.14;98.86;0.08051;0.07959;0.000919;-10.942;-10.991;-30.367;1.00;154.52;
2025-11-25 12:03:05.98;0.00:00:01:598;1.00;0.00;0.00;0.08051;0.07961;-0.0002183;0.0001141;-0.08;0.04;98.89;0.14;98.89;0.08051;0.07961;0.0008968;-10.942;-10.990;-30.473;1.00;152.40;
2025-11-25 12:03:06.02;0.00:00:01:645;1.00;0.00;0.00;0.08054;0.07961;-0.0002368;0.0001242;-0.09;0.04;98.85;0.15;98.85;0.08054;0.07961;0.0009288;-10.940;-10.990;-30.321;1.00;152.32;
