Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-11-25 15:26:49.83;0.00:00:00:071;1.00;0.00;0.00;0.08049;0.07971;-0.0003422;0.0002355;-0.12;0.08;99.03;0.29;99.03;0.08049;0.07971;0.0007795;-10.943;-10.985;-31.082;1.00;145.46;
2025-11-25 15:26:49.90;0.00:00:00:139;1.00;0.00;0.00;0.08063;0.07981;-0.0003371;0.0002218;-0.12;0.08;98.98;0.28;98.98;0.08063;0.07981;0.0008244;-10.935;-10.980;-30.839;1.00;146.65;
2025-11-25 15:26:49.95;0.00:00:00:188;1.00;0.00;0.00;0.08063;0.07984;-0.0003598;0.0002219;-0.13;0.08;99.03;0.28;99.03;0.08063;0.07984;0.0007822;-10.935;-10.978;-31.067;1.00;148.34;
2025-11-25 15:26:50.00;0.00:00:00:235;1.00;0.00;0.00;0.08057;0.07976;-0.000345;0.0002303;-0.12;0.08;98.99;0.29;98.99;0.08057;0.07976;0.0008099;-10.938;-10.982;-30.915;1.00;146.27;
2025-11-25 15:26:50.05;0.00:00:00:285;1.00;0.00;0.00;0.08063;0.07989;-0.0003723;0.0002322;-0.13;0.08;99.09;0.29;99.09;0.08063;0.07989;0.0007346;-10.935;-10.975;-31.339;1.00;148.05;
2025-11-25 15:26:50.11;0.00:00:00:345;1.00;0.00;0.00;0.08069;0.07987;-0.0003619;0.0002354;-0.13;0.08;98.99;0.29;98.99;0.08069;0.07987;0.000817;-10.932;-10.976;-30.878;1.00;146.97;
2025-11-25 15:26:50.16;0.00:00:00:392;1.00;0.00;0.00;0.08072;0.07989;-0.0003278;0.0002283;-0.12;0.08;98.98;0.28;98.98;0.08072;0.07989;0.0008216;-10.930;-10.975;-30.853;1.00;145.14;
2025-11-25 15:26:50.20;0.00:00:00:438;1.00;0.00;0.00;0.08071;0.0799;-0.0003512;0.0002144;-0.13;0.08;99.00;0.27;99.00;0.08071;0.07991;0.0008039;-10.931;-10.974;-30.948;1.00;148.60;
2025-11-25 15:26:50.25;0.00:00:00:486;1.00;0.00;0.00;0.08065;0.07984;-0.0003238;0.0002219;-0.12;0.08;99.00;0.28;98.99;0.08065;0.07984;0.0008103;-10.934;-10.978;-30.913;1.00;145.58;
2025-11-25 15:26:50.30;0.00:00:00:533;1.00;0.00;0.00;0.0806;0.07983;-0.0003517;0.0002362;-0.13;0.08;99.04;0.29;99.04;0.0806;0.07983;0.0007738;-10.936;-10.978;-31.114;1.00;146.12;
2025-11-25 15:26:50.34;0.00:00:00:580;1.00;0.00;0.00;0.08059;0.07972;-0.0003395;0.0002515;-0.12;0.09;98.92;0.31;98.92;0.08059;0.07972;0.0008708;-10.937;-10.984;-30.601;1.00;143.47;
2025-11-25 15:26:50.39;0.00:00:00:626;1.00;0.00;0.00;0.08059;0.07979;-0.0003494;0.0002352;-0.13;0.08;99.01;0.29;99.01;0.08059;0.07979;0.0007982;-10.937;-10.981;-30.979;1.00;146.05;
2025-11-25 15:26:50.44;0.00:00:00:674;1.00;0.00;0.00;0.08059;0.07982;-0.0003452;0.0002292;-0.12;0.08;99.04;0.28;99.04;0.08059;0.07982;0.0007701;-10.937;-10.979;-31.135;1.00;146.42;
2025-11-25 15:26:50.48;0.00:00:00:721;1.00;0.00;0.00;0.08056;0.07978;-0.0003558;0.0002255;-0.13;0.08;99.04;0.28;99.04;0.08056;0.07978;0.0007761;-10.939;-10.981;-31.101;1.00;147.64;
2025-11-25 15:26:50.53;0.00:00:00:767;1.00;0.00;0.00;0.08058;0.0798;-0.0003186;0.0002368;-0.11;0.09;99.03;0.29;99.02;0.08058;0.0798;0.0007854;-10.938;-10.980;-31.049;1.00;143.38;
2025-11-25 15:26:50.58;0.00:00:00:814;1.00;0.00;0.00;0.08054;0.07976;-0.0003532;0.0002385;-0.13;0.09;99.03;0.30;99.03;0.08054;0.07976;0.0007778;-10.940;-10.982;-31.091;1.00;145.97;
2025-11-25 15:26:50.62;0.00:00:00:860;1.00;0.00;0.00;0.08058;0.07976;-0.0003321;0.0002243;-0.12;0.08;98.99;0.28;98.99;0.08058;0.07976;0.0008152;-10.938;-10.982;-30.887;1.00;145.96;
2025-11-25 15:26:50.67;0.00:00:00:908;1.00;0.00;0.00;0.08058;0.07979;-0.0003134;0.0002241;-0.11;0.08;99.02;0.28;99.02;0.08058;0.07979;0.0007865;-10.938;-10.980;-31.043;1.00;144.44;
2025-11-25 15:26:50.72;0.00:00:00:955;1.00;0.00;0.00;0.08064;0.07985;-0.0003722;0.0002265;-0.13;0.08;99.03;0.28;99.03;0.08064;0.07985;0.0007841;-10.935;-10.977;-31.056;1.00;148.68;
2025-11-25 15:26:50.77;0.00:00:01:007;1.00;0.00;0.00;0.08062;0.07986;-0.0003862;0.0002471;-0.14;0.09;99.06;0.31;99.06;0.08062;0.07987;0.0007564;-10.935;-10.976;-31.212;1.00;147.39;
2025-11-25 15:26:50.83;0.00:00:01:066;1.00;0.00;0.00;0.08056;0.07976;-0.0003935;0.0002224;-0.14;0.08;99.00;0.28;99.00;0.08056;0.07976;0.0008052;-10.939;-10.982;-30.941;1.00;150.52;
2025-11-25 15:26:50.88;0.00:00:01:114;1.00;-0.01;0.00;0.08061;0.07983;-0.0004002;0.0002348;-0.14;0.08;99.04;0.29;99.03;0.08061;0.07983;0.0007777;-10.936;-10.978;-31.092;1.00;149.60;
2025-11-25 15:26:50.93;0.00:00:01:164;1.00;0.00;0.00;0.0807;0.07987;-0.0003373;0.0002367;-0.12;0.08;98.97;0.29;98.97;0.0807;0.07987;0.0008335;-10.931;-10.976;-30.791;1.00;144.94;
2025-11-25 15:26:50.99;0.00:00:01:224;1.00;0.00;0.00;0.08076;0.07993;-0.0003524;0.0002382;-0.13;0.09;98.97;0.29;98.97;0.08076;0.07993;0.000831;-10.928;-10.973;-30.804;1.00;145.94;
2025-11-25 15:26:51.04;0.00:00:01:272;1.00;0.00;0.00;0.08078;0.07994;-0.0003814;0.0002222;-0.14;0.08;98.96;0.28;98.96;0.08078;0.07994;0.0008376;-10.927;-10.972;-30.770;1.00;149.78;
2025-11-25 15:26:51.09;0.00:00:01:332;1.00;0.00;0.00;0.08079;0.08001;-0.000363;0.0002334;-0.13;0.08;99.04;0.29;99.04;0.08079;0.08001;0.0007741;-10.927;-10.968;-31.112;1.00;147.26;
