Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-11-25 15:24:56.61;0.00:00:00:056;-1.00;-0.01;0.00;0.02799;-0.02812;-0.0002624;-6.897E-05;-89.73;-0.07;100.47;0.25;100.47;0.02799;0.02813;-0.0001318;-15.529;-15.509;-99.990;0.00;-165.27;
2025-11-25 15:24:56.69;0.00:00:00:130;-1.00;-0.01;0.00;0.02802;-0.02813;-0.0002668;-7.903E-05;-89.73;-0.08;100.40;0.28;100.40;0.02802;0.02814;-0.0001133;-15.525;-15.507;-99.990;0.00;-163.50;
2025-11-25 15:24:56.73;0.00:00:00:177;-1.00;-0.01;0.00;0.02802;-0.02815;-0.0002639;-8.761E-05;-89.73;-0.09;100.47;0.31;100.46;0.02802;0.02815;-0.0001303;-15.525;-15.505;-99.990;0.00;-161.63;
2025-11-25 15:24:56.78;0.00:00:00:224;-1.00;-0.01;0.00;0.02801;-0.02813;-0.000234;-8.698E-05;-89.76;-0.09;100.44;0.31;100.44;0.02801;0.02814;-0.0001244;-15.527;-15.507;-99.990;0.00;-159.61;
2025-11-25 15:24:56.83;0.00:00:00:270;-1.00;-0.01;0.00;0.02802;-0.02813;-0.0002893;-9.812E-05;-89.71;-0.10;100.40;0.35;100.40;0.02802;0.02813;-0.000111;-15.525;-15.508;-99.990;0.00;-161.27;
2025-11-25 15:24:56.88;0.00:00:00:318;-1.00;-0.01;0.00;0.02805;-0.02816;-0.000278;-8.847E-05;-89.72;-0.09;100.39;0.32;100.39;0.02805;0.02816;-0.0001092;-15.521;-15.504;-99.990;0.00;-162.35;
2025-11-25 15:24:56.92;0.00:00:00:365;-1.00;-0.01;0.00;0.02801;-0.02812;-0.0002735;-8.1E-05;-89.72;-0.08;100.37;0.29;100.37;0.02801;0.02812;-0.0001047;-15.526;-15.510;-99.990;0.00;-163.51;
2025-11-25 15:24:56.97;0.00:00:00:412;-1.00;-0.01;0.00;0.02801;-0.02813;-0.0002581;-8.774E-05;-89.74;-0.09;100.43;0.31;100.43;0.02801;0.02813;-0.0001203;-15.527;-15.509;-99.990;0.00;-161.22;
2025-11-25 15:24:57.02;0.00:00:00:460;-1.00;-0.01;0.00;0.028;-0.0281;-0.0002275;-7.87E-05;-89.77;-0.08;100.37;0.28;100.37;0.028;0.0281;-0.0001031;-15.529;-15.513;-99.990;0.00;-160.92;
2025-11-25 15:24:57.07;0.00:00:00:514;-1.00;-0.01;0.00;0.02802;-0.02814;-0.0002646;-8.982E-05;-89.73;-0.09;100.41;0.32;100.41;0.02802;0.02814;-0.0001144;-15.525;-15.507;-99.990;0.00;-161.25;
