Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-11-25 11:26:02.51;0.00:00:00:085;1.00;0.00;0.00;0.08039;0.0795;-4.589E-05;0.0001679;-0.02;0.06;98.89;0.21;98.89;0.08039;0.0795;0.0008898;-10.948;-10.997;-30.507;1.00;105.28;
2025-11-25 11:26:02.56;0.00:00:00:138;1.00;0.00;0.00;0.0803;0.07945;-7.094E-05;0.0001651;-0.03;0.06;98.94;0.21;98.94;0.0803;0.07945;0.0008545;-10.953;-10.999;-30.683;1.00;113.25;
2025-11-25 11:26:02.61;0.00:00:00:184;1.00;0.00;0.00;0.08028;0.07939;-1.49E-05;0.0001662;-0.01;0.06;98.89;0.21;98.89;0.08028;0.07939;0.0008886;-10.954;-11.002;-30.513;1.00;95.12;
2025-11-25 11:26:02.65;0.00:00:00:232;1.00;0.00;0.00;0.08036;0.07947;-3.979E-05;0.0001599;-0.01;0.06;98.89;0.20;98.89;0.08036;0.07947;0.0008904;-10.950;-10.998;-30.504;1.00;103.98;
2025-11-25 11:26:02.70;0.00:00:00:279;1.00;0.00;0.00;0.08033;0.0795;-8.568E-05;0.0001839;-0.03;0.07;98.97;0.23;98.97;0.08033;0.0795;0.000827;-10.951;-10.996;-30.825;1.00;114.98;
2025-11-25 11:26:02.75;0.00:00:00:325;1.00;0.00;0.00;0.08029;0.07952;-8.88E-05;0.0001642;-0.03;0.06;99.04;0.20;99.04;0.08029;0.07952;0.0007733;-10.953;-10.995;-31.117;1.00;118.40;
2025-11-25 11:26:02.80;0.00:00:00:373;1.00;0.00;0.00;0.08031;0.07946;-2.622E-05;0.0001772;-0.01;0.06;98.95;0.22;98.95;0.08031;0.07946;0.000846;-10.952;-10.998;-30.726;1.00;98.42;
2025-11-25 11:26:02.84;0.00:00:00:420;1.00;0.00;0.00;0.08036;0.07954;5.061E-06;0.0001545;0.00;0.06;98.98;0.19;98.98;0.08036;0.07954;0.000819;-10.950;-10.994;-30.867;1.00;88.12;
2025-11-25 11:26:02.89;0.00:00:00:467;1.00;0.00;0.00;0.08046;0.07961;-5.628E-05;0.0001476;-0.02;0.05;98.95;0.18;98.95;0.08046;0.07961;0.0008487;-10.944;-10.990;-30.713;1.00;110.87;
2025-11-25 11:26:02.94;0.00:00:00:517;1.00;0.00;0.00;0.08041;0.07957;-8.932E-05;0.0001549;-0.03;0.06;98.95;0.19;98.95;0.08041;0.07957;0.0008414;-10.947;-10.993;-30.750;1.00;119.97;
2025-11-25 11:26:03.00;0.00:00:00:576;1.00;0.00;0.00;0.08034;0.07949;-8.982E-05;0.0001619;-0.03;0.06;98.95;0.20;98.95;0.08034;0.07949;0.0008451;-10.951;-10.997;-30.731;1.00;119.02;
2025-11-25 11:26:03.05;0.00:00:00:623;1.00;0.00;0.00;0.08035;0.07949;-4.935E-05;0.0001552;-0.02;0.06;98.93;0.19;98.93;0.08035;0.07949;0.0008563;-10.950;-10.997;-30.674;1.00;107.64;
2025-11-25 11:26:03.09;0.00:00:00:670;1.00;0.00;0.00;0.08036;0.07956;-4.71E-05;0.0001674;-0.02;0.06;99.01;0.21;99.01;0.08036;0.07956;0.0007952;-10.950;-10.993;-30.995;1.00;105.71;
2025-11-25 11:26:03.14;0.00:00:00:717;1.00;0.00;0.00;0.08032;0.07955;-0.0001055;0.0001683;-0.04;0.06;99.04;0.21;99.04;0.08032;0.07955;0.00077;-10.952;-10.994;-31.135;1.00;122.08;
2025-11-25 11:26:03.19;0.00:00:00:764;1.00;0.00;0.00;0.08039;0.07952;-1.862E-05;0.0001519;-0.01;0.05;98.93;0.19;98.93;0.08039;0.07952;0.0008637;-10.948;-10.995;-30.636;1.00;96.99;
2025-11-25 11:26:03.23;0.00:00:00:811;1.00;0.00;0.00;0.08031;0.07951;-6.709E-05;0.0001809;-0.02;0.07;99.01;0.23;99.01;0.08031;0.07951;0.0007976;-10.952;-10.996;-30.982;1.00;110.35;
2025-11-25 11:26:03.28;0.00:00:00:857;1.00;0.00;0.00;0.08039;0.07954;-4.722E-05;0.0001595;-0.02;0.06;98.95;0.20;98.95;0.08039;0.07954;0.0008422;-10.948;-10.994;-30.746;1.00;106.49;
2025-11-25 11:26:03.33;0.00:00:00:905;1.00;0.00;0.00;0.08041;0.07957;-4.927E-05;0.0001511;-0.02;0.05;98.95;0.19;98.95;0.08041;0.07957;0.0008415;-10.947;-10.993;-30.750;1.00;108.06;
2025-11-25 11:26:03.38;0.00:00:00:953;1.00;0.00;0.00;0.08039;0.07961;-7.306E-05;0.0001641;-0.03;0.06;99.03;0.20;99.03;0.08039;0.07961;0.0007796;-10.948;-10.990;-31.081;1.00;114.01;
2025-11-25 11:26:03.42;0.00:00:01:000;1.00;0.00;0.00;0.08037;0.07954;-6.998E-05;0.0001716;-0.03;0.06;98.96;0.21;98.96;0.08037;0.07954;0.0008341;-10.949;-10.994;-30.788;1.00;112.19;
2025-11-25 11:26:03.47;0.00:00:01:046;1.00;0.00;0.00;0.08038;0.07953;-3.637E-05;0.0001669;-0.01;0.06;98.94;0.21;98.94;0.08038;0.07953;0.000852;-10.948;-10.995;-30.696;1.00;102.29;
2025-11-25 11:26:03.52;0.00:00:01:099;1.00;0.00;0.00;0.08046;0.07961;-2.525E-05;0.0001633;-0.01;0.06;98.94;0.20;98.93;0.08046;0.07961;0.0008569;-10.944;-10.990;-30.671;1.00;98.79;
2025-11-25 11:26:03.58;0.00:00:01:155;1.00;0.00;0.00;0.08048;0.07962;-7.576E-05;0.0001688;-0.03;0.06;98.93;0.21;98.93;0.08048;0.07962;0.0008589;-10.943;-10.990;-30.660;1.00;114.18;
2025-11-25 11:26:03.62;0.00:00:01:202;1.00;0.00;0.00;0.08041;0.07959;-0.0001064;0.0001639;-0.04;0.06;98.98;0.20;98.98;0.08041;0.07959;0.0008207;-10.947;-10.991;-30.858;1.00;122.99;
