Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-11-25 11:24:23.27;0.00:00:00:050;-1.00;0.00;0.00;0.07912;-0.07924;-3.687E-07;1.011E-05;-90.00;0.00;100.15;0.01;100.15;0.07912;0.07924;-0.0001157;-11.017;-11.011;-99.990;0.00;92.03;
2025-11-25 11:24:23.32;0.00:00:00:099;-1.00;0.00;0.00;0.07906;-0.07919;3.536E-06;1.009E-05;90.00;0.00;100.16;0.01;100.16;0.07906;0.07919;-0.000124;-11.020;-11.013;-99.990;0.00;70.65;
2025-11-25 11:24:23.37;0.00:00:00:149;-1.00;0.00;0.00;0.07908;-0.07921;3.237E-05;-4.049E-06;89.99;0.00;100.17;0.01;100.17;0.07908;0.07921;-0.0001319;-11.019;-11.012;-99.990;0.00;-7.13;
2025-11-25 11:24:23.43;0.00:00:00:210;-1.00;0.00;0.00;0.07915;-0.07928;4.65E-06;1.998E-05;90.00;0.01;100.16;0.03;100.16;0.07915;0.07928;-0.000126;-11.015;-11.008;-99.990;0.00;76.91;
2025-11-25 11:24:23.48;0.00:00:00:260;-1.00;0.00;0.00;0.07914;-0.0793;4.176E-06;1.856E-05;90.00;0.01;100.21;0.02;100.21;0.07914;0.0793;-0.0001634;-11.016;-11.007;-99.990;0.00;77.31;
2025-11-25 11:24:23.52;0.00:00:00:308;-1.00;0.00;0.00;0.07914;-0.07926;-1.258E-05;3.31E-06;-90.00;0.00;100.16;0.00;100.16;0.07914;0.07926;-0.0001264;-11.016;-11.009;-99.990;0.00;165.26;
2025-11-25 11:24:23.57;0.00:00:00:355;-1.00;0.00;0.00;0.07912;-0.07925;2.256E-05;-5.638E-06;89.99;0.00;100.17;0.01;100.17;0.07912;0.07925;-0.0001382;-11.017;-11.010;-99.990;0.00;-14.03;
2025-11-25 11:24:23.62;0.00:00:00:403;-1.00;0.00;0.00;0.07907;-0.0792;-1.605E-05;3.452E-06;-89.99;0.00;100.16;0.00;100.16;0.07907;0.0792;-0.000123;-11.020;-11.013;-99.990;0.00;167.86;
2025-11-25 11:24:23.67;0.00:00:00:451;-1.00;0.00;0.00;0.07906;-0.07919;7.654E-06;-7.155E-06;90.00;0.00;100.16;0.01;100.16;0.07906;0.07919;-0.0001303;-11.020;-11.013;-99.990;0.00;-43.06;
2025-11-25 11:24:23.72;0.00:00:00:499;-1.00;0.00;0.00;0.07905;-0.07918;1.114E-05;-9.586E-06;90.00;0.00;100.16;0.01;100.16;0.07905;0.07918;-0.0001248;-11.021;-11.014;-99.990;0.00;-40.73;
