Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-11-25 11:34:55.84;0.00:00:00:062;-1.00;0.00;0.00;0.05908;-0.0592;-2.88E-06;-2.758E-05;-90.00;-0.01;100.21;0.05;100.21;0.05908;0.0592;-0.0001244;-12.286;-12.277;-99.990;0.00;-95.97;
2025-11-25 11:34:55.91;0.00:00:00:132;-1.00;0.00;0.00;0.05913;-0.05922;4.102E-05;-3.368E-05;89.98;-0.02;100.15;0.06;100.15;0.05913;0.05922;-8.882E-05;-12.282;-12.275;-99.990;0.00;-39.38;
2025-11-25 11:34:55.95;0.00:00:00:179;-1.00;0.00;0.00;0.05912;-0.05926;1.711E-05;-4.477E-05;89.99;-0.02;100.24;0.08;100.24;0.05912;0.05926;-0.0001421;-12.283;-12.272;-99.990;0.00;-69.09;
2025-11-25 11:34:56.00;0.00:00:00:226;-1.00;0.00;0.00;0.05908;-0.05921;2.798E-05;-3.254E-05;89.99;-0.02;100.22;0.06;100.22;0.05908;0.05921;-0.0001297;-12.286;-12.276;-99.990;0.00;-49.30;
2025-11-25 11:34:56.05;0.00:00:00:276;-1.00;0.00;0.00;0.05908;-0.05921;2.349E-05;-2.466E-05;89.99;-0.01;100.22;0.04;100.22;0.05908;0.05921;-0.0001315;-12.285;-12.276;-99.990;0.00;-46.40;
2025-11-25 11:34:56.11;0.00:00:00:336;-1.00;0.00;0.00;0.05907;-0.05919;2.525E-06;-4.348E-05;90.00;-0.02;100.20;0.07;100.20;0.05907;0.05919;-0.000119;-12.287;-12.278;-99.990;0.00;-86.68;
2025-11-25 11:34:56.16;0.00:00:00:382;-1.00;0.00;0.00;0.05908;-0.0592;-7.142E-06;-3.31E-05;-90.00;-0.02;100.20;0.06;100.20;0.05908;0.0592;-0.0001196;-12.286;-12.277;-99.990;0.00;-102.17;
2025-11-25 11:34:56.21;0.00:00:00:430;-1.00;0.00;0.00;0.05912;-0.05922;1.011E-05;-3.47E-05;90.00;-0.02;100.16;0.06;100.16;0.05912;0.05922;-9.347E-05;-12.282;-12.276;-99.990;0.00;-73.76;
2025-11-25 11:34:56.25;0.00:00:00:477;-1.00;0.00;0.00;0.05917;-0.0593;3.941E-05;-3.513E-05;89.98;-0.02;100.22;0.06;100.22;0.05917;0.0593;-0.0001299;-12.279;-12.269;-99.990;0.00;-41.71;
2025-11-25 11:34:56.30;0.00:00:00:526;-1.00;0.00;0.00;0.05917;-0.05929;3.3E-05;-3.242E-05;89.98;-0.02;100.21;0.05;100.21;0.05917;0.05929;-0.000122;-12.279;-12.270;-99.990;0.00;-44.49;
2025-11-25 11:34:56.36;0.00:00:00:585;-1.00;0.00;0.00;0.05919;-0.05931;3.55E-05;-2.207E-05;89.98;-0.01;100.19;0.04;100.19;0.05919;0.05931;-0.0001139;-12.277;-12.269;-99.990;0.00;-31.87;
2025-11-25 11:34:56.41;0.00:00:00:631;-1.00;0.00;0.00;0.05916;-0.05929;2.055E-05;-3.311E-05;89.99;-0.02;100.22;0.06;100.22;0.05916;0.05929;-0.0001291;-12.280;-12.270;-99.990;0.00;-58.17;
2025-11-25 11:34:56.45;0.00:00:00:677;-1.00;0.00;0.00;0.05912;-0.05923;3.155E-05;-2.737E-05;89.98;-0.01;100.18;0.05;100.18;0.05912;0.05923;-0.000107;-12.283;-12.275;-99.990;0.00;-40.95;
2025-11-25 11:34:56.50;0.00:00:00:724;-1.00;0.00;0.00;0.0591;-0.05922;1.07E-05;-4.942E-05;89.99;-0.02;100.20;0.08;100.20;0.0591;0.05922;-0.000118;-12.284;-12.275;-99.990;0.00;-77.79;
2025-11-25 11:34:56.55;0.00:00:00:771;-1.00;0.00;0.00;0.05907;-0.05919;9.509E-06;-3.952E-05;90.00;-0.02;100.19;0.07;100.19;0.05907;0.05919;-0.0001122;-12.286;-12.278;-99.990;0.00;-76.48;
