Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-11-25 11:46:54.49;0.00:00:00:053;1.00;0.00;0.00;0.0806;0.07972;-0.0003666;0.0001278;-0.13;0.05;98.90;0.16;98.90;0.0806;0.07972;0.0008852;-10.936;-10.984;-30.530;1.00;160.78;
2025-11-25 11:46:54.55;0.00:00:00:114;1.00;0.00;0.00;0.0805;0.07959;-0.000391;0.0001194;-0.14;0.04;98.88;0.15;98.88;0.0805;0.07959;0.0009022;-10.942;-10.991;-30.447;1.00;163.02;
2025-11-25 11:46:54.60;0.00:00:00:161;1.00;0.00;0.00;0.08049;0.07957;-0.0003445;0.0001491;-0.12;0.05;98.86;0.19;98.86;0.08049;0.07958;0.0009143;-10.943;-10.992;-30.389;1.00;156.59;
2025-11-25 11:46:54.64;0.00:00:00:208;1.00;0.00;0.00;0.08046;0.07954;-0.0003475;0.0001216;-0.13;0.04;98.86;0.15;98.86;0.08046;0.07954;0.0009207;-10.944;-10.994;-30.359;1.00;160.71;
2025-11-25 11:46:54.69;0.00:00:00:257;1.00;0.00;0.00;0.08048;0.07954;-0.0003767;0.0001117;-0.14;0.04;98.84;0.14;98.84;0.08048;0.07955;0.0009303;-10.943;-10.994;-30.314;1.00;163.48;
2025-11-25 11:46:54.74;0.00:00:00:303;1.00;0.00;0.00;0.08039;0.07951;-0.0003455;0.0001156;-0.12;0.04;98.91;0.14;98.91;0.08039;0.07951;0.0008776;-10.948;-10.996;-30.567;1.00;161.51;
2025-11-25 11:46:54.79;0.00:00:00:350;1.00;0.00;0.00;0.08031;0.07949;-0.0003827;0.0001327;-0.14;0.05;98.98;0.17;98.98;0.08031;0.07949;0.0008202;-10.952;-10.997;-30.861;1.00;160.88;
2025-11-25 11:46:54.84;0.00:00:00:400;1.00;0.00;0.00;0.08031;0.07945;-0.0003514;0.0001197;-0.13;0.04;98.93;0.15;98.93;0.08031;0.07945;0.0008566;-10.952;-10.999;-30.672;1.00;161.19;
2025-11-25 11:46:54.89;0.00:00:00:460;1.00;0.00;0.00;0.08048;0.0796;-0.0003916;0.0001146;-0.14;0.04;98.91;0.14;98.91;0.08048;0.0796;0.0008759;-10.943;-10.991;-30.576;1.00;163.69;
2025-11-25 11:46:54.94;0.00:00:00:507;1.00;0.00;0.00;0.08051;0.07966;-0.0003764;0.0001426;-0.14;0.05;98.95;0.18;98.95;0.08051;0.07966;0.0008473;-10.941;-10.987;-30.720;1.00;159.25;
2025-11-25 11:46:54.99;0.00:00:00:556;1.00;0.00;0.00;0.08051;0.07959;-0.0003201;0.0001225;-0.12;0.04;98.85;0.15;98.85;0.08051;0.07959;0.0009232;-10.941;-10.991;-30.347;1.00;159.05;
2025-11-25 11:46:55.04;0.00:00:00:602;1.00;0.00;0.00;0.08051;0.07961;-0.0003669;0.0001357;-0.13;0.05;98.88;0.17;98.88;0.08051;0.07961;0.0008982;-10.941;-10.990;-30.466;1.00;159.71;
2025-11-25 11:46:55.08;0.00:00:00:649;1.00;0.00;0.00;0.08055;0.07964;-0.0003346;0.0001532;-0.12;0.06;98.87;0.19;98.87;0.08055;0.07964;0.0009066;-10.939;-10.989;-30.426;1.00;155.39;
