Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-11-25 15:03:29.06;0.00:00:00:068;1.00;0.00;0.00;0.08059;0.07976;1.574E-05;0.0002698;0.01;0.10;98.97;0.33;98.97;0.08059;0.07976;0.0008283;-10.937;-10.982;-30.818;1.00;86.66;
2025-11-25 15:03:29.11;0.00:00:00:127;1.00;0.00;0.00;0.08062;0.07988;3.426E-06;0.0002526;0.00;0.09;99.07;0.31;99.07;0.08062;0.07988;0.0007465;-10.935;-10.976;-31.270;1.00;89.22;
2025-11-25 15:03:29.16;0.00:00:00:173;1.00;0.00;0.00;0.08062;0.07993;4.29E-05;0.000237;0.02;0.08;99.15;0.29;99.15;0.08062;0.07994;0.0006857;-10.936;-10.973;-31.638;1.00;79.74;
2025-11-25 15:03:29.21;0.00:00:00:221;1.00;0.00;0.00;0.08065;0.07988;3.304E-05;0.0002627;0.01;0.09;99.04;0.33;99.04;0.08065;0.07988;0.0007732;-10.934;-10.976;-31.117;1.00;82.83;
2025-11-25 15:03:29.26;0.00:00:00:268;1.00;0.00;0.00;0.08064;0.07988;-3.441E-05;0.0002693;-0.01;0.10;99.05;0.33;99.05;0.08064;0.07988;0.000768;-10.934;-10.976;-31.146;1.00;97.28;
2025-11-25 15:03:29.30;0.00:00:00:316;1.00;0.00;0.00;0.08064;0.07991;5.401E-05;0.0002615;0.02;0.09;99.09;0.32;99.09;0.08064;0.07991;0.0007334;-10.935;-10.974;-31.346;1.00;78.33;
2025-11-25 15:03:29.35;0.00:00:00:362;1.00;0.00;0.00;0.08063;0.07988;2.186E-05;0.000258;0.01;0.09;99.07;0.32;99.07;0.08063;0.07988;0.0007491;-10.935;-10.976;-31.254;1.00;85.16;
2025-11-25 15:03:29.40;0.00:00:00:411;1.00;0.00;0.00;0.08062;0.07983;2.261E-05;0.0002715;0.01;0.10;99.02;0.34;99.02;0.08062;0.07983;0.0007892;-10.935;-10.978;-31.028;1.00;85.24;
2025-11-25 15:03:29.44;0.00:00:00:457;1.00;0.00;0.00;0.08063;0.07985;7.684E-05;0.0002609;0.03;0.09;99.03;0.32;99.03;0.08063;0.07985;0.0007801;-10.935;-10.977;-31.079;1.00;73.59;
2025-11-25 15:03:29.49;0.00:00:00:504;1.00;0.00;0.00;0.08063;0.07989;5.403E-05;0.0002449;0.02;0.09;99.08;0.30;99.08;0.08063;0.07989;0.0007406;-10.935;-10.975;-31.304;1.00;77.56;
