Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-11-25 15:04:55.17;0.00:00:00:059;-1.00;0.00;0.00;0.0793;-0.07939;3.816E-05;4.457E-05;89.99;0.02;100.10;0.06;100.10;0.0793;0.07939;-8.319E-05;-11.007;-11.003;-99.990;0.00;49.43;
2025-11-25 15:04:55.23;0.00:00:00:116;-1.00;0.00;0.00;0.07918;-0.07925;1.448E-05;5.801E-05;89.99;0.02;100.09;0.07;100.09;0.07918;0.07925;-6.81E-05;-11.014;-11.010;-99.990;0.00;75.99;
2025-11-25 15:04:55.27;0.00:00:00:163;-1.00;0.00;0.00;0.07922;-0.07931;4.875E-05;3.247E-05;89.98;0.01;100.12;0.04;100.12;0.07922;0.07931;-9.134E-05;-11.012;-11.007;-99.990;0.00;33.67;
2025-11-25 15:04:55.32;0.00:00:00:211;-1.00;0.00;0.00;0.07924;-0.07933;4.305E-05;4.807E-05;89.98;0.02;100.12;0.06;100.12;0.07924;0.07933;-9.421E-05;-11.011;-11.005;-99.990;0.00;48.15;
2025-11-25 15:04:55.37;0.00:00:00:259;-1.00;0.00;0.00;0.07926;-0.07935;1.084E-05;3.854E-05;90.00;0.01;100.11;0.05;100.11;0.07926;0.07935;-8.33E-05;-11.009;-11.005;-99.990;0.00;74.29;
2025-11-25 15:04:55.42;0.00:00:00:307;-1.00;0.00;0.00;0.07922;-0.0793;6.554E-06;3.051E-05;90.00;0.01;100.10;0.04;100.10;0.07922;0.0793;-7.661E-05;-11.011;-11.007;-99.990;0.00;77.89;
2025-11-25 15:04:55.47;0.00:00:00:354;-1.00;0.00;0.00;0.07925;-0.07932;2.972E-05;4.212E-05;89.99;0.02;100.09;0.05;100.09;0.07925;0.07932;-7.378E-05;-11.010;-11.006;-99.990;0.00;54.79;
2025-11-25 15:04:55.51;0.00:00:00:403;-1.00;0.00;0.00;0.0793;-0.0794;5.262E-05;5.668E-05;89.98;0.02;100.13;0.07;100.13;0.0793;0.0794;-0.0001014;-11.007;-11.002;-99.990;0.00;47.13;
2025-11-25 15:04:55.56;0.00:00:00:450;-1.00;0.00;0.00;0.07928;-0.07937;2.291E-05;3.114E-05;89.99;0.01;100.10;0.04;100.10;0.07928;0.07937;-8.269E-05;-11.008;-11.004;-99.990;0.00;53.66;
2025-11-25 15:04:55.61;0.00:00:00:497;-1.00;0.00;0.00;0.07931;-0.07939;5.61E-05;3.715E-05;89.98;0.01;100.10;0.05;100.10;0.07931;0.07939;-8.05E-05;-11.007;-11.002;-99.990;0.00;33.51;
2025-11-25 15:04:55.66;0.00:00:00:544;-1.00;0.00;0.00;0.07928;-0.07935;3.275E-05;4.786E-05;89.99;0.02;100.09;0.06;100.09;0.07928;0.07935;-7.492E-05;-11.008;-11.004;-99.990;0.00;55.63;
2025-11-25 15:04:55.70;0.00:00:00:591;-1.00;0.00;0.00;0.07935;-0.07941;4.977E-05;5.327E-05;89.98;0.02;100.08;0.07;100.08;0.07935;0.07941;-6.364E-05;-11.004;-11.001;-99.990;0.00;46.95;
2025-11-25 15:04:55.75;0.00:00:00:638;-1.00;0.00;0.00;0.07938;-0.07949;1.547E-05;5.193E-05;89.99;0.02;100.14;0.07;100.14;0.07938;0.07949;-0.0001121;-11.003;-10.997;-99.990;0.00;73.41;
2025-11-25 15:04:55.80;0.00:00:00:686;-1.00;0.00;0.00;0.07933;-0.0794;8.786E-06;5.527E-05;90.00;0.02;100.09;0.07;100.09;0.07933;0.0794;-7.172E-05;-11.006;-11.002;-99.990;0.00;80.98;
2025-11-25 15:04:55.84;0.00:00:00:734;-1.00;0.00;0.00;0.07935;-0.07945;3.93E-05;7.165E-05;89.99;0.03;100.12;0.09;100.12;0.07935;0.07945;-9.363E-05;-11.004;-10.999;-99.990;0.00;61.26;
2025-11-25 15:04:55.89;0.00:00:00:781;-1.00;0.00;0.00;0.07939;-0.07951;3.758E-05;7.091E-05;89.99;0.03;100.15;0.09;100.15;0.07939;0.07951;-0.0001197;-11.003;-10.996;-99.990;0.00;62.08;
2025-11-25 15:04:55.94;0.00:00:00:828;-1.00;0.00;0.00;0.07939;-0.07947;2.23E-05;5.649E-05;89.99;0.02;100.10;0.07;100.10;0.07939;0.07947;-8.002E-05;-11.002;-10.998;-99.990;0.00;68.45;
2025-11-25 15:04:55.99;0.00:00:00:876;-1.00;0.00;0.00;0.07929;-0.07938;1.386E-05;4.783E-05;89.99;0.02;100.11;0.06;100.11;0.07929;0.07938;-8.794E-05;-11.008;-11.003;-99.990;0.00;73.83;
2025-11-25 15:04:56.03;0.00:00:00:922;-1.00;0.00;0.00;0.07931;-0.07941;3.769E-05;4.597E-05;89.99;0.02;100.12;0.06;100.12;0.07931;0.07941;-9.509E-05;-11.007;-11.002;-99.990;0.00;50.66;
2025-11-25 15:04:56.08;0.00:00:00:970;-1.00;0.00;0.00;0.07925;-0.07931;5.652E-05;5.524E-05;89.98;0.02;100.08;0.07;100.08;0.07925;0.07931;-5.96E-05;-11.010;-11.007;-99.990;0.00;44.34;
2025-11-25 15:04:56.13;0.00:00:01:017;-1.00;0.00;0.00;0.07929;-0.07936;8.148E-05;3.087E-05;89.97;0.01;100.10;0.04;100.10;0.07929;0.07936;-7.58E-05;-11.008;-11.004;-99.990;0.00;20.75;
2025-11-25 15:04:56.17;0.00:00:01:063;-1.00;0.00;0.00;0.07932;-0.0794;3.832E-05;3.612E-05;89.99;0.01;100.10;0.05;100.10;0.07932;0.0794;-7.718E-05;-11.006;-11.002;-99.990;0.00;43.31;
2025-11-25 15:04:56.22;0.00:00:01:109;-1.00;0.00;0.00;0.07929;-0.07937;3.053E-05;3.794E-05;89.99;0.01;100.10;0.05;100.10;0.07929;0.07937;-8.103E-05;-11.008;-11.004;-99.990;0.00;51.19;
2025-11-25 15:04:56.27;0.00:00:01:157;-1.00;0.00;0.00;0.07933;-0.07941;2.8E-05;4.676E-05;89.99;0.02;100.11;0.06;100.11;0.07933;0.07941;-8.401E-05;-11.006;-11.001;-99.990;0.00;59.09;
2025-11-25 15:04:56.32;0.00:00:01:205;-1.00;0.00;0.00;0.07936;-0.07944;1.054E-05;4.287E-05;90.00;0.02;100.09;0.05;100.09;0.07936;0.07944;-7.309E-05;-11.004;-11.000;-99.990;0.00;76.19;
2025-11-25 15:04:56.36;0.00:00:01:251;-1.00;0.00;0.00;0.0794;-0.0795;9.036E-05;4.232E-05;89.97;0.02;100.12;0.05;100.12;0.0794;0.0795;-9.512E-05;-11.002;-10.997;-99.990;0.00;25.10;
2025-11-25 15:04:56.41;0.00:00:01:299;-1.00;0.00;0.00;0.07932;-0.07939;3.276E-05;5.109E-05;89.99;0.02;100.09;0.06;100.09;0.07932;0.07939;-7.369E-05;-11.006;-11.002;-99.990;0.00;57.34;
2025-11-25 15:04:56.46;0.00:00:01:345;-1.00;0.00;0.00;0.07931;-0.07942;5.024E-05;4.995E-05;89.98;0.02;100.13;0.06;100.13;0.07931;0.07942;-0.0001039;-11.007;-11.001;-99.990;0.00;44.83;
2025-11-25 15:04:56.50;0.00:00:01:393;-1.00;0.00;0.00;0.07932;-0.07941;4.373E-05;4.037E-05;89.98;0.01;100.11;0.05;100.11;0.07932;0.07941;-8.963E-05;-11.006;-11.001;-99.990;0.00;42.71;
2025-11-25 15:04:56.55;0.00:00:01:440;-1.00;0.00;0.00;0.07931;-0.07938;2.276E-05;4.793E-05;89.99;0.02;100.09;0.06;100.09;0.07931;0.07938;-6.988E-05;-11.006;-11.003;-99.990;0.00;64.61;
2025-11-25 15:04:56.60;0.00:00:01:486;-1.00;0.00;0.00;0.07929;-0.07936;-7.829E-06;3.484E-05;-90.00;0.01;100.09;0.04;100.09;0.07929;0.07936;-7.485E-05;-11.008;-11.004;-99.990;0.00;102.65;
2025-11-25 15:04:56.64;0.00:00:01:533;-1.00;0.00;0.00;0.07933;-0.07943;2.515E-05;2.95E-05;89.99;0.01;100.12;0.04;100.12;0.07933;0.07943;-9.734E-05;-11.006;-11.000;-99.990;0.00;49.55;
2025-11-25 15:04:56.69;0.00:00:01:581;-1.00;0.00;0.00;0.07937;-0.07947;3.391E-05;3.019E-05;89.99;0.01;100.13;0.04;100.13;0.07937;0.07947;-0.000104;-11.004;-10.998;-99.990;0.00;41.68;
2025-11-25 15:04:56.74;0.00:00:01:627;-1.00;0.00;0.00;0.07939;-0.07949;1.277E-05;5.805E-05;90.00;0.02;100.12;0.07;100.12;0.07939;0.07949;-9.416E-05;-11.002;-10.997;-99.990;0.00;77.60;
2025-11-25 15:04:56.79;0.00:00:01:676;-1.00;0.00;0.00;0.07941;-0.07951;6.253E-06;6.413E-05;90.00;0.02;100.13;0.08;100.13;0.07941;0.07951;-0.0001001;-11.002;-10.996;-99.990;0.00;84.44;
2025-11-25 15:04:56.83;0.00:00:01:722;-1.00;0.00;0.00;0.07938;-0.07944;4.041E-05;4.036E-05;89.99;0.01;100.08;0.05;100.08;0.07938;0.07944;-5.977E-05;-11.003;-11.000;-99.990;0.00;44.97;
2025-11-25 15:04:56.88;0.00:00:01:770;-1.00;0.00;0.00;0.07937;-0.07946;6.919E-05;5.44E-05;89.98;0.02;100.11;0.07;100.11;0.07937;0.07946;-9.041E-05;-11.003;-10.998;-99.990;0.00;38.18;
2025-11-25 15:04:56.93;0.00:00:01:816;-1.00;0.00;0.00;0.07927;-0.07933;1.798E-05;3.769E-05;89.99;0.01;100.09;0.05;100.09;0.07927;0.07933;-6.857E-05;-11.009;-11.005;-99.990;0.00;64.50;
2025-11-25 15:04:56.97;0.00:00:01:863;-1.00;0.00;0.00;0.07929;-0.07938;2.149E-05;5.965E-05;89.99;0.02;100.11;0.08;100.11;0.07929;0.07938;-8.802E-05;-11.008;-11.003;-99.990;0.00;70.20;
2025-11-25 15:04:57.02;0.00:00:01:911;-1.00;0.00;0.00;0.07937;-0.07946;4.868E-05;2.596E-05;89.98;0.01;100.11;0.03;100.11;0.07937;0.07946;-8.849E-05;-11.004;-10.999;-99.990;0.00;28.08;
2025-11-25 15:04:57.07;0.00:00:01:958;-1.00;0.00;0.00;0.07939;-0.07944;1.546E-05;6.624E-05;89.99;0.02;100.07;0.08;100.07;0.07939;0.07944;-5.557E-05;-11.002;-10.999;-99.990;0.00;76.86;
2025-11-25 15:04:57.12;0.00:00:02:006;-1.00;0.00;0.00;0.07937;-0.07946;4.185E-05;5.84E-05;89.98;0.02;100.11;0.07;100.11;0.07937;0.07946;-8.953E-05;-11.003;-10.998;-99.990;0.00;54.37;
2025-11-25 15:04:57.17;0.00:00:02:054;-1.00;0.00;0.00;0.0794;-0.07948;2.819E-05;6.559E-05;89.99;0.02;100.11;0.08;100.11;0.0794;0.07948;-8.408E-05;-11.002;-10.997;-99.990;0.00;66.74;
2025-11-25 15:04:57.21;0.00:00:02:100;-1.00;0.00;0.00;0.07941;-0.0795;6.015E-05;2.942E-05;89.98;0.01;100.11;0.04;100.11;0.07941;0.0795;-8.394E-05;-11.001;-10.996;-99.990;0.00;26.06;
2025-11-25 15:04:57.26;0.00:00:02:147;-1.00;0.00;0.00;0.07937;-0.07944;3.706E-06;6.781E-05;90.00;0.02;100.09;0.09;100.09;0.07937;0.07944;-6.882E-05;-11.003;-10.999;-99.990;0.00;86.87;
2025-11-25 15:04:57.31;0.00:00:02:196;-1.00;0.00;0.00;0.07932;-0.0794;3.118E-05;4.372E-05;89.99;0.02;100.10;0.06;100.10;0.07932;0.0794;-7.75E-05;-11.006;-11.002;-99.990;0.00;54.52;
2025-11-25 15:04:57.35;0.00:00:02:241;-1.00;0.00;0.00;0.07929;-0.07938;5.291E-06;4.814E-05;90.00;0.02;100.10;0.06;100.10;0.07929;0.07938;-8.278E-05;-11.008;-11.003;-99.990;0.00;83.73;
2025-11-25 15:04:57.40;0.00:00:02:288;-1.00;0.00;0.00;0.07927;-0.07934;3.099E-05;4.509E-05;89.99;0.02;100.09;0.06;100.09;0.07927;0.07934;-6.928E-05;-11.009;-11.005;-99.990;0.00;55.49;
2025-11-25 15:04:57.45;0.00:00:02:341;-1.00;0.00;0.00;0.07933;-0.07944;4.771E-05;6.416E-05;89.98;0.02;100.14;0.08;100.13;0.07933;0.07944;-0.0001071;-11.006;-11.000;-99.990;0.00;53.37;
2025-11-25 15:04:57.51;0.00:00:02:399;-1.00;0.00;0.00;0.07938;-0.07945;4.342E-06;6.255E-05;90.00;0.02;100.09;0.08;100.09;0.07938;0.07945;-7.096E-05;-11.003;-10.999;-99.990;0.00;86.03;
2025-11-25 15:04:57.56;0.00:00:02:445;-1.00;0.00;0.00;0.07931;-0.07939;3.355E-05;4.922E-05;89.99;0.02;100.09;0.06;100.09;0.07931;0.07939;-7.13E-05;-11.007;-11.003;-99.990;0.00;55.72;
2025-11-25 15:04:57.60;0.00:00:02:493;-1.00;0.00;0.00;0.07931;-0.07938;4.816E-05;4.819E-05;89.98;0.02;100.09;0.06;100.09;0.07931;0.07938;-7.312E-05;-11.007;-11.003;-99.990;0.00;45.02;
2025-11-25 15:04:57.65;0.00:00:02:541;-1.00;0.00;0.00;0.07931;-0.07939;3.212E-05;5.883E-05;89.99;0.02;100.10;0.07;100.10;0.07931;0.07939;-7.764E-05;-11.007;-11.003;-99.990;0.00;61.37;
2025-11-25 15:04:57.70;0.00:00:02:588;-1.00;0.00;0.00;0.07938;-0.07948;5.251E-05;5.382E-05;89.98;0.02;100.13;0.07;100.13;0.07938;0.07948;-0.0001023;-11.003;-10.997;-99.990;0.00;45.70;
2025-11-25 15:04:57.75;0.00:00:02:634;-1.00;0.00;0.00;0.07934;-0.07941;3.696E-07;4.697E-05;90.00;0.02;100.09;0.06;100.09;0.07934;0.07941;-6.943E-05;-11.005;-11.001;-99.990;0.00;89.56;
2025-11-25 15:04:57.79;0.00:00:02:680;-1.00;0.00;0.00;0.07936;-0.07944;1.96E-05;4.36E-05;89.99;0.02;100.11;0.05;100.11;0.07936;0.07944;-8.872E-05;-11.004;-10.999;-99.990;0.00;65.80;
2025-11-25 15:04:57.84;0.00:00:02:728;-1.00;0.00;0.00;0.07938;-0.07949;6.237E-05;6.142E-05;89.98;0.02;100.14;0.08;100.14;0.07938;0.07949;-0.0001109;-11.003;-10.997;-99.990;0.00;44.56;
2025-11-25 15:04:57.89;0.00:00:02:775;-1.00;0.00;0.00;0.07936;-0.07945;3.517E-05;4.385E-05;89.99;0.02;100.11;0.06;100.11;0.07936;0.07945;-8.738E-05;-11.004;-10.999;-99.990;0.00;51.27;
2025-11-25 15:04:57.93;0.00:00:02:822;-1.00;0.00;0.00;0.07931;-0.07937;4.973E-06;5.382E-05;90.00;0.02;100.08;0.07;100.08;0.07931;0.07937;-6.622E-05;-11.007;-11.003;-99.990;0.00;84.73;
2025-11-25 15:04:57.98;0.00:00:02:867;-1.00;0.00;0.00;0.07929;-0.07936;4.878E-05;6E-05;89.98;0.02;100.09;0.08;100.09;0.07929;0.07936;-7.017E-05;-11.008;-11.004;-99.990;0.00;50.89;
2025-11-25 15:04:58.03;0.00:00:02:914;-1.00;0.00;0.00;0.07925;-0.07934;2.036E-05;4.879E-05;89.99;0.02;100.12;0.06;100.12;0.07925;0.07934;-9.858E-05;-11.010;-11.005;-99.990;0.00;67.34;
2025-11-25 15:04:58.07;0.00:00:02:961;-1.00;0.00;0.00;0.07932;-0.07941;4.024E-05;4.357E-05;89.99;0.02;100.11;0.05;100.11;0.07932;0.07941;-9.082E-05;-11.006;-11.001;-99.990;0.00;47.28;
2025-11-25 15:04:58.12;0.00:00:03:008;-1.00;0.00;0.00;0.0793;-0.0794;4.325E-05;4.135E-05;89.98;0.01;100.12;0.05;100.12;0.0793;0.0794;-9.905E-05;-11.007;-11.002;-99.990;0.00;43.72;
2025-11-25 15:04:58.17;0.00:00:03:055;-1.00;0.00;0.00;0.07939;-0.07947;3.851E-05;3.474E-05;89.99;0.01;100.09;0.04;100.09;0.07939;0.07947;-7.495E-05;-11.002;-10.998;-99.990;0.00;42.05;
2025-11-25 15:04:58.21;0.00:00:03:102;-1.00;0.00;0.00;0.07947;-0.07957;2.774E-05;6.796E-05;89.99;0.02;100.12;0.09;100.12;0.07947;0.07957;-9.235E-05;-10.998;-10.993;-99.990;0.00;67.80;
2025-11-25 15:04:58.26;0.00:00:03:149;-1.00;0.00;0.00;0.07944;-0.07952;-2.756E-06;4.167E-05;-90.00;0.02;100.11;0.05;100.11;0.07944;0.07952;-8.524E-05;-11.000;-10.995;-99.990;0.00;93.78;
2025-11-25 15:04:58.31;0.00:00:03:196;-1.00;0.00;0.00;0.07935;-0.07942;3.277E-05;5.239E-05;89.99;0.02;100.10;0.07;100.10;0.07935;0.07942;-7.578E-05;-11.005;-11.001;-99.990;0.00;57.98;
2025-11-25 15:04:58.35;0.00:00:03:243;-1.00;0.00;0.00;0.07937;-0.07944;5.741E-05;6.396E-05;89.98;0.02;100.09;0.08;100.09;0.07937;0.07944;-7.358E-05;-11.003;-10.999;-99.990;0.00;48.09;
2025-11-25 15:04:58.40;0.00:00:03:290;-1.00;0.00;0.00;0.07936;-0.07945;4.772E-05;5.089E-05;89.98;0.02;100.12;0.06;100.12;0.07936;0.07945;-9.134E-05;-11.004;-10.999;-99.990;0.00;46.84;
2025-11-25 15:04:58.45;0.00:00:03:337;-1.00;0.00;0.00;0.07937;-0.07947;2.5E-05;4.099E-05;89.99;0.01;100.12;0.05;100.12;0.07937;0.07947;-9.905E-05;-11.003;-10.998;-99.990;0.00;58.60;
2025-11-25 15:04:58.50;0.00:00:03:386;-1.00;0.00;0.00;0.07935;-0.07944;4.819E-05;6.411E-05;89.98;0.02;100.11;0.08;100.11;0.07935;0.07944;-8.808E-05;-11.005;-11.000;-99.990;0.00;53.07;
2025-11-25 15:04:58.56;0.00:00:03:447;-1.00;0.00;0.00;0.07927;-0.07935;8.622E-06;5.937E-05;90.00;0.02;100.10;0.07;100.10;0.07927;0.07935;-7.705E-05;-11.009;-11.005;-99.990;0.00;81.74;
2025-11-25 15:04:58.61;0.00:00:03:494;-1.00;0.00;0.00;0.07933;-0.07941;4.421E-05;4.399E-05;89.98;0.02;100.10;0.06;100.10;0.07933;0.07941;-8.298E-05;-11.006;-11.001;-99.990;0.00;44.86;
2025-11-25 15:04:58.65;0.00:00:03:541;-1.00;0.00;0.00;0.07935;-0.07945;5.551E-05;5.271E-05;89.98;0.02;100.12;0.07;100.12;0.07935;0.07945;-9.871E-05;-11.005;-10.999;-99.990;0.00;43.52;
2025-11-25 15:04:58.70;0.00:00:03:587;-1.00;0.00;0.00;0.07936;-0.07946;4.884E-05;3.909E-05;89.98;0.01;100.13;0.05;100.13;0.07936;0.07946;-0.0001005;-11.004;-10.999;-99.990;0.00;38.67;
2025-11-25 15:04:58.75;0.00:00:03:635;-1.00;0.00;0.00;0.0793;-0.07939;3.07E-05;4.591E-05;89.99;0.02;100.11;0.06;100.11;0.0793;0.07939;-8.683E-05;-11.007;-11.002;-99.990;0.00;56.23;
2025-11-25 15:04:58.80;0.00:00:03:684;-1.00;0.00;0.00;0.07925;-0.07932;-8.46E-06;5.508E-05;-90.00;0.02;100.09;0.07;100.09;0.07925;0.07932;-7.037E-05;-11.010;-11.006;-99.990;0.00;98.72;
2025-11-25 15:04:58.84;0.00:00:03:730;-1.00;0.00;0.00;0.07922;-0.07931;4.462E-05;4.991E-05;89.98;0.02;100.12;0.06;100.12;0.07922;0.07931;-9.395E-05;-11.012;-11.007;-99.990;0.00;48.20;
2025-11-25 15:04:58.89;0.00:00:03:777;-1.00;0.00;0.00;0.07921;-0.07929;2.765E-05;2.872E-05;89.99;0.01;100.11;0.04;100.11;0.07921;0.07929;-8.824E-05;-11.012;-11.008;-99.990;0.00;46.10;
2025-11-25 15:04:58.94;0.00:00:03:826;-1.00;0.00;0.00;0.07925;-0.07934;3.925E-05;4.739E-05;89.99;0.02;100.11;0.06;100.11;0.07925;0.07934;-8.829E-05;-11.010;-11.005;-99.990;0.00;50.37;
2025-11-25 15:04:59.00;0.00:00:03:889;-1.00;0.00;0.00;0.07931;-0.07941;3.695E-07;5.318E-05;90.00;0.02;100.12;0.07;100.12;0.07931;0.07941;-9.541E-05;-11.007;-11.001;-99.990;0.00;89.61;
2025-11-25 15:04:59.06;0.00:00:03:949;-1.00;0.00;0.00;0.07934;-0.07942;-5.453E-06;5.617E-05;-90.00;0.02;100.10;0.07;100.10;0.07934;0.07942;-7.68E-05;-11.005;-11.001;-99.990;0.00;95.55;
2025-11-25 15:04:59.11;0.00:00:03:995;-1.00;0.00;0.00;0.07932;-0.07938;2.498E-05;5.042E-05;89.99;0.02;100.08;0.06;100.08;0.07932;0.07938;-6.639E-05;-11.006;-11.003;-99.990;0.00;63.64;
2025-11-25 15:04:59.15;0.00:00:04:043;-1.00;0.00;0.00;0.07934;-0.07943;3.707E-05;4.152E-05;89.99;0.01;100.12;0.05;100.12;0.07934;0.07943;-9.766E-05;-11.005;-11.000;-99.990;0.00;48.25;
2025-11-25 15:04:59.20;0.00:00:04:089;-1.00;0.00;0.00;0.07926;-0.07935;3.433E-05;5.415E-05;89.99;0.02;100.12;0.07;100.12;0.07926;0.07935;-9.282E-05;-11.009;-11.004;-99.990;0.00;57.62;
2025-11-25 15:04:59.25;0.00:00:04:137;-1.00;0.00;0.00;0.07926;-0.07936;2.624E-05;3.538E-05;89.99;0.01;100.13;0.04;100.13;0.07926;0.07936;-9.956E-05;-11.009;-11.004;-99.990;0.00;53.42;
2025-11-25 15:04:59.30;0.00:00:04:184;-1.00;0.00;0.00;0.07934;-0.07941;2.435E-05;3.833E-05;89.99;0.01;100.09;0.05;100.09;0.07934;0.07941;-7.442E-05;-11.005;-11.001;-99.990;0.00;57.58;
2025-11-25 15:04:59.34;0.00:00:04:231;-1.00;0.00;0.00;0.07938;-0.07945;-1.118E-05;5.341E-05;-90.00;0.02;100.09;0.07;100.09;0.07938;0.07945;-7.271E-05;-11.003;-10.999;-99.990;0.00;101.81;
2025-11-25 15:04:59.39;0.00:00:04:279;-1.00;0.00;0.00;0.07935;-0.07943;2.896E-05;5.59E-05;89.99;0.02;100.10;0.07;100.10;0.07935;0.07943;-7.864E-05;-11.004;-11.000;-99.990;0.00;62.61;
2025-11-25 15:04:59.44;0.00:00:04:327;-1.00;0.00;0.00;0.07926;-0.07934;5.67E-05;3.701E-05;89.98;0.01;100.09;0.05;100.09;0.07926;0.07934;-7.419E-05;-11.009;-11.005;-99.990;0.00;33.14;
2025-11-25 15:04:59.48;0.00:00:04:373;-1.00;0.00;0.00;0.07929;-0.07937;1.101E-05;4.491E-05;90.00;0.02;100.11;0.06;100.11;0.07929;0.07937;-8.5E-05;-11.008;-11.003;-99.990;0.00;76.22;
2025-11-25 15:04:59.53;0.00:00:04:421;-1.00;0.00;0.00;0.0793;-0.0794;2.371E-05;4.339E-05;89.99;0.02;100.13;0.05;100.13;0.0793;0.0794;-0.0001006;-11.007;-11.002;-99.990;0.00;61.35;
2025-11-25 15:04:59.59;0.00:00:04:482;-1.00;0.00;0.00;0.07921;-0.07928;3.145E-05;5.505E-05;89.99;0.02;100.09;0.07;100.09;0.07921;0.07928;-6.915E-05;-11.012;-11.008;-99.990;0.00;60.27;
2025-11-25 15:04:59.64;0.00:00:04:530;-1.00;0.00;0.00;0.07921;-0.0793;5.017E-05;6.148E-05;89.98;0.02;100.12;0.08;100.12;0.07921;0.0793;-9.719E-05;-11.012;-11.007;-99.990;0.00;50.78;
2025-11-25 15:04:59.69;0.00:00:04:576;-1.00;0.00;0.00;0.07924;-0.07931;1.687E-05;5.348E-05;89.99;0.02;100.09;0.07;100.09;0.07924;0.07931;-7.218E-05;-11.011;-11.007;-99.990;0.00;72.49;
2025-11-25 15:04:59.73;0.00:00:04:623;-1.00;0.00;0.00;0.07917;-0.07924;3.413E-05;3.568E-05;89.99;0.01;100.09;0.05;100.09;0.07917;0.07924;-7.086E-05;-11.014;-11.010;-99.990;0.00;46.27;
2025-11-25 15:04:59.78;0.00:00:04:671;-1.00;0.00;0.00;0.07915;-0.07924;1.161E-06;3.334E-05;90.00;0.01;100.11;0.04;100.11;0.07915;0.07924;-8.604E-05;-11.016;-11.011;-99.990;0.00;88.01;
2025-11-25 15:04:59.83;0.00:00:04:718;-1.00;0.00;0.00;0.07913;-0.07922;4.426E-05;2.875E-05;89.98;0.01;100.12;0.04;100.12;0.07913;0.07922;-9.377E-05;-11.017;-11.012;-99.990;0.00;33.00;
