Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-11-27 11:00:25.31;0.00:00:00:069;-1.00;0.00;0.00;0.04706;-0.04715;-0.0001471;-0.0001289;-89.91;-0.08;100.20;0.27;100.20;0.04706;0.04715;-9.341E-05;-13.274;-13.265;-99.990;0.00;-138.78;
2025-11-27 11:00:25.38;0.00:00:00:141;-1.00;0.00;0.00;0.047;-0.0471;-0.0001623;-0.0001222;-89.90;-0.07;100.20;0.26;100.20;0.047;0.0471;-9.368E-05;-13.279;-13.270;-99.990;0.00;-143.03;
2025-11-27 11:00:25.43;0.00:00:00:186;-1.00;0.00;0.00;0.04699;-0.04708;-0.0001378;-0.0001342;-89.92;-0.08;100.18;0.29;100.18;0.04699;0.04708;-8.262E-05;-13.280;-13.272;-99.990;0.00;-135.76;
2025-11-27 11:00:25.48;0.00:00:00:233;-1.00;0.00;0.00;0.04698;-0.04708;-0.0001151;-0.0001318;-89.93;-0.08;100.21;0.28;100.21;0.04698;0.04708;-9.716E-05;-13.281;-13.272;-99.990;0.00;-131.14;
2025-11-27 11:00:25.52;0.00:00:00:280;-1.00;0.00;0.00;0.04705;-0.04714;-0.0001399;-0.0001249;-89.92;-0.08;100.21;0.27;100.21;0.04705;0.04714;-9.743E-05;-13.275;-13.266;-99.990;0.00;-138.23;
2025-11-27 11:00:25.57;0.00:00:00:327;-1.00;0.00;0.00;0.04707;-0.04716;-0.0001454;-0.0001261;-89.91;-0.08;100.18;0.27;100.18;0.04707;0.04716;-8.271E-05;-13.272;-13.265;-99.990;0.00;-139.07;
2025-11-27 11:00:25.62;0.00:00:00:375;-1.00;0.00;0.00;0.04707;-0.04716;-0.0001863;-0.0001383;-89.89;-0.08;100.20;0.29;100.20;0.04707;0.04716;-9.451E-05;-13.273;-13.264;-99.990;0.00;-143.42;
2025-11-27 11:00:25.67;0.00:00:00:423;-1.00;0.00;0.00;0.04709;-0.04719;-0.0002197;-0.0001105;-89.87;-0.07;100.22;0.23;100.22;0.04709;0.04719;-0.0001023;-13.271;-13.262;-99.990;0.00;-153.30;
2025-11-27 11:00:25.71;0.00:00:00:470;-1.00;0.00;0.00;0.04708;-0.04714;-0.0001576;-0.0001342;-89.90;-0.08;100.13;0.29;100.13;0.04708;0.04714;-5.983E-05;-13.272;-13.266;-99.990;0.00;-139.58;
2025-11-27 11:00:25.76;0.00:00:00:518;-1.00;0.00;0.00;0.04706;-0.04717;-0.000163;-0.0001129;-89.90;-0.07;100.23;0.24;100.23;0.04706;0.04717;-0.0001103;-13.274;-13.264;-99.990;0.00;-145.31;
2025-11-27 11:00:25.81;0.00:00:00:565;-1.00;0.00;0.00;0.04705;-0.04715;-0.000152;-0.0001386;-89.91;-0.08;100.21;0.29;100.21;0.04705;0.04715;-9.858E-05;-13.274;-13.265;-99.990;0.00;-137.63;
2025-11-27 11:00:25.86;0.00:00:00:614;-1.00;0.00;0.00;0.04705;-0.04715;-0.0001661;-0.0001273;-89.90;-0.08;100.21;0.27;100.21;0.04705;0.04715;-9.886E-05;-13.274;-13.265;-99.990;0.00;-142.53;
2025-11-27 11:00:25.90;0.00:00:00:661;-1.00;0.00;0.00;0.04704;-0.04713;-0.0001727;-0.0001255;-89.90;-0.08;100.19;0.27;100.19;0.04704;0.04713;-9.134E-05;-13.276;-13.267;-99.990;0.00;-143.99;
