Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-11-27 11:24:01.33;0.00:00:00:056;1.00;0.00;0.01;0.08064;0.07996;-0.0003726;0.0005368;-0.13;0.19;99.16;0.67;99.16;0.08064;0.07997;0.0006736;-10.934;-10.971;-31.716;1.00;124.77;
2025-11-27 11:24:01.40;0.00:00:00:125;1.00;0.00;0.01;0.08067;0.07998;-0.0003676;0.0005212;-0.13;0.19;99.14;0.65;99.14;0.08067;0.07998;0.0006956;-10.933;-10.970;-31.576;1.00;125.20;
2025-11-27 11:24:01.45;0.00:00:00:172;1.00;-0.01;0.01;0.08064;0.07994;-0.0004133;0.0005099;-0.15;0.18;99.14;0.63;99.13;0.08064;0.07994;0.0006964;-10.935;-10.972;-31.571;1.00;129.02;
2025-11-27 11:24:01.50;0.00:00:00:219;1.00;0.00;0.01;0.0806;0.07985;-0.0003986;0.0005182;-0.14;0.19;99.07;0.64;99.07;0.0806;0.07985;0.0007468;-10.937;-10.977;-31.268;1.00;127.57;
2025-11-27 11:24:01.54;0.00:00:00:265;1.00;0.00;0.01;0.08063;0.07988;-0.0003694;0.0005267;-0.13;0.19;99.07;0.65;99.06;0.08063;0.07988;0.0007523;-10.935;-10.976;-31.236;1.00;125.04;
2025-11-27 11:24:01.59;0.00:00:00:312;1.00;0.00;0.01;0.08061;0.0799;-0.0003745;0.0005176;-0.13;0.19;99.13;0.64;99.12;0.08061;0.0799;0.0007037;-10.936;-10.974;-31.526;1.00;125.89;
2025-11-27 11:24:01.64;0.00:00:00:359;1.00;0.00;0.01;0.08063;0.07994;-0.0003265;0.0005392;-0.12;0.19;99.14;0.67;99.14;0.08063;0.07994;0.0006906;-10.935;-10.972;-31.608;1.00;121.20;
2025-11-27 11:24:01.68;0.00:00:00:406;1.00;0.00;0.01;0.08064;0.07991;-0.000363;0.0005278;-0.13;0.19;99.11;0.65;99.10;0.08064;0.07992;0.0007209;-10.935;-10.974;-31.421;1.00;124.52;
2025-11-27 11:24:01.73;0.00:00:00:453;1.00;0.00;0.01;0.08066;0.07991;-0.0003276;0.0005334;-0.12;0.19;99.07;0.66;99.06;0.08066;0.07991;0.000753;-10.933;-10.974;-31.232;1.00;121.56;
2025-11-27 11:24:01.78;0.00:00:00:500;1.00;0.00;0.01;0.08079;0.08005;-0.0003692;0.0005119;-0.13;0.18;99.09;0.63;99.09;0.08079;0.08005;0.0007322;-10.927;-10.966;-31.354;1.00;125.80;
2025-11-27 11:24:01.83;0.00:00:00:549;1.00;0.00;0.01;0.08083;0.08011;-0.0003679;0.0005297;-0.13;0.19;99.12;0.66;99.11;0.08083;0.08011;0.0007148;-10.924;-10.963;-31.458;1.00;124.78;
2025-11-27 11:24:01.87;0.00:00:00:595;1.00;0.00;0.01;0.08078;0.08003;-0.0003824;0.000537;-0.14;0.19;99.07;0.66;99.07;0.08078;0.08003;0.0007476;-10.927;-10.968;-31.263;1.00;125.45;
2025-11-27 11:24:01.92;0.00:00:00:642;1.00;0.00;0.01;0.08074;0.08005;-0.0003999;0.0005211;-0.14;0.19;99.14;0.65;99.14;0.08074;0.08005;0.0006912;-10.929;-10.966;-31.604;1.00;127.51;
2025-11-27 11:24:01.97;0.00:00:00:690;1.00;0.00;0.01;0.08071;0.08006;-0.0003574;0.0005311;-0.13;0.19;99.20;0.66;99.20;0.08071;0.08006;0.0006467;-10.931;-10.966;-31.893;1.00;123.94;
2025-11-27 11:24:02.02;0.00:00:00:740;1.00;0.00;0.01;0.08069;0.07998;-0.0003704;0.0005175;-0.13;0.19;99.12;0.64;99.12;0.08069;0.07998;0.000709;-10.932;-10.970;-31.493;1.00;125.60;
2025-11-27 11:24:02.08;0.00:00:00:800;1.00;0.00;0.01;0.0807;0.08002;-0.0003669;0.0005012;-0.13;0.18;99.15;0.62;99.15;0.0807;0.08002;0.0006837;-10.931;-10.968;-31.651;1.00;126.21;
2025-11-27 11:24:02.13;0.00:00:00:849;1.00;0.00;0.01;0.08073;0.08001;-0.0003635;0.0005351;-0.13;0.19;99.11;0.66;99.11;0.08073;0.08001;0.0007182;-10.930;-10.968;-31.438;1.00;124.19;
2025-11-27 11:24:02.19;0.00:00:00:909;1.00;0.00;0.01;0.08071;0.08001;-0.0003905;0.0005218;-0.14;0.19;99.13;0.65;99.13;0.08071;0.08001;0.0007004;-10.931;-10.968;-31.547;1.00;126.81;
2025-11-27 11:24:02.23;0.00:00:00:956;1.00;0.00;0.01;0.0807;0.07998;-0.000339;0.0005394;-0.12;0.19;99.11;0.67;99.11;0.0807;0.07998;0.0007156;-10.931;-10.970;-31.453;1.00;122.15;
2025-11-27 11:24:02.29;0.00:00:01:009;1.00;0.00;0.01;0.08072;0.07999;-0.0003809;0.0005096;-0.14;0.18;99.10;0.63;99.10;0.08072;0.07999;0.0007234;-10.930;-10.970;-31.406;1.00;126.78;
2025-11-27 11:24:02.35;0.00:00:01:066;1.00;0.00;0.01;0.08078;0.08002;-0.0003827;0.0005122;-0.14;0.18;99.06;0.63;99.05;0.08078;0.08002;0.0007624;-10.927;-10.968;-31.178;1.00;126.76;
