Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-11-27 11:35:48.77;0.00:00:00:057;1.00;0.00;0.00;0.08093;0.08018;-0.0001247;0.0002668;-0.04;0.10;99.07;0.33;99.07;0.08093;0.08018;0.0007561;-10.919;-10.959;-31.214;1.00;115.05;
2025-11-27 11:35:48.85;0.00:00:00:143;1.00;0.00;0.00;0.08087;0.08019;-0.0001479;0.0002877;-0.05;0.10;99.15;0.36;99.15;0.08087;0.08019;0.0006845;-10.922;-10.959;-31.646;1.00;117.21;
2025-11-27 11:35:48.90;0.00:00:00:190;1.00;0.00;0.00;0.0809;0.08017;-0.0001067;0.0002686;-0.04;0.10;99.10;0.33;99.10;0.0809;0.08017;0.0007258;-10.920;-10.960;-31.392;1.00;111.67;
2025-11-27 11:35:48.95;0.00:00:00:237;1.00;0.00;0.00;0.08087;0.08018;-0.0001242;0.0002783;-0.04;0.10;99.15;0.34;99.15;0.08087;0.08019;0.0006887;-10.922;-10.959;-31.619;1.00;114.05;
2025-11-27 11:35:48.99;0.00:00:00:284;1.00;0.00;0.00;0.08089;0.08017;-0.0001825;0.0002742;-0.07;0.10;99.12;0.34;99.12;0.08089;0.08017;0.0007119;-10.921;-10.960;-31.476;1.00;123.64;
2025-11-27 11:35:49.04;0.00:00:00:331;1.00;0.00;0.00;0.08092;0.08015;-0.0001277;0.0002803;-0.05;0.10;99.06;0.35;99.06;0.08092;0.08015;0.0007637;-10.920;-10.961;-31.171;1.00;114.50;
2025-11-27 11:35:49.09;0.00:00:00:379;1.00;0.00;0.00;0.08087;0.08024;-0.0001558;0.0002783;-0.06;0.10;99.22;0.34;99.22;0.08087;0.08024;0.0006314;-10.922;-10.956;-31.997;1.00;119.23;
2025-11-27 11:35:49.15;0.00:00:00:445;1.00;0.00;0.00;0.08094;0.08015;-0.0001059;0.000265;-0.04;0.09;99.02;0.33;99.02;0.08094;0.08015;0.0007912;-10.918;-10.961;-31.017;1.00;111.79;
2025-11-27 11:35:49.21;0.00:00:00:504;1.00;0.00;0.00;0.08094;0.08023;-0.000172;0.000279;-0.06;0.10;99.12;0.34;99.12;0.08094;0.08023;0.0007158;-10.918;-10.957;-31.452;1.00;121.65;
2025-11-27 11:35:49.26;0.00:00:00:551;1.00;0.00;0.00;0.0809;0.08025;-9.991E-05;0.0002831;-0.04;0.10;99.20;0.35;99.20;0.0809;0.08025;0.0006503;-10.921;-10.956;-31.869;1.00;109.44;
2025-11-27 11:35:49.31;0.00:00:00:598;1.00;0.00;0.00;0.0809;0.08013;-0.0001093;0.0002793;-0.04;0.10;99.05;0.35;99.05;0.0809;0.08013;0.0007681;-10.920;-10.962;-31.146;1.00;111.37;
2025-11-27 11:35:49.35;0.00:00:00:644;1.00;0.00;0.00;0.08087;0.08017;-0.0001386;0.0002664;-0.05;0.10;99.13;0.33;99.13;0.08087;0.08017;0.0007005;-10.922;-10.960;-31.546;1.00;117.49;
2025-11-27 11:35:49.40;0.00:00:00:691;1.00;0.00;0.00;0.08091;0.08013;-0.0001125;0.0002517;-0.04;0.09;99.04;0.31;99.04;0.08091;0.08013;0.0007803;-10.920;-10.962;-31.078;1.00;114.09;
2025-11-27 11:35:49.45;0.00:00:00:739;1.00;0.00;0.00;0.08094;0.08016;-0.0001052;0.0002694;-0.04;0.10;99.04;0.33;99.04;0.08094;0.08016;0.0007789;-10.918;-10.960;-31.085;1.00;111.34;
2025-11-27 11:35:49.49;0.00:00:00:785;1.00;0.00;0.00;0.08096;0.08017;-8.448E-05;0.0002847;-0.03;0.10;99.03;0.35;99.03;0.08096;0.08017;0.0007884;-10.917;-10.960;-31.033;1.00;106.53;
2025-11-27 11:35:49.54;0.00:00:00:833;1.00;0.00;0.00;0.081;0.08025;-0.0001422;0.0002851;-0.05;0.10;99.07;0.35;99.07;0.081;0.08025;0.0007562;-10.915;-10.956;-31.213;1.00;116.51;
2025-11-27 11:35:49.59;0.00:00:00:880;1.00;0.00;0.00;0.08096;0.08027;-0.0001348;0.0002804;-0.05;0.10;99.16;0.35;99.15;0.08096;0.08027;0.0006838;-10.917;-10.954;-31.651;1.00;115.68;
2025-11-27 11:35:49.64;0.00:00:00:928;1.00;0.00;0.00;0.081;0.08023;-8.86E-05;0.0002746;-0.03;0.10;99.04;0.34;99.04;0.081;0.08023;0.0007764;-10.915;-10.957;-31.099;1.00;107.88;
2025-11-27 11:35:49.68;0.00:00:00:976;1.00;0.00;0.00;0.08101;0.08027;-4.742E-05;0.0002709;-0.02;0.10;99.09;0.33;99.09;0.08101;0.08027;0.0007393;-10.915;-10.954;-31.312;1.00;99.93;
2025-11-27 11:35:49.73;0.00:00:01:023;1.00;0.00;0.00;0.08097;0.08026;-0.0001286;0.0002841;-0.05;0.10;99.12;0.35;99.12;0.08097;0.08026;0.0007104;-10.917;-10.955;-31.485;1.00;114.36;
2025-11-27 11:35:49.78;0.00:00:01:069;1.00;0.00;0.00;0.08091;0.0802;-0.0001085;0.000272;-0.04;0.10;99.12;0.34;99.12;0.08091;0.0802;0.0007083;-10.920;-10.958;-31.498;1.00;111.75;
2025-11-27 11:35:49.83;0.00:00:01:117;1.00;0.00;0.00;0.08092;0.08025;-8.168E-05;0.0002739;-0.03;0.10;99.17;0.34;99.17;0.08092;0.08025;0.0006689;-10.919;-10.955;-31.747;1.00;106.60;
2025-11-27 11:35:49.87;0.00:00:01:163;1.00;0.00;0.00;0.08094;0.08024;-9.479E-05;0.0002666;-0.03;0.10;99.13;0.33;99.13;0.08094;0.08024;0.0007037;-10.918;-10.956;-31.526;1.00;109.57;
2025-11-27 11:35:49.92;0.00:00:01:209;1.00;0.00;0.00;0.08096;0.08021;-0.0001328;0.0002501;-0.05;0.09;99.07;0.31;99.07;0.08096;0.08021;0.0007504;-10.917;-10.958;-31.247;1.00;117.97;
2025-11-27 11:35:49.97;0.00:00:01:257;1.00;0.00;0.00;0.08093;0.08024;-0.0001412;0.0002811;-0.05;0.10;99.16;0.35;99.15;0.08093;0.08024;0.0006833;-10.919;-10.956;-31.654;1.00;116.67;
