Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-11-27 11:03:56.70;0.00:00:00:055;-1.00;-0.01;-0.01;0.02834;-0.02845;-0.0002659;-0.0001639;-89.73;-0.17;100.37;0.58;100.37;0.02834;0.02845;-0.0001049;-15.475;-15.459;-99.990;0.00;-148.36;
2025-11-27 11:03:56.76;0.00:00:00:116;-1.00;-0.01;-0.01;0.02832;-0.02841;-0.0002418;-0.0001651;-89.76;-0.17;100.34;0.58;100.34;0.02832;0.02842;-9.761E-05;-15.479;-15.464;-99.990;0.00;-145.67;
2025-11-27 11:03:56.82;0.00:00:00:174;-1.00;-0.01;-0.01;0.02833;-0.02843;-0.0002303;-0.0001788;-89.77;-0.18;100.34;0.63;100.33;0.02833;0.02843;-9.52E-05;-15.477;-15.462;-99.990;0.00;-142.17;
2025-11-27 11:03:56.87;0.00:00:00:225;-1.00;-0.01;-0.01;0.02834;-0.02843;-0.0002508;-0.0001604;-89.75;-0.16;100.33;0.57;100.33;0.02834;0.02844;-9.313E-05;-15.476;-15.461;-99.990;0.00;-147.40;
2025-11-27 11:03:56.92;0.00:00:00:276;-1.00;-0.01;-0.01;0.02831;-0.0284;-0.0002335;-0.0001537;-89.76;-0.16;100.32;0.54;100.31;0.02831;0.0284;-8.956E-05;-15.481;-15.467;-99.990;0.00;-146.65;
2025-11-27 11:03:56.97;0.00:00:00:327;-1.00;-0.01;-0.01;0.02832;-0.02841;-0.00025;-0.0001702;-89.75;-0.17;100.33;0.60;100.33;0.02832;0.02841;-9.313E-05;-15.480;-15.465;-99.990;0.00;-145.75;
2025-11-27 11:03:57.01;0.00:00:00:368;-1.00;-0.01;-0.01;0.0283;-0.02839;-0.0003056;-0.0001692;-89.69;-0.17;100.33;0.60;100.33;0.0283;0.02839;-9.359E-05;-15.482;-15.468;-99.990;0.00;-151.02;
2025-11-27 11:03:57.07;0.00:00:00:429;-1.00;-0.01;-0.01;0.02831;-0.02839;-0.0002903;-0.0001558;-89.71;-0.16;100.30;0.55;100.30;0.02831;0.02839;-8.534E-05;-15.481;-15.468;-99.990;0.00;-151.77;
2025-11-27 11:03:57.13;0.00:00:00:491;-1.00;-0.01;-0.01;0.0283;-0.02841;-0.0002789;-0.0001705;-89.72;-0.17;100.37;0.60;100.36;0.0283;0.02841;-0.0001035;-15.482;-15.466;-99.990;0.00;-148.57;
2025-11-27 11:03:57.18;0.00:00:00:542;-1.00;-0.01;-0.01;0.02833;-0.02843;-0.0002633;-0.0001743;-89.73;-0.18;100.36;0.62;100.36;0.02833;0.02843;-0.0001021;-15.478;-15.463;-99.990;0.00;-146.50;
2025-11-27 11:03:57.23;0.00:00:00:593;-1.00;-0.01;-0.01;0.02823;-0.02832;-0.0002675;-0.0001622;-89.73;-0.16;100.34;0.57;100.34;0.02823;0.02833;-9.587E-05;-15.493;-15.478;-99.990;0.00;-148.76;
2025-11-27 11:03:57.28;0.00:00:00:641;-1.00;-0.01;-0.01;0.02825;-0.02834;-0.0002821;-0.0001596;-89.71;-0.16;100.33;0.57;100.33;0.02825;0.02834;-9.432E-05;-15.490;-15.476;-99.990;0.00;-150.50;
2025-11-27 11:03:57.34;0.00:00:00:696;-1.00;-0.01;-0.01;0.02823;-0.02832;-0.0002623;-0.0001613;-89.73;-0.16;100.33;0.57;100.33;0.02823;0.02832;-9.414E-05;-15.493;-15.479;-99.990;0.00;-148.41;
2025-11-27 11:03:57.39;0.00:00:00:747;-1.00;-0.01;-0.01;0.02826;-0.02834;-0.0002662;-0.000171;-89.73;-0.17;100.32;0.61;100.32;0.02826;0.02835;-9.112E-05;-15.489;-15.475;-99.990;0.00;-147.28;
2025-11-27 11:03:57.44;0.00:00:00:798;-1.00;-0.01;-0.01;0.02825;-0.02836;-0.0002056;-0.0001699;-89.79;-0.17;100.38;0.60;100.37;0.02825;0.02836;-0.0001064;-15.489;-15.473;-99.990;0.00;-140.43;
2025-11-27 11:03:57.49;0.00:00:00:849;-1.00;-0.01;-0.01;0.02825;-0.02835;-0.0001883;-0.0001526;-89.81;-0.15;100.34;0.54;100.34;0.02825;0.02835;-9.508E-05;-15.489;-15.475;-99.990;0.00;-140.98;
2025-11-27 11:03:57.54;0.00:00:00:900;-1.00;-0.01;-0.01;0.02826;-0.02836;-0.0002563;-0.0001651;-89.74;-0.17;100.34;0.58;100.34;0.02826;0.02836;-9.722E-05;-15.488;-15.473;-99.990;0.00;-147.21;
2025-11-27 11:03:57.59;0.00:00:00:951;-1.00;-0.01;-0.01;0.02825;-0.02834;-0.0002753;-0.0001642;-89.72;-0.17;100.35;0.58;100.35;0.02825;0.02835;-9.847E-05;-15.490;-15.475;-99.990;0.00;-149.19;
2025-11-27 11:03:57.64;0.00:00:01:003;-1.00;-0.01;-0.01;0.02831;-0.02842;-0.0002394;-0.0001576;-89.76;-0.16;100.38;0.56;100.38;0.02831;0.02842;-0.0001081;-15.481;-15.464;-99.990;0.00;-146.64;
2025-11-27 11:03:57.69;0.00:00:01:050;-1.00;-0.01;-0.01;0.02827;-0.02836;-0.0002208;-0.0001646;-89.78;-0.17;100.32;0.58;100.32;0.02827;0.02836;-8.971E-05;-15.486;-15.472;-99.990;0.00;-143.29;
2025-11-27 11:03:57.75;0.00:00:01:104;-1.00;-0.01;-0.01;0.0283;-0.02839;-0.0002503;-0.0001602;-89.75;-0.16;100.31;0.57;100.31;0.0283;0.02839;-8.855E-05;-15.482;-15.468;-99.990;0.00;-147.38;
2025-11-27 11:03:57.80;0.00:00:01:155;-1.00;-0.01;-0.01;0.0283;-0.02839;-0.0002647;-0.0001755;-89.73;-0.18;100.33;0.62;100.33;0.0283;0.02839;-9.266E-05;-15.482;-15.468;-99.990;0.00;-146.45;
2025-11-27 11:03:57.84;0.00:00:01:200;-1.00;-0.01;-0.01;0.02831;-0.0284;-0.0002441;-0.0001564;-89.75;-0.16;100.34;0.55;100.34;0.02831;0.02841;-9.642E-05;-15.481;-15.466;-99.990;0.00;-147.34;
2025-11-27 11:03:57.89;0.00:00:01:247;-1.00;-0.01;-0.01;0.02829;-0.02836;-0.0002254;-0.0001567;-89.77;-0.16;100.25;0.55;100.25;0.02829;0.02836;-7.028E-05;-15.483;-15.472;-99.990;0.00;-145.19;
2025-11-27 11:03:57.94;0.00:00:01:298;-1.00;-0.01;-0.01;0.02829;-0.0284;-0.0002726;-0.0001746;-89.72;-0.18;100.38;0.62;100.37;0.02829;0.0284;-0.0001063;-15.484;-15.467;-99.990;0.00;-147.36;
2025-11-27 11:03:58.00;0.00:00:01:358;-1.00;-0.01;-0.01;0.02829;-0.02836;-0.0002561;-0.0001763;-89.74;-0.18;100.24;0.62;100.24;0.02829;0.02836;-6.819E-05;-15.483;-15.473;-99.990;0.00;-145.46;
2025-11-27 11:03:58.05;0.00:00:01:410;-1.00;-0.01;-0.01;0.02831;-0.02841;-0.000243;-0.0001582;-89.75;-0.16;100.34;0.56;100.33;0.02831;0.02841;-9.491E-05;-15.480;-15.465;-99.990;0.00;-146.94;
2025-11-27 11:03:58.10;0.00:00:01:461;-1.00;-0.01;-0.01;0.0283;-0.0284;-0.0002521;-0.0001621;-89.75;-0.16;100.34;0.57;100.34;0.0283;0.0284;-9.698E-05;-15.482;-15.467;-99.990;0.00;-147.27;
2025-11-27 11:03:58.15;0.00:00:01:512;-1.00;-0.01;-0.01;0.02827;-0.02836;-0.0002974;-0.0001628;-89.70;-0.16;100.34;0.58;100.34;0.02827;0.02836;-9.659E-05;-15.487;-15.472;-99.990;0.00;-151.31;
2025-11-27 11:03:58.20;0.00:00:01:563;-1.00;-0.01;-0.01;0.0283;-0.02841;-0.0002673;-0.0001621;-89.73;-0.16;100.40;0.57;100.40;0.0283;0.02841;-0.0001141;-15.482;-15.465;-99.990;0.00;-148.76;
