Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-11-27 10:53:33.98;0.00:00:00:066;1.00;0.00;0.00;0.08063;0.07993;-7.281E-06;0.0001499;0.00;0.05;99.13;0.19;99.13;0.08063;0.07993;0.0007015;-10.935;-10.973;-31.540;1.00;92.78;
2025-11-27 10:53:34.04;0.00:00:00:129;1.00;0.00;0.00;0.08055;0.07979;-2.991E-05;0.0001491;-0.01;0.05;99.06;0.19;99.06;0.08055;0.07979;0.0007565;-10.939;-10.980;-31.212;1.00;101.34;
2025-11-27 10:53:34.09;0.00:00:00:180;1.00;0.00;0.00;0.08053;0.07977;-3.473E-05;0.0001404;-0.01;0.05;99.06;0.17;99.06;0.08053;0.07977;0.0007582;-10.941;-10.982;-31.202;1.00;103.89;
2025-11-27 10:53:34.14;0.00:00:00:232;1.00;0.00;0.00;0.0804;0.07969;1.016E-05;0.0001429;0.00;0.05;99.13;0.18;99.12;0.0804;0.07969;0.0007035;-10.948;-10.986;-31.527;1.00;85.93;
2025-11-27 10:53:34.19;0.00:00:00:283;1.00;0.00;0.00;0.08043;0.07966;-7.256E-06;0.0001425;0.00;0.05;99.04;0.18;99.03;0.08043;0.07966;0.0007762;-10.946;-10.988;-31.100;1.00;92.92;
2025-11-27 10:53:34.25;0.00:00:00:345;1.00;0.00;0.00;0.08046;0.07973;-1.135E-05;0.0001456;0.00;0.05;99.09;0.18;99.09;0.08046;0.07973;0.00073;-10.944;-10.984;-31.367;1.00;94.46;
2025-11-27 10:53:34.30;0.00:00:00:396;1.00;0.00;0.00;0.08051;0.07973;2.612E-05;0.0001389;0.01;0.05;99.04;0.17;99.04;0.08051;0.07973;0.0007762;-10.941;-10.984;-31.100;1.00;79.35;
2025-11-27 10:53:34.36;0.00:00:00:447;1.00;0.00;0.00;0.08054;0.07974;-3.272E-05;0.0001251;-0.01;0.04;99.02;0.16;99.02;0.08054;0.07974;0.0007924;-10.940;-10.983;-31.010;1.00;104.66;
2025-11-27 10:53:34.41;0.00:00:00:498;1.00;0.00;0.00;0.08055;0.07973;3.564E-05;0.0001265;0.01;0.05;98.99;0.16;98.99;0.08055;0.07973;0.0008149;-10.940;-10.984;-30.889;1.00;74.27;
2025-11-27 10:53:34.46;0.00:00:00:555;1.00;0.00;0.00;0.0805;0.07973;1.95E-05;0.000147;0.01;0.05;99.05;0.18;99.05;0.0805;0.07973;0.0007678;-10.942;-10.984;-31.147;1.00;82.45;
2025-11-27 10:53:34.52;0.00:00:00:611;1.00;0.00;0.00;0.08048;0.07976;-2.714E-05;0.0001164;-0.01;0.04;99.10;0.14;99.10;0.08048;0.07976;0.0007278;-10.943;-10.982;-31.380;1.00;103.12;
2025-11-27 10:53:34.57;0.00:00:00:662;1.00;0.00;0.00;0.08045;0.07974;-2.323E-05;0.000141;-0.01;0.05;99.11;0.18;99.11;0.08045;0.07974;0.0007151;-10.945;-10.983;-31.456;1.00;99.36;
2025-11-27 10:53:34.62;0.00:00:00:713;1.00;0.00;0.00;0.08039;0.0797;1.398E-05;0.000151;0.01;0.05;99.14;0.19;99.14;0.08039;0.0797;0.0006951;-10.948;-10.986;-31.579;1.00;84.71;
2025-11-27 10:53:34.68;0.00:00:00:775;1.00;0.00;0.00;0.08037;0.07962;-6.437E-06;0.0001323;0.00;0.05;99.07;0.16;99.07;0.08037;0.07962;0.0007508;-10.949;-10.990;-31.245;1.00;92.78;
