Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-11-27 10:52:05.36;0.00:00:00:061;-1.00;0.00;0.00;0.07907;-0.07912;4.483E-05;-6.066E-06;89.98;0.00;100.06;0.01;100.06;0.07907;0.07912;-4.626E-05;-11.020;-11.017;-99.990;0.00;-7.71;
2025-11-27 10:52:05.43;0.00:00:00:132;-1.00;0.00;0.00;0.07901;-0.07907;2.061E-05;-9.697E-06;89.99;0.00;100.07;0.01;100.07;0.07901;0.07907;-5.231E-05;-11.023;-11.020;-99.990;0.00;-25.19;
2025-11-27 10:52:05.48;0.00:00:00:184;-1.00;0.00;0.00;0.07903;-0.07908;3.422E-05;-1.082E-05;89.99;0.00;100.07;0.01;100.07;0.07903;0.07908;-5.579E-05;-11.022;-11.019;-99.990;0.00;-17.54;
2025-11-27 10:52:05.52;0.00:00:00:226;-1.00;0.00;0.00;0.07896;-0.07899;-5.581E-06;-2.111E-05;-90.00;-0.01;100.04;0.03;100.04;0.07896;0.07899;-3.482E-05;-11.026;-11.024;-99.990;0.00;-104.79;
2025-11-27 10:52:05.58;0.00:00:00:286;-1.00;0.00;0.00;0.07898;-0.07903;-3.087E-05;-3.882E-05;-89.99;-0.01;100.07;0.05;100.07;0.07898;0.07903;-5.639E-05;-11.025;-11.022;-99.990;0.00;-128.50;
2025-11-27 10:52:05.63;0.00:00:00:337;-1.00;0.00;0.00;0.07897;-0.07901;1.632E-06;1.471E-07;90.00;0.00;100.04;0.00;100.04;0.07897;0.07901;-3.483E-05;-11.025;-11.023;-99.990;0.00;5.12;
2025-11-27 10:52:05.69;0.00:00:00:389;-1.00;0.00;0.00;0.07905;-0.07907;4.259E-05;1.889E-05;89.98;0.01;100.03;0.02;100.03;0.07905;0.07907;-2.466E-05;-11.021;-11.020;-99.990;0.00;23.91;
2025-11-27 10:52:05.74;0.00:00:00:439;-1.00;0.00;0.00;0.07902;-0.07906;3.958E-05;-2.006E-05;89.99;-0.01;100.05;0.03;100.05;0.07902;0.07906;-4.101E-05;-11.023;-11.020;-99.990;0.00;-26.87;
2025-11-27 10:52:05.79;0.00:00:00:490;-1.00;0.00;0.00;0.07907;-0.0791;2.268E-05;-9.954E-07;89.99;0.00;100.04;0.00;100.04;0.07907;0.0791;-2.926E-05;-11.020;-11.018;-99.990;0.00;-2.51;
2025-11-27 10:52:05.84;0.00:00:00:541;-1.00;0.00;0.00;0.07912;-0.07918;2.269E-06;-7.782E-06;90.00;0.00;100.08;0.01;100.08;0.07912;0.07918;-5.958E-05;-11.017;-11.014;-99.990;0.00;-73.69;
2025-11-27 10:52:05.89;0.00:00:00:593;-1.00;0.00;0.00;0.07915;-0.0792;1.668E-05;-1.481E-05;89.99;-0.01;100.06;0.02;100.06;0.07915;0.0792;-4.915E-05;-11.015;-11.013;-99.990;0.00;-41.59;
2025-11-27 10:52:05.94;0.00:00:00:640;-1.00;0.00;0.00;0.07913;-0.07916;2.586E-05;-5.821E-06;89.99;0.00;100.04;0.01;100.04;0.07913;0.07916;-2.936E-05;-11.017;-11.015;-99.990;0.00;-12.68;
2025-11-27 10:52:05.98;0.00:00:00:685;-1.00;0.00;0.00;0.0792;-0.07925;2.525E-05;-2.921E-05;89.99;-0.01;100.06;0.04;100.06;0.0792;0.07925;-4.649E-05;-11.013;-11.010;-99.990;0.00;-49.14;
2025-11-27 10:52:06.03;0.00:00:00:736;-1.00;0.00;0.00;0.07923;-0.07929;5.809E-05;-2.157E-05;89.98;-0.01;100.07;0.03;100.07;0.07923;0.07929;-5.903E-05;-11.011;-11.008;-99.990;0.00;-20.37;
2025-11-27 10:52:06.08;0.00:00:00:788;-1.00;0.00;0.00;0.07934;-0.07938;2.069E-05;-1.074E-06;89.99;0.00;100.04;0.00;100.04;0.07934;0.07938;-3.57E-05;-11.005;-11.003;-99.990;0.00;-2.97;
