Optical Power Monitor 6.1.4945.818

Power Meter;PM160
Power Meter SN;400786
Sensor;
Sensor SN;
Sensor Type;
Wavelength;780 nm
Range;Auto;range changed during the measurement.

Start of Measurement;12/2/2025 16:46:02
Elapsed Time;00:00:59:974
Samples;824

--Statistics--
Minimum [W];4,8708E-05
Maximum [W];4,9197E-05
Mean [W];4,8921E-05
Standard Deviation [W];7,8365E-08
Ratio;1,010 : 1

--Graph Data--
Time (ms);Power (W)
0,000;4,9087E-05
58,000;4,9088E-05
111,000;4,909E-05
180,000;4,9098E-05
242,000;4,9101E-05
301,000;4,9098E-05
363,000;4,91E-05
421,000;4,9105E-05
551,000;4,9152E-05
588,000;4,9163E-05
647,000;4,9153E-05
710,000;4,9116E-05
782,000;4,9066E-05
841,000;4,9029E-05
925,000;4,9012E-05
962,000;4,9009E-05
1021,000;4,9015E-05
1143,890;4,8995E-05
1205,890;4,9002E-05
1265,890;4,9009E-05
1304,890;4,9007E-05
1365,890;4,9014E-05
1438,890;4,9028E-05
1497,890;4,9034E-05
1555,890;4,9053E-05
1675,890;4,9068E-05
1808,000;4,901E-05
1872,000;4,9017E-05
1929,000;4,9022E-05
1988,000;4,9029E-05
2087,000;4,9049E-05
2149,000;4,9065E-05
2233,000;4,9082E-05
2274,000;4,9067E-05
2332,000;4,9054E-05
2472,260;4,9128E-05
2529,260;4,9137E-05
2592,260;4,9109E-05
2651,260;4,909E-05
2691,260;4,9083E-05
2762,260;4,9091E-05
2821,260;4,9079E-05
2879,260;4,9051E-05
2942,260;4,9041E-05
3001,260;4,9044E-05
3125,790;4,9015E-05
3184,790;4,8978E-05
3246,790;4,8954E-05
3305,790;4,8935E-05
3368,790;4,8916E-05
3480,790;4,8957E-05
3564,790;4,8998E-05
3601,790;4,9025E-05
3674,790;4,9038E-05
3795,790;4,9043E-05
3859,790;4,9054E-05
3918,790;4,9063E-05
3956,790;4,9052E-05
4015,790;4,9053E-05
4088,790;4,9048E-05
4145,790;4,9036E-05
4204,790;4,9013E-05
4261,790;4,8976E-05
4324,790;4,8973E-05
4394,790;4,8978E-05
4453,790;4,8978E-05
4511,790;4,8978E-05
4574,790;4,8985E-05
4633,790;4,8968E-05
4739,790;4,8968E-05
4800,790;4,8963E-05
4859,790;4,8936E-05
4933,790;4,892E-05
4993,790;4,8906E-05
5114,790;4,8877E-05
5176,790;4,8898E-05
5235,790;4,8957E-05
5300,790;4,9026E-05
5424,529;4,908E-05
5483,529;4,9052E-05
5544,529;4,8994E-05
5603,529;4,8919E-05
5659,529;4,8892E-05
5725,529;4,8887E-05
5784,529;4,888E-05
5843,529;4,8877E-05
5905,529;4,8883E-05
6020,529;4,89E-05
6081,529;4,8915E-05
6139,529;4,8902E-05
6199,529;4,8894E-05
6329,991;4,8917E-05
6371,991;4,8917E-05
6430,991;4,8892E-05
6493,991;4,8871E-05
6564,991;4,8869E-05
6623,991;4,8907E-05
6687,991;4,8963E-05
6728,991;4,896E-05
6810,991;4,8911E-05
6910,991;4,8847E-05
6973,991;4,8846E-05
7031,991;4,8885E-05
7094,991;4,892E-05
7153,991;4,894E-05
7224,991;4,898E-05
7288,991;4,9014E-05
7347,991;4,9022E-05
7406,991;4,8991E-05
7468,991;4,8942E-05
7575,991;4,8914E-05
7635,991;4,8913E-05
7700,991;4,8936E-05
7770,991;4,8941E-05
7813,991;4,893E-05
7883,991;4,8955E-05
7942,991;4,8983E-05
8005,991;4,8976E-05
8064,991;4,8954E-05
8121,991;4,8959E-05
8257,991;4,8966E-05
8319,991;4,8941E-05
8378,991;4,8913E-05
8415,991;4,8893E-05
8483,991;4,8888E-05
8544,991;4,8896E-05
8608,991;4,8909E-05
8672,991;4,8919E-05
8755,991;4,892E-05
8839,991;4,8884E-05
8902,991;4,8877E-05
8970,991;4,8879E-05
9033,991;4,8883E-05
9092,991;4,8896E-05
9212,991;4,8884E-05
9270,991;4,8884E-05
9328,991;4,8877E-05
9387,991;4,8879E-05
9455,991;4,8908E-05
9514,991;4,8918E-05
9577,991;4,8931E-05
9637,991;4,8955E-05
9682,991;4,8967E-05
9750,991;4,8993E-05
9809,991;4,903E-05
9868,991;4,9091E-05
9933,991;4,9146E-05
9992,991;4,9149E-05
10105,991;4,9138E-05
10164,991;4,9152E-05
10227,991;4,9167E-05
10285,991;4,9149E-05
10350,991;4,9069E-05
10468,991;4,8934E-05
10530,991;4,8947E-05
10589,991;4,8954E-05
10647,991;4,8961E-05
10732,991;4,8973E-05
10843,991;4,8984E-05
10965,991;4,8981E-05
11024,991;4,8996E-05
11084,991;4,9004E-05
11205,991;4,8996E-05
11272,991;4,8984E-05
11375,991;4,9006E-05
11434,991;4,8995E-05
11558,991;4,9004E-05
11623,991;4,9011E-05
11682,991;4,8977E-05
11741,991;4,8934E-05
11802,991;4,8935E-05
11926,676;4,8963E-05
11992,676;4,895E-05
12055,676;4,8968E-05
12114,676;4,9016E-05
12235,676;4,919E-05
12297,676;4,9197E-05
12359,676;4,9133E-05
12395,676;4,9072E-05
12479,676;4,9028E-05
12575,676;4,8964E-05
12655,676;4,8928E-05
12717,676;4,8916E-05
12777,676;4,8917E-05
12899,706;4,8938E-05
12937,706;4,893E-05
13020,706;4,8924E-05
13079,706;4,8945E-05
13199,706;4,8973E-05
13245,706;4,8976E-05
13304,706;4,8948E-05
13381,706;4,8917E-05
13480,706;4,8905E-05
13539,706;4,8931E-05
13623,706;4,8958E-05
13660,706;4,8979E-05
13731,706;4,9007E-05
13853,706;4,8987E-05
13914,706;4,8965E-05
14033,706;4,897E-05
14150,706;4,8961E-05
14213,706;4,8953E-05
14272,706;4,8952E-05
14335,706;4,8964E-05
14394,706;4,8972E-05
14514,706;4,8985E-05
14575,706;4,8977E-05
14639,706;4,8946E-05
14723,706;4,8929E-05
14821,706;4,8907E-05
14880,706;4,8916E-05
14943,706;4,8936E-05
15004,706;4,8953E-05
15068,706;4,897E-05
15185,706;4,9004E-05
15239,706;4,9018E-05
15298,706;4,9034E-05
15360,706;4,9031E-05
15482,706;4,9016E-05
15540,706;4,902E-05
15603,706;4,9034E-05
15661,706;4,9051E-05
15782,706;4,9018E-05
15840,706;4,898E-05
15903,706;4,8951E-05
15973,706;4,8948E-05
16070,706;4,8944E-05
16154,706;4,8955E-05
16192,706;4,8952E-05
16275,706;4,8942E-05
16399,706;4,8912E-05
16509,706;4,888E-05
16568,706;4,8874E-05
16687,706;4,8873E-05
16745,706;4,8907E-05
16808,706;4,896E-05
16867,706;4,8994E-05
16998,706;4,9009E-05
17110,706;4,8994E-05
17173,706;4,8961E-05
17290,706;4,8919E-05
17353,706;4,8912E-05
17420,706;4,8916E-05
17458,706;4,8925E-05
17529,706;4,8933E-05
17588,706;4,8943E-05
17652,706;4,8958E-05
17710,706;4,8955E-05
17846,855;4,8935E-05
17948,855;4,893E-05
18010,855;4,8936E-05
18069,855;4,895E-05
18196,927;4,8919E-05
18314,927;4,8949E-05
18370,927;4,8939E-05
18428,927;4,8911E-05
18491,927;4,889E-05
18565,927;4,8884E-05
18623,927;4,8891E-05
18682,927;4,8885E-05
18743,927;4,8879E-05
18802,927;4,8884E-05
18903,927;4,8879E-05
18972,927;4,8915E-05
19040,927;4,8976E-05
19098,927;4,9015E-05
19161,927;4,9021E-05
19270,927;4,8986E-05
19330,927;4,8975E-05
19393,927;4,897E-05
19452,927;4,8964E-05
19523,927;4,8959E-05
19582,927;4,8956E-05
19647,927;4,8943E-05
19706,927;4,8924E-05
19771,927;4,8941E-05
19892,927;4,8946E-05
19942,927;4,8929E-05
20007,927;4,8924E-05
20068,927;4,8917E-05
20172,927;4,892E-05
20238,927;4,8947E-05
20310,927;4,8961E-05
20427,927;4,8985E-05
20554,927;4,8994E-05
20591,927;4,9013E-05
