Optical Power Monitor 6.1.4945.818

Power Meter;PM160
Power Meter SN;400786
Sensor;
Sensor SN;
Sensor Type;
Wavelength;780 nm
Range;Auto;range changed during the measurement.

Start of Measurement;12/2/2025 17:14:31
Elapsed Time;00:00:59:976
Samples;816

--Statistics--
Minimum [W];7,8871E-05
Maximum [W];7,9374E-05
Mean [W];7,9148E-05
Standard Deviation [W];7,9981E-08
Ratio;1,006 : 1

--Graph Data--
Time (ms);Power (W)
0,000;7,9066E-05
63,000;7,8977E-05
184,000;7,8947E-05
245,000;7,8957E-05
308,000;7,8986E-05
365,000;7,9017E-05
473,000;7,8983E-05
546,000;7,8957E-05
585,000;7,8932E-05
669,000;7,896E-05
788,000;7,8916E-05
847,000;7,8871E-05
905,000;7,8908E-05
964,000;7,9011E-05
1025,000;7,9081E-05
1150,000;7,9227E-05
1209,000;7,9212E-05
1274,000;7,914E-05
1333,000;7,9123E-05
1391,000;7,9203E-05
1513,000;7,9225E-05
1550,000;7,9176E-05
1611,000;7,9098E-05
1676,000;7,9077E-05
1738,000;7,9114E-05
1809,000;7,9157E-05
1868,000;7,9196E-05
1933,000;7,9207E-05
1991,000;7,9199E-05
2050,000;7,9224E-05
2172,000;7,9256E-05
2236,000;7,9241E-05
2295,000;7,9204E-05
2355,000;7,9222E-05
2468,734;7,9184E-05
2536,734;7,9156E-05
2594,734;7,9136E-05
2653,734;7,9113E-05
2714,734;7,9095E-05
2818,734;7,9101E-05
2881,734;7,9124E-05
2938,734;7,9112E-05
3008,734;7,9077E-05
3067,734;7,9091E-05
3194,734;7,9092E-05
3253,734;7,9111E-05
3316,734;7,9101E-05
3374,734;7,9074E-05
3497,734;7,908E-05
3559,734;7,9072E-05
3666,734;7,8994E-05
3788,867;7,9101E-05
3844,867;7,9149E-05
3903,867;7,918E-05
3965,867;7,9163E-05
4024,867;7,9193E-05
4086,867;7,9216E-05
4144,867;7,9175E-05
4205,867;7,9171E-05
4263,867;7,9176E-05
4328,867;7,9124E-05
4395,867;7,911E-05
4458,867;7,9124E-05
4517,867;7,9101E-05
4581,867;7,9114E-05
4639,867;7,9144E-05
4759,867;7,9112E-05
4818,867;7,9096E-05
4879,867;7,9141E-05
4942,867;7,919E-05
5061,867;7,9188E-05
5120,867;7,917E-05
5183,867;7,9138E-05
5242,867;7,913E-05
5363,867;7,9184E-05
5425,867;7,9191E-05
5486,867;7,9199E-05
5538,867;7,92E-05
5597,867;7,919E-05
5726,867;7,9209E-05
5788,867;7,916E-05
5909,867;7,9084E-05
6033,867;7,9164E-05
6092,867;7,9169E-05
6149,867;7,9145E-05
6198,867;7,9116E-05
6322,861;7,9129E-05
6381,861;7,9112E-05
6453,861;7,9152E-05
6515,861;7,9195E-05
6613,861;7,916E-05
6697,861;7,9142E-05
6756,861;7,9113E-05
6866,861;7,904E-05
6937,861;7,9011E-05
6996,861;7,897E-05
7058,861;7,8954E-05
7114,861;7,8934E-05
7163,861;7,8949E-05
7284,861;7,9053E-05
7343,861;7,9105E-05
7406,861;7,9156E-05
7474,861;7,9154E-05
7588,861;7,9185E-05
7653,861;7,92E-05
7712,861;7,9213E-05
7771,861;7,9221E-05
7833,861;7,9207E-05
7958,296;7,9147E-05
8017,296;7,9126E-05
8078,296;7,9103E-05
8137,296;7,906E-05
8257,296;7,9011E-05
8317,296;7,9031E-05
8378,296;7,9049E-05
8437,296;7,9023E-05
8558,296;7,8956E-05
8605,296;7,8979E-05
8668,296;7,9018E-05
8725,296;7,9026E-05
8853,296;7,9011E-05
8973,296;7,9055E-05
9035,296;7,9069E-05
9108,296;7,9107E-05
9167,296;7,9173E-05
9226,296;7,9195E-05
9287,296;7,916E-05
9344,296;7,9151E-05
9457,296;7,9207E-05
9519,296;7,9235E-05
9578,296;7,9199E-05
9644,296;7,9158E-05
9703,296;7,9146E-05
9824,296;7,9084E-05
9884,296;7,9066E-05
9949,296;7,9076E-05
10007,296;7,9094E-05
10127,296;7,9154E-05
10185,296;7,9173E-05
10248,296;7,9198E-05
10307,296;7,9264E-05
10426,296;7,9262E-05
10492,296;7,9154E-05
10554,296;7,9057E-05
10590,296;7,9096E-05
10681,296;7,9138E-05
10773,296;7,9091E-05
10837,296;7,9135E-05
10896,296;7,92E-05
10958,296;7,9203E-05
11042,296;7,9143E-05
11163,296;7,9052E-05
11206,296;7,905E-05
11263,296;7,9056E-05
11320,296;7,9065E-05
11404,296;7,9026E-05
11526,296;7,8956E-05
11573,296;7,8998E-05
11636,296;7,9024E-05
11696,296;7,9039E-05
11816,296;7,908E-05
11874,296;7,9101E-05
12003,296;7,9163E-05
12181,296;7,9182E-05
12239,296;7,916E-05
12297,296;7,9142E-05
12356,296;7,9135E-05
12476,296;7,9106E-05
12536,296;7,9083E-05
12651,296;7,9057E-05
12723,296;7,9031E-05
12782,296;7,9045E-05
12822,296;7,907E-05
12881,296;7,91E-05
12946,296;7,9112E-05
13068,296;7,9173E-05
13129,296;7,9151E-05
13187,296;7,9142E-05
13249,296;7,9146E-05
13373,296;7,9156E-05
13432,296;7,9132E-05
13491,296;7,9092E-05
13552,296;7,9076E-05
13621,296;7,9059E-05
13682,296;7,905E-05
13741,296;7,9108E-05
13786,296;7,9136E-05
13868,296;7,9152E-05
13966,296;7,9124E-05
14028,296;7,907E-05
14089,296;7,9079E-05
14162,296;7,9058E-05
14221,296;7,9038E-05
14341,296;7,9027E-05
14401,296;7,8969E-05
14461,296;7,8994E-05
14583,296;7,9182E-05
14705,296;7,9306E-05
14767,296;7,9238E-05
14827,296;7,9196E-05
14872,296;7,9189E-05
14941,296;7,9123E-05
14999,296;7,9084E-05
15058,296;7,9146E-05
15184,296;7,9168E-05
15310,231;7,9123E-05
15369,231;7,9077E-05
15430,231;7,9079E-05
15489,231;7,9109E-05
15553,231;7,9128E-05
15662,231;7,9129E-05
15720,231;7,9142E-05
15774,231;7,913E-05
15856,231;7,9089E-05
15975,570;7,9094E-05
16034,570;7,9089E-05
16096,570;7,9072E-05
16155,570;7,909E-05
16278,570;7,9114E-05
16341,570;7,9102E-05
16399,570;7,9113E-05
16443,570;7,9158E-05
16505,570;7,9231E-05
16576,570;7,9265E-05
16635,570;7,9271E-05
16698,570;7,9237E-05
16756,570;7,9175E-05
16819,570;7,9127E-05
16940,570;7,906E-05
16999,570;7,9045E-05
17059,570;7,9067E-05
17111,570;7,9106E-05
17233,570;7,9168E-05
17356,570;7,917E-05
17418,570;7,916E-05
17480,570;7,9131E-05
17604,570;7,9173E-05
17663,570;7,9202E-05
17703,570;7,9246E-05
17765,570;7,9202E-05
17829,570;7,9141E-05
17900,570;7,9149E-05
17963,570;7,9118E-05
18021,570;7,91E-05
18084,570;7,9202E-05
18144,570;7,9304E-05
18308,513;7,927E-05
18367,513;7,925E-05
18450,513;7,9198E-05
18488,513;7,9147E-05
18553,513;7,9143E-05
18674,513;7,9169E-05
18739,513;7,9092E-05
18798,513;7,8997E-05
18862,513;7,8986E-05
18915,513;7,8998E-05
19034,513;7,8974E-05
19093,513;7,9002E-05
19152,513;7,9066E-05
19214,513;7,9075E-05
19285,513;7,9096E-05
19408,513;7,9185E-05
19473,513;7,9111E-05
19532,513;7,9082E-05
19593,513;7,9122E-05
19708,513;7,9097E-05
19772,513;7,9175E-05
19830,513;7,9229E-05
19889,513;7,9216E-05
19951,513;7,9207E-05
20066,513;7,9232E-05
20127,513;7,9219E-05
20190,513;7,9206E-05
20248,513;7,9195E-05
20310,513;7,9204E-05
20415,513;7,9185E-05
20478,513;7,9172E-05
20537,513;7,915E-05
20599,513;7,9179E-05
20671,513;7,9203E-05
20729,513;7,9166E-05
20792,513;7,9148E-05
20849,513;7,9193E-05
20919,513;7,9252E-05
21019,513;7,9218E-05
21081,513;7,924E-05
