Optical Power Monitor 6.1.4945.818

Power Meter;PM160
Power Meter SN;400786
Sensor;
Sensor SN;
Sensor Type;
Wavelength;780 nm
Range;Auto;range changed during the measurement.

Start of Measurement;12/2/2025 15:58:54
Elapsed Time;00:00:59:987
Samples;817

--Statistics--
Minimum [W];7,9701E-05
Maximum [W];8,0331E-05
Mean [W];8,0064E-05
Standard Deviation [W];9,9646E-08
Ratio;1,008 : 1

--Graph Data--
Time (ms);Power (W)
0,000;8,0257E-05
59,000;8,0227E-05
120,000;8,0244E-05
183,000;8,0261E-05
242,000;8,022E-05
363,000;8,0119E-05
425,000;8,0067E-05
480,000;8,0004E-05
543,000;7,9975E-05
665,000;8,0003E-05
724,000;8,0012E-05
785,000;8,0034E-05
832,000;8,0057E-05
955,000;8,0117E-05
1014,000;8,0127E-05
1072,000;8,0115E-05
1131,000;8,0132E-05
1212,000;8,0162E-05
1336,000;8,0121E-05
1373,000;8,0069E-05
1432,000;8,0064E-05
1497,000;8,0089E-05
1635,000;8,0133E-05
1693,000;8,0123E-05
1755,000;8,0115E-05
1814,000;8,0127E-05
1877,000;8,0145E-05
1982,000;8,0192E-05
2042,000;8,015E-05
2100,000;8,0124E-05
2163,000;8,0173E-05
2234,000;8,0199E-05
2294,000;8,018E-05
2347,000;8,0118E-05
2412,000;8,0084E-05
2474,000;8,0073E-05
2596,000;8,003E-05
2642,000;8,0009E-05
2713,000;8,0016E-05
2773,000;8,0023E-05
2894,000;7,9984E-05
2955,000;7,9999E-05
3019,000;8,0025E-05
3083,000;8,0038E-05
3182,000;8,0038E-05
3266,000;8,0044E-05
3324,000;8,0007E-05
3388,000;7,9932E-05
3512,000;7,9859E-05
3546,000;7,983E-05
3628,000;7,9806E-05
3672,000;7,98E-05
3784,000;7,9909E-05
3869,000;7,9938E-05
3903,000;8,0008E-05
3989,000;8,0098E-05
4112,000;8,0056E-05
4146,000;7,9971E-05
4228,000;7,9932E-05
4277,000;7,9974E-05
4400,000;7,9971E-05
4458,000;7,9937E-05
4522,000;7,9876E-05
4582,000;7,9843E-05
4709,000;7,9815E-05
4769,000;7,9781E-05
4831,000;7,9793E-05
4869,000;7,9801E-05
4952,000;7,9797E-05
5051,000;7,9893E-05
5109,000;7,9858E-05
5193,000;7,9776E-05
5241,000;7,972E-05
5366,000;7,9701E-05
5424,000;7,9706E-05
5483,000;7,9739E-05
5544,000;7,9823E-05
5668,000;7,9736E-05
5727,000;7,9707E-05
5792,000;7,9712E-05
5851,000;7,9736E-05
5911,000;7,9755E-05
6021,000;7,9874E-05
6086,000;7,9983E-05
6144,000;8,0073E-05
6279,000;8,0175E-05
6398,843;8,0185E-05
6436,843;8,0187E-05
6519,843;8,0214E-05
6557,843;8,0267E-05
6641,843;8,03E-05
6751,843;8,0323E-05
6808,843;8,0302E-05
6874,843;8,0273E-05
6933,843;8,0256E-05
6997,843;8,0259E-05
7098,843;8,0306E-05
7161,843;8,0314E-05
7219,843;8,0266E-05
7282,843;8,0218E-05
7403,843;8,0268E-05
7464,843;8,0213E-05
7527,843;8,0195E-05
7586,843;8,0175E-05
7657,843;8,0128E-05
7781,843;8,0109E-05
7822,843;8,0141E-05
7882,843;8,0157E-05
8002,843;8,013E-05
8063,843;8,0102E-05
8139,843;8,0051E-05
8202,843;8,0021E-05
8326,843;8,0072E-05
8388,843;8,012E-05
8447,843;8,0094E-05
8487,843;8,0072E-05
8569,843;8,0067E-05
8689,843;8,0076E-05
8747,843;8,0158E-05
8788,843;8,0163E-05
8847,843;8,0085E-05
8914,843;8,0054E-05
8983,843;8,0055E-05
9047,843;8,0056E-05
9106,843;8,0104E-05
9168,843;8,0204E-05
9227,843;8,0248E-05
9341,843;8,006E-05
9402,843;8,0028E-05
9462,843;8,0061E-05
9521,843;8,0081E-05
9583,843;8,0052E-05
9702,843;8,0012E-05
9763,843;7,9973E-05
9827,843;7,9992E-05
9886,843;8,0013E-05
10008,843;8,0014E-05
10056,843;7,9989E-05
10118,843;7,9994E-05
10177,843;8,0013E-05
10248,843;8,002E-05
10311,843;8,0016E-05
10369,843;8,0021E-05
10433,843;8,0025E-05
10493,843;8,0012E-05
10618,843;7,9937E-05
10677,843;7,9951E-05
10738,843;7,9962E-05
10838,843;7,9929E-05
10908,843;7,9967E-05
10969,843;7,9954E-05
11028,843;7,9902E-05
11092,843;7,9867E-05
11160,843;7,9888E-05
11280,843;7,9887E-05
11323,843;7,9888E-05
11387,843;7,9949E-05
11446,843;7,9923E-05
11511,843;7,9866E-05
11575,843;7,9875E-05
11634,843;7,9893E-05
11693,843;7,9952E-05
11756,843;8,0005E-05
11882,843;8,0006E-05
11942,843;8,0015E-05
12004,843;8,0016E-05
12063,843;8,003E-05
12102,843;8,0072E-05
12168,843;8,0097E-05
12237,843;8,0093E-05
12296,843;8,0094E-05
12361,843;8,0096E-05
12419,843;8,0091E-05
12540,843;8,0185E-05
12661,540;8,0093E-05
12724,540;8,0043E-05
12847,540;8,0055E-05
12906,540;8,0092E-05
12953,540;8,0077E-05
13016,540;8,0074E-05
13075,540;8,0119E-05
13149,540;8,0155E-05
13206,540;8,0172E-05
13266,540;8,0193E-05
13321,540;8,0225E-05
13384,540;8,0237E-05
13509,540;8,021E-05
13567,540;8,0196E-05
13626,540;8,0221E-05
13678,540;8,0265E-05
13804,540;8,0263E-05
13934,540;8,0239E-05
13995,540;8,0196E-05
14094,540;8,015E-05
14152,540;8,0132E-05
14216,540;8,0123E-05
14275,540;8,0108E-05
14334,540;8,0088E-05
14475,540;8,0162E-05
14519,540;8,0118E-05
14577,540;8,0106E-05
14636,540;8,01E-05
14707,540;8,0106E-05
14762,540;8,0129E-05
14821,540;8,0148E-05
14880,540;8,0164E-05
14941,540;8,0182E-05
15012,540;8,0123E-05
15071,540;8,0047E-05
15134,540;8,0018E-05
15253,540;8,0035E-05
15374,540;8,0053E-05
15436,540;8,0058E-05
15495,540;8,0076E-05
15541,540;8,0075E-05
15612,540;8,0114E-05
15671,540;8,0176E-05
15735,540;8,0184E-05
15794,540;8,0172E-05
15852,540;8,0165E-05
15980,540;8,0147E-05
16044,540;8,0115E-05
16102,540;8,0093E-05
16165,540;8,0048E-05
16269,540;8,0047E-05
16327,540;8,0056E-05
16386,540;8,0045E-05
16459,540;8,0015E-05
16583,540;7,9964E-05
16630,540;8,0007E-05
16690,540;8,0033E-05
16751,540;8,0057E-05
16824,540;8,0096E-05
16886,540;8,0135E-05
17009,540;8,0171E-05
17067,540;8,0126E-05
17186,519;8,0126E-05
17245,519;8,0144E-05
17307,519;8,0176E-05
17363,519;8,0221E-05
17485,519;8,0258E-05
17547,519;8,0255E-05
17608,519;8,0272E-05
17671,519;8,03E-05
17772,519;8,0331E-05
17831,519;8,0276E-05
17894,519;8,0254E-05
17952,519;8,0268E-05
18017,519;8,0246E-05
18149,519;8,0198E-05
18210,519;8,0178E-05
18271,519;8,0141E-05
18323,519;8,0127E-05
18446,519;8,0189E-05
18507,519;8,0177E-05
18566,519;8,0094E-05
18629,519;8,0014E-05
18746,519;7,9994E-05
18809,519;8,0002E-05
18870,519;8,0008E-05
18932,519;8,0002E-05
19055,519;8,0034E-05
19114,519;8,0042E-05
19172,519;8,0048E-05
19240,519;8,0033E-05
19339,519;8,0009E-05
19397,519;8,0008E-05
19481,519;7,9986E-05
19517,519;7,9991E-05
19585,519;8,0008E-05
19702,519;8,002E-05
19766,519;8,0014E-05
19825,519;8,0034E-05
19884,519;8,0037E-05
19940,519;8,0024E-05
20070,519;8,0019E-05
20129,519;8,0013E-05
20190,519;8,0015E-05
20249,519;8,0032E-05
20322,519;8,0031E-05
20425,519;8,0002E-05
20484,519;7,9972E-05
20546,519;7,9944E-05
20605,519;7,9908E-05
20675,519;7,9873E-05
