Optical Power Monitor 6.1.4945.818

Power Meter;PM160
Power Meter SN;400786
Sensor;
Sensor SN;
Sensor Type;
Wavelength;780 nm
Range;Auto;range changed during the measurement.

Start of Measurement;12/2/2025 16:13:39
Elapsed Time;00:00:59:980
Samples;811

--Statistics--
Minimum [W];7,9734E-05
Maximum [W];8,0321E-05
Mean [W];7,9969E-05
Standard Deviation [W];9,1943E-08
Ratio;1,007 : 1

--Graph Data--
Time (ms);Power (W)
0,000;8,0071E-05
122,000;8,0069E-05
240,000;7,9964E-05
302,000;7,992E-05
364,000;7,9847E-05
427,000;7,9835E-05
528,000;7,9759E-05
591,000;7,9784E-05
650,000;7,987E-05
720,000;7,9898E-05
787,000;7,9876E-05
849,000;7,9856E-05
907,000;7,9847E-05
971,000;7,9811E-05
1030,000;7,9803E-05
1151,000;7,977E-05
1209,000;7,9795E-05
1266,000;7,982E-05
1326,000;7,9889E-05
1450,000;7,9891E-05
1512,000;7,9869E-05
1571,000;7,985E-05
1616,000;7,9809E-05
1737,000;7,9778E-05
1796,000;7,9803E-05
1857,000;7,9833E-05
1915,000;7,9853E-05
2055,000;7,9887E-05
2094,000;7,9881E-05
2176,000;7,9823E-05
2235,000;7,9838E-05
2351,000;7,9961E-05
2414,000;7,9963E-05
2472,000;7,9982E-05
2536,000;8,0012E-05
2584,000;8,0022E-05
2655,000;7,9982E-05
2707,000;7,9932E-05
2770,000;7,9885E-05
2829,000;7,9831E-05
2891,000;7,9811E-05
3012,000;7,9835E-05
3059,000;7,9923E-05
3129,000;8,0004E-05
3191,000;8,0006E-05
3318,000;8,0049E-05
3376,000;8,0062E-05
3492,262;7,9975E-05
3553,262;7,997E-05
3676,262;8,0061E-05
3735,262;8,0085E-05
3845,262;8,0014E-05
3916,262;7,9963E-05
3975,262;7,9926E-05
4033,262;7,9926E-05
4096,262;7,9933E-05
4155,262;7,9943E-05
4281,262;7,9948E-05
4345,262;7,9927E-05
4403,262;7,9926E-05
4462,262;7,9974E-05
4520,262;8,0016E-05
4640,262;8,0069E-05
4698,262;8,0154E-05
4762,262;8,0184E-05
4821,262;8,0151E-05
4883,262;8,0104E-05
4988,262;7,998E-05
5047,262;7,9933E-05
5108,262;7,9876E-05
5170,262;7,985E-05
5232,262;7,9868E-05
5355,262;7,9942E-05
5413,262;7,9964E-05
5478,262;7,9961E-05
5537,262;7,9952E-05
5596,262;7,9941E-05
5711,262;7,9901E-05
5771,262;7,9941E-05
5855,262;8,0005E-05
5913,262;8,0045E-05
5975,262;8,0067E-05
6083,262;8,0083E-05
6142,262;8,009E-05
6262,262;8,0044E-05
6325,262;8,005E-05
6437,262;8,0101E-05
6496,262;8,008E-05
6565,262;8,007E-05
6628,262;8,006E-05
6687,262;8,004E-05
6812,262;8,003E-05
6871,262;8,0036E-05
6932,262;7,9999E-05
6991,262;7,999E-05
7048,262;8,0016E-05
7160,262;7,9961E-05
7222,262;7,9994E-05
7281,262;8,0016E-05
7346,262;7,9989E-05
7414,262;7,9962E-05
7476,262;7,996E-05
7535,262;7,9918E-05
7597,262;7,9884E-05
7655,262;7,9938E-05
7761,262;7,9921E-05
7824,262;7,9892E-05
7886,262;7,9911E-05
7948,262;7,9941E-05
8007,262;7,9906E-05
8078,262;7,9831E-05
8142,262;7,9798E-05
8202,262;7,9827E-05
8261,262;7,9859E-05
8341,262;7,9854E-05
8437,262;7,9859E-05
8497,262;7,986E-05
8560,262;7,9869E-05
8620,262;7,988E-05
8682,262;7,9886E-05
8806,262;7,9944E-05
8865,262;7,9931E-05
8922,262;7,9918E-05
8985,262;7,9951E-05
9105,864;7,9989E-05
9164,864;7,9977E-05
9205,864;8,0001E-05
9272,864;8,0016E-05
9398,864;8,007E-05
9461,864;8,0097E-05
9520,864;8,0092E-05
9582,864;8,0102E-05
9696,864;8,0027E-05
9755,864;7,998E-05
9842,864;7,9948E-05
9876,864;7,9908E-05
9965,864;7,9835E-05
10084,772;7,9734E-05
10122,772;7,9825E-05
10204,772;7,9838E-05
10314,772;7,9844E-05
10435,772;7,9905E-05
10494,772;7,9907E-05
10557,772;7,9943E-05
10615,772;7,9923E-05
10713,772;7,983E-05
10797,772;7,9807E-05
10834,772;7,9816E-05
10918,772;7,9867E-05
11037,772;7,9914E-05
11097,772;7,9921E-05
11209,772;7,9957E-05
11332,772;7,9951E-05
11390,772;7,9936E-05
11454,772;7,9969E-05
11512,772;7,9965E-05
11644,082;7,9837E-05
11681,082;7,9846E-05
11765,082;7,9857E-05
11803,082;7,986E-05
11889,082;7,9985E-05
12010,082;8,0096E-05
12049,082;8,0069E-05
12108,082;8,0006E-05
12165,082;7,9934E-05
12233,082;7,9972E-05
12363,082;7,9936E-05
12488,082;7,9946E-05
12522,082;7,9967E-05
12605,082;8,0031E-05
12729,684;8,006E-05
12765,684;8,0065E-05
12843,684;8,0056E-05
12883,684;8,0026E-05
12965,684;8,0043E-05
13088,684;8,0016E-05
13147,684;7,9969E-05
13210,684;7,9939E-05
13244,684;7,9922E-05
13328,684;7,9925E-05
13452,684;7,9999E-05
13492,684;7,9974E-05
13552,684;7,9987E-05
13615,684;8,003E-05
13674,684;8,0032E-05
13807,684;7,9986E-05
13867,684;7,9935E-05
13929,684;7,9936E-05
13988,684;7,9961E-05
14054,684;7,9948E-05
14212,684;7,9888E-05
14273,684;7,9927E-05
14332,684;7,9969E-05
14398,684;7,9945E-05
14525,684;7,9959E-05
14588,684;7,9928E-05
14647,684;7,9887E-05
14711,684;7,9853E-05
14888,684;7,9987E-05
14947,684;7,9984E-05
15007,684;7,9979E-05
15068,684;7,9979E-05
15174,684;7,9888E-05
15233,684;7,9899E-05
15317,684;7,9872E-05
15378,684;7,9831E-05
15478,684;7,9859E-05
15597,684;7,9903E-05
15659,684;7,9905E-05
15718,684;7,9903E-05
15789,684;7,9946E-05
15855,684;7,9942E-05
15914,684;7,9923E-05
15981,684;7,996E-05
16099,684;7,9988E-05
16221,684;7,9993E-05
16258,684;8,0046E-05
16332,684;8,006E-05
16396,684;8,0051E-05
16513,684;8,0018E-05
16564,684;8,0031E-05
16622,684;8,0046E-05
16680,684;8,0054E-05
16748,684;8,0097E-05
16810,684;8,0139E-05
16869,684;8,0143E-05
16933,684;8,0055E-05
16992,684;7,9911E-05
17102,684;7,9792E-05
17185,684;7,9791E-05
17223,684;7,9781E-05
17307,684;7,9768E-05
17345,684;7,9779E-05
17481,684;7,98E-05
17543,684;7,9832E-05
17602,684;7,9858E-05
17664,684;7,9868E-05
17787,684;7,9941E-05
17845,684;7,9974E-05
17908,684;8,0014E-05
17946,684;8,0066E-05
18005,684;8,009E-05
18077,684;8,0059E-05
18134,684;8,0036E-05
18193,684;8,0054E-05
18256,684;8,0081E-05
18314,684;8,0076E-05
18386,684;8,0031E-05
18451,684;7,9979E-05
18559,684;7,9909E-05
18749,684;7,9832E-05
18812,684;7,9965E-05
18871,684;8,0053E-05
18933,684;8,0078E-05
19031,684;8,0057E-05
19114,684;8,0018E-05
19172,684;7,9993E-05
19221,684;7,9973E-05
19289,684;7,9967E-05
19411,684;8,0063E-05
19473,684;8,0056E-05
19532,684;8,0006E-05
19573,684;7,9962E-05
19657,684;7,9922E-05
19778,684;7,9845E-05
19836,684;7,9863E-05
19889,684;7,986E-05
19948,684;7,984E-05
20013,684;7,9864E-05
20136,684;8,0016E-05
20193,684;8,0014E-05
20252,684;7,9946E-05
20313,684;7,9926E-05
20427,684;7,9986E-05
20484,684;8,0012E-05
20543,684;8,0007E-05
20604,684;8,0025E-05
20666,684;8,0017E-05
20780,684;7,9945E-05
20842,684;7,9953E-05
20901,684;7,9979E-05
20966,684;7,9964E-05
21024,684;7,9963E-05
21159,684;7,992E-05
21218,684;7,9891E-05
21283,684;7,9886E-05
