Optical Power Monitor 6.1.4945.818

Power Meter;PM160
Power Meter SN;400786
Sensor;
Sensor SN;
Sensor Type;
Wavelength;780 nm
Range;Auto;range changed during the measurement.

Start of Measurement;12/2/2025 16:28:10
Elapsed Time;00:00:59:961
Samples;817

--Statistics--
Minimum [W];6,1608E-05
Maximum [W];6,1996E-05
Mean [W];6,178E-05
Standard Deviation [W];7,0826E-08
Ratio;1,006 : 1

--Graph Data--
Time (ms);Power (W)
0,000;6,1775E-05
120,000;6,1762E-05
180,000;6,1744E-05
242,000;6,1748E-05
299,000;6,1756E-05
423,000;6,1744E-05
544,000;6,1746E-05
603,000;6,176E-05
665,000;6,1779E-05
763,000;6,186E-05
847,000;6,1847E-05
904,000;6,1862E-05
962,000;6,1899E-05
1076,000;6,1972E-05
1135,000;6,1921E-05
1200,000;6,1841E-05
1259,000;6,1789E-05
1320,000;6,1768E-05
1427,000;6,1756E-05
1489,000;6,1744E-05
1547,000;6,1741E-05
1609,000;6,1745E-05
1668,000;6,1745E-05
1799,000;6,177E-05
1862,000;6,1754E-05
1920,000;6,1707E-05
1983,000;6,1668E-05
2088,000;6,1685E-05
2172,000;6,1736E-05
2293,000;6,18E-05
2411,000;6,1839E-05
2474,000;6,1888E-05
2533,000;6,1899E-05
2572,000;6,1873E-05
2630,000;6,1871E-05
2706,000;6,187E-05
2770,000;6,1847E-05
2819,000;6,1834E-05
2894,000;6,1835E-05
2954,000;6,1853E-05
3077,000;6,1833E-05
3135,000;6,1826E-05
3182,000;6,1829E-05
3244,000;6,1832E-05
3369,832;6,1826E-05
3437,832;6,1838E-05
3539,832;6,1857E-05
3674,832;6,187E-05
3733,832;6,1867E-05
3791,832;6,1855E-05
3856,832;6,185E-05
3900,832;6,1829E-05
4027,212;6,1832E-05
4085,212;6,1863E-05
4158,212;6,1867E-05
4217,212;6,1837E-05
4322,212;6,1744E-05
4384,212;6,1679E-05
4446,212;6,1667E-05
4510,212;6,168E-05
4577,212;6,1697E-05
4638,212;6,173E-05
4697,212;6,1752E-05
4759,212;6,1757E-05
4803,212;6,1764E-05
4875,212;6,1756E-05
4933,212;6,1739E-05
5021,212;6,1745E-05
5054,212;6,1777E-05
5143,212;6,179E-05
5236,212;6,178E-05
5298,212;6,1791E-05
5357,212;6,1799E-05
5427,212;6,18E-05
5547,212;6,1799E-05
5585,212;6,181E-05
5668,212;6,1821E-05
5727,212;6,1808E-05
5846,212;6,1767E-05
5908,212;6,1725E-05
5967,212;6,1691E-05
6028,212;6,1703E-05
6146,212;6,176E-05
6205,212;6,1779E-05
6267,212;6,1761E-05
6328,212;6,174E-05
6368,212;6,1725E-05
6463,212;6,1722E-05
6503,212;6,1724E-05
6562,212;6,1729E-05
6627,212;6,1738E-05
6733,212;6,1721E-05
6792,212;6,171E-05
6867,212;6,1711E-05
6926,212;6,1718E-05
6985,212;6,1718E-05
7105,212;6,1693E-05
7168,212;6,1683E-05
7228,212;6,1693E-05
7291,212;6,1693E-05
7408,212;6,1703E-05
7470,212;6,1701E-05
7535,212;6,1698E-05
7646,666;6,169E-05
7766,666;6,1787E-05
7825,666;6,1786E-05
7892,666;6,1796E-05
7950,666;6,1814E-05
8078,507;6,1805E-05
8137,507;6,1823E-05
8177,507;6,1859E-05
8261,507;6,1894E-05
8366,507;6,1889E-05
8424,507;6,1872E-05
8487,507;6,1865E-05
8546,507;6,1893E-05
8664,507;6,1928E-05
8718,507;6,1968E-05
8777,507;6,1996E-05
8839,507;6,1947E-05
8898,507;6,1902E-05
9018,507;6,1913E-05
9099,507;6,1922E-05
9158,507;6,1893E-05
9216,507;6,1916E-05
9338,507;6,1834E-05
9401,507;6,1832E-05
9522,507;6,1791E-05
9643,507;6,1799E-05
9706,507;6,1813E-05
9808,507;6,1788E-05
9866,507;6,1764E-05
9984,507;6,175E-05
10043,507;6,1767E-05
10106,507;6,1782E-05
10164,507;6,1825E-05
10227,507;6,1882E-05
10349,507;6,1888E-05
10406,507;6,1866E-05
10472,507;6,1841E-05
10531,507;6,1835E-05
10602,507;6,1855E-05
10661,507;6,1877E-05
10723,507;6,1891E-05
10782,507;6,191E-05
10846,507;6,193E-05
10952,507;6,1924E-05
11016,507;6,1894E-05
11074,507;6,1883E-05
11137,507;6,1894E-05
11198,507;6,1921E-05
11328,507;6,1934E-05
11391,507;6,1926E-05
11449,507;6,192E-05
11514,507;6,1911E-05
11632,507;6,1878E-05
11694,507;6,1849E-05
11753,507;6,182E-05
11814,507;6,1804E-05
11933,566;6,18E-05
11996,566;6,1809E-05
12057,566;6,1813E-05
12094,566;6,1839E-05
12178,566;6,1878E-05
12274,566;6,1867E-05
12358,566;6,1852E-05
12396,566;6,1849E-05
12459,566;6,183E-05
12524,566;6,1795E-05
12594,566;6,1759E-05
12657,566;6,1733E-05
12716,566;6,1749E-05
12758,566;6,1755E-05
12826,566;6,1752E-05
12897,566;6,1766E-05
12961,566;6,178E-05
13019,566;6,1785E-05
13078,566;6,1774E-05
13133,566;6,1781E-05
13255,446;6,1829E-05
13316,446;6,1807E-05
13380,446;6,1779E-05
13436,446;6,1781E-05
13542,446;6,181E-05
13601,446;6,1812E-05
13663,446;6,1815E-05
13747,446;6,1819E-05
13847,446;6,1825E-05
13906,446;6,1828E-05
13967,446;6,1857E-05
14026,446;6,1903E-05
14089,446;6,189E-05
14181,446;6,1821E-05
14217,446;6,1775E-05
14276,446;6,1784E-05
14336,446;6,1813E-05
14396,446;6,183E-05
14521,446;6,1799E-05
14585,446;6,1787E-05
14644,446;6,1759E-05
14702,446;6,1742E-05
14827,446;6,1718E-05
14890,446;6,1738E-05
14999,468;6,1782E-05
15067,468;6,1779E-05
15190,468;6,181E-05
15249,468;6,1816E-05
15364,468;6,1827E-05
15485,468;6,1838E-05
15548,468;6,1829E-05
15605,468;6,1816E-05
15654,468;6,18E-05
15778,468;6,1798E-05
15837,468;6,1789E-05
15908,468;6,1788E-05
15967,468;6,1775E-05
16078,468;6,1787E-05
16142,468;6,1805E-05
16200,468;6,1795E-05
16259,468;6,1796E-05
16395,468;6,1803E-05
16437,468;6,1773E-05
16495,468;6,176E-05
16557,468;6,1762E-05
16616,468;6,1743E-05
16735,468;6,1723E-05
16808,468;6,1716E-05
16872,468;6,1715E-05
16929,468;6,1715E-05
17050,468;6,1714E-05
17113,468;6,1726E-05
17165,468;6,1758E-05
17229,468;6,1755E-05
17347,468;6,1682E-05
17411,468;6,1651E-05
17470,468;6,1629E-05
17523,468;6,1623E-05
17661,401;6,1638E-05
17720,401;6,1651E-05
17783,401;6,1648E-05
17842,401;6,1654E-05
17886,401;6,1665E-05
17957,401;6,1714E-05
18020,401;6,1759E-05
18078,401;6,1766E-05
18141,401;6,1767E-05
18200,401;6,1758E-05
18318,401;6,1725E-05
18382,401;6,1708E-05
18442,401;6,1689E-05
18501,401;6,1693E-05
18564,401;6,1707E-05
18685,401;6,1701E-05
18744,401;6,1719E-05
18805,401;6,1771E-05
18861,401;6,1811E-05
18924,401;6,1833E-05
19110,401;6,1823E-05
19150,401;6,1852E-05
19209,401;6,1845E-05
19293,401;6,182E-05
19408,401;6,1793E-05
19460,401;6,1813E-05
19519,401;6,1851E-05
19580,401;6,1875E-05
19666,401;6,1865E-05
19764,401;6,1832E-05
19822,401;6,1835E-05
19887,401;6,1834E-05
19946,401;6,1833E-05
20007,401;6,1825E-05
20111,401;6,1753E-05
20174,401;6,1689E-05
20257,401;6,1631E-05
20291,401;6,1608E-05
20379,401;6,1618E-05
20494,401;6,1623E-05
20552,401;6,1633E-05
20611,401;6,1666E-05
20674,401;6,1715E-05
20792,401;6,1737E-05
20841,401;6,1769E-05
20905,401;6,1803E-05
20964,401;6,1812E-05
21034,401;6,1799E-05
21092,401;6,1773E-05
