Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-12-12 10:51:19.13;0.00:00:00:059;1.00;0.01;0.00;0.02858;0.02836;0.0002751;3.455E-05;0.28;0.03;99.25;0.12;99.25;0.02858;0.02836;0.0002151;-15.439;-15.472;-36.674;1.00;7.16;
2025-12-12 10:51:19.18;0.00:00:00:110;1.00;0.01;0.00;0.02857;0.02836;0.0003207;3.715E-05;0.32;0.04;99.29;0.13;99.29;0.02857;0.02836;0.0002018;-15.442;-15.472;-36.951;1.00;6.61;
2025-12-12 10:51:19.23;0.00:00:00:161;1.00;0.01;0.00;0.02857;0.02837;0.0002796;3.828E-05;0.28;0.04;99.31;0.13;99.31;0.02857;0.02838;0.000197;-15.441;-15.471;-37.055;1.00;7.80;
2025-12-12 10:51:19.28;0.00:00:00:213;1.00;0.01;0.00;0.02857;0.02837;0.000285;2.792E-05;0.29;0.03;99.30;0.10;99.30;0.02857;0.02837;0.0001986;-15.441;-15.471;-37.020;1.00;5.60;
2025-12-12 10:51:19.33;0.00:00:00:263;1.00;0.01;0.00;0.02854;0.02831;0.0003296;2.352E-05;0.33;0.02;99.18;0.08;99.18;0.02854;0.02831;0.0002346;-15.445;-15.481;-36.298;1.00;4.08;
2025-12-12 10:51:19.38;0.00:00:00:314;1.00;0.01;0.00;0.02854;0.02828;0.0003145;1.57E-05;0.32;0.02;99.12;0.06;99.12;0.02854;0.02829;0.0002506;-15.446;-15.484;-36.010;1.00;2.86;
2025-12-12 10:51:19.43;0.00:00:00:365;1.00;0.01;0.00;0.02856;0.02836;0.0003042;1.487E-05;0.31;0.02;99.30;0.05;99.30;0.02856;0.02836;0.0001994;-15.443;-15.473;-37.003;1.00;2.80;
2025-12-12 10:51:19.49;0.00:00:00:417;1.00;0.01;0.00;0.02854;0.02834;0.0002872;3.398E-05;0.29;0.03;99.31;0.12;99.31;0.02854;0.02834;0.0001983;-15.446;-15.476;-37.028;1.00;6.75;
2025-12-12 10:51:19.54;0.00:00:00:468;1.00;0.01;0.00;0.02859;0.02835;0.0003157;4.134E-05;0.32;0.04;99.17;0.14;99.17;0.02859;0.02835;0.0002382;-15.439;-15.475;-36.230;1.00;7.46;
2025-12-12 10:51:19.59;0.00:00:00:519;1.00;0.01;0.00;0.02858;0.02835;0.0003113;4.183E-05;0.31;0.04;99.21;0.15;99.21;0.02858;0.02835;0.0002266;-15.440;-15.475;-36.448;1.00;7.65;
