Device : ;PAX1000IR1/M
Serial Number : ;M00535216
Firmware Version : ;1.0.3
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-12-12 11:51:33.94;0.00:00:00:053;0.99;-0.04;0.15;0.0008646;0.0008616;-3.836E-05;0.0001341;-1.27;4.42;100.96;15.52;99.76;0.0008646;0.0008729;-8.281E-06;-30.632;-30.591;-99.990;0.99;105.96;
2025-12-12 11:51:33.99;0.00:00:00:108;0.99;-0.04;0.15;0.0008711;0.0008692;-3.666E-05;0.0001335;-1.21;4.36;101.04;15.33;99.87;0.0008711;0.0008802;-9.078E-06;-30.599;-30.554;-99.990;0.99;105.36;
2025-12-12 11:51:34.04;0.00:00:00:158;0.99;-0.04;0.15;0.0008692;0.0008672;-3.677E-05;0.0001338;-1.21;4.38;101.04;15.39;99.86;0.0008692;0.0008782;-9.066E-06;-30.609;-30.564;-99.990;0.99;105.37;
2025-12-12 11:51:34.10;0.00:00:00:217;0.99;-0.04;0.15;0.0008669;0.0008643;-3.57E-05;0.0001343;-1.18;4.41;100.98;15.49;99.79;0.0008669;0.0008754;-8.527E-06;-30.620;-30.578;-99.990;0.99;104.89;
2025-12-12 11:51:34.15;0.00:00:00:264;0.99;-0.04;0.15;0.0008662;0.0008646;-3.739E-05;0.0001333;-1.24;4.38;101.08;15.39;99.91;0.0008662;0.0008756;-9.39E-06;-30.624;-30.577;-99.990;0.99;105.67;
2025-12-12 11:51:34.20;0.00:00:00:311;0.99;-0.04;0.15;0.0008707;0.0008685;-3.692E-05;0.0001337;-1.22;4.37;101.00;15.36;99.83;0.0008707;0.0008795;-8.741E-06;-30.601;-30.558;-99.990;0.99;105.43;
2025-12-12 11:51:34.24;0.00:00:00:359;0.99;-0.04;0.15;0.0008703;0.0008676;-3.681E-05;0.0001339;-1.21;4.38;100.95;15.38;99.77;0.0008703;0.0008786;-8.29E-06;-30.603;-30.562;-99.990;0.99;105.37;
2025-12-12 11:51:34.29;0.00:00:00:405;0.99;-0.04;0.15;0.0008675;0.000866;-3.766E-05;0.0001332;-1.24;4.37;101.10;15.35;99.93;0.0008675;0.000877;-9.561E-06;-30.618;-30.570;-99.990;0.99;105.79;
2025-12-12 11:51:34.35;0.00:00:00:467;0.99;-0.04;0.15;0.0008641;0.0008611;-3.674E-05;0.0001336;-1.22;4.41;100.93;15.46;99.74;0.0008641;0.0008722;-8.037E-06;-30.634;-30.594;-99.990;0.99;105.38;
2025-12-12 11:51:34.40;0.00:00:00:514;0.99;-0.04;0.15;0.0008705;0.0008686;-3.655E-05;0.0001339;-1.20;4.38;101.05;15.38;99.87;0.0008705;0.0008796;-9.121E-06;-30.602;-30.557;-99.990;0.99;105.27;
2025-12-12 11:51:34.44;0.00:00:00:560;0.99;-0.04;0.15;0.0008733;0.0008717;-3.738E-05;0.0001339;-1.23;4.36;101.08;15.34;99.91;0.0008733;0.0008827;-9.457E-06;-30.588;-30.542;-99.990;0.99;105.60;
2025-12-12 11:51:34.49;0.00:00:00:606;0.99;-0.04;0.15;0.0008725;0.0008696;-3.697E-05;0.0001336;-1.22;4.36;100.93;15.32;99.76;0.0008725;0.0008806;-8.135E-06;-30.593;-30.552;-99.990;0.99;105.46;
2025-12-12 11:51:34.54;0.00:00:00:653;0.99;-0.04;0.15;0.0008729;0.0008706;-3.704E-05;0.0001335;-1.22;4.36;100.99;15.30;99.82;0.0008729;0.0008815;-8.613E-06;-30.590;-30.548;-99.990;0.99;105.50;
2025-12-12 11:51:34.58;0.00:00:00:700;0.99;-0.04;0.15;0.0008738;0.0008716;-3.607E-05;0.0001339;-1.19;4.36;101.00;15.33;99.83;0.0008738;0.0008825;-8.736E-06;-30.586;-30.543;-99.990;0.99;105.07;
2025-12-12 11:51:34.63;0.00:00:00:747;0.99;-0.04;0.15;0.0008714;0.0008691;-3.708E-05;0.0001339;-1.22;4.38;101.00;15.37;99.83;0.0008714;0.0008801;-8.747E-06;-30.598;-30.554;-99.990;0.99;105.48;
2025-12-12 11:51:34.68;0.00:00:00:794;0.99;-0.04;0.15;0.0008661;0.0008644;-3.601E-05;0.0001336;-1.19;4.39;101.07;15.42;99.89;0.0008661;0.0008754;-9.287E-06;-30.624;-30.578;-99.990;0.99;105.09;
2025-12-12 11:51:34.73;0.00:00:00:841;0.99;-0.04;0.15;0.0008698;0.0008676;-3.689E-05;0.0001336;-1.22;4.37;101.01;15.36;99.83;0.0008698;0.0008786;-8.766E-06;-30.606;-30.562;-99.990;0.99;105.44;
2025-12-12 11:51:34.77;0.00:00:00:888;0.99;-0.04;0.15;0.0008706;0.000868;-3.637E-05;0.0001337;-1.20;4.37;100.97;15.36;99.79;0.0008706;0.000879;-8.404E-06;-30.602;-30.560;-99.990;0.99;105.22;
2025-12-12 11:51:34.82;0.00:00:00:935;0.99;-0.04;0.15;0.0008701;0.0008672;-3.738E-05;0.000133;-1.23;4.36;100.92;15.29;99.75;0.0008701;0.0008781;-7.992E-06;-30.604;-30.565;-99.990;0.99;105.69;
2025-12-12 11:51:34.87;0.00:00:00:983;0.99;-0.04;0.15;0.00087;0.0008672;-3.802E-05;0.0001338;-1.26;4.38;100.94;15.38;99.77;0.00087;0.0008783;-8.212E-06;-30.605;-30.564;-99.990;0.99;105.86;
2025-12-12 11:51:34.91;0.00:00:01:030;0.99;-0.04;0.15;0.00087;0.0008675;-3.665E-05;0.0001332;-1.21;4.36;100.97;15.31;99.80;0.00087;0.0008784;-8.422E-06;-30.605;-30.563;-99.990;0.99;105.38;
2025-12-12 11:51:34.96;0.00:00:01:078;0.99;-0.04;0.15;0.0008705;0.0008682;-3.743E-05;0.0001341;-1.23;4.39;101.01;15.41;99.83;0.0008705;0.0008793;-8.825E-06;-30.603;-30.559;-99.990;0.99;105.59;
2025-12-12 11:51:35.01;0.00:00:01:124;0.99;-0.04;0.15;0.0008733;0.0008714;-3.633E-05;0.0001332;-1.19;4.34;101.03;15.25;99.87;0.0008733;0.0008823;-8.976E-06;-30.588;-30.544;-99.990;0.99;105.26;
2025-12-12 11:51:35.06;0.00:00:01:171;0.99;-0.04;0.15;0.0008748;0.0008732;-3.611E-05;0.0001344;-1.18;4.37;101.08;15.37;99.91;0.0008748;0.0008842;-9.473E-06;-30.581;-30.534;-99.990;0.99;105.04;
2025-12-12 11:51:35.11;0.00:00:01:224;0.99;-0.04;0.15;0.0008775;0.0008752;-3.756E-05;0.0001343;-1.23;4.36;101.00;15.30;99.83;0.0008775;0.0008862;-8.746E-06;-30.568;-30.525;-99.990;0.99;105.63;
2025-12-12 11:51:35.16;0.00:00:01:275;0.99;-0.04;0.15;0.0008744;0.0008719;-3.541E-05;0.0001347;-1.16;4.39;100.98;15.40;99.80;0.0008744;0.000883;-8.579E-06;-30.583;-30.540;-99.990;0.99;104.73;
2025-12-12 11:51:35.21;0.00:00:01:327;0.99;-0.04;0.15;0.000863;0.0008605;-3.804E-05;0.0001326;-1.27;4.37;100.99;15.36;99.81;0.000863;0.0008715;-8.531E-06;-30.640;-30.597;-99.990;0.99;106.01;
2025-12-12 11:51:35.26;0.00:00:01:378;0.99;-0.04;0.15;0.0008669;0.0008643;-3.729E-05;0.0001334;-1.24;4.38;100.97;15.39;99.79;0.0008669;0.0008754;-8.426E-06;-30.620;-30.578;-99.990;0.99;105.61;
2025-12-12 11:51:35.31;0.00:00:01:430;0.99;-0.04;0.15;0.0008691;0.0008668;-3.64E-05;0.0001341;-1.20;4.39;101.00;15.43;99.82;0.0008691;0.0008779;-8.72E-06;-30.609;-30.566;-99.990;0.99;105.19;
