Device : ;PAX1000IR1/M
Serial Number : ;M00535216
Firmware Version : ;1.0.3
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-12-12 11:08:37.65;0.00:00:00:053;1.00;-0.01;0.00;0.02571;0.02569;-0.0003552;8.556E-05;-0.40;0.10;99.93;0.33;99.93;0.02571;0.02569;1.818E-05;-15.899;-15.903;-47.404;1.00;166.46;
2025-12-12 11:08:37.70;0.00:00:00:104;1.00;-0.01;0.00;0.02569;0.02567;-0.0003586;8.74E-05;-0.40;0.10;99.92;0.34;99.92;0.02569;0.02567;1.962E-05;-15.902;-15.906;-47.074;1.00;166.30;
2025-12-12 11:08:37.75;0.00:00:00:155;1.00;-0.01;0.00;0.02571;0.02568;-0.0003543;8.706E-05;-0.40;0.10;99.93;0.34;99.93;0.02571;0.02569;1.908E-05;-15.900;-15.903;-47.193;1.00;166.19;
2025-12-12 11:08:37.80;0.00:00:00:206;1.00;-0.01;0.00;0.0257;0.02568;-0.0003561;8.635E-05;-0.40;0.10;99.93;0.34;99.93;0.0257;0.02568;1.867E-05;-15.901;-15.904;-47.288;1.00;166.37;
2025-12-12 11:08:37.85;0.00:00:00:259;1.00;-0.01;0.00;0.0257;0.02568;-0.0003555;8.63E-05;-0.40;0.10;99.93;0.34;99.93;0.0257;0.02568;1.825E-05;-15.901;-15.904;-47.388;1.00;166.36;
2025-12-12 11:08:37.91;0.00:00:00:310;1.00;-0.01;0.00;0.02571;0.02569;-0.0003571;8.748E-05;-0.40;0.10;99.93;0.34;99.93;0.02571;0.02569;1.878E-05;-15.899;-15.902;-47.263;1.00;166.23;
2025-12-12 11:08:37.96;0.00:00:00:360;1.00;-0.01;0.00;0.02574;0.02572;-0.0003575;8.697E-05;-0.40;0.10;99.93;0.34;99.93;0.02574;0.02572;1.884E-05;-15.894;-15.898;-47.248;1.00;166.33;
2025-12-12 11:08:38.01;0.00:00:00:413;1.00;-0.01;0.00;0.02578;0.02576;-0.0003563;8.647E-05;-0.40;0.10;99.93;0.34;99.93;0.02578;0.02576;1.88E-05;-15.887;-15.890;-47.259;1.00;166.36;
2025-12-12 11:08:38.06;0.00:00:00:463;1.00;-0.01;0.00;0.02578;0.02576;-0.0003549;8.474E-05;-0.39;0.09;99.93;0.33;99.93;0.02578;0.02576;1.737E-05;-15.888;-15.891;-47.603;1.00;166.57;
2025-12-12 11:08:38.11;0.00:00:00:514;1.00;-0.01;0.00;0.02577;0.02575;-0.0003574;8.689E-05;-0.40;0.10;99.93;0.34;99.93;0.02577;0.02575;1.867E-05;-15.889;-15.892;-47.288;1.00;166.34;
