Device : ;PAX1000IR1/M
Serial Number : ;M00535216
Firmware Version : ;1.0.3
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-12-12 13:24:44.70;0.00:00:00:046;0.96;0.19;-0.22;0.0003586;0.0003279;6.341E-05;-7.57E-05;5.47;-6.39;95.52;21.11;93.15;0.0003586;0.0003425;1.608E-05;-34.454;-34.654;-47.938;0.98;-50.05;
2025-12-12 13:24:44.76;0.00:00:00:100;0.96;0.19;-0.22;0.0003585;0.0003264;6.367E-05;-7.571E-05;5.52;-6.41;95.16;21.12;92.78;0.0003585;0.0003411;1.737E-05;-34.456;-34.671;-47.603;0.98;-49.94;
2025-12-12 13:24:44.81;0.00:00:00:151;0.96;0.18;-0.22;0.0003579;0.0003259;6.277E-05;-7.52E-05;5.45;-6.38;95.08;21.01;92.73;0.0003579;0.0003403;1.761E-05;-34.463;-34.682;-47.543;0.98;-50.15;
2025-12-12 13:24:44.86;0.00:00:00:202;0.96;0.19;-0.22;0.0003581;0.0003263;6.323E-05;-7.614E-05;5.48;-6.45;95.22;21.26;92.82;0.0003581;0.000341;1.71E-05;-34.460;-34.673;-47.669;0.98;-50.29;
2025-12-12 13:24:44.91;0.00:00:00:253;0.96;0.19;-0.22;0.0003581;0.0003273;6.389E-05;-7.542E-05;5.52;-6.37;95.47;21.06;93.12;0.0003581;0.0003419;1.623E-05;-34.460;-34.661;-47.897;0.98;-49.73;
2025-12-12 13:24:44.96;0.00:00:00:304;0.96;0.18;-0.22;0.0003582;0.0003267;6.269E-05;-7.559E-05;5.43;-6.40;95.22;21.10;92.85;0.0003582;0.0003411;1.713E-05;-34.458;-34.671;-47.664;0.98;-50.33;
2025-12-12 13:24:45.01;0.00:00:00:355;0.96;0.19;-0.22;0.0003585;0.0003276;6.347E-05;-7.556E-05;5.48;-6.38;95.45;21.08;93.09;0.0003585;0.0003421;1.633E-05;-34.456;-34.658;-47.871;0.98;-49.97;
2025-12-12 13:24:45.06;0.00:00:00:406;0.96;0.19;-0.22;0.0003584;0.0003271;6.348E-05;-7.584E-05;5.49;-6.41;95.33;21.16;92.95;0.0003584;0.0003417;1.673E-05;-34.456;-34.663;-47.764;0.98;-50.07;
2025-12-12 13:24:45.12;0.00:00:00:463;0.96;0.19;-0.22;0.0003579;0.0003259;6.328E-05;-7.502E-05;5.50;-6.37;95.08;20.96;92.74;0.0003579;0.0003403;1.76E-05;-34.462;-34.681;-47.545;0.98;-49.85;
2025-12-12 13:24:45.18;0.00:00:00:526;0.96;0.19;-0.22;0.0003581;0.0003263;6.362E-05;-7.592E-05;5.52;-6.43;95.23;21.20;92.84;0.0003581;0.000341;1.708E-05;-34.461;-34.673;-47.675;0.98;-50.04;
2025-12-12 13:24:45.23;0.00:00:00:574;0.96;0.18;-0.22;0.0003581;0.0003269;6.301E-05;-7.581E-05;5.45;-6.41;95.35;21.17;92.97;0.0003581;0.0003414;1.666E-05;-34.460;-34.667;-47.782;0.98;-50.27;
2025-12-12 13:24:45.28;0.00:00:00:621;0.96;0.18;-0.22;0.0003587;0.000327;6.294E-05;-7.555E-05;5.45;-6.39;95.18;21.06;92.83;0.0003587;0.0003414;1.727E-05;-34.452;-34.667;-47.626;0.98;-50.20;
2025-12-12 13:24:45.33;0.00:00:00:668;0.96;0.19;-0.22;0.0003579;0.0003263;6.389E-05;-7.533E-05;5.54;-6.38;95.25;21.05;92.90;0.0003579;0.0003409;1.698E-05;-34.463;-34.674;-47.699;0.98;-49.70;
2025-12-12 13:24:45.37;0.00:00:00:715;0.96;0.19;-0.22;0.000358;0.0003262;6.37E-05;-7.582E-05;5.52;-6.42;95.22;21.18;92.84;0.000358;0.0003409;1.711E-05;-34.461;-34.673;-47.668;0.98;-49.96;
2025-12-12 13:24:45.42;0.00:00:00:761;0.96;0.18;-0.22;0.0003574;0.000326;6.269E-05;-7.526E-05;5.44;-6.39;95.23;21.06;92.87;0.0003574;0.0003404;1.704E-05;-34.468;-34.680;-47.685;0.98;-50.21;
2025-12-12 13:24:45.47;0.00:00:00:808;0.96;0.19;-0.22;0.0003582;0.000326;6.332E-05;-7.513E-05;5.49;-6.37;95.06;20.97;92.71;0.0003582;0.0003405;1.771E-05;-34.458;-34.678;-47.518;0.98;-49.88;
