Device : ;PAX1000IR1/M
Serial Number : ;M00535216
Firmware Version : ;1.0.3
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-12-12 13:32:17.96;0.00:00:00:065;1.00;0.00;0.01;0.0003572;0.0003414;3.542E-07;2.667E-06;0.03;0.22;95.58;0.75;95.58;0.0003572;0.0003414;1.579E-05;-34.471;-34.668;-48.016;1.00;82.43;
2025-12-12 13:32:18.01;0.00:00:00:122;1.00;0.00;0.01;0.0003568;0.0003406;-5.479E-07;2.533E-06;-0.05;0.21;95.47;0.71;95.46;0.0003568;0.0003406;1.618E-05;-34.476;-34.677;-47.910;1.00;102.21;
2025-12-12 13:32:18.06;0.00:00:00:168;1.00;-0.01;0.01;0.0003557;0.0003392;-1.801E-06;2.677E-06;-0.15;0.23;95.34;0.75;95.34;0.0003557;0.0003392;1.656E-05;-34.489;-34.696;-47.809;1.00;123.93;
2025-12-12 13:32:18.11;0.00:00:00:215;1.00;-0.01;0.01;0.0003561;0.0003403;-2.123E-06;2.24E-06;-0.18;0.19;95.56;0.63;95.56;0.0003561;0.0003403;1.582E-05;-34.484;-34.681;-48.008;1.00;133.47;
2025-12-12 13:32:18.15;0.00:00:00:262;1.00;0.00;0.01;0.0003565;0.0003411;-7.565E-07;2.882E-06;-0.06;0.24;95.70;0.81;95.69;0.0003565;0.0003411;1.534E-05;-34.480;-34.671;-48.141;1.00;104.71;
2025-12-12 13:32:18.20;0.00:00:00:309;1.00;-0.01;0.01;0.0003581;0.0003414;-1.834E-06;1.894E-06;-0.15;0.16;95.34;0.53;95.34;0.0003581;0.0003414;1.67E-05;-34.459;-34.667;-47.773;1.00;134.07;
2025-12-12 13:32:18.25;0.00:00:00:355;1.00;0.00;0.01;0.0003568;0.0003407;-2.307E-07;2.09E-06;-0.02;0.18;95.50;0.59;95.50;0.0003568;0.0003407;1.604E-05;-34.476;-34.676;-47.948;1.00;96.30;
2025-12-12 13:32:18.29;0.00:00:00:401;1.00;0.00;0.01;0.0003564;0.0003403;6.985E-08;2.629E-06;0.01;0.22;95.47;0.74;95.47;0.0003564;0.0003403;1.615E-05;-34.480;-34.682;-47.918;1.00;88.48;
2025-12-12 13:32:18.35;0.00:00:00:464;1.00;0.00;0.01;0.0003567;0.0003409;-5.118E-07;2.763E-06;-0.04;0.23;95.59;0.77;95.59;0.0003567;0.0003409;1.573E-05;-34.478;-34.673;-48.034;1.00;100.50;
2025-12-12 13:32:18.40;0.00:00:00:510;1.00;0.00;0.01;0.0003572;0.0003412;-1.635E-06;2.73E-06;-0.14;0.23;95.52;0.76;95.51;0.0003572;0.0003412;1.602E-05;-34.470;-34.670;-47.955;1.00;120.92;
2025-12-12 13:32:18.45;0.00:00:00:557;1.00;0.00;0.01;0.0003553;0.0003394;-1.397E-06;2.252E-06;-0.12;0.19;95.53;0.63;95.53;0.0003553;0.0003395;1.587E-05;-34.494;-34.692;-47.995;1.00;121.82;
2025-12-12 13:32:18.49;0.00:00:00:603;1.00;0.00;0.01;0.0003553;0.0003395;-9.563E-07;2.642E-06;-0.08;0.22;95.56;0.74;95.56;0.0003553;0.0003396;1.577E-05;-34.494;-34.691;-48.022;1.00;109.90;
2025-12-12 13:32:18.54;0.00:00:00:649;1.00;0.00;0.01;0.0003558;0.0003397;-1.198E-06;1.828E-06;-0.10;0.15;95.46;0.51;95.46;0.0003558;0.0003397;1.614E-05;-34.487;-34.689;-47.921;1.00;123.24;
2025-12-12 13:32:18.59;0.00:00:00:697;1.00;0.00;0.01;0.0003554;0.0003397;-4.269E-07;2.869E-06;-0.04;0.24;95.60;0.81;95.60;0.0003554;0.0003397;1.562E-05;-34.493;-34.688;-48.063;1.00;98.46;
