Device : ;PAX1000IR1/M
Serial Number : ;M00535216
Firmware Version : ;1.0.3
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-12-17 15:31:42.89;0.00:00:00:072;1.00;0.03;-0.03;0.0002309;0.0002301;7.746E-06;-6.843E-06;0.96;-0.85;99.78;2.96;99.73;0.0002309;0.0002304;5.112E-07;-36.366;-36.376;-62.914;1.00;-41.46;
2025-12-17 15:31:42.93;0.00:00:00:120;1.00;0.03;-0.03;0.0002308;0.0002301;7.749E-06;-6.83E-06;0.96;-0.85;99.79;2.96;99.75;0.0002308;0.0002303;4.804E-07;-36.368;-36.377;-63.184;1.00;-41.39;
2025-12-17 15:31:42.98;0.00:00:00:169;1.00;0.03;-0.03;0.0002306;0.0002299;7.8E-06;-6.813E-06;0.97;-0.85;99.78;2.95;99.74;0.0002306;0.0002301;4.998E-07;-36.371;-36.380;-63.012;1.00;-41.14;
2025-12-17 15:31:43.03;0.00:00:00:217;1.00;0.03;-0.03;0.0002305;0.0002297;7.74E-06;-6.893E-06;0.96;-0.86;99.78;2.99;99.73;0.0002305;0.0002299;5.134E-07;-36.374;-36.384;-62.895;1.00;-41.69;
2025-12-17 15:31:43.08;0.00:00:00:268;1.00;0.03;-0.03;0.0002304;0.0002297;7.974E-06;-6.973E-06;0.99;-0.87;99.81;3.03;99.76;0.0002304;0.00023;4.477E-07;-36.375;-36.383;-63.490;1.00;-41.17;
2025-12-17 15:31:43.13;0.00:00:00:316;1.00;0.03;-0.03;0.0002301;0.0002293;8.033E-06;-7.035E-06;1.00;-0.88;99.78;3.06;99.73;0.0002301;0.0002296;5.058E-07;-36.381;-36.390;-62.961;1.00;-41.21;
2025-12-17 15:31:43.17;0.00:00:00:361;1.00;0.03;-0.03;0.0002304;0.0002296;7.92E-06;-6.987E-06;0.99;-0.87;99.79;3.03;99.74;0.0002304;0.0002299;4.837E-07;-36.376;-36.385;-63.154;1.00;-41.42;
2025-12-17 15:31:43.23;0.00:00:00:412;1.00;0.03;-0.03;0.0002306;0.0002299;7.937E-06;-7.063E-06;0.99;-0.88;99.79;3.06;99.74;0.0002306;0.0002301;4.859E-07;-36.371;-36.380;-63.135;1.00;-41.66;
2025-12-17 15:31:43.27;0.00:00:00:460;1.00;0.03;-0.03;0.0002308;0.0002301;8E-06;-7.05E-06;1.00;-0.88;99.79;3.05;99.74;0.0002308;0.0002303;4.847E-07;-36.367;-36.376;-63.145;1.00;-41.39;
2025-12-17 15:31:43.32;0.00:00:00:507;1.00;0.03;-0.03;0.0002311;0.0002303;7.968E-06;-7.067E-06;0.99;-0.88;99.79;3.06;99.74;0.0002311;0.0002306;4.912E-07;-36.362;-36.371;-63.088;1.00;-41.57;
