Device : ;PAX1000IR1/M
Serial Number : ;M00535216
Firmware Version : ;1.0.3
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-12-12 11:53:30.07;0.00:00:00:050;-0.99;-0.05;-0.14;0.0001086;-0.0001115;-5.551E-06;-1.607E-05;-88.58;-4.09;103.87;14.79;102.82;0.0001086;0.0001128;-4.209E-06;-39.641;-39.476;-99.990;0.01;-109.06;
2025-12-12 11:53:30.13;0.00:00:00:107;-0.99;-0.05;-0.14;0.0001072;-0.0001112;-5.401E-06;-1.622E-05;-88.61;-4.14;104.96;15.13;103.86;0.0001072;0.0001125;-5.313E-06;-39.697;-39.487;-99.990;0.01;-108.42;
2025-12-12 11:53:30.18;0.00:00:00:154;-0.99;-0.06;-0.15;0.0001076;-0.0001099;-6.789E-06;-1.617E-05;-88.23;-4.18;103.43;15.03;102.33;0.0001076;0.0001113;-3.688E-06;-39.682;-39.535;-99.990;0.01;-112.77;
2025-12-12 11:53:30.23;0.00:00:00:200;-0.99;-0.06;-0.15;0.0001067;-0.000111;-6.748E-06;-1.635E-05;-88.26;-4.18;105.27;15.32;104.15;0.0001067;0.0001124;-5.63E-06;-39.717;-39.494;-99.990;0.01;-112.43;
2025-12-12 11:53:30.27;0.00:00:00:247;-0.99;-0.05;-0.14;0.0001083;-0.0001118;-5.782E-06;-1.57E-05;-88.52;-3.99;104.33;14.50;103.31;0.0001083;0.000113;-4.686E-06;-39.652;-39.468;-99.990;0.01;-110.21;
2025-12-12 11:53:30.32;0.00:00:00:294;-0.99;-0.05;-0.15;0.0001079;-0.0001114;-5.396E-06;-1.664E-05;-88.61;-4.24;104.55;15.42;103.41;0.0001079;0.0001128;-4.91E-06;-39.670;-39.476;-99.990;0.01;-107.97;
2025-12-12 11:53:30.37;0.00:00:00:341;-0.99;-0.05;-0.15;0.0001071;-0.0001107;-5.981E-06;-1.642E-05;-88.45;-4.21;104.65;15.33;103.52;0.0001071;0.0001121;-4.976E-06;-39.701;-39.504;-99.990;0.01;-110.02;
2025-12-12 11:53:30.41;0.00:00:00:388;-0.99;-0.06;-0.15;0.0001074;-0.0001103;-6.361E-06;-1.64E-05;-88.35;-4.22;103.97;15.26;102.84;0.0001074;0.0001117;-4.264E-06;-39.688;-39.519;-99.990;0.01;-111.21;
2025-12-12 11:53:30.46;0.00:00:00:435;-0.99;-0.05;-0.15;0.0001076;-0.0001109;-5.453E-06;-1.668E-05;-88.59;-4.27;104.27;15.50;103.11;0.0001076;0.0001122;-4.594E-06;-39.680;-39.499;-99.990;0.01;-108.10;
2025-12-12 11:53:30.51;0.00:00:00:482;-0.99;-0.05;-0.15;0.0001069;-0.0001096;-5.534E-06;-1.702E-05;-88.56;-4.41;103.88;15.92;102.65;0.0001069;0.0001111;-4.149E-06;-39.709;-39.543;-99.990;0.01;-108.01;
2025-12-12 11:53:30.55;0.00:00:00:528;-0.99;-0.05;-0.14;0.0001094;-0.0001112;-5.98E-06;-1.605E-05;-88.46;-4.10;102.78;14.67;101.72;0.0001094;0.0001125;-3.039E-06;-39.609;-39.490;-99.990;0.01;-110.43;
2025-12-12 11:53:30.60;0.00:00:00:575;-0.99;-0.05;-0.14;0.0001052;-0.0001082;-5.034E-06;-1.582E-05;-88.67;-4.15;104.10;15.04;103.01;0.0001052;0.0001095;-4.314E-06;-39.782;-39.607;-99.990;0.01;-107.65;
2025-12-12 11:53:30.65;0.00:00:00:623;-0.99;-0.05;-0.14;0.0001061;-0.0001098;-5.137E-06;-1.558E-05;-88.66;-4.03;104.68;14.68;103.64;0.0001061;0.0001111;-4.962E-06;-39.743;-39.545;-99.990;0.01;-108.25;
