Device : ;PAX1000IR1
Serial Number : ;M00974113
Firmware Version : ;1.0.13
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-12-12 10:53:53.03;0.00:00:00:062;-1.00;0.02;-0.07;0.003756;-0.003901;7.939E-05;-0.0002857;89.42;-2.09;104.15;7.61;103.87;0.003756;0.003912;-0.0001559;-24.253;-24.076;-99.990;0.00;-74.47;
2025-12-12 10:53:53.09;0.00:00:00:116;-1.00;0.01;-0.07;0.003761;-0.003904;5.249E-05;-0.0002837;89.61;-2.08;104.07;7.54;103.79;0.003761;0.003914;-0.000153;-24.247;-24.073;-99.990;0.00;-79.52;
2025-12-12 10:53:53.14;0.00:00:00:163;-1.00;0.01;-0.07;0.003744;-0.003877;4.444E-05;-0.0002822;89.67;-2.08;103.84;7.54;103.56;0.003744;0.003888;-0.0001436;-24.266;-24.103;-99.990;0.00;-81.05;
2025-12-12 10:53:53.18;0.00:00:00:210;-1.00;0.01;-0.07;0.003753;-0.003897;4.497E-05;-0.0002706;89.67;-1.99;104.08;7.21;103.83;0.003753;0.003907;-0.0001532;-24.256;-24.082;-99.990;0.00;-80.57;
2025-12-12 10:53:53.23;0.00:00:00:257;-1.00;0.02;-0.08;0.00376;-0.003888;6.356E-05;-0.0002982;89.53;-2.19;103.71;7.93;103.41;0.00376;0.0039;-0.0001396;-24.248;-24.089;-99.990;0.00;-77.97;
2025-12-12 10:53:53.28;0.00:00:00:303;-1.00;0.01;-0.07;0.003786;-0.003947;4.332E-05;-0.0002955;89.69;-2.14;104.54;7.80;104.25;0.003786;0.003958;-0.0001719;-24.218;-24.025;-99.990;0.00;-81.66;
2025-12-12 10:53:53.32;0.00:00:00:350;-1.00;0.01;-0.07;0.003784;-0.003931;4.576E-05;-0.0002828;89.67;-2.06;104.17;7.47;103.90;0.003784;0.003942;-0.0001577;-24.221;-24.043;-99.990;0.00;-80.81;
2025-12-12 10:53:53.37;0.00:00:00:398;-1.00;0.01;-0.07;0.003773;-0.003905;5.019E-05;-0.0002901;89.63;-2.12;103.77;7.69;103.48;0.003773;0.003916;-0.0001422;-24.233;-24.072;-99.990;0.00;-80.18;
2025-12-12 10:53:53.43;0.00:00:00:460;-1.00;0.01;-0.07;0.003779;-0.003933;2.81E-05;-0.0002803;89.80;-2.04;104.34;7.42;104.08;0.003779;0.003943;-0.0001641;-24.226;-24.041;-99.990;0.00;-84.27;
2025-12-12 10:53:53.48;0.00:00:00:507;-1.00;0.02;-0.07;0.00377;-0.003914;6.161E-05;-0.0002702;89.55;-1.97;104.10;7.17;103.85;0.00377;0.003924;-0.0001546;-24.237;-24.063;-99.990;0.00;-77.15;
2025-12-12 10:53:53.53;0.00:00:00:553;-1.00;0.01;-0.07;0.003762;-0.003909;4.043E-05;-0.0002867;89.70;-2.10;104.20;7.62;103.92;0.003762;0.00392;-0.0001579;-24.246;-24.067;-99.990;0.00;-81.97;
2025-12-12 10:53:53.57;0.00:00:00:599;-1.00;0.01;-0.07;0.003756;-0.003895;3.711E-05;-0.0002844;89.73;-2.09;104.00;7.57;103.72;0.003756;0.003906;-0.0001501;-24.253;-24.083;-99.990;0.00;-82.56;
2025-12-12 10:53:53.62;0.00:00:00:646;-1.00;0.01;-0.07;0.003769;-0.003924;3.029E-05;-0.0002909;89.78;-2.12;104.39;7.72;104.11;0.003769;0.003935;-0.0001655;-24.237;-24.051;-99.990;0.00;-84.06;
2025-12-12 10:53:53.67;0.00:00:00:694;-1.00;0.01;-0.07;0.003752;-0.003884;5.063E-05;-0.0002918;89.63;-2.15;103.80;7.78;103.51;0.003752;0.003895;-0.0001426;-24.257;-24.095;-99.990;0.00;-80.15;
