Device : ;PAX1000IR1/M
Serial Number : ;M00535216
Firmware Version : ;1.0.3
Software Version : ;1.4.2002.183
Wavelength [nm] : ;780
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-12-12 11:11:02.77;0.00:00:00:062;-1.00;0.08;0.04;0.00367;-0.003401;0.0002633;0.0001516;87.79;1.27;93.03;4.13;92.94;0.00367;0.003415;0.0002557;-24.353;-24.667;-35.923;0.00;29.94;
2025-12-12 11:11:02.82;0.00:00:00:115;-1.00;0.08;0.04;0.003653;-0.003387;0.0002606;0.0001508;87.80;1.27;93.09;4.13;93.00;0.003653;0.0034;0.0002524;-24.374;-24.685;-35.979;0.00;30.05;
2025-12-12 11:11:02.87;0.00:00:00:161;-1.00;0.08;0.04;0.003653;-0.003389;0.0002597;0.0001511;87.81;1.27;93.16;4.14;93.06;0.003653;0.003403;0.00025;-24.374;-24.682;-36.021;0.00;30.20;
2025-12-12 11:11:02.91;0.00:00:00:206;-1.00;0.08;0.04;0.003656;-0.003389;0.0002609;0.0001511;87.80;1.27;93.06;4.13;92.96;0.003656;0.003402;0.0002539;-24.370;-24.683;-35.954;0.00;30.08;
2025-12-12 11:11:02.97;0.00:00:00:257;-1.00;0.08;0.04;0.003655;-0.003388;0.00026;0.0001515;87.81;1.28;93.06;4.15;92.97;0.003655;0.003402;0.0002535;-24.371;-24.683;-35.960;0.00;30.23;
2025-12-12 11:11:03.02;0.00:00:00:308;-1.00;0.08;0.04;0.003654;-0.00339;0.0002595;0.0001518;87.81;1.28;93.13;4.15;93.04;0.003654;0.003403;0.0002511;-24.372;-24.681;-36.001;0.00;30.33;
2025-12-12 11:11:03.07;0.00:00:00:359;-1.00;0.08;0.04;0.00366;-0.003395;0.0002598;0.0001515;87.81;1.27;93.13;4.14;93.04;0.00366;0.003408;0.0002512;-24.366;-24.674;-35.999;0.00;30.25;
2025-12-12 11:11:03.12;0.00:00:00:412;-1.00;0.08;0.04;0.003663;-0.003395;0.000262;0.0001512;87.79;1.27;93.03;4.13;92.94;0.003663;0.003408;0.0002552;-24.361;-24.675;-35.932;0.00;29.99;
2025-12-12 11:11:03.18;0.00:00:00:474;-1.00;0.08;0.04;0.003658;-0.003392;0.0002597;0.0001515;87.81;1.27;93.10;4.14;93.00;0.003658;0.003405;0.0002525;-24.368;-24.679;-35.977;0.00;30.25;
2025-12-12 11:11:03.23;0.00:00:00:523;-1.00;0.08;0.04;0.003655;-0.003388;0.0002607;0.0001509;87.80;1.27;93.06;4.13;92.96;0.003655;0.003401;0.0002538;-24.371;-24.683;-35.955;0.00;30.07;
2025-12-12 11:11:03.29;0.00:00:00:577;-1.00;0.08;0.04;0.003653;-0.003388;0.0002599;0.000151;87.81;1.27;93.12;4.13;93.03;0.003653;0.003402;0.0002513;-24.374;-24.683;-35.998;0.00;30.16;
2025-12-12 11:11:03.34;0.00:00:00:628;-1.00;0.08;0.04;0.003655;-0.003389;0.0002596;0.0001517;87.81;1.28;93.09;4.15;93.00;0.003655;0.003403;0.0002524;-24.371;-24.682;-35.979;0.00;30.31;
2025-12-12 11:11:03.39;0.00:00:00:678;-1.00;0.08;0.04;0.003658;-0.003392;0.00026;0.0001518;87.81;1.28;93.10;4.15;93.00;0.003658;0.003406;0.0002526;-24.367;-24.678;-35.976;0.00;30.29;
2025-12-12 11:11:03.44;0.00:00:00:728;-1.00;0.08;0.04;0.003667;-0.003401;0.0002603;0.0001524;87.81;1.28;93.10;4.16;93.01;0.003667;0.003414;0.0002529;-24.357;-24.667;-35.971;0.00;30.35;
2025-12-12 11:11:03.49;0.00:00:00:778;-1.00;0.08;0.04;0.00367;-0.003404;0.000261;0.0001517;87.81;1.27;93.10;4.13;93.01;0.00367;0.003417;0.0002532;-24.353;-24.664;-35.966;0.00;30.17;
2025-12-12 11:11:03.54;0.00:00:00:828;-1.00;0.08;0.04;0.00367;-0.003403;0.0002625;0.0001523;87.79;1.28;93.08;4.15;92.99;0.00367;0.003416;0.000254;-24.353;-24.665;-35.951;0.00;30.12;
2025-12-12 11:11:03.59;0.00:00:00:881;-1.00;0.08;0.04;0.003665;-0.003398;0.000261;0.0001514;87.80;1.27;93.07;4.13;92.98;0.003665;0.003411;0.0002539;-24.359;-24.671;-35.953;0.00;30.12;
